date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,20.28,45.57,65.85,-25.29,11.01,PTG,Energy,-25.29
2020-01-03,164.31,109.3,273.61,55.01,13.65,PTG,Energy,29.72
2020-01-06,35.46,126.94,162.4,-91.49,13.52,PTG,Energy,-61.769999999999996
2020-01-07,61.61,207.0,268.62,-145.39,14.79,PTG,Energy,-207.15999999999997
2020-01-08,113.64,91.22,204.86,22.42,13.07,PTG,Energy,-184.73999999999995
2020-01-09,102.19,80.18,182.37,22.01,17.41,PTG,Energy,-162.72999999999996
2020-01-10,20.98,27.69,48.67,-6.71,16.9,PTG,Energy,-169.43999999999997
2020-01-13,17.78,14.16,31.94,3.61,15.03,PTG,Energy,-165.82999999999996
2020-01-14,12.91,38.54,51.45,-25.63,11.43,PTG,Energy,-191.45999999999995
2020-01-15,17.74,17.68,35.42,0.06,15.26,PTG,Energy,-191.39999999999995
2020-01-16,45.19,54.57,99.76,-9.38,10.74,PTG,Energy,-200.77999999999994
2020-01-17,27.96,34.57,62.53,-6.62,14.3,PTG,Energy,-207.39999999999995
2020-01-20,27.87,37.06,64.93,-9.2,14.32,PTG,Energy,-216.59999999999994
2020-01-21,8.5,16.18,24.68,-7.68,10.43,PTG,Energy,-224.27999999999994
2020-01-22,46.23,63.64,109.87,-17.42,20.4,PTG,Energy,-241.69999999999993
2020-01-23,27.42,24.41,51.83,3.01,20.13,PTG,Energy,-238.68999999999994
2020-01-24,20.14,27.78,47.92,-7.64,24.12,PTG,Energy,-246.32999999999993
2020-01-27,37.8,56.88,94.68,-19.08,22.92,PTG,Energy,-265.4099999999999
2020-01-28,78.24,40.15,118.39,38.1,19.03,PTG,Energy,-227.30999999999992
2020-01-29,44.45,18.52,62.98,25.93,13.63,PTG,Energy,-201.3799999999999
2020-01-30,20.23,40.85,61.07,-20.62,15.56,PTG,Energy,-221.99999999999991
2020-01-31,19.12,92.18,111.3,-73.06,28.09,PTG,Energy,-295.05999999999995
2020-02-03,23.01,29.57,52.57,-6.56,13.33,PTG,Energy,-301.61999999999995
2020-02-04,10.79,34.85,45.64,-24.06,12.26,PTG,Energy,-325.67999999999995
2020-02-05,33.68,21.14,54.82,12.54,12.71,PTG,Energy,-313.13999999999993
2020-02-06,33.23,51.59,84.82,-18.35,14.46,PTG,Energy,-331.48999999999995
2020-02-07,14.94,50.4,65.35,-35.46,20.58,PTG,Energy,-366.94999999999993
2020-02-11,7.45,36.62,44.07,-29.17,11.94,PTG,Energy,-396.11999999999995
2020-02-12,21.09,17.48,38.57,3.61,19.15,PTG,Energy,-392.50999999999993
2020-02-13,110.21,56.82,167.03,53.38,19.19,PTG,Energy,-339.12999999999994
2020-02-14,100.69,119.48,220.18,-18.79,17.59,PTG,Energy,-357.91999999999996
2020-02-17,73.44,113.51,186.95,-40.06,23.55,PTG,Energy,-397.97999999999996
2020-02-18,25.51,35.33,60.85,-9.82,15.69,PTG,Energy,-407.79999999999995
2020-02-19,15.14,45.36,60.5,-30.21,11.85,PTG,Energy,-438.00999999999993
2020-02-20,51.28,17.79,69.07,33.48,15.87,PTG,Energy,-404.5299999999999
2020-02-21,18.23,44.71,62.94,-26.48,14.04,PTG,Energy,-431.00999999999993
2020-02-24,57.65,51.83,109.47,5.82,18.57,PTG,Energy,-425.18999999999994
2020-02-25,85.89,30.19,116.08,55.69,19.36,PTG,Energy,-369.49999999999994
2020-02-26,100.67,29.25,129.92,71.43,34.72,PTG,Energy,-298.06999999999994
2020-02-27,82.18,101.04,183.22,-18.85,21.53,PTG,Energy,-316.91999999999996
2020-02-28,39.68,29.88,69.56,9.79,19.98,PTG,Energy,-307.12999999999994
2020-03-02,27.07,82.84,109.91,-55.76,19.52,PTG,Energy,-362.88999999999993
2020-03-03,16.68,41.72,58.4,-25.04,24.8,PTG,Energy,-387.92999999999995
2020-03-04,89.25,84.29,173.54,4.95,22.65,PTG,Energy,-382.97999999999996
2020-03-05,37.59,34.16,71.75,3.43,17.61,PTG,Energy,-379.54999999999995
2020-03-06,29.61,34.77,64.37,-5.16,31.7,PTG,Energy,-384.71
2020-03-09,30.71,38.74,69.44,-8.03,15.58,PTG,Energy,-392.73999999999995
2020-03-10,84.83,103.11,187.94,-18.28,26.03,PTG,Energy,-411.02
2020-03-11,24.23,68.88,93.11,-44.65,27.14,PTG,Energy,-455.66999999999996
2020-03-12,44.57,81.93,126.49,-37.36,20.97,PTG,Energy,-493.03
2020-03-13,42.82,45.15,87.98,-2.33,19.13,PTG,Energy,-495.35999999999996
2020-03-16,36.32,28.23,64.55,8.09,20.82,PTG,Energy,-487.27
2020-03-17,25.81,31.77,57.59,-5.96,17.13,PTG,Energy,-493.22999999999996
2020-03-18,19.76,21.79,41.55,-2.03,20.81,PTG,Energy,-495.25999999999993
2020-03-19,13.02,20.9,33.92,-7.88,22.78,PTG,Energy,-503.13999999999993
2020-03-20,37.65,29.46,67.11,8.19,16.51,PTG,Energy,-494.94999999999993
2020-03-23,52.45,19.42,71.87,33.04,29.06,PTG,Energy,-461.9099999999999
2020-03-24,27.19,44.49,71.68,-17.3,19.38,PTG,Energy,-479.2099999999999
2020-03-25,56.59,58.78,115.37,-2.19,20.67,PTG,Energy,-481.3999999999999
2020-03-26,85.85,84.76,170.61,1.09,21.99,PTG,Energy,-480.30999999999995
2020-03-27,83.4,39.77,123.18,43.63,23.08,PTG,Energy,-436.67999999999995
2020-03-30,39.62,34.96,74.58,4.66,17.07,PTG,Energy,-432.0199999999999
2020-03-31,105.8,50.52,156.31,55.28,21.94,PTG,Energy,-376.7399999999999
2020-04-01,31.66,38.83,70.49,-7.17,19.82,PTG,Energy,-383.9099999999999
2020-04-02,67.84,53.22,121.07,14.62,12.75,PTG,Energy,-369.2899999999999
2020-04-03,56.55,66.99,123.54,-10.44,15.82,PTG,Energy,-379.7299999999999
2020-04-07,50.64,35.29,85.93,15.35,14.24,PTG,Energy,-364.3799999999999
2020-04-08,29.76,27.35,57.1,2.41,16.65,PTG,Energy,-361.96999999999986
2020-04-09,52.62,47.83,100.45,4.79,12.99,PTG,Energy,-357.17999999999984
2020-04-10,44.58,23.06,67.64,21.52,24.72,PTG,Energy,-335.65999999999985
2020-04-13,46.23,31.84,78.07,14.4,9.4,PTG,Energy,-321.2599999999999
2020-04-14,25.6,84.1,109.7,-58.5,13.85,PTG,Energy,-379.7599999999999
2020-04-15,34.42,28.19,62.61,6.24,12.22,PTG,Energy,-373.51999999999987
2020-04-16,32.49,10.21,42.7,22.29,15.83,PTG,Energy,-351.22999999999985
2020-04-17,59.6,24.1,83.69,35.5,21.66,PTG,Energy,-315.72999999999985
2020-04-20,24.4,37.63,62.03,-13.22,12.96,PTG,Energy,-328.9499999999999
2020-04-21,33.41,14.71,48.12,18.69,19.41,PTG,Energy,-310.2599999999999
2020-04-22,40.48,28.76,69.24,11.72,20.05,PTG,Energy,-298.53999999999985
2020-04-23,18.04,52.12,70.16,-34.08,15.13,PTG,Energy,-332.61999999999983
2020-04-24,40.9,81.47,122.37,-40.57,16.07,PTG,Energy,-373.1899999999998
2020-04-27,11.13,12.87,24.0,-1.74,12.15,PTG,Energy,-374.92999999999984
2020-04-28,11.77,11.12,22.9,0.65,13.63,PTG,Energy,-374.27999999999986
2020-04-29,90.65,41.48,132.13,49.17,20.23,PTG,Energy,-325.10999999999984
2020-04-30,89.77,27.82,117.59,61.95,21.81,PTG,Energy,-263.15999999999985
2020-05-05,69.21,40.2,109.41,29.01,18.86,PTG,Energy,-234.14999999999986
2020-05-07,11.57,31.98,43.55,-20.4,9.69,PTG,Energy,-254.54999999999987
2020-05-08,19.73,11.66,31.39,8.07,14.41,PTG,Energy,-246.47999999999988
2020-05-11,124.18,39.56,163.74,84.62,25.61,PTG,Energy,-161.85999999999987
2020-05-12,105.01,47.87,152.88,57.14,29.48,PTG,Energy,-104.71999999999987
2020-05-13,40.28,14.49,54.77,25.79,19.3,PTG,Energy,-78.92999999999986
