date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,466.0,228.03,694.03,237.97,19.41,PTTEP,Energy,237.97
2020-01-03,734.18,458.62,1192.8,275.56,18.53,PTTEP,Energy,513.53
2020-01-06,545.39,434.42,979.81,110.96,14.4,PTTEP,Energy,624.49
2020-01-07,590.21,167.7,757.91,422.51,15.76,PTTEP,Energy,1047.0
2020-01-08,577.16,338.73,915.89,238.43,14.84,PTTEP,Energy,1285.43
2020-01-09,771.17,678.19,1449.37,92.98,24.31,PTTEP,Energy,1378.41
2020-01-10,380.2,161.05,541.25,219.16,24.95,PTTEP,Energy,1597.5700000000002
2020-01-13,325.54,158.15,483.7,167.39,37.17,PTTEP,Energy,1764.96
2020-01-14,432.84,336.39,769.23,96.45,30.75,PTTEP,Energy,1861.41
2020-01-15,341.47,170.28,511.75,171.19,23.1,PTTEP,Energy,2032.6000000000001
2020-01-16,323.01,130.27,453.28,192.74,17.15,PTTEP,Energy,2225.34
2020-01-17,376.31,137.96,514.27,238.36,18.75,PTTEP,Energy,2463.7000000000003
2020-01-20,201.01,215.01,416.01,-14.0,19.39,PTTEP,Energy,2449.7000000000003
2020-01-21,210.47,246.2,456.67,-35.73,19.77,PTTEP,Energy,2413.9700000000003
2020-01-22,510.8,243.49,754.29,267.31,29.55,PTTEP,Energy,2681.28
2020-01-23,461.46,358.49,819.95,102.96,24.81,PTTEP,Energy,2784.2400000000002
2020-01-24,206.38,150.02,356.4,56.36,26.55,PTTEP,Energy,2840.6000000000004
2020-01-27,411.25,393.52,804.77,17.73,15.43,PTTEP,Energy,2858.3300000000004
2020-01-28,431.49,242.15,673.64,189.34,23.69,PTTEP,Energy,3047.6700000000005
2020-01-29,239.88,416.59,656.46,-176.71,25.86,PTTEP,Energy,2870.9600000000005
2020-01-30,201.04,228.75,429.79,-27.71,26.12,PTTEP,Energy,2843.2500000000005
2020-01-31,428.96,307.09,736.05,121.87,34.81,PTTEP,Energy,2965.1200000000003
2020-02-03,497.34,295.88,793.23,201.46,30.77,PTTEP,Energy,3166.5800000000004
2020-02-04,426.63,450.27,876.91,-23.64,19.13,PTTEP,Energy,3142.9400000000005
2020-02-05,325.83,558.53,884.36,-232.7,25.71,PTTEP,Energy,2910.2400000000007
2020-02-06,659.41,548.85,1208.26,110.56,31.75,PTTEP,Energy,3020.8000000000006
2020-02-07,202.85,236.11,438.96,-33.26,20.45,PTTEP,Energy,2987.5400000000004
2020-02-11,292.08,482.94,775.02,-190.87,31.51,PTTEP,Energy,2796.6700000000005
2020-02-12,354.59,1144.4,1498.98,-789.81,30.9,PTTEP,Energy,2006.8600000000006
2020-02-13,1017.25,562.99,1580.24,454.25,44.48,PTTEP,Energy,2461.1100000000006
2020-02-14,84.04,144.19,228.22,-60.15,25.96,PTTEP,Energy,2400.9600000000005
2020-02-17,37.47,267.74,305.21,-230.27,32.02,PTTEP,Energy,2170.6900000000005
2020-02-18,96.56,151.33,247.89,-54.76,23.65,PTTEP,Energy,2115.9300000000003
2020-02-19,439.67,435.34,875.01,4.32,18.58,PTTEP,Energy,2120.2500000000005
2020-02-20,202.02,342.58,544.6,-140.57,20.9,PTTEP,Energy,1979.6800000000005
2020-02-21,139.47,240.15,379.62,-100.69,30.86,PTTEP,Energy,1878.9900000000005
2020-02-24,387.71,529.07,916.78,-141.36,25.44,PTTEP,Energy,1737.6300000000006
2020-02-25,279.2,327.83,607.04,-48.63,26.46,PTTEP,Energy,1689.0000000000005
2020-02-26,532.78,411.82,944.6,120.96,23.9,PTTEP,Energy,1809.9600000000005
2020-02-27,434.16,382.31,816.47,51.85,30.06,PTTEP,Energy,1861.8100000000004
2020-02-28,832.3,606.16,1438.46,226.14,21.91,PTTEP,Energy,2087.9500000000003
2020-03-02,717.2,485.64,1202.84,231.55,29.92,PTTEP,Energy,2319.5000000000005
2020-03-03,499.15,576.74,1075.89,-77.59,24.62,PTTEP,Energy,2241.9100000000003
2020-03-04,301.84,568.73,870.57,-266.89,23.88,PTTEP,Energy,1975.0200000000004
2020-03-05,130.84,250.62,381.47,-119.78,17.4,PTTEP,Energy,1855.2400000000005
2020-03-06,498.55,420.34,918.89,78.21,36.37,PTTEP,Energy,1933.4500000000005
2020-03-09,1688.79,2447.67,4136.46,-758.88,16.83,PTTEP,Energy,1174.5700000000006
2020-03-10,1117.27,1496.3,2613.56,-379.03,18.99,PTTEP,Energy,795.5400000000006
2020-03-11,976.62,1136.97,2113.59,-160.34,22.97,PTTEP,Energy,635.2000000000006
2020-03-12,792.07,1026.14,1818.21,-234.07,27.1,PTTEP,Energy,401.1300000000006
2020-03-13,1212.43,1190.11,2402.54,22.32,36.34,PTTEP,Energy,423.4500000000006
2020-03-16,707.82,1021.34,1729.16,-313.53,38.83,PTTEP,Energy,109.92000000000064
2020-03-17,609.18,585.17,1194.35,24.01,33.33,PTTEP,Energy,133.93000000000063
2020-03-18,739.38,677.75,1417.13,61.63,34.66,PTTEP,Energy,195.56000000000063
2020-03-19,382.28,413.83,796.11,-31.54,24.29,PTTEP,Energy,164.02000000000064
2020-03-20,818.0,534.76,1352.76,283.25,29.05,PTTEP,Energy,447.27000000000066
2020-03-23,692.15,559.21,1251.36,132.95,34.55,PTTEP,Energy,580.2200000000007
2020-03-24,560.81,354.74,915.56,206.07,28.47,PTTEP,Energy,786.2900000000006
2020-03-25,1349.4,1144.73,2494.13,204.67,34.52,PTTEP,Energy,990.9600000000006
2020-03-26,916.22,1036.04,1952.26,-119.82,34.74,PTTEP,Energy,871.1400000000006
2020-03-27,462.41,491.6,954.01,-29.2,27.64,PTTEP,Energy,841.9400000000005
2020-03-30,335.34,283.12,618.46,52.23,27.25,PTTEP,Energy,894.1700000000005
2020-03-31,306.08,295.97,602.05,10.11,19.8,PTTEP,Energy,904.2800000000005
2020-04-01,243.93,348.61,592.54,-104.67,20.2,PTTEP,Energy,799.6100000000006
2020-04-02,848.13,763.92,1612.05,84.21,16.98,PTTEP,Energy,883.8200000000006
2020-04-03,652.36,709.68,1362.04,-57.32,14.18,PTTEP,Energy,826.5000000000006
2020-04-07,1304.59,1147.14,2451.73,157.45,30.84,PTTEP,Energy,983.9500000000005
2020-04-08,528.13,584.8,1112.93,-56.66,22.94,PTTEP,Energy,927.2900000000005
2020-04-09,668.97,639.85,1308.82,29.13,24.13,PTTEP,Energy,956.4200000000005
2020-04-10,504.7,482.6,987.3,22.1,26.44,PTTEP,Energy,978.5200000000006
2020-04-13,182.08,204.89,386.98,-22.81,25.73,PTTEP,Energy,955.7100000000006
2020-04-14,426.8,462.16,888.96,-35.36,32.46,PTTEP,Energy,920.3500000000006
2020-04-15,337.35,541.29,878.64,-203.94,25.6,PTTEP,Energy,716.4100000000005
2020-04-16,554.29,677.77,1232.06,-123.47,30.49,PTTEP,Energy,592.9400000000005
2020-04-17,566.68,709.11,1275.79,-142.42,37.07,PTTEP,Energy,450.52000000000055
2020-04-20,609.77,511.45,1121.21,98.32,30.17,PTTEP,Energy,548.8400000000006
2020-04-21,533.1,673.49,1206.6,-140.39,33.36,PTTEP,Energy,408.4500000000006
2020-04-22,904.81,848.13,1752.94,56.67,33.92,PTTEP,Energy,465.12000000000063
2020-04-23,482.45,575.08,1057.53,-92.62,30.98,PTTEP,Energy,372.5000000000006
2020-04-24,964.16,925.83,1889.99,38.33,31.02,PTTEP,Energy,410.8300000000006
2020-04-27,381.08,260.91,641.99,120.17,28.74,PTTEP,Energy,531.0000000000006
2020-04-28,249.52,251.34,500.85,-1.82,28.46,PTTEP,Energy,529.1800000000005
2020-04-29,175.45,167.2,342.65,8.25,18.68,PTTEP,Energy,537.4300000000005
2020-04-30,968.64,824.4,1793.04,144.24,19.98,PTTEP,Energy,681.6700000000005
