date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,361.25,460.06,821.31,-98.81,23.92,PTTGC,Petro,-98.81
2020-01-03,568.63,709.13,1277.76,-140.5,30.9,PTTGC,Petro,-239.31
2020-01-06,541.31,609.34,1150.65,-68.02,25.27,PTTGC,Petro,-307.33
2020-01-07,533.89,559.76,1093.65,-25.87,28.17,PTTGC,Petro,-333.2
2020-01-08,347.51,588.04,935.55,-240.53,23.8,PTTGC,Petro,-573.73
2020-01-09,435.24,643.52,1078.77,-208.28,35.1,PTTGC,Petro,-782.01
2020-01-10,173.95,391.18,565.13,-217.24,32.54,PTTGC,Petro,-999.25
2020-01-13,373.59,434.96,808.55,-61.36,32.18,PTTGC,Petro,-1060.61
2020-01-14,277.54,376.41,653.95,-98.87,33.63,PTTGC,Petro,-1159.48
2020-01-15,347.88,471.71,819.59,-123.83,46.85,PTTGC,Petro,-1283.31
2020-01-16,116.47,238.46,354.93,-121.99,28.09,PTTGC,Petro,-1405.3
2020-01-17,245.29,373.09,618.38,-127.8,34.06,PTTGC,Petro,-1533.1
2020-01-20,153.5,114.39,267.89,39.11,25.73,PTTGC,Petro,-1493.99
2020-01-21,793.56,632.12,1425.69,161.44,24.07,PTTGC,Petro,-1332.55
2020-01-22,462.78,330.21,792.99,132.57,28.02,PTTGC,Petro,-1199.98
2020-01-23,290.03,151.24,441.27,138.79,32.95,PTTGC,Petro,-1061.19
2020-01-24,83.02,99.93,182.95,-16.91,19.8,PTTGC,Petro,-1078.1000000000001
2020-01-27,258.12,269.75,527.87,-11.64,25.5,PTTGC,Petro,-1089.7400000000002
2020-01-28,344.94,292.32,637.26,52.63,30.97,PTTGC,Petro,-1037.1100000000001
2020-01-29,251.62,349.4,601.02,-97.77,32.47,PTTGC,Petro,-1134.88
2020-01-30,187.54,208.04,395.58,-20.5,28.95,PTTGC,Petro,-1155.38
2020-01-31,239.1,305.73,544.84,-66.63,47.21,PTTGC,Petro,-1222.0100000000002
2020-02-03,273.78,362.79,636.56,-89.01,31.25,PTTGC,Petro,-1311.0200000000002
2020-02-04,304.48,434.81,739.29,-130.32,23.99,PTTGC,Petro,-1441.3400000000001
2020-02-05,266.38,454.16,720.54,-187.78,29.6,PTTGC,Petro,-1629.1200000000001
2020-02-06,203.26,373.11,576.36,-169.85,25.39,PTTGC,Petro,-1798.97
2020-02-07,259.11,244.56,503.67,14.55,32.81,PTTGC,Petro,-1784.42
2020-02-11,281.83,201.12,482.95,80.7,29.05,PTTGC,Petro,-1703.72
2020-02-12,314.53,306.45,620.98,8.08,29.43,PTTGC,Petro,-1695.64
2020-02-13,130.23,147.25,277.48,-17.02,34.4,PTTGC,Petro,-1712.66
2020-02-14,201.32,153.21,354.53,48.11,32.56,PTTGC,Petro,-1664.5500000000002
2020-02-17,39.58,48.29,87.87,-8.7,31.84,PTTGC,Petro,-1673.2500000000002
2020-02-18,291.16,416.76,707.92,-125.6,20.93,PTTGC,Petro,-1798.8500000000001
2020-02-19,531.87,235.65,767.52,296.22,36.7,PTTGC,Petro,-1502.63
2020-02-20,232.29,231.48,463.77,0.81,35.25,PTTGC,Petro,-1501.8200000000002
2020-02-21,193.45,232.34,425.79,-38.88,34.08,PTTGC,Petro,-1540.7000000000003
2020-02-24,295.5,312.9,608.4,-17.4,28.03,PTTGC,Petro,-1558.1000000000004
2020-02-25,470.75,501.56,972.31,-30.82,35.81,PTTGC,Petro,-1588.9200000000003
2020-02-26,460.55,534.43,994.98,-73.89,38.86,PTTGC,Petro,-1662.8100000000004
2020-02-27,425.78,398.35,824.13,27.43,37.16,PTTGC,Petro,-1635.3800000000003
