date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,535.12,461.43,996.55,73.68,18.61,PTT,Energy,73.68
2020-01-03,1192.69,1147.94,2340.63,44.76,17.05,PTT,Energy,118.44
2020-01-06,770.53,624.63,1395.16,145.89,16.03,PTT,Energy,264.33
2020-01-07,556.3,369.34,925.63,186.96,16.49,PTT,Energy,451.28999999999996
2020-01-08,708.55,457.98,1166.53,250.57,20.75,PTT,Energy,701.8599999999999
2020-01-09,738.81,372.84,1111.65,365.98,22.7,PTT,Energy,1067.84
2020-01-10,837.48,343.33,1180.82,494.15,25.84,PTT,Energy,1561.9899999999998
2020-01-13,550.13,704.8,1254.93,-154.68,37.36,PTT,Energy,1407.3099999999997
2020-01-14,411.18,423.48,834.66,-12.3,27.33,PTT,Energy,1395.0099999999998
2020-01-15,545.93,1382.41,1928.34,-836.48,38.43,PTT,Energy,558.5299999999997
2020-01-16,394.43,137.73,532.16,256.7,26.24,PTT,Energy,815.2299999999998
2020-01-17,393.72,271.86,665.58,121.85,20.38,PTT,Energy,937.0799999999998
2020-01-20,243.44,172.94,416.38,70.51,22.12,PTT,Energy,1007.5899999999998
2020-01-21,543.31,549.95,1093.26,-6.64,28.24,PTT,Energy,1000.9499999999998
2020-01-22,365.91,520.37,886.28,-154.47,35.04,PTT,Energy,846.4799999999998
2020-01-23,397.94,499.2,897.14,-101.26,22.93,PTT,Energy,745.2199999999998
2020-01-24,341.84,245.95,587.79,95.89,13.25,PTT,Energy,841.1099999999998
2020-01-27,390.35,794.37,1184.72,-404.02,16.43,PTT,Energy,437.0899999999998
2020-01-28,327.69,509.64,837.34,-181.95,18.48,PTT,Energy,255.13999999999982
2020-01-29,758.13,1039.75,1797.88,-281.62,35.0,PTT,Energy,-26.48000000000019
2020-01-30,169.58,239.11,408.69,-69.53,29.75,PTT,Energy,-96.01000000000019
2020-01-31,312.76,396.34,709.1,-83.58,24.1,PTT,Energy,-179.5900000000002
2020-02-03,346.03,497.2,843.23,-151.17,23.78,PTT,Energy,-330.7600000000002
2020-02-04,389.7,494.7,884.39,-105.0,21.45,PTT,Energy,-435.7600000000002
2020-02-05,452.36,634.66,1087.02,-182.3,23.53,PTT,Energy,-618.0600000000002
2020-02-06,539.83,821.06,1360.89,-281.23,26.78,PTT,Energy,-899.2900000000002
2020-02-07,451.03,386.28,837.31,64.74,24.39,PTT,Energy,-834.5500000000002
2020-02-11,456.03,461.46,917.49,-5.42,22.32,PTT,Energy,-839.9700000000001
2020-02-12,594.8,530.89,1125.68,63.91,32.03,PTT,Energy,-776.0600000000002
2020-02-13,272.14,371.05,643.19,-98.91,24.14,PTT,Energy,-874.9700000000001
2020-02-14,181.34,267.73,449.08,-86.39,21.42,PTT,Energy,-961.3600000000001
2020-02-17,120.22,232.16,352.38,-111.94,14.09,PTT,Energy,-1073.3000000000002
2020-02-18,199.05,248.26,447.31,-49.21,26.93,PTT,Energy,-1122.5100000000002
2020-02-19,500.48,886.11,1386.59,-385.62,19.75,PTT,Energy,-1508.13
2020-02-20,260.54,745.6,1006.14,-485.06,19.01,PTT,Energy,-1993.19
2020-02-21,328.4,496.13,824.53,-167.73,20.7,PTT,Energy,-2160.92
2020-02-24,545.08,1026.4,1571.47,-481.32,22.81,PTT,Energy,-2642.2400000000002
2020-02-25,562.58,821.24,1383.82,-258.66,23.63,PTT,Energy,-2900.9
2020-02-26,613.23,1023.83,1637.05,-410.6,21.3,PTT,Energy,-3311.5
2020-02-27,759.92,901.09,1661.01,-141.17,25.07,PTT,Energy,-3452.67
2020-02-28,1061.93,998.31,2060.24,63.62,19.31,PTT,Energy,-3389.05
2020-03-02,1165.77,912.84,2078.62,252.93,19.24,PTT,Energy,-3136.1200000000003
2020-03-03,558.15,1809.88,2368.03,-1251.73,25.66,PTT,Energy,-4387.85
2020-03-04,1938.62,642.56,2581.18,1296.05,34.93,PTT,Energy,-3091.8
2020-03-05,331.88,578.88,910.76,-247.0,21.85,PTT,Energy,-3338.8
2020-03-06,363.06,396.61,759.68,-33.55,13.94,PTT,Energy,-3372.3500000000004
2020-03-09,2356.2,2004.77,4360.97,351.43,11.67,PTT,Energy,-3020.9200000000005
2020-03-10,1429.27,2140.16,3569.43,-710.9,18.97,PTT,Energy,-3731.8200000000006
2020-03-11,1210.5,1406.72,2617.22,-196.21,16.37,PTT,Energy,-3928.0300000000007
2020-03-12,1085.62,1625.91,2711.52,-540.29,19.7,PTT,Energy,-4468.320000000001
2020-03-13,2200.61,1995.76,4196.36,204.85,20.22,PTT,Energy,-4263.47
2020-03-16,945.41,1489.35,2434.76,-543.94,26.68,PTT,Energy,-4807.41
2020-03-17,887.42,1527.03,2414.46,-639.61,23.45,PTT,Energy,-5447.0199999999995
2020-03-18,577.12,783.55,1360.68,-206.43,21.24,PTT,Energy,-5653.45
2020-03-19,1077.67,851.6,1929.28,226.07,24.4,PTT,Energy,-5427.38
2020-03-20,1271.81,1136.28,2408.09,135.53,21.24,PTT,Energy,-5291.85
2020-03-23,793.07,786.66,1579.74,6.41,17.2,PTT,Energy,-5285.4400000000005
2020-03-24,886.55,1147.29,2033.84,-260.74,18.88,PTT,Energy,-5546.18
2020-03-25,1610.12,1413.4,3023.51,196.72,21.69,PTT,Energy,-5349.46
2020-03-26,743.82,967.33,1711.16,-223.51,18.99,PTT,Energy,-5572.97
2020-03-27,914.65,924.29,1838.95,-9.64,20.33,PTT,Energy,-5582.610000000001
2020-03-30,592.48,484.08,1076.56,108.4,19.08,PTT,Energy,-5474.210000000001
2020-03-31,605.1,718.69,1323.79,-113.59,18.97,PTT,Energy,-5587.800000000001
2020-04-01,697.48,735.82,1433.3,-38.34,20.87,PTT,Energy,-5626.140000000001
2020-04-02,1310.19,1476.31,2786.5,-166.12,18.01,PTT,Energy,-5792.260000000001
2020-04-03,1172.38,1937.74,3110.11,-765.36,16.33,PTT,Energy,-6557.620000000001
2020-04-07,2259.16,1929.09,4188.25,330.07,25.64,PTT,Energy,-6227.550000000001
2020-04-08,1468.04,1954.17,3422.21,-486.13,27.33,PTT,Energy,-6713.680000000001
2020-04-09,1504.52,1627.75,3132.27,-123.23,27.5,PTT,Energy,-6836.910000000001
2020-04-10,725.22,751.43,1476.65,-26.21,26.11,PTT,Energy,-6863.120000000001
2020-04-13,626.9,680.43,1307.32,-53.53,28.24,PTT,Energy,-6916.650000000001
2020-04-14,841.84,834.7,1676.54,7.14,29.04,PTT,Energy,-6909.51
2020-04-15,1134.47,1213.01,2347.47,-78.54,36.95,PTT,Energy,-6988.05
2020-04-16,1162.7,1269.9,2432.6,-107.2,27.59,PTT,Energy,-7095.25
2020-04-17,1335.84,1248.25,2584.09,87.59,31.0,PTT,Energy,-7007.66
2020-04-20,644.11,848.0,1492.11,-203.89,24.09,PTT,Energy,-7211.55
2020-04-21,948.61,1263.39,2212.01,-314.78,29.58,PTT,Energy,-7526.33
2020-04-22,1057.73,1162.27,2220.0,-104.54,23.12,PTT,Energy,-7630.87
2020-04-23,1183.45,1038.48,2221.93,144.98,31.98,PTT,Energy,-7485.89
2020-04-24,1083.18,1080.4,2163.58,2.78,25.66,PTT,Energy,-7483.110000000001
2020-04-27,434.67,488.99,923.65,-54.32,25.54,PTT,Energy,-7537.43
2020-04-28,868.19,511.37,1379.56,356.82,23.19,PTT,Energy,-7180.610000000001
2020-04-29,584.51,525.98,1110.49,58.53,23.42,PTT,Energy,-7122.080000000001
2020-04-30,923.62,1116.34,2039.96,-192.72,15.9,PTT,Energy,-7314.800000000001
2020-05-05,1094.36,1100.09,2194.44,-5.73,31.54,PTT,Energy,-7320.530000000001
2020-05-07,631.93,607.51,1239.44,24.43,27.61,PTT,Energy,-7296.1
2020-05-08,689.53,689.34,1378.87,0.19,28.65,PTT,Energy,-7295.910000000001
2020-05-11,496.98,960.67,1457.65,-463.69,23.21,PTT,Energy,-7759.6
2020-05-12,622.08,718.54,1340.62,-96.47,25.82,PTT,Energy,-7856.070000000001
2020-05-13,359.54,447.08,806.62,-87.54,22.68,PTT,Energy,-7943.610000000001
2020-05-14,428.75,622.81,1051.56,-194.07,32.57,PTT,Energy,-8137.68
2020-05-15,723.73,658.19,1381.92,65.54,24.72,PTT,Energy,-8072.14
2020-05-18,796.92,715.44,1512.36,81.48,26.99,PTT,Energy,-7990.660000000001
2020-05-19,1161.84,977.86,2139.7,183.98,27.25,PTT,Energy,-7806.680000000001
2020-05-20,334.17,396.56,730.73,-62.39,21.36,PTT,Energy,-7869.0700000000015
2020-05-21,593.49,544.41,1137.91,49.08,32.24,PTT,Energy,-7819.990000000002
2020-05-22,471.47,548.71,1020.18,-77.25,20.42,PTT,Energy,-7897.240000000002
2020-05-25,254.16,290.17,544.33,-36.01,29.9,PTT,Energy,-7933.250000000002
2020-05-26,466.18,432.48,898.65,33.7,25.47,PTT,Energy,-7899.550000000002
2020-05-27,398.98,522.58,921.56,-123.6,32.52,PTT,Energy,-8023.150000000002
2020-05-28,757.58,643.12,1400.7,114.45,26.01,PTT,Energy,-7908.700000000003
2020-05-29,1051.96,1035.31,2087.27,16.66,31.91,PTT,Energy,-7892.040000000003
2020-06-01,547.22,443.85,991.06,103.37,24.02,PTT,Energy,-7788.670000000003
2020-06-02,589.62,462.25,1051.86,127.37,27.05,PTT,Energy,-7661.300000000003
2020-06-04,930.23,603.09,1533.33,327.14,18.04,PTT,Energy,-7334.160000000003
2020-06-05,1328.36,1032.5,2360.86,295.85,17.38,PTT,Energy,-7038.310000000002
2020-06-08,1214.1,1367.82,2581.92,-153.72,26.12,PTT,Energy,-7192.0300000000025
2020-06-09,1392.86,958.43,2351.28,434.43,25.57,PTT,Energy,-6757.600000000002
2020-06-10,1056.02,802.76,1858.78,253.26,36.01,PTT,Energy,-6504.340000000002
2020-06-11,704.07,544.68,1248.75,159.39,29.25,PTT,Energy,-6344.950000000002
2020-06-12,1245.1,1147.86,2392.96,97.24,34.03,PTT,Energy,-6247.710000000002
2020-06-15,901.96,985.03,1886.99,-83.07,34.78,PTT,Energy,-6330.780000000002
2020-06-16,796.78,751.64,1548.42,45.15,25.99,PTT,Energy,-6285.630000000002
2020-06-17,684.15,1418.24,2102.39,-734.1,36.06,PTT,Energy,-7019.730000000002
2020-06-18,493.75,487.3,981.04,6.45,38.16,PTT,Energy,-7013.2800000000025
2020-06-19,881.33,874.65,1755.98,6.68,47.53,PTT,Energy,-7006.600000000002
2020-06-22,468.97,553.41,1022.38,-84.44,30.53,PTT,Energy,-7091.040000000002
2020-06-23,337.05,414.44,751.49,-77.39,35.99,PTT,Energy,-7168.430000000002
2020-06-24,607.57,613.12,1220.69,-5.55,35.14,PTT,Energy,-7173.980000000002
2020-06-25,433.98,360.13,794.11,73.85,21.5,PTT,Energy,-7100.130000000002
2020-06-26,377.12,396.18,773.3,-19.06,32.19,PTT,Energy,-7119.190000000002
2020-06-29,460.16,608.44,1068.6,-148.28,34.62,PTT,Energy,-7267.470000000002
2020-06-30,332.47,480.56,813.03,-148.09,19.22,PTT,Energy,-7415.560000000002
2020-07-01,622.66,719.3,1341.96,-96.63,34.19,PTT,Energy,-7512.190000000002
2020-07-02,877.2,946.13,1823.33,-68.93,27.1,PTT,Energy,-7581.120000000003
2020-07-03,837.59,635.57,1473.16,202.01,40.86,PTT,Energy,-7379.110000000002
2020-07-07,989.91,897.26,1887.17,92.64,23.74,PTT,Energy,-7286.470000000002
2020-07-08,839.76,957.82,1797.58,-118.06,30.06,PTT,Energy,-7404.5300000000025
2020-07-09,829.37,913.56,1742.92,-84.19,40.5,PTT,Energy,-7488.720000000002
2020-07-10,682.66,606.66,1289.32,76.0,32.57,PTT,Energy,-7412.720000000002
2020-07-13,675.49,594.6,1270.09,80.89,36.78,PTT,Energy,-7331.830000000002
2020-07-14,454.13,319.62,773.76,134.51,31.07,PTT,Energy,-7197.3200000000015
2020-07-15,488.13,750.76,1238.88,-262.63,35.98,PTT,Energy,-7459.950000000002
2020-07-16,487.74,658.93,1146.67,-171.19,39.71,PTT,Energy,-7631.140000000001
2020-07-17,491.12,296.97,788.09,194.16,36.65,PTT,Energy,-7436.980000000001
2020-07-20,437.24,458.51,895.75,-21.27,45.33,PTT,Energy,-7458.250000000002
2020-07-21,985.44,583.18,1568.62,402.26,30.09,PTT,Energy,-7055.990000000002
2020-07-22,743.76,894.64,1638.4,-150.88,31.39,PTT,Energy,-7206.870000000002
2020-07-23,538.05,478.1,1016.15,59.94,34.94,PTT,Energy,-7146.930000000002
2020-07-24,374.65,419.5,794.15,-44.86,23.95,PTT,Energy,-7191.790000000002
2020-07-29,391.22,438.04,829.26,-46.82,36.88,PTT,Energy,-7238.6100000000015
2020-07-30,329.72,432.13,761.85,-102.41,26.08,PTT,Energy,-7341.020000000001
2020-07-31,1272.47,747.13,2019.6,525.34,34.83,PTT,Energy,-6815.680000000001
2020-08-03,531.85,419.73,951.58,112.12,35.17,PTT,Energy,-6703.560000000001
2020-08-04,500.66,854.08,1354.74,-353.41,28.96,PTT,Energy,-7056.970000000001
2020-08-05,764.82,524.66,1289.48,240.16,27.04,PTT,Energy,-6816.810000000001
2020-08-06,377.54,398.53,776.07,-20.99,28.14,PTT,Energy,-6837.800000000001
2020-08-07,629.26,773.82,1403.08,-144.56,31.01,PTT,Energy,-6982.3600000000015
2020-08-10,308.83,235.3,544.13,73.53,30.77,PTT,Energy,-6908.830000000002
2020-08-11,475.2,871.5,1346.7,-396.29,28.85,PTT,Energy,-7305.120000000002
2020-08-13,623.28,446.38,1069.67,176.9,22.78,PTT,Energy,-7128.220000000002
2020-08-14,564.51,662.26,1226.77,-97.75,40.34,PTT,Energy,-7225.970000000002
2020-08-17,140.72,172.05,312.77,-31.33,20.45,PTT,Energy,-7257.300000000002
2020-08-18,324.93,667.26,992.19,-342.33,40.82,PTT,Energy,-7599.630000000002
2020-08-19,691.43,974.25,1665.67,-282.82,39.33,PTT,Energy,-7882.450000000002
2020-08-20,405.47,602.62,1008.1,-197.15,27.13,PTT,Energy,-8079.600000000001
2020-08-21,503.0,478.57,981.58,24.43,37.89,PTT,Energy,-8055.170000000001
2020-08-24,251.08,494.53,745.61,-243.45,25.28,PTT,Energy,-8298.62
2020-08-25,579.04,479.68,1058.73,99.36,34.81,PTT,Energy,-8199.26
2020-08-26,239.07,372.1,611.17,-133.03,25.31,PTT,Energy,-8332.29
2020-08-27,758.36,569.59,1327.95,188.77,26.47,PTT,Energy,-8143.52
2020-08-28,632.66,615.37,1248.03,17.28,27.71,PTT,Energy,-8126.240000000001
2020-08-31,586.24,761.86,1348.09,-175.62,31.38,PTT,Energy,-8301.86
2020-09-01,344.05,365.47,709.51,-21.42,29.56,PTT,Energy,-8323.28
2020-09-02,360.71,432.64,793.35,-71.93,32.53,PTT,Energy,-8395.210000000001
2020-09-03,316.88,506.37,823.25,-189.49,32.81,PTT,Energy,-8584.7
2020-09-08,369.43,219.42,588.85,150.01,21.38,PTT,Energy,-8434.69
2020-09-09,672.9,511.54,1184.44,161.36,32.04,PTT,Energy,-8273.33
2020-09-10,377.57,341.17,718.75,36.4,30.32,PTT,Energy,-8236.93
2020-09-11,238.97,314.77,553.73,-75.8,35.22,PTT,Energy,-8312.73
2020-09-14,311.83,324.56,636.39,-12.73,30.06,PTT,Energy,-8325.46
2020-09-15,456.78,595.93,1052.71,-139.15,33.0,PTT,Energy,-8464.609999999999
2020-09-16,277.66,465.45,743.11,-187.79,26.65,PTT,Energy,-8652.4
2020-09-17,405.6,341.15,746.75,64.45,32.25,PTT,Energy,-8587.949999999999
2020-09-18,1162.54,674.51,1837.05,488.02,46.03,PTT,Energy,-8099.9299999999985
2020-09-21,219.07,410.5,629.57,-191.44,27.52,PTT,Energy,-8291.369999999999
2020-09-22,442.07,524.21,966.28,-82.14,26.31,PTT,Energy,-8373.509999999998
2020-09-23,545.15,333.07,878.22,212.07,24.29,PTT,Energy,-8161.439999999999
2020-09-24,717.16,492.11,1209.26,225.05,28.3,PTT,Energy,-7936.3899999999985
2020-09-25,510.78,517.44,1028.22,-6.67,36.25,PTT,Energy,-7943.059999999999
2020-09-28,273.09,409.03,682.12,-135.94,23.8,PTT,Energy,-8078.999999999998
2020-09-29,299.95,364.53,664.48,-64.58,26.4,PTT,Energy,-8143.579999999998
2020-09-30,553.43,586.16,1139.59,-32.72,29.84,PTT,Energy,-8176.299999999998
2020-10-01,260.46,351.75,612.21,-91.3,26.5,PTT,Energy,-8267.599999999999
2020-10-02,504.33,497.67,1002.0,6.66,33.06,PTT,Energy,-8260.939999999999
2020-10-05,316.15,288.46,604.61,27.68,27.63,PTT,Energy,-8233.259999999998
2020-10-06,506.24,843.56,1349.79,-337.32,30.11,PTT,Energy,-8570.579999999998
2020-10-07,286.01,511.08,797.1,-225.07,27.38,PTT,Energy,-8795.649999999998
2020-10-08,531.9,556.96,1088.86,-25.05,29.44,PTT,Energy,-8820.699999999997
2020-10-09,327.34,436.87,764.21,-109.53,29.49,PTT,Energy,-8930.229999999998
2020-10-12,1298.85,813.1,2111.95,485.74,39.63,PTT,Energy,-8444.489999999998
2020-10-14,742.08,758.35,1500.43,-16.27,36.4,PTT,Energy,-8460.759999999998
2020-10-15,904.79,712.02,1616.8,192.77,39.85,PTT,Energy,-8267.989999999998
2020-10-16,693.05,808.77,1501.81,-115.72,40.1,PTT,Energy,-8383.709999999997
2020-10-19,447.87,297.69,745.56,150.18,30.91,PTT,Energy,-8233.529999999997
2020-10-20,513.97,528.51,1042.48,-14.54,29.86,PTT,Energy,-8248.069999999998
2020-10-21,357.71,339.49,697.19,18.22,21.81,PTT,Energy,-8229.849999999999
2020-10-22,490.96,252.82,743.78,238.14,30.22,PTT,Energy,-7991.709999999998
2020-10-26,487.34,296.58,783.92,190.76,37.46,PTT,Energy,-7800.949999999998
2020-10-27,377.94,326.92,704.86,51.02,23.15,PTT,Energy,-7749.929999999998
2020-10-28,742.55,440.59,1183.14,301.96,35.99,PTT,Energy,-7447.9699999999975
2020-10-29,406.31,272.02,678.34,134.29,20.97,PTT,Energy,-7313.679999999998
2020-10-30,791.87,598.54,1390.4,193.33,39.45,PTT,Energy,-7120.349999999998
2020-11-02,228.2,314.39,542.59,-86.18,28.42,PTT,Energy,-7206.529999999998
2020-11-03,494.35,648.83,1143.18,-154.48,27.08,PTT,Energy,-7361.0099999999975
2020-11-04,220.04,296.76,516.8,-76.72,17.25,PTT,Energy,-7437.729999999998
2020-11-05,515.96,889.69,1405.66,-373.73,25.48,PTT,Energy,-7811.459999999997
2020-11-06,760.84,643.55,1404.39,117.29,34.54,PTT,Energy,-7694.169999999997
2020-11-09,1131.03,816.85,1947.88,314.18,29.85,PTT,Energy,-7379.989999999997
2020-11-10,1703.99,1428.2,3132.19,275.79,23.71,PTT,Energy,-7104.199999999997
2020-11-11,1431.59,1061.75,2493.34,369.84,29.54,PTT,Energy,-6734.359999999997
2020-11-12,1097.23,566.89,1664.12,530.33,22.31,PTT,Energy,-6204.029999999997
2020-11-13,890.72,551.0,1441.73,339.72,26.97,PTT,Energy,-5864.309999999997
2020-11-16,518.57,532.82,1051.39,-14.26,28.65,PTT,Energy,-5878.569999999997
2020-11-17,764.55,557.04,1321.58,207.51,26.4,PTT,Energy,-5671.059999999997
2020-11-18,876.67,500.66,1377.33,376.01,31.22,PTT,Energy,-5295.0499999999965
2020-11-19,763.33,756.38,1519.71,6.94,37.29,PTT,Energy,-5288.109999999997
2020-11-20,837.28,623.32,1460.6,213.97,28.66,PTT,Energy,-5074.139999999997
2020-11-23,1196.16,955.52,2151.68,240.64,19.46,PTT,Energy,-4833.499999999996
2020-11-24,1167.7,1458.58,2626.27,-290.88,19.89,PTT,Energy,-5124.3799999999965
2020-11-25,1553.36,1968.61,3521.98,-415.25,21.43,PTT,Energy,-5539.6299999999965
2020-11-26,422.56,679.85,1102.42,-257.29,15.44,PTT,Energy,-5796.919999999996
2020-11-27,545.58,608.42,1153.99,-62.84,25.37,PTT,Energy,-5859.759999999997
2020-11-30,1843.93,1434.11,3278.04,409.82,37.34,PTT,Energy,-5449.939999999997
2020-12-01,566.73,418.1,984.82,148.63,21.73,PTT,Energy,-5301.309999999997
2020-12-02,795.82,731.04,1526.85,64.78,25.39,PTT,Energy,-5236.529999999997
2020-12-03,1045.96,984.38,2030.34,61.58,25.29,PTT,Energy,-5174.949999999997
2020-12-04,737.38,815.93,1553.31,-78.56,19.61,PTT,Energy,-5253.5099999999975
2020-12-08,1979.54,960.93,2940.47,1018.61,28.97,PTT,Energy,-4234.899999999998
2020-12-09,993.96,603.98,1597.94,389.98,25.52,PTT,Energy,-3844.919999999998
2020-12-14,815.38,816.0,1631.38,-0.62,24.63,PTT,Energy,-3845.5399999999977
2020-12-15,827.82,628.68,1456.49,199.14,26.73,PTT,Energy,-3646.399999999998
2020-12-16,556.63,535.98,1092.61,20.65,24.19,PTT,Energy,-3625.7499999999977
2020-12-17,644.85,333.87,978.72,310.98,32.58,PTT,Energy,-3314.7699999999977
2020-12-18,2603.92,2539.43,5143.35,64.49,43.09,PTT,Energy,-3250.279999999998
2020-12-21,1114.74,1127.46,2242.2,-12.73,25.24,PTT,Energy,-3263.009999999998
2020-12-22,1078.41,2244.4,3322.81,-1165.99,26.45,PTT,Energy,-4428.999999999998
2020-12-23,1854.79,1554.83,3409.62,299.96,34.29,PTT,Energy,-4129.039999999998
2020-12-24,388.66,445.7,834.36,-57.05,22.2,PTT,Energy,-4186.089999999998
2020-12-25,257.98,268.87,526.85,-10.89,19.26,PTT,Energy,-4196.979999999999
2020-12-28,643.63,788.97,1432.6,-145.34,28.02,PTT,Energy,-4342.319999999999
2020-12-29,714.81,436.71,1151.52,278.1,33.52,PTT,Energy,-4064.219999999999
2020-12-30,542.66,582.06,1124.73,-39.4,19.57,PTT,Energy,-4103.619999999999
2021-01-04,699.53,560.27,1259.8,139.25,20.06,PTT,Energy,-3964.369999999999
2021-01-05,804.27,834.74,1639.01,-30.47,25.73,PTT,Energy,-3994.839999999999
2021-01-06,993.94,968.95,1962.9,24.99,25.81,PTT,Energy,-3969.849999999999
2021-01-07,715.92,810.11,1526.03,-94.18,28.3,PTT,Energy,-4064.029999999999
2021-01-08,939.68,920.51,1860.19,19.16,25.99,PTT,Energy,-4044.869999999999
2021-01-11,1185.49,737.36,1922.85,448.13,49.31,PTT,Energy,-3596.739999999999
2021-01-12,1064.56,784.07,1848.63,280.49,21.09,PTT,Energy,-3316.249999999999
2021-01-13,1344.45,1167.01,2511.46,177.44,21.74,PTT,Energy,-3138.809999999999
2021-01-14,1025.17,791.27,1816.44,233.91,30.6,PTT,Energy,-2904.899999999999
2021-01-15,1851.09,1274.56,3125.65,576.53,27.17,PTT,Energy,-2328.369999999999
2021-01-18,1024.97,751.59,1776.56,273.38,25.24,PTT,Energy,-2054.989999999999
2021-01-19,1599.88,1306.27,2906.14,293.61,22.62,PTT,Energy,-1761.3799999999987
2021-01-20,709.88,1075.97,1785.85,-366.08,23.19,PTT,Energy,-2127.4599999999987
2021-01-21,659.75,993.06,1652.81,-333.31,27.3,PTT,Energy,-2460.7699999999986
