date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,55.97,63.71,119.68,-7.74,27.48,RATCH,Energy,-7.74
2020-01-03,50.93,68.35,119.27,-17.42,18.41,RATCH,Energy,-25.160000000000004
2020-01-06,139.59,74.33,213.92,65.25,31.15,RATCH,Energy,40.089999999999996
2020-01-07,66.79,69.52,136.32,-2.73,37.2,RATCH,Energy,37.36
2020-01-08,68.6,102.78,171.38,-34.19,33.67,RATCH,Energy,3.1700000000000017
2020-01-09,100.68,101.11,201.8,-0.43,26.09,RATCH,Energy,2.7400000000000015
2020-01-10,187.68,289.35,477.03,-101.67,25.99,RATCH,Energy,-98.93
2020-01-13,155.67,309.43,465.1,-153.76,25.2,RATCH,Energy,-252.69
2020-01-14,124.28,269.4,393.68,-145.12,26.28,RATCH,Energy,-397.81
2020-01-15,154.8,173.4,328.2,-18.59,23.96,RATCH,Energy,-416.4
2020-01-16,102.88,114.54,217.42,-11.66,24.47,RATCH,Energy,-428.06
2020-01-17,92.31,90.24,182.55,2.07,28.32,RATCH,Energy,-425.99
2020-01-20,97.15,168.09,265.24,-70.94,19.15,RATCH,Energy,-496.93
2020-01-21,131.99,190.43,322.42,-58.44,21.65,RATCH,Energy,-555.37
2020-01-22,104.59,203.12,307.71,-98.53,29.89,RATCH,Energy,-653.9
2020-01-23,121.94,114.55,236.49,7.39,31.36,RATCH,Energy,-646.51
2020-01-24,69.21,45.3,114.51,23.91,34.87,RATCH,Energy,-622.6
2020-01-27,79.87,107.65,187.52,-27.78,35.3,RATCH,Energy,-650.38
2020-01-28,84.67,109.87,194.54,-25.2,27.52,RATCH,Energy,-675.58
2020-01-29,102.94,104.19,207.13,-1.24,30.98,RATCH,Energy,-676.82
2020-01-30,130.78,125.67,256.45,5.11,37.45,RATCH,Energy,-671.71
2020-01-31,149.01,215.24,364.25,-66.23,26.63,RATCH,Energy,-737.94
2020-02-03,158.88,155.6,314.48,3.28,33.88,RATCH,Energy,-734.6600000000001
2020-02-04,106.46,103.69,210.15,2.77,24.47,RATCH,Energy,-731.8900000000001
2020-02-05,71.47,156.03,227.5,-84.56,26.19,RATCH,Energy,-816.45
2020-02-06,82.51,157.61,240.12,-75.1,25.12,RATCH,Energy,-891.5500000000001
2020-02-07,165.55,155.37,320.92,10.18,38.15,RATCH,Energy,-881.3700000000001
2020-02-11,130.44,189.35,319.79,-58.91,31.42,RATCH,Energy,-940.2800000000001
2020-02-12,109.15,141.22,250.37,-32.08,36.88,RATCH,Energy,-972.3600000000001
2020-02-13,20.04,63.87,83.9,-43.83,29.81,RATCH,Energy,-1016.1900000000002
2020-02-14,69.86,166.2,236.06,-96.34,31.68,RATCH,Energy,-1112.5300000000002
2020-02-17,36.23,79.83,116.06,-43.61,22.13,RATCH,Energy,-1156.14
