date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-03,0.25,0.0,0.25,0.25,11.18,RCL,Trans,0.25
2020-01-06,0.0,0.0,0.0,0.0,0.15,RCL,Trans,0.25
2020-01-07,0.04,0.0,0.04,0.04,6.56,RCL,Trans,0.29
2020-01-08,0.34,0.0,0.34,0.34,9.13,RCL,Trans,0.63
2020-01-09,0.0,0.0,0.0,0.0,0.02,RCL,Trans,0.63
2020-01-10,0.09,0.0,0.09,0.09,10.06,RCL,Trans,0.72
2020-01-13,0.03,0.0,0.03,0.03,4.55,RCL,Trans,0.75
2020-01-14,0.07,0.0,0.07,0.07,6.88,RCL,Trans,0.8200000000000001
2020-01-15,0.03,0.03,0.06,0.01,5.74,RCL,Trans,0.8300000000000001
2020-01-16,0.08,0.07,0.15,0.01,11.51,RCL,Trans,0.8400000000000001
2020-01-17,0.03,0.0,0.03,0.03,1.94,RCL,Trans,0.8700000000000001
2020-01-20,0.07,0.0,0.07,0.07,11.65,RCL,Trans,0.9400000000000002
2020-01-21,0.07,0.0,0.07,0.07,11.94,RCL,Trans,1.0100000000000002
2020-01-22,0.23,0.0,0.23,0.23,16.99,RCL,Trans,1.2400000000000002
2020-01-23,0.06,0.0,0.06,0.06,7.77,RCL,Trans,1.3000000000000003
2020-01-27,0.29,0.07,0.36,0.22,15.44,RCL,Trans,1.5200000000000002
2020-01-28,0.27,0.04,0.3,0.23,6.99,RCL,Trans,1.7500000000000002
2020-01-29,0.17,0.03,0.2,0.14,4.78,RCL,Trans,1.8900000000000001
2020-01-30,0.01,0.0,0.01,0.01,0.48,RCL,Trans,1.9000000000000001
2020-01-31,0.22,0.0,0.22,0.22,12.29,RCL,Trans,2.12
2020-02-03,0.06,0.0,0.06,0.06,1.81,RCL,Trans,2.18
2020-02-04,0.0,0.01,0.01,-0.01,2.81,RCL,Trans,2.1700000000000004
2020-02-05,0.0,0.0,0.0,-0.0,0.02,RCL,Trans,2.1700000000000004
2020-02-07,0.04,0.06,0.1,-0.03,6.24,RCL,Trans,2.1400000000000006
2020-02-11,0.03,0.0,0.03,0.03,2.62,RCL,Trans,2.1700000000000004
2020-02-14,0.0,0.0,0.0,-0.0,0.06,RCL,Trans,2.1700000000000004
2020-02-18,0.0,0.0,0.0,0.0,0.12,RCL,Trans,2.1700000000000004
2020-02-19,0.0,0.0,0.0,0.0,0.18,RCL,Trans,2.1700000000000004
2020-02-20,0.0,0.0,0.0,0.0,0.03,RCL,Trans,2.1700000000000004
2020-02-21,0.0,0.0,0.0,0.0,0.19,RCL,Trans,2.1700000000000004
2020-02-24,0.0,0.0,0.0,0.0,0.04,RCL,Trans,2.1700000000000004
2020-02-25,0.11,0.0,0.11,0.11,5.21,RCL,Trans,2.2800000000000002
2020-02-26,0.0,0.0,0.0,-0.0,0.27,RCL,Trans,2.2800000000000002
2020-02-27,0.01,0.0,0.01,0.01,0.54,RCL,Trans,2.29
2020-02-28,0.0,0.0,0.0,0.0,0.01,RCL,Trans,2.29
2020-03-02,0.02,0.02,0.05,-0.0,3.99,RCL,Trans,2.29
2020-03-03,0.02,0.0,0.02,0.02,4.99,RCL,Trans,2.31
2020-03-04,0.12,0.02,0.15,0.1,16.46,RCL,Trans,2.41
2020-03-05,0.0,0.0,0.0,0.0,0.02,RCL,Trans,2.41
2020-03-06,0.18,0.0,0.18,0.18,11.37,RCL,Trans,2.5900000000000003
2020-03-09,0.18,0.0,0.18,0.18,3.35,RCL,Trans,2.7700000000000005
2020-03-10,0.02,0.0,0.03,0.02,0.83,RCL,Trans,2.7900000000000005
2020-03-11,0.01,0.0,0.01,0.01,1.26,RCL,Trans,2.8000000000000003
2020-03-12,0.02,0.07,0.09,-0.04,5.08,RCL,Trans,2.7600000000000002
2020-03-13,0.07,0.04,0.11,0.03,1.99,RCL,Trans,2.79
2020-03-16,0.1,0.0,0.1,0.1,2.16,RCL,Trans,2.89
2020-03-17,0.0,0.0,0.0,0.0,0.14,RCL,Trans,2.89
2020-03-18,0.01,0.0,0.01,0.01,0.42,RCL,Trans,2.9
2020-03-20,0.0,0.0,0.0,0.0,0.12,RCL,Trans,2.9
2020-03-23,0.0,0.0,0.0,0.0,0.07,RCL,Trans,2.9
2020-03-24,0.0,0.0,0.0,0.0,0.11,RCL,Trans,2.9
2020-03-25,0.0,0.0,0.0,0.0,0.13,RCL,Trans,2.9
2020-03-27,0.0,0.01,0.01,-0.01,0.96,RCL,Trans,2.89
2020-03-31,0.02,0.0,0.02,0.02,1.57,RCL,Trans,2.91
2020-04-01,0.09,0.0,0.09,0.09,3.01,RCL,Trans,3.0
2020-04-02,0.01,0.04,0.04,-0.03,0.99,RCL,Trans,2.97
2020-04-03,0.01,0.0,0.01,0.01,0.43,RCL,Trans,2.98
2020-04-07,0.0,0.0,0.0,0.0,0.01,RCL,Trans,2.98
2020-04-08,0.01,0.0,0.01,0.01,0.14,RCL,Trans,2.9899999999999998
2020-04-09,0.02,0.01,0.03,0.01,0.55,RCL,Trans,2.9999999999999996
2020-04-13,0.05,0.12,0.17,-0.07,6.77,RCL,Trans,2.9299999999999997
2020-04-14,0.16,0.05,0.21,0.1,2.85,RCL,Trans,3.03
2020-04-15,0.05,0.15,0.2,-0.1,1.65,RCL,Trans,2.9299999999999997
2020-04-16,0.0,0.0,0.0,-0.0,0.05,RCL,Trans,2.9299999999999997
2020-04-17,0.04,0.01,0.05,0.03,1.87,RCL,Trans,2.9599999999999995
2020-04-20,0.06,0.0,0.06,0.06,2.4,RCL,Trans,3.0199999999999996
2020-04-21,0.04,0.0,0.04,0.04,2.03,RCL,Trans,3.0599999999999996
2020-04-22,0.1,0.09,0.19,0.01,2.65,RCL,Trans,3.0699999999999994
2020-04-23,0.2,0.01,0.21,0.19,2.76,RCL,Trans,3.2599999999999993
2020-04-24,0.0,0.03,0.03,-0.03,0.41,RCL,Trans,3.2299999999999995
2020-04-27,0.0,0.08,0.08,-0.08,3.81,RCL,Trans,3.1499999999999995
2020-04-29,0.0,0.17,0.17,-0.17,4.07,RCL,Trans,2.9799999999999995
2020-04-30,0.0,0.04,0.04,-0.04,2.5,RCL,Trans,2.9399999999999995
2020-05-05,0.01,0.06,0.07,-0.05,2.5,RCL,Trans,2.8899999999999997
2020-05-07,0.0,0.04,0.04,-0.04,3.16,RCL,Trans,2.8499999999999996
2020-05-08,0.02,0.02,0.04,0.01,3.62,RCL,Trans,2.8599999999999994
2020-05-11,0.0,0.03,0.03,-0.03,1.93,RCL,Trans,2.8299999999999996
2020-05-12,0.04,0.04,0.08,-0.0,2.8,RCL,Trans,2.8299999999999996
2020-05-13,0.0,0.04,0.04,-0.04,1.44,RCL,Trans,2.7899999999999996
2020-05-14,0.0,0.06,0.06,-0.06,2.98,RCL,Trans,2.7299999999999995
2020-05-19,0.16,0.08,0.24,0.09,4.55,RCL,Trans,2.8199999999999994
2020-05-20,0.0,0.0,0.0,0.0,0.05,RCL,Trans,2.8199999999999994
2020-05-21,0.0,0.0,0.0,0.0,0.04,RCL,Trans,2.8199999999999994
