date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,53.66,105.83,159.49,-52.17,35.65,SAWAD,Finance,-52.17
2020-01-03,109.93,65.93,175.86,44.01,33.9,SAWAD,Finance,-8.160000000000004
2020-01-06,122.07,68.43,190.49,53.64,32.42,SAWAD,Finance,45.48
2020-01-07,269.04,277.65,546.69,-8.61,32.65,SAWAD,Finance,36.87
2020-01-08,114.97,140.22,255.19,-25.25,32.67,SAWAD,Finance,11.619999999999997
2020-01-09,92.29,110.39,202.68,-18.1,38.11,SAWAD,Finance,-6.480000000000004
2020-01-10,99.07,59.2,158.27,39.87,38.27,SAWAD,Finance,33.38999999999999
2020-01-13,121.29,57.74,179.03,63.55,28.67,SAWAD,Finance,96.94
2020-01-14,143.73,117.82,261.55,25.91,29.76,SAWAD,Finance,122.85
2020-01-15,91.71,94.62,186.33,-2.9,48.41,SAWAD,Finance,119.94999999999999
2020-01-16,102.76,76.51,179.27,26.24,27.42,SAWAD,Finance,146.19
2020-01-17,68.95,68.05,137.0,0.9,22.26,SAWAD,Finance,147.09
2020-01-20,67.53,50.18,117.7,17.35,39.18,SAWAD,Finance,164.44
2020-01-21,118.38,44.35,162.73,74.03,36.7,SAWAD,Finance,238.47
2020-01-22,175.94,177.43,353.37,-1.49,36.01,SAWAD,Finance,236.98
2020-01-23,100.41,143.33,243.74,-42.93,30.44,SAWAD,Finance,194.04999999999998
2020-01-24,55.65,77.06,132.71,-21.41,29.94,SAWAD,Finance,172.64
2020-01-27,80.68,172.17,252.84,-91.49,28.08,SAWAD,Finance,81.14999999999999
2020-01-28,117.2,149.27,266.46,-32.07,23.24,SAWAD,Finance,49.07999999999999
2020-01-29,64.34,94.19,158.53,-29.85,31.26,SAWAD,Finance,19.22999999999999
2020-01-30,70.66,149.57,220.23,-78.91,25.2,SAWAD,Finance,-59.68000000000001
2020-01-31,82.32,144.92,227.24,-62.59,34.22,SAWAD,Finance,-122.27000000000001
2020-02-03,77.89,155.59,233.47,-77.7,30.36,SAWAD,Finance,-199.97000000000003
2020-02-04,157.54,113.42,270.96,44.12,30.05,SAWAD,Finance,-155.85000000000002
2020-02-05,220.14,146.2,366.34,73.93,25.7,SAWAD,Finance,-81.92000000000002
2020-02-06,261.24,193.65,454.89,67.59,26.04,SAWAD,Finance,-14.330000000000013
2020-02-07,143.95,160.48,304.43,-16.54,29.58,SAWAD,Finance,-30.87000000000001
2020-02-11,137.82,111.96,249.79,25.86,55.5,SAWAD,Finance,-5.010000000000012
2020-02-12,143.24,83.05,226.29,60.18,32.81,SAWAD,Finance,55.16999999999999
2020-02-13,87.17,106.82,193.99,-19.65,40.64,SAWAD,Finance,35.51999999999999
2020-02-14,267.61,248.27,515.88,19.34,30.16,SAWAD,Finance,54.859999999999985
2020-02-17,213.22,290.03,503.24,-76.81,21.98,SAWAD,Finance,-21.950000000000017
2020-02-18,227.73,135.41,363.14,92.31,33.5,SAWAD,Finance,70.35999999999999
2020-02-19,467.81,167.97,635.78,299.84,21.18,SAWAD,Finance,370.19999999999993
2020-02-20,337.06,110.52,447.59,226.54,28.39,SAWAD,Finance,596.7399999999999
2020-02-21,176.17,279.38,455.55,-103.21,35.94,SAWAD,Finance,493.5299999999999
2020-02-24,132.89,233.57,366.46,-100.68,36.73,SAWAD,Finance,392.8499999999999
2020-02-25,183.54,341.79,525.33,-158.24,34.0,SAWAD,Finance,234.6099999999999
2020-02-26,192.64,337.42,530.06,-144.78,34.29,SAWAD,Finance,89.8299999999999
2020-02-27,226.31,293.42,519.73,-67.11,33.86,SAWAD,Finance,22.7199999999999
2020-02-28,298.22,240.76,538.98,57.45,37.7,SAWAD,Finance,80.1699999999999
2020-03-02,453.16,291.9,745.06,161.26,35.45,SAWAD,Finance,241.4299999999999
2020-03-03,219.88,266.07,485.95,-46.19,31.56,SAWAD,Finance,195.2399999999999
2020-03-04,146.75,255.91,402.66,-109.16,34.95,SAWAD,Finance,86.0799999999999
2020-03-05,119.9,227.86,347.75,-107.96,25.68,SAWAD,Finance,-21.880000000000095
2020-03-06,151.43,211.0,362.43,-59.57,33.2,SAWAD,Finance,-81.4500000000001
2020-03-09,158.45,174.02,332.47,-15.57,31.44,SAWAD,Finance,-97.0200000000001
2020-03-10,113.56,259.14,372.69,-145.58,38.04,SAWAD,Finance,-242.6000000000001
2020-03-11,134.91,196.13,331.04,-61.22,42.87,SAWAD,Finance,-303.8200000000001
2020-03-12,379.34,172.96,552.3,206.37,34.92,SAWAD,Finance,-97.4500000000001
2020-03-13,418.06,443.99,862.05,-25.93,41.57,SAWAD,Finance,-123.38000000000011
2020-03-16,150.98,172.12,323.09,-21.14,35.0,SAWAD,Finance,-144.5200000000001
2020-03-17,245.87,366.1,611.97,-120.22,47.19,SAWAD,Finance,-264.7400000000001
2020-03-18,178.07,124.38,302.45,53.7,32.78,SAWAD,Finance,-211.04000000000013
2020-03-19,165.17,209.25,374.42,-44.09,34.52,SAWAD,Finance,-255.13000000000014
2020-03-20,204.53,292.43,496.96,-87.9,24.53,SAWAD,Finance,-343.03000000000014
2020-03-23,67.81,128.91,196.72,-61.1,21.27,SAWAD,Finance,-404.13000000000017
2020-03-24,202.72,264.85,467.57,-62.13,30.38,SAWAD,Finance,-466.26000000000016
