date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2022-04-27,277.03,203.86,480.89,73.17,5.34,SCB,Banking,73.17
2022-04-28,972.44,684.74,1657.18,287.7,17.84,SCB,Banking,360.87
2022-04-29,412.01,378.38,790.39,33.63,16.36,SCB,Banking,394.5
2022-05-03,312.83,280.19,593.02,32.64,9.76,SCB,Banking,427.14
2022-05-05,427.11,530.17,957.27,-103.06,26.44,SCB,Banking,324.08
2022-05-06,411.53,342.56,754.09,68.97,17.81,SCB,Banking,393.04999999999995
2022-05-09,403.21,318.11,721.32,85.1,16.2,SCB,Banking,478.15
2022-05-10,720.44,688.76,1409.2,31.69,31.96,SCB,Banking,509.84
2022-05-11,79.75,326.86,406.61,-247.11,16.21,SCB,Banking,262.72999999999996
2022-05-12,457.92,460.52,918.44,-2.61,20.97,SCB,Banking,260.11999999999995
2022-05-13,164.94,242.08,407.01,-77.14,16.55,SCB,Banking,182.97999999999996
2022-05-17,389.7,451.78,841.48,-62.08,20.18,SCB,Banking,120.89999999999996
2022-05-18,527.88,927.31,1455.19,-399.43,32.33,SCB,Banking,-278.53000000000003
2022-05-19,102.7,232.69,335.39,-129.99,18.32,SCB,Banking,-408.52000000000004
2022-05-20,809.21,253.78,1062.99,555.43,21.6,SCB,Banking,146.9099999999999
2022-05-23,437.66,644.21,1081.87,-206.55,28.34,SCB,Banking,-59.6400000000001
2022-05-24,309.87,459.54,769.41,-149.67,20.21,SCB,Banking,-209.3100000000001
2022-05-25,382.0,557.26,939.26,-175.26,25.16,SCB,Banking,-384.57000000000005
2022-05-26,208.72,214.17,422.89,-5.45,26.87,SCB,Banking,-390.02000000000004
2022-05-27,225.74,185.92,411.66,39.82,23.6,SCB,Banking,-350.20000000000005
2022-05-30,266.57,293.7,560.27,-27.13,24.63,SCB,Banking,-377.33000000000004
2022-05-31,472.65,597.42,1070.06,-124.77,26.94,SCB,Banking,-502.1
2022-06-01,116.8,325.32,442.11,-208.52,24.47,SCB,Banking,-710.62
2022-06-02,170.71,139.67,310.38,31.04,16.07,SCB,Banking,-679.58
2022-06-06,146.97,125.85,272.81,21.12,16.69,SCB,Banking,-658.46
2022-06-07,66.1,112.95,179.05,-46.84,16.86,SCB,Banking,-705.3000000000001
2022-06-08,151.35,87.41,238.76,63.93,25.0,SCB,Banking,-641.3700000000001
2022-06-09,865.04,580.19,1445.23,284.85,20.81,SCB,Banking,-356.5200000000001
2022-06-10,103.12,526.08,629.2,-422.96,26.21,SCB,Banking,-779.48
2022-06-13,406.08,997.19,1403.27,-591.12,28.96,SCB,Banking,-1370.6
2022-06-14,276.38,303.36,579.74,-26.98,19.44,SCB,Banking,-1397.58
2022-06-15,332.87,240.53,573.4,92.33,20.0,SCB,Banking,-1305.25
2022-06-16,560.11,712.27,1272.38,-152.16,22.25,SCB,Banking,-1457.41
2022-06-17,735.57,719.0,1454.57,16.57,23.26,SCB,Banking,-1440.8400000000001
2022-06-20,207.04,653.24,860.28,-446.2,16.2,SCB,Banking,-1887.0400000000002
2022-06-21,284.23,193.07,477.31,91.16,18.36,SCB,Banking,-1795.88
2022-06-22,222.73,187.36,410.09,35.37,18.27,SCB,Banking,-1760.5100000000002
2022-06-23,308.81,237.45,546.26,71.37,23.82,SCB,Banking,-1689.1400000000003
2022-06-24,366.35,217.51,583.86,148.84,33.76,SCB,Banking,-1540.3000000000004
2022-06-27,259.67,182.33,442.0,77.34,24.58,SCB,Banking,-1462.9600000000005
2022-06-28,232.53,228.84,461.38,3.69,23.71,SCB,Banking,-1459.2700000000004
2022-06-29,360.13,192.25,552.38,167.88,32.84,SCB,Banking,-1291.3900000000003
2022-06-30,527.72,247.96,775.67,279.76,33.52,SCB,Banking,-1011.6300000000003
2022-07-01,125.22,82.47,207.68,42.75,16.49,SCB,Banking,-968.8800000000003
2022-07-04,93.68,207.22,300.9,-113.54,19.63,SCB,Banking,-1082.4200000000003
2022-07-05,224.99,296.06,521.05,-71.08,23.86,SCB,Banking,-1153.5000000000002
2022-07-06,356.52,241.23,597.75,115.29,20.33,SCB,Banking,-1038.2100000000003
2022-07-07,393.53,363.74,757.27,29.79,18.83,SCB,Banking,-1008.4200000000003
2022-07-08,376.96,238.96,615.92,138.0,18.48,SCB,Banking,-870.4200000000003
2022-07-11,612.56,282.13,894.7,330.43,27.35,SCB,Banking,-539.9900000000002
2022-07-12,350.16,275.76,625.92,74.4,22.13,SCB,Banking,-465.59000000000026
2022-07-14,774.46,1526.78,2301.24,-752.32,24.98,SCB,Banking,-1217.9100000000003
2022-07-15,663.76,564.58,1228.34,99.18,19.69,SCB,Banking,-1118.7300000000002
2022-07-18,603.93,420.39,1024.32,183.54,29.15,SCB,Banking,-935.1900000000003
2022-07-19,689.47,497.91,1187.38,191.56,14.33,SCB,Banking,-743.6300000000003
2022-07-20,1025.7,1049.85,2075.55,-24.15,33.48,SCB,Banking,-767.7800000000003
2022-07-21,1167.14,594.7,1761.84,572.44,18.32,SCB,Banking,-195.34000000000026
2022-07-22,1490.89,881.22,2372.11,609.67,29.54,SCB,Banking,414.3299999999997
2022-07-25,655.99,330.13,986.11,325.86,16.78,SCB,Banking,740.1899999999997
2022-07-26,449.69,265.89,715.59,183.8,21.74,SCB,Banking,923.9899999999998
2022-07-27,307.25,156.1,463.35,151.15,19.85,SCB,Banking,1075.1399999999999
2022-08-01,454.84,612.66,1067.5,-157.82,23.99,SCB,Banking,917.3199999999999
2022-08-02,488.1,185.03,673.13,303.08,22.96,SCB,Banking,1220.3999999999999
2022-08-03,230.11,154.26,384.36,75.85,22.74,SCB,Banking,1296.2499999999998
2022-08-04,174.01,61.39,235.4,112.62,16.95,SCB,Banking,1408.87
2022-08-05,675.06,169.67,844.74,505.39,27.61,SCB,Banking,1914.2599999999998
2022-08-08,916.81,517.2,1434.02,399.61,33.14,SCB,Banking,2313.87
2022-08-09,237.04,792.31,1029.35,-555.28,32.22,SCB,Banking,1758.59
2022-08-10,490.53,720.95,1211.48,-230.42,32.15,SCB,Banking,1528.1699999999998
2022-08-11,1020.4,285.8,1306.2,734.6,37.11,SCB,Banking,2262.77
2022-08-15,822.3,496.08,1318.38,326.22,27.66,SCB,Banking,2588.99
2022-08-16,180.49,324.96,505.45,-144.47,38.28,SCB,Banking,2444.52
2022-08-17,342.68,166.12,508.8,176.56,16.24,SCB,Banking,2621.08
2022-08-18,156.69,249.46,406.15,-92.77,24.22,SCB,Banking,2528.31
2022-08-19,136.08,621.63,757.71,-485.55,21.74,SCB,Banking,2042.76
2022-08-22,294.79,156.67,451.46,138.12,14.18,SCB,Banking,2180.88
2022-08-23,571.92,420.83,992.75,151.09,31.02,SCB,Banking,2331.9700000000003
2022-08-24,637.19,867.7,1504.9,-230.51,32.87,SCB,Banking,2101.46
2022-08-25,684.25,1080.63,1764.88,-396.38,13.57,SCB,Banking,1705.08
2022-08-26,472.64,989.69,1462.33,-517.05,13.35,SCB,Banking,1188.03
2022-08-29,311.12,515.73,826.85,-204.6,20.76,SCB,Banking,983.43
2022-08-30,318.88,418.65,737.53,-99.77,17.41,SCB,Banking,883.66
2022-08-31,466.85,734.48,1201.33,-267.63,28.67,SCB,Banking,616.03
2022-09-01,293.66,577.97,871.63,-284.31,24.09,SCB,Banking,331.71999999999997
2022-09-02,139.37,312.94,452.3,-173.57,25.28,SCB,Banking,158.14999999999998
2022-09-05,615.75,217.39,833.14,398.35,26.48,SCB,Banking,556.5
2022-09-06,527.7,580.65,1108.35,-52.95,26.29,SCB,Banking,503.55
2022-09-07,217.87,522.71,740.58,-304.83,22.85,SCB,Banking,198.72000000000003
2022-09-08,213.34,338.94,552.28,-125.6,16.79,SCB,Banking,73.12000000000003
2022-09-09,297.47,376.03,673.5,-78.56,17.3,SCB,Banking,-5.439999999999969
2022-09-12,337.85,223.6,561.46,114.25,19.73,SCB,Banking,108.81000000000003
2022-09-13,288.12,449.56,737.67,-161.44,23.13,SCB,Banking,-52.62999999999997
2022-09-14,398.07,262.86,660.93,135.22,20.16,SCB,Banking,82.59000000000003
2022-09-15,397.69,1075.38,1473.07,-677.68,29.01,SCB,Banking,-595.0899999999999
2022-09-16,966.01,750.58,1716.59,215.43,34.41,SCB,Banking,-379.6599999999999
2022-09-19,318.5,160.77,479.27,157.73,26.71,SCB,Banking,-221.92999999999992
2022-09-20,227.14,585.91,813.04,-358.77,27.29,SCB,Banking,-580.6999999999999
2022-09-21,144.16,198.27,342.43,-54.11,30.24,SCB,Banking,-634.81
2022-09-22,251.82,241.87,493.68,9.95,22.76,SCB,Banking,-624.8599999999999
2022-09-23,366.31,282.71,649.02,83.6,28.32,SCB,Banking,-541.2599999999999
2022-09-26,210.46,556.99,767.45,-346.53,36.32,SCB,Banking,-887.7899999999998
2022-09-27,182.96,539.97,722.94,-357.01,19.5,SCB,Banking,-1244.7999999999997
2022-09-28,511.05,374.96,886.01,136.09,22.18,SCB,Banking,-1108.7099999999998
2022-09-29,440.24,293.27,733.51,146.98,21.81,SCB,Banking,-961.7299999999998
2022-09-30,286.09,294.27,580.36,-8.18,22.2,SCB,Banking,-969.9099999999997
2022-10-03,196.58,411.91,608.49,-215.32,15.61,SCB,Banking,-1185.2299999999998
2022-10-04,258.46,336.4,594.86,-77.94,22.5,SCB,Banking,-1263.1699999999998
2022-10-05,332.96,164.12,497.08,168.85,24.91,SCB,Banking,-1094.32
2022-10-06,324.61,277.25,601.86,47.37,25.29,SCB,Banking,-1046.95
2022-10-07,147.17,196.03,343.2,-48.86,24.94,SCB,Banking,-1095.81
2022-10-10,52.62,98.34,150.97,-45.72,17.05,SCB,Banking,-1141.53
2022-10-11,55.87,196.28,252.15,-140.41,16.33,SCB,Banking,-1281.94
2022-10-12,108.04,174.35,282.39,-66.31,20.99,SCB,Banking,-1348.25
2022-10-17,260.55,395.73,656.28,-135.17,27.7,SCB,Banking,-1483.42
2022-10-18,289.2,164.49,453.69,124.7,19.02,SCB,Banking,-1358.72
2022-10-19,580.73,143.97,724.7,436.75,26.11,SCB,Banking,-921.97
2022-10-20,514.37,226.27,740.64,288.11,24.2,SCB,Banking,-633.86
2022-10-21,271.66,198.84,470.5,72.82,26.89,SCB,Banking,-561.04
2022-10-25,290.12,191.17,481.29,98.96,26.47,SCB,Banking,-462.08
2022-10-26,126.93,178.31,305.24,-51.38,19.76,SCB,Banking,-513.46
2022-10-27,206.26,93.73,299.99,112.53,21.3,SCB,Banking,-400.93000000000006
2022-10-28,207.7,137.75,345.46,69.95,26.49,SCB,Banking,-330.9800000000001
2022-10-31,184.01,161.59,345.6,22.43,21.44,SCB,Banking,-308.55000000000007
2022-11-01,165.65,113.67,279.32,51.98,17.44,SCB,Banking,-256.57000000000005
2022-11-02,193.6,207.0,400.6,-13.4,27.83,SCB,Banking,-269.97
2022-11-03,145.69,45.4,191.09,100.29,9.18,SCB,Banking,-169.68
2022-11-04,282.67,516.18,798.85,-233.51,42.66,SCB,Banking,-403.19
2022-11-07,480.04,349.48,829.52,130.57,39.95,SCB,Banking,-272.62
2022-11-08,222.39,127.1,349.49,95.28,22.45,SCB,Banking,-177.34
2022-11-09,334.52,279.3,613.82,55.22,25.34,SCB,Banking,-122.12
2022-11-10,300.85,139.68,440.53,161.17,26.19,SCB,Banking,39.04999999999998
2022-11-11,341.7,220.07,561.77,121.64,29.45,SCB,Banking,160.69
2022-11-14,189.79,245.63,435.42,-55.84,22.04,SCB,Banking,104.85
2022-11-15,133.19,60.18,193.36,73.01,23.72,SCB,Banking,177.86
2022-11-16,504.86,268.38,773.24,236.49,33.95,SCB,Banking,414.35
2022-11-17,409.89,272.41,682.3,137.49,36.0,SCB,Banking,551.84
2022-11-18,131.2,142.48,273.68,-11.28,20.64,SCB,Banking,540.5600000000001
2022-11-21,295.45,193.91,489.36,101.54,35.45,SCB,Banking,642.1
2022-11-22,116.04,153.32,269.36,-37.28,19.49,SCB,Banking,604.82
2022-11-23,170.55,193.18,363.72,-22.63,16.49,SCB,Banking,582.19
2022-11-24,91.96,80.9,172.86,11.06,28.2,SCB,Banking,593.25
2022-11-25,113.09,46.89,159.98,66.2,33.89,SCB,Banking,659.45
2022-11-28,179.33,198.8,378.13,-19.46,26.18,SCB,Banking,639.99
