date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,155.39,182.19,337.59,-26.8,43.59,SCC,Conmat,-26.8
2020-01-03,244.28,224.58,468.87,19.7,20.82,SCC,Conmat,-7.100000000000001
2020-01-06,277.29,382.51,659.8,-105.22,24.81,SCC,Conmat,-112.32
2020-01-07,231.17,225.72,456.89,5.45,29.88,SCC,Conmat,-106.86999999999999
2020-01-08,328.35,210.69,539.04,117.67,18.58,SCC,Conmat,10.800000000000011
2020-01-09,320.11,485.36,805.47,-165.24,31.45,SCC,Conmat,-154.44
2020-01-10,141.84,152.84,294.68,-11.0,25.57,SCC,Conmat,-165.44
2020-01-13,266.93,248.68,515.62,18.25,23.91,SCC,Conmat,-147.19
2020-01-14,211.91,127.55,339.46,84.36,32.04,SCC,Conmat,-62.83
2020-01-15,196.07,113.66,309.73,82.4,22.79,SCC,Conmat,19.570000000000007
2020-01-16,372.43,274.35,646.79,98.08,24.92,SCC,Conmat,117.65
2020-01-17,243.86,126.57,370.43,117.29,36.43,SCC,Conmat,234.94
2020-01-20,182.78,131.65,314.42,51.13,31.68,SCC,Conmat,286.07
2020-01-21,227.28,205.59,432.87,21.69,22.2,SCC,Conmat,307.76
2020-01-22,219.94,225.94,445.88,-6.0,20.75,SCC,Conmat,301.76
2020-01-23,211.5,137.58,349.07,73.92,23.77,SCC,Conmat,375.68
2020-01-24,100.57,47.77,148.34,52.8,19.81,SCC,Conmat,428.48
2020-01-27,119.36,332.34,451.7,-212.98,24.21,SCC,Conmat,215.50000000000003
2020-01-28,339.74,362.11,701.85,-22.37,28.68,SCC,Conmat,193.13000000000002
2020-01-29,589.27,472.02,1061.29,117.25,27.79,SCC,Conmat,310.38
2020-01-30,221.12,216.39,437.5,4.73,34.53,SCC,Conmat,315.11
2020-01-31,199.91,464.16,664.07,-264.24,34.45,SCC,Conmat,50.870000000000005
2020-02-03,238.41,461.92,700.33,-223.52,22.14,SCC,Conmat,-172.65
2020-02-04,486.18,305.19,791.37,180.98,18.61,SCC,Conmat,8.329999999999984
2020-02-05,327.0,303.87,630.86,23.13,22.98,SCC,Conmat,31.459999999999983
2020-02-06,454.12,264.94,719.06,189.17,29.98,SCC,Conmat,220.62999999999997
2020-02-07,303.51,214.35,517.86,89.17,42.93,SCC,Conmat,309.79999999999995
2020-02-11,260.47,281.89,542.36,-21.42,28.55,SCC,Conmat,288.37999999999994
2020-02-12,291.52,146.2,437.73,145.32,25.45,SCC,Conmat,433.69999999999993
2020-02-13,188.42,274.91,463.33,-86.49,22.54,SCC,Conmat,347.2099999999999
2020-02-14,113.65,117.45,231.1,-3.81,17.72,SCC,Conmat,343.3999999999999
