date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-10-22,285.18,160.35,445.53,124.83,1.88,SCGP,Packaging,124.83
2020-10-26,427.97,153.17,581.14,274.8,4.1,SCGP,Packaging,399.63
2020-10-27,132.81,301.51,434.32,-168.7,7.76,SCGP,Packaging,230.93
2020-10-28,172.76,325.61,498.36,-152.85,3.71,SCGP,Packaging,78.08000000000001
2020-10-29,151.43,100.87,252.29,50.56,4.59,SCGP,Packaging,128.64000000000001
2020-10-30,350.49,175.4,525.89,175.1,7.74,SCGP,Packaging,303.74
2020-11-02,74.47,84.47,158.94,-9.99,7.32,SCGP,Packaging,293.75
2020-11-03,70.11,89.4,159.5,-19.29,6.23,SCGP,Packaging,274.46
2020-11-04,79.93,93.31,173.24,-13.37,7.12,SCGP,Packaging,261.09
2020-11-05,231.12,258.03,489.15,-26.9,13.44,SCGP,Packaging,234.18999999999997
2020-11-06,161.98,50.49,212.47,111.49,12.26,SCGP,Packaging,345.67999999999995
2020-11-09,88.45,32.68,121.12,55.77,6.17,SCGP,Packaging,401.44999999999993
2020-11-10,224.07,181.94,406.01,42.13,7.15,SCGP,Packaging,443.5799999999999
2020-11-11,42.95,68.42,111.37,-25.47,7.74,SCGP,Packaging,418.1099999999999
2020-11-12,317.8,229.14,546.93,88.66,3.47,SCGP,Packaging,506.76999999999987
2020-11-13,177.61,189.14,366.76,-11.53,6.91,SCGP,Packaging,495.2399999999999
2020-11-16,351.84,373.92,725.76,-22.08,10.23,SCGP,Packaging,473.1599999999999
2020-11-17,139.08,164.02,303.1,-24.94,3.96,SCGP,Packaging,448.2199999999999
2020-11-18,217.81,226.86,444.67,-9.06,8.24,SCGP,Packaging,439.1599999999999
2020-11-19,319.37,112.29,431.66,207.08,16.74,SCGP,Packaging,646.2399999999999
2020-11-20,202.13,117.44,319.57,84.69,10.05,SCGP,Packaging,730.9299999999998
2020-11-23,259.16,151.73,410.89,107.43,8.71,SCGP,Packaging,838.3599999999999
2020-11-24,87.46,294.62,382.08,-207.16,9.84,SCGP,Packaging,631.1999999999999
2020-11-25,55.9,71.75,127.64,-15.85,4.15,SCGP,Packaging,615.3499999999999
2020-11-26,295.66,163.33,458.99,132.32,6.75,SCGP,Packaging,747.6699999999998
2020-11-27,128.62,98.1,226.73,30.52,3.93,SCGP,Packaging,778.1899999999998
2020-11-30,220.07,155.56,375.63,64.51,7.26,SCGP,Packaging,842.6999999999998
2020-12-01,76.57,64.35,140.92,12.22,4.63,SCGP,Packaging,854.9199999999998
2020-12-02,37.07,119.11,156.18,-82.03,4.93,SCGP,Packaging,772.8899999999999
2020-12-03,81.97,13.71,95.68,68.26,5.69,SCGP,Packaging,841.1499999999999
2020-12-04,109.88,54.15,164.04,55.73,4.44,SCGP,Packaging,896.8799999999999
2020-12-08,121.18,110.76,231.94,10.42,5.61,SCGP,Packaging,907.2999999999998
2020-12-09,84.01,128.59,212.61,-44.58,4.45,SCGP,Packaging,862.7199999999998
2020-12-14,244.71,137.77,382.47,106.94,9.79,SCGP,Packaging,969.6599999999999
2020-12-15,133.2,136.63,269.82,-3.43,7.72,SCGP,Packaging,966.2299999999999
2020-12-16,91.72,17.64,109.36,74.07,4.9,SCGP,Packaging,1040.3
2020-12-17,169.13,98.89,268.02,70.24,5.94,SCGP,Packaging,1110.54
2020-12-18,112.5,143.15,255.65,-30.65,8.37,SCGP,Packaging,1079.8899999999999
2020-12-21,78.76,104.56,183.33,-25.8,5.42,SCGP,Packaging,1054.09
2020-12-22,100.74,59.72,160.46,41.01,5.17,SCGP,Packaging,1095.1
2020-12-23,159.62,130.65,290.27,28.96,10.39,SCGP,Packaging,1124.06
2020-12-24,86.33,68.43,154.76,17.9,8.5,SCGP,Packaging,1141.96
2020-12-25,176.29,75.89,252.18,100.41,9.41,SCGP,Packaging,1242.3700000000001
2020-12-28,75.74,56.55,132.3,19.19,4.74,SCGP,Packaging,1261.5600000000002
2020-12-29,120.95,23.24,144.19,97.71,9.58,SCGP,Packaging,1359.2700000000002
2020-12-30,73.85,67.74,141.59,6.1,8.81,SCGP,Packaging,1365.3700000000001
2021-01-04,87.5,65.2,152.7,22.3,10.7,SCGP,Packaging,1387.67
2021-01-05,54.24,75.61,129.84,-21.37,4.12,SCGP,Packaging,1366.3000000000002
2021-01-06,116.49,52.11,168.59,64.38,5.41,SCGP,Packaging,1430.6800000000003
2021-01-07,214.56,151.97,366.53,62.6,4.95,SCGP,Packaging,1493.2800000000002
2021-01-08,156.78,159.78,316.56,-3.0,3.41,SCGP,Packaging,1490.2800000000002
2021-01-11,56.63,75.33,131.96,-18.71,7.19,SCGP,Packaging,1471.5700000000002
2021-01-12,84.59,23.11,107.69,61.48,5.7,SCGP,Packaging,1533.0500000000002
2021-01-13,382.31,137.9,520.21,244.4,13.05,SCGP,Packaging,1777.4500000000003
2021-01-14,207.46,110.36,317.82,97.11,4.98,SCGP,Packaging,1874.5600000000002
2021-01-15,167.8,129.51,297.31,38.28,5.76,SCGP,Packaging,1912.8400000000001
2021-01-18,30.97,47.79,78.76,-16.82,4.42,SCGP,Packaging,1896.0200000000002
2021-01-19,131.88,14.27,146.15,117.61,4.84,SCGP,Packaging,2013.63
2021-01-20,115.24,113.72,228.96,1.51,6.74,SCGP,Packaging,2015.14
2021-01-21,189.68,116.66,306.34,73.02,5.62,SCGP,Packaging,2088.1600000000003
2021-01-22,96.58,60.91,157.49,35.67,6.59,SCGP,Packaging,2123.8300000000004
2021-01-25,91.35,165.5,256.85,-74.15,5.9,SCGP,Packaging,2049.6800000000003
2021-01-26,196.52,186.95,383.47,9.57,4.45,SCGP,Packaging,2059.2500000000005
2021-01-27,56.48,99.69,156.18,-43.21,4.18,SCGP,Packaging,2016.0400000000004
2021-01-28,33.74,60.41,94.16,-26.67,6.1,SCGP,Packaging,1989.3700000000003
2021-01-29,80.28,42.9,123.18,37.39,7.27,SCGP,Packaging,2026.7600000000004
2021-02-01,49.86,60.95,110.81,-11.09,9.38,SCGP,Packaging,2015.6700000000005
2021-02-02,45.87,16.78,62.65,29.1,7.38,SCGP,Packaging,2044.7700000000004
2021-02-03,24.23,11.2,35.42,13.03,7.07,SCGP,Packaging,2057.8000000000006
2021-02-04,173.35,42.37,215.72,130.98,21.0,SCGP,Packaging,2188.7800000000007
2021-02-05,29.0,58.75,87.76,-29.75,14.37,SCGP,Packaging,2159.0300000000007
2021-02-08,122.42,78.79,201.21,43.63,11.81,SCGP,Packaging,2202.6600000000008
2021-02-09,187.54,116.33,303.87,71.22,6.86,SCGP,Packaging,2273.8800000000006
2021-02-10,62.92,13.68,76.6,49.25,3.75,SCGP,Packaging,2323.1300000000006
2021-02-11,51.94,39.51,91.45,12.43,8.28,SCGP,Packaging,2335.5600000000004
2021-02-15,100.28,123.46,223.74,-23.18,4.2,SCGP,Packaging,2312.3800000000006
2021-02-16,74.59,99.59,174.18,-25.0,7.46,SCGP,Packaging,2287.3800000000006
2021-02-17,74.35,52.77,127.12,21.58,10.26,SCGP,Packaging,2308.9600000000005
2021-02-18,85.66,100.75,186.41,-15.09,17.57,SCGP,Packaging,2293.8700000000003
2021-02-19,95.8,85.0,180.8,10.8,9.9,SCGP,Packaging,2304.6700000000005
2021-02-22,144.04,105.65,249.69,38.4,15.38,SCGP,Packaging,2343.0700000000006
2021-02-23,99.35,61.43,160.78,37.93,9.95,SCGP,Packaging,2381.0000000000005
2021-02-24,181.9,152.44,334.34,29.46,7.17,SCGP,Packaging,2410.4600000000005
2021-02-25,164.16,98.97,263.13,65.18,19.97,SCGP,Packaging,2475.6400000000003
2021-03-01,50.09,130.04,180.12,-79.95,19.35,SCGP,Packaging,2395.6900000000005
2021-03-02,43.3,134.16,177.45,-90.86,21.48,SCGP,Packaging,2304.8300000000004
2021-03-03,323.17,204.45,527.62,118.72,23.73,SCGP,Packaging,2423.55
