date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,6.77,5.11,11.88,1.66,11.85,SIRI,Property,1.66
2020-01-03,2.08,3.21,5.29,-1.13,9.38,SIRI,Property,0.53
2020-01-06,7.4,3.66,11.05,3.74,14.8,SIRI,Property,4.2700000000000005
2020-01-07,4.34,0.49,4.83,3.85,14.03,SIRI,Property,8.120000000000001
2020-01-08,3.18,2.29,5.47,0.88,7.63,SIRI,Property,9.000000000000002
2020-01-09,3.28,1.32,4.61,1.96,7.42,SIRI,Property,10.96
2020-01-10,4.49,0.47,4.96,4.02,11.93,SIRI,Property,14.98
2020-01-13,5.0,0.42,5.42,4.58,6.74,SIRI,Property,19.560000000000002
2020-01-14,5.36,2.24,7.6,3.12,6.29,SIRI,Property,22.680000000000003
2020-01-15,4.18,3.4,7.58,0.78,13.01,SIRI,Property,23.460000000000004
2020-01-16,10.13,1.38,11.51,8.75,14.73,SIRI,Property,32.21000000000001
2020-01-17,15.85,1.13,16.98,14.71,17.35,SIRI,Property,46.92000000000001
2020-01-20,7.65,1.35,9.0,6.3,12.76,SIRI,Property,53.220000000000006
2020-01-21,4.87,5.05,9.93,-0.18,18.62,SIRI,Property,53.040000000000006
2020-01-22,4.89,5.35,10.24,-0.46,28.04,SIRI,Property,52.580000000000005
2020-01-23,3.84,3.73,7.56,0.11,18.17,SIRI,Property,52.690000000000005
2020-01-24,0.38,0.84,1.22,-0.47,19.69,SIRI,Property,52.220000000000006
2020-01-27,1.93,5.74,7.67,-3.81,12.78,SIRI,Property,48.410000000000004
2020-01-28,0.52,2.74,3.26,-2.22,12.08,SIRI,Property,46.190000000000005
2020-01-29,0.36,2.33,2.69,-1.97,12.87,SIRI,Property,44.220000000000006
2020-01-30,1.15,1.72,2.87,-0.57,24.45,SIRI,Property,43.650000000000006
2020-01-31,0.4,3.09,3.49,-2.69,17.81,SIRI,Property,40.96000000000001
2020-02-03,0.92,4.82,5.74,-3.9,18.91,SIRI,Property,37.06000000000001
2020-02-04,0.65,2.23,2.88,-1.58,13.61,SIRI,Property,35.48000000000001
2020-02-05,2.75,3.23,5.98,-0.49,18.1,SIRI,Property,34.99000000000001
2020-02-06,5.71,4.03,9.74,1.67,7.63,SIRI,Property,36.66000000000001
2020-02-07,1.61,1.22,2.83,0.39,11.62,SIRI,Property,37.05000000000001
2020-02-11,2.65,2.27,4.92,0.38,14.56,SIRI,Property,37.430000000000014
2020-02-12,0.82,0.91,1.74,-0.09,7.4,SIRI,Property,37.34000000000001
2020-02-13,1.67,0.6,2.27,1.07,9.96,SIRI,Property,38.41000000000001
2020-02-14,2.78,4.99,7.77,-2.21,20.7,SIRI,Property,36.20000000000001
2020-02-17,2.28,7.15,9.43,-4.86,26.54,SIRI,Property,31.34000000000001
2020-02-18,0.71,5.63,6.34,-4.91,24.61,SIRI,Property,26.43000000000001
2020-02-19,1.18,5.93,7.11,-4.75,31.63,SIRI,Property,21.68000000000001
2020-02-20,0.69,6.34,7.03,-5.64,24.3,SIRI,Property,16.04000000000001
2020-02-21,15.86,7.14,23.0,8.72,41.22,SIRI,Property,24.760000000000012
2020-02-24,16.05,12.3,28.35,3.75,33.02,SIRI,Property,28.510000000000012
2020-02-25,2.96,10.48,13.44,-7.52,20.18,SIRI,Property,20.990000000000013
2020-02-26,4.14,12.11,16.25,-7.96,12.34,SIRI,Property,13.030000000000012
2020-02-27,6.61,6.3,12.9,0.31,6.4,SIRI,Property,13.340000000000012
2020-02-28,5.89,7.0,12.89,-1.11,6.47,SIRI,Property,12.230000000000013
2020-03-02,3.82,8.4,12.22,-4.58,9.16,SIRI,Property,7.650000000000013
2020-03-03,2.54,6.03,8.56,-3.49,8.37,SIRI,Property,4.160000000000013
2020-03-04,2.34,5.82,8.16,-3.48,14.02,SIRI,Property,0.6800000000000126
2020-03-05,8.42,5.89,14.31,2.53,14.44,SIRI,Property,3.2100000000000124
2020-03-06,1.33,3.43,4.76,-2.1,8.61,SIRI,Property,1.1100000000000123
2020-03-09,7.44,6.23,13.67,1.2,14.03,SIRI,Property,2.310000000000012
2020-03-10,1.03,5.62,6.64,-4.59,9.99,SIRI,Property,-2.279999999999988
2020-03-11,0.87,4.46,5.33,-3.59,9.68,SIRI,Property,-5.869999999999988
2020-03-12,5.35,24.09,29.43,-18.74,15.43,SIRI,Property,-24.609999999999985
2020-03-13,15.01,6.59,21.6,8.42,14.35,SIRI,Property,-16.189999999999984
2020-03-16,8.11,8.53,16.64,-0.42,20.37,SIRI,Property,-16.609999999999985
2020-03-17,8.52,3.89,12.42,4.63,12.55,SIRI,Property,-11.979999999999986
2020-03-18,7.62,4.78,12.4,2.84,21.39,SIRI,Property,-9.139999999999986
2020-03-19,7.55,3.53,11.08,4.01,21.74,SIRI,Property,-5.129999999999987
2020-03-20,21.01,14.47,35.48,6.53,21.18,SIRI,Property,1.4000000000000137
2020-03-23,3.3,2.68,5.98,0.62,9.12,SIRI,Property,2.020000000000014
2020-03-24,5.38,5.42,10.8,-0.04,11.79,SIRI,Property,1.9800000000000137
2020-03-25,4.06,2.33,6.39,1.73,7.5,SIRI,Property,3.7100000000000137
