date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,0.04,0.21,0.25,-0.17,2.8,SJWD,Trans,-0.17
2020-01-03,0.33,0.26,0.59,0.06,4.29,SJWD,Trans,-0.11000000000000001
2020-01-06,0.07,0.18,0.25,-0.11,1.38,SJWD,Trans,-0.22000000000000003
2020-01-07,0.02,0.35,0.37,-0.33,10.56,SJWD,Trans,-0.55
2020-01-08,0.41,0.1,0.51,0.31,4.37,SJWD,Trans,-0.24000000000000005
2020-01-09,3.94,1.26,5.2,2.68,19.96,SJWD,Trans,2.44
2020-01-10,1.19,0.6,1.79,0.59,11.59,SJWD,Trans,3.03
2020-01-13,0.05,0.21,0.26,-0.16,6.27,SJWD,Trans,2.8699999999999997
2020-01-14,0.3,0.64,0.94,-0.34,17.9,SJWD,Trans,2.53
2020-01-15,0.0,0.18,0.18,-0.18,5.94,SJWD,Trans,2.3499999999999996
2020-01-16,0.89,0.61,1.5,0.28,13.04,SJWD,Trans,2.63
2020-01-17,0.05,0.14,0.19,-0.09,8.56,SJWD,Trans,2.54
2020-01-20,0.02,0.76,0.78,-0.75,11.28,SJWD,Trans,1.79
2020-01-21,0.03,1.08,1.11,-1.05,18.43,SJWD,Trans,0.74
2020-01-22,0.26,1.08,1.34,-0.82,21.25,SJWD,Trans,-0.07999999999999996
2020-01-23,0.0,0.44,0.44,-0.44,18.93,SJWD,Trans,-0.52
2020-01-24,0.0,0.22,0.22,-0.22,7.07,SJWD,Trans,-0.74
2020-01-27,0.37,1.32,1.69,-0.95,13.22,SJWD,Trans,-1.69
2020-01-28,0.02,0.66,0.68,-0.64,21.7,SJWD,Trans,-2.33
2020-01-29,0.0,0.18,0.18,-0.18,8.29,SJWD,Trans,-2.5100000000000002
2020-01-30,0.01,0.47,0.48,-0.46,20.75,SJWD,Trans,-2.97
2020-01-31,0.0,0.29,0.29,-0.28,8.62,SJWD,Trans,-3.25
2020-02-03,0.0,0.6,0.6,-0.6,7.08,SJWD,Trans,-3.85
2020-02-04,0.12,0.78,0.9,-0.67,12.55,SJWD,Trans,-4.5200000000000005
2020-02-05,1.89,0.86,2.75,1.03,20.51,SJWD,Trans,-3.49
2020-02-06,0.28,0.65,0.93,-0.37,4.78,SJWD,Trans,-3.8600000000000003
2020-02-07,0.37,0.32,0.7,0.05,11.12,SJWD,Trans,-3.8100000000000005
2020-02-11,0.15,0.47,0.61,-0.32,9.8,SJWD,Trans,-4.130000000000001
2020-02-12,0.23,0.4,0.62,-0.17,4.66,SJWD,Trans,-4.300000000000001
2020-02-13,0.11,0.0,0.11,0.11,0.92,SJWD,Trans,-4.19
2020-02-14,0.29,0.57,0.87,-0.28,4.09,SJWD,Trans,-4.470000000000001
2020-02-17,0.01,0.19,0.2,-0.19,4.99,SJWD,Trans,-4.660000000000001
2020-02-18,0.17,0.17,0.34,0.01,7.52,SJWD,Trans,-4.650000000000001
2020-02-19,0.0,0.76,0.77,-0.76,4.34,SJWD,Trans,-5.410000000000001
2020-02-20,0.0,0.21,0.21,-0.21,4.44,SJWD,Trans,-5.620000000000001
2020-02-21,4.07,0.79,4.86,3.28,22.52,SJWD,Trans,-2.340000000000001
2020-02-24,0.21,1.32,1.52,-1.11,6.09,SJWD,Trans,-3.450000000000001
2020-02-25,0.27,0.95,1.21,-0.68,13.06,SJWD,Trans,-4.130000000000001
2020-02-26,0.25,1.84,2.09,-1.59,10.76,SJWD,Trans,-5.720000000000001
2020-02-27,0.5,0.31,0.82,0.19,7.29,SJWD,Trans,-5.53
2020-02-28,0.06,0.05,0.1,0.01,1.78,SJWD,Trans,-5.5200000000000005
2020-03-02,0.16,0.33,0.49,-0.18,10.78,SJWD,Trans,-5.7
2020-03-03,0.01,0.54,0.55,-0.53,7.03,SJWD,Trans,-6.23
2020-03-04,0.69,0.34,1.03,0.34,6.23,SJWD,Trans,-5.890000000000001
2020-03-05,0.39,0.13,0.52,0.26,3.29,SJWD,Trans,-5.630000000000001
2020-03-06,0.51,0.01,0.52,0.49,9.1,SJWD,Trans,-5.140000000000001
2020-03-09,0.48,0.09,0.57,0.39,4.94,SJWD,Trans,-4.750000000000001
2020-03-10,0.02,0.15,0.17,-0.13,3.02,SJWD,Trans,-4.880000000000001
2020-03-11,0.27,0.38,0.65,-0.1,12.25,SJWD,Trans,-4.98
2020-03-12,0.55,0.65,1.19,-0.1,5.28,SJWD,Trans,-5.08
2020-03-13,0.4,0.04,0.44,0.36,3.57,SJWD,Trans,-4.72
2020-03-16,0.2,0.53,0.74,-0.33,8.12,SJWD,Trans,-5.05
2020-03-17,0.03,0.02,0.05,0.01,2.57,SJWD,Trans,-5.04
2020-03-18,0.87,0.37,1.23,0.5,20.89,SJWD,Trans,-4.54
2020-03-19,0.47,0.15,0.62,0.32,16.62,SJWD,Trans,-4.22
2020-03-20,0.38,0.25,0.63,0.12,9.5,SJWD,Trans,-4.1
2020-03-23,0.57,0.15,0.73,0.42,5.69,SJWD,Trans,-3.6799999999999997
2020-03-24,0.03,0.38,0.41,-0.35,8.86,SJWD,Trans,-4.029999999999999
2020-03-25,0.1,0.17,0.27,-0.08,7.11,SJWD,Trans,-4.109999999999999
2020-03-26,0.43,0.02,0.46,0.41,4.79,SJWD,Trans,-3.6999999999999993
2020-03-27,1.41,0.11,1.52,1.3,7.83,SJWD,Trans,-2.3999999999999995
2020-03-30,0.02,0.07,0.09,-0.05,8.48,SJWD,Trans,-2.4499999999999993
2020-03-31,0.3,0.01,0.31,0.29,5.74,SJWD,Trans,-2.1599999999999993
2020-04-01,0.37,0.18,0.55,0.2,3.37,SJWD,Trans,-1.9599999999999993
2020-04-02,0.29,0.31,0.6,-0.02,2.22,SJWD,Trans,-1.9799999999999993
2020-04-03,0.52,0.54,1.07,-0.02,7.15,SJWD,Trans,-1.9999999999999993
2020-04-07,2.55,0.06,2.61,2.49,11.79,SJWD,Trans,0.4900000000000009
2020-04-08,0.85,0.01,0.86,0.84,6.82,SJWD,Trans,1.330000000000001
2020-04-09,0.26,0.48,0.75,-0.22,5.4,SJWD,Trans,1.110000000000001
2020-04-10,0.1,0.14,0.24,-0.04,4.2,SJWD,Trans,1.070000000000001
2020-04-13,0.02,0.11,0.13,-0.09,6.38,SJWD,Trans,0.980000000000001
2020-04-14,0.73,0.32,1.06,0.41,5.95,SJWD,Trans,1.390000000000001
2020-04-15,0.97,0.4,1.37,0.58,7.58,SJWD,Trans,1.970000000000001
2020-04-16,0.07,0.09,0.15,-0.02,1.79,SJWD,Trans,1.950000000000001
2020-04-17,0.11,0.04,0.16,0.07,3.39,SJWD,Trans,2.020000000000001
2020-04-20,0.42,0.14,0.56,0.28,5.43,SJWD,Trans,2.3000000000000007
2020-04-21,0.28,0.04,0.32,0.23,2.5,SJWD,Trans,2.5300000000000007
2020-04-22,6.07,0.46,6.53,5.61,16.57,SJWD,Trans,8.14
2020-04-23,0.64,3.52,4.16,-2.89,9.4,SJWD,Trans,5.25
2020-04-24,0.1,1.02,1.12,-0.92,11.15,SJWD,Trans,4.33
2020-04-27,0.02,0.54,0.57,-0.52,9.99,SJWD,Trans,3.81
2020-04-28,0.12,0.07,0.19,0.06,1.47,SJWD,Trans,3.87
2020-04-29,1.56,0.0,1.56,1.56,8.46,SJWD,Trans,5.43
2020-04-30,0.67,0.36,1.03,0.31,6.68,SJWD,Trans,5.739999999999999
2020-05-05,0.85,0.08,0.94,0.77,2.28,SJWD,Trans,6.51
2020-05-07,2.8,0.31,3.11,2.5,5.27,SJWD,Trans,9.01
2020-05-08,0.81,0.0,0.81,0.81,9.1,SJWD,Trans,9.82
2020-05-11,0.1,0.24,0.34,-0.13,7.13,SJWD,Trans,9.69
2020-05-12,0.52,0.56,1.08,-0.03,5.39,SJWD,Trans,9.66
2020-05-13,0.06,0.17,0.23,-0.1,3.76,SJWD,Trans,9.56
2020-05-14,0.27,1.12,1.39,-0.84,2.35,SJWD,Trans,8.72
2020-05-15,0.34,2.01,2.36,-1.67,3.71,SJWD,Trans,7.050000000000001
2020-05-18,0.37,0.05,0.42,0.32,3.13,SJWD,Trans,7.370000000000001
2020-05-19,1.22,0.04,1.26,1.17,3.79,SJWD,Trans,8.540000000000001
2020-05-20,1.66,0.02,1.68,1.63,4.15,SJWD,Trans,10.170000000000002
2020-05-21,1.36,0.54,1.9,0.82,3.17,SJWD,Trans,10.990000000000002
2020-05-22,0.38,0.25,0.64,0.13,4.13,SJWD,Trans,11.120000000000003
2020-05-25,0.18,0.05,0.23,0.13,2.5,SJWD,Trans,11.250000000000004
2020-05-26,1.48,0.01,1.49,1.47,5.38,SJWD,Trans,12.720000000000004
2020-05-27,0.29,0.65,0.94,-0.36,4.86,SJWD,Trans,12.360000000000005
2020-05-28,7.14,8.67,15.82,-1.53,8.6,SJWD,Trans,10.830000000000005
2020-05-29,0.28,2.12,2.41,-1.84,4.47,SJWD,Trans,8.990000000000006
2020-06-01,2.32,3.52,5.84,-1.2,7.45,SJWD,Trans,7.790000000000005
2020-06-02,0.77,0.16,0.94,0.61,2.61,SJWD,Trans,8.400000000000006
2020-06-04,0.57,0.47,1.04,0.09,3.37,SJWD,Trans,8.490000000000006
2020-06-05,0.46,0.24,0.7,0.22,5.4,SJWD,Trans,8.710000000000006
2020-06-08,18.11,7.73,25.84,10.38,12.11,SJWD,Trans,19.090000000000007
2020-06-09,1.22,5.73,6.95,-4.51,9.22,SJWD,Trans,14.580000000000007
2020-06-10,0.48,1.38,1.86,-0.9,10.29,SJWD,Trans,13.680000000000007
2020-06-11,0.82,2.15,2.97,-1.34,10.41,SJWD,Trans,12.340000000000007
2020-06-12,0.59,0.32,0.91,0.26,5.96,SJWD,Trans,12.600000000000007
2020-06-15,0.57,0.99,1.56,-0.42,8.86,SJWD,Trans,12.180000000000007
2020-06-16,0.03,1.09,1.11,-1.06,9.24,SJWD,Trans,11.120000000000006
2020-06-17,0.3,0.32,0.62,-0.02,6.36,SJWD,Trans,11.100000000000007
2020-06-18,0.49,0.63,1.12,-0.14,5.5,SJWD,Trans,10.960000000000006
2020-06-19,0.1,0.94,1.04,-0.85,7.36,SJWD,Trans,10.110000000000007
