date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,124.36,104.39,228.75,19.97,18.69,SPALI,Property,19.97
2020-01-03,28.5,71.63,100.13,-43.14,22.36,SPALI,Property,-23.17
2020-01-06,29.52,32.48,61.99,-2.96,18.69,SPALI,Property,-26.130000000000003
2020-01-07,33.81,79.32,113.13,-45.51,24.06,SPALI,Property,-71.64
2020-01-08,21.83,40.11,61.93,-18.28,18.3,SPALI,Property,-89.92
2020-01-09,11.75,24.83,36.58,-13.08,18.69,SPALI,Property,-103.0
2020-01-10,21.46,60.25,81.7,-38.79,22.95,SPALI,Property,-141.79
2020-01-13,23.05,40.14,63.19,-17.09,17.59,SPALI,Property,-158.88
2020-01-14,23.04,54.56,77.6,-31.52,15.64,SPALI,Property,-190.4
2020-01-15,40.83,25.45,66.29,15.38,22.59,SPALI,Property,-175.02
2020-01-16,39.07,17.67,56.74,21.4,29.6,SPALI,Property,-153.62
2020-01-17,19.43,16.32,35.75,3.1,15.37,SPALI,Property,-150.52
2020-01-20,22.8,26.08,48.88,-3.28,13.17,SPALI,Property,-153.8
2020-01-21,134.72,37.21,171.93,97.51,28.02,SPALI,Property,-56.290000000000006
2020-01-22,100.82,23.82,124.64,77.0,24.87,SPALI,Property,20.709999999999994
2020-01-23,151.93,29.64,181.57,122.3,28.61,SPALI,Property,143.01
2020-01-24,2.55,19.48,22.03,-16.92,16.86,SPALI,Property,126.08999999999999
2020-01-27,13.04,25.07,38.11,-12.03,14.53,SPALI,Property,114.05999999999999
2020-01-28,7.48,19.16,26.64,-11.68,18.03,SPALI,Property,102.38
2020-01-29,10.23,17.99,28.22,-7.77,21.28,SPALI,Property,94.61
2020-01-30,29.02,25.21,54.24,3.81,14.54,SPALI,Property,98.42
2020-01-31,11.68,55.17,66.85,-43.49,26.66,SPALI,Property,54.93
2020-02-03,4.23,19.18,23.41,-14.95,15.17,SPALI,Property,39.980000000000004
2020-02-04,8.17,20.86,29.03,-12.68,11.79,SPALI,Property,27.300000000000004
2020-02-05,11.95,35.73,47.68,-23.77,21.55,SPALI,Property,3.5300000000000047
2020-02-06,15.24,17.59,32.83,-2.34,16.4,SPALI,Property,1.1900000000000048
2020-02-07,8.04,5.61,13.65,2.43,15.87,SPALI,Property,3.620000000000005
2020-02-11,4.91,19.15,24.07,-14.24,27.91,SPALI,Property,-10.619999999999996
2020-02-12,15.48,6.47,21.95,9.0,30.52,SPALI,Property,-1.6199999999999957
2020-02-13,14.1,29.1,43.2,-14.99,28.65,SPALI,Property,-16.609999999999996
2020-02-14,7.81,40.07,47.88,-32.27,12.7,SPALI,Property,-48.879999999999995
2020-02-17,11.09,7.67,18.76,3.41,9.18,SPALI,Property,-45.47
2020-02-18,4.97,7.7,12.67,-2.73,11.81,SPALI,Property,-48.199999999999996
2020-02-19,17.72,27.91,45.63,-10.19,15.23,SPALI,Property,-58.38999999999999
2020-02-20,6.86,16.74,23.6,-9.88,27.52,SPALI,Property,-68.27
2020-02-21,11.07,7.87,18.94,3.2,19.81,SPALI,Property,-65.07
2020-02-24,11.92,20.77,32.7,-8.85,11.51,SPALI,Property,-73.91999999999999
2020-02-25,6.89,28.77,35.66,-21.88,18.8,SPALI,Property,-95.79999999999998
2020-02-26,9.92,60.06,69.98,-50.14,20.21,SPALI,Property,-145.94
2020-02-27,6.66,21.72,28.38,-15.05,31.33,SPALI,Property,-160.99
2020-02-28,10.73,40.28,51.0,-29.55,15.05,SPALI,Property,-190.54000000000002
2020-03-02,13.61,29.66,43.27,-16.04,14.28,SPALI,Property,-206.58
2020-03-03,12.76,26.3,39.06,-13.54,17.84,SPALI,Property,-220.12
2020-03-04,34.74,22.82,57.56,11.92,22.4,SPALI,Property,-208.20000000000002
2020-03-05,49.13,29.19,78.32,19.93,17.27,SPALI,Property,-188.27
2020-03-06,15.63,13.88,29.51,1.75,11.88,SPALI,Property,-186.52
2020-03-09,11.56,49.06,60.61,-37.5,24.86,SPALI,Property,-224.02
2020-03-10,29.41,40.9,70.3,-11.49,38.33,SPALI,Property,-235.51000000000002
2020-03-11,14.59,12.9,27.49,1.7,15.37,SPALI,Property,-233.81000000000003
2020-03-12,20.76,83.4,104.16,-62.64,14.37,SPALI,Property,-296.45000000000005
2020-03-13,46.62,25.86,72.48,20.75,12.06,SPALI,Property,-275.70000000000005
2020-03-16,9.85,36.36,46.22,-26.51,27.9,SPALI,Property,-302.21000000000004
2020-03-17,7.38,42.27,49.65,-34.88,33.0,SPALI,Property,-337.09000000000003
2020-03-18,24.95,26.06,51.0,-1.11,28.18,SPALI,Property,-338.20000000000005
2020-03-19,13.21,25.16,38.37,-11.95,22.05,SPALI,Property,-350.15000000000003
2020-03-20,29.19,11.83,41.02,17.36,19.66,SPALI,Property,-332.79
2020-03-23,25.11,11.45,36.56,13.66,15.78,SPALI,Property,-319.13
2020-03-24,17.73,15.98,33.72,1.75,17.43,SPALI,Property,-317.38
2020-03-25,24.44,17.9,42.33,6.54,11.94,SPALI,Property,-310.84
2020-03-26,11.33,10.33,21.65,1.0,31.61,SPALI,Property,-309.84
2020-03-27,18.79,15.21,34.0,3.59,8.53,SPALI,Property,-306.25
2020-03-30,20.82,4.23,25.05,16.58,28.2,SPALI,Property,-289.67
2020-03-31,20.71,20.41,41.12,0.3,22.51,SPALI,Property,-289.37
2020-04-01,13.22,13.31,26.53,-0.09,10.35,SPALI,Property,-289.46
2020-04-02,5.01,3.29,8.3,1.72,11.97,SPALI,Property,-287.73999999999995
2020-04-03,16.05,3.86,19.91,12.19,12.48,SPALI,Property,-275.54999999999995
2020-04-07,29.4,16.68,46.08,12.72,16.66,SPALI,Property,-262.8299999999999
2020-04-08,29.2,12.85,42.04,16.35,18.72,SPALI,Property,-246.47999999999993
2020-04-09,20.31,9.33,29.64,10.97,12.55,SPALI,Property,-235.50999999999993
2020-04-10,14.93,9.46,24.39,5.46,22.14,SPALI,Property,-230.04999999999993
2020-04-13,6.05,8.54,14.59,-2.49,9.73,SPALI,Property,-232.53999999999994
2020-04-14,20.88,9.51,30.38,11.37,19.78,SPALI,Property,-221.16999999999993
2020-04-15,16.72,4.92,21.63,11.8,12.64,SPALI,Property,-209.36999999999992
2020-04-16,11.83,23.52,35.34,-11.69,22.63,SPALI,Property,-221.05999999999992
2020-04-17,10.31,8.3,18.61,2.02,30.78,SPALI,Property,-219.0399999999999
2020-04-20,15.45,7.72,23.18,7.73,38.7,SPALI,Property,-211.30999999999992
2020-04-21,7.61,4.38,11.99,3.24,8.01,SPALI,Property,-208.0699999999999
2020-04-22,7.29,9.8,17.09,-2.5,6.59,SPALI,Property,-210.5699999999999
2020-04-23,16.93,7.71,24.64,9.22,13.75,SPALI,Property,-201.3499999999999
2020-04-24,16.46,7.95,24.41,8.51,14.66,SPALI,Property,-192.83999999999992
2020-04-27,13.9,5.7,19.6,8.2,25.59,SPALI,Property,-184.63999999999993
2020-04-28,10.79,7.1,17.89,3.69,31.38,SPALI,Property,-180.94999999999993
2020-04-29,13.75,3.3,17.05,10.45,20.12,SPALI,Property,-170.49999999999994
2020-04-30,34.91,13.68,48.59,21.23,18.88,SPALI,Property,-149.26999999999995
2020-05-05,14.89,24.21,39.11,-9.32,8.91,SPALI,Property,-158.58999999999995
2020-05-07,13.45,16.88,30.34,-3.43,16.82,SPALI,Property,-162.01999999999995
2020-05-08,13.48,7.34,20.83,6.14,14.78,SPALI,Property,-155.87999999999997
2020-05-11,14.66,5.39,20.05,9.28,14.26,SPALI,Property,-146.59999999999997
2020-05-12,17.51,15.93,33.44,1.58,15.11,SPALI,Property,-145.01999999999995
2020-05-13,12.53,2.75,15.28,9.78,21.36,SPALI,Property,-135.23999999999995
2020-05-14,3.16,7.8,10.95,-4.64,17.84,SPALI,Property,-139.87999999999994
2020-05-15,0.91,10.94,11.86,-10.03,10.73,SPALI,Property,-149.90999999999994
2020-05-18,3.71,7.86,11.57,-4.14,21.27,SPALI,Property,-154.04999999999993
2020-05-19,9.6,12.93,22.54,-3.33,12.02,SPALI,Property,-157.37999999999994
2020-05-20,11.29,14.37,25.66,-3.09,9.32,SPALI,Property,-160.46999999999994
2020-05-21,8.45,7.53,15.98,0.91,15.62,SPALI,Property,-159.55999999999995
2020-05-22,6.75,7.34,14.09,-0.59,10.59,SPALI,Property,-160.14999999999995
2020-05-25,21.76,19.98,41.74,1.78,14.53,SPALI,Property,-158.36999999999995
2020-05-26,6.29,37.72,44.01,-31.43,13.35,SPALI,Property,-189.79999999999995
2020-05-27,5.64,28.64,34.28,-23.0,17.91,SPALI,Property,-212.79999999999995
2020-05-28,16.13,13.27,29.4,2.86,10.44,SPALI,Property,-209.93999999999994
2020-05-29,36.25,33.81,70.06,2.45,22.79,SPALI,Property,-207.48999999999995
2020-06-01,16.48,11.52,28.0,4.97,12.76,SPALI,Property,-202.51999999999995
2020-06-02,37.72,18.5,56.21,19.22,13.04,SPALI,Property,-183.29999999999995
2020-06-04,62.77,41.46,104.23,21.31,26.44,SPALI,Property,-161.98999999999995
2020-06-05,5.48,20.74,26.22,-15.26,9.2,SPALI,Property,-177.24999999999994
2020-06-08,28.19,13.17,41.37,15.02,14.95,SPALI,Property,-162.22999999999993
2020-06-09,18.54,15.74,34.27,2.8,14.73,SPALI,Property,-159.42999999999992
2020-06-10,28.77,12.46,41.23,16.31,19.19,SPALI,Property,-143.11999999999992
2020-06-11,11.13,12.89,24.02,-1.76,17.32,SPALI,Property,-144.8799999999999
2020-06-12,12.5,13.21,25.71,-0.71,13.58,SPALI,Property,-145.58999999999992
2020-06-15,6.81,23.14,29.95,-16.33,17.86,SPALI,Property,-161.9199999999999
2020-06-16,4.59,6.84,11.44,-2.25,18.19,SPALI,Property,-164.1699999999999
2020-06-17,5.57,9.55,15.13,-3.98,13.3,SPALI,Property,-168.1499999999999
2020-06-18,36.67,7.42,44.09,29.24,25.79,SPALI,Property,-138.90999999999988
2020-06-19,47.67,28.64,76.31,19.03,30.42,SPALI,Property,-119.87999999999988
2020-06-22,12.56,14.32,26.88,-1.76,26.09,SPALI,Property,-121.63999999999989
2020-06-23,6.37,8.28,14.65,-1.91,24.31,SPALI,Property,-123.54999999999988
2020-06-24,59.78,21.36,81.13,38.42,25.9,SPALI,Property,-85.12999999999988
2020-06-25,8.4,14.93,23.33,-6.53,27.42,SPALI,Property,-91.65999999999988
2020-06-26,17.45,7.04,24.48,10.41,38.39,SPALI,Property,-81.24999999999989
2020-06-29,15.81,18.48,34.28,-2.67,22.6,SPALI,Property,-83.91999999999989
2020-06-30,26.84,17.41,44.25,9.43,20.27,SPALI,Property,-74.4899999999999
2020-07-01,16.08,12.61,28.69,3.46,24.92,SPALI,Property,-71.0299999999999
2020-07-02,38.39,24.9,63.29,13.49,20.02,SPALI,Property,-57.5399999999999
2020-07-03,3.14,9.55,12.69,-6.41,18.58,SPALI,Property,-63.9499999999999
2020-07-07,9.29,5.16,14.45,4.13,28.46,SPALI,Property,-59.8199999999999
2020-07-08,16.26,3.45,19.71,12.82,21.68,SPALI,Property,-46.9999999999999
2020-07-09,31.28,18.16,49.45,13.12,48.66,SPALI,Property,-33.8799999999999
2020-07-10,27.74,7.33,35.07,20.42,19.03,SPALI,Property,-13.459999999999901
2020-07-13,10.46,7.58,18.04,2.87,20.14,SPALI,Property,-10.5899999999999
2020-07-14,15.62,16.95,32.56,-1.33,20.84,SPALI,Property,-11.9199999999999
2020-07-15,5.8,9.68,15.47,-3.88,13.26,SPALI,Property,-15.799999999999901
2020-07-16,14.34,19.43,33.78,-5.09,31.03,SPALI,Property,-20.8899999999999
