date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,47.63,65.77,113.4,-18.13,20.26,SPRC,Energy,-18.13
2020-01-03,29.11,49.02,78.12,-19.91,10.31,SPRC,Energy,-38.04
2020-01-06,58.09,18.64,76.73,39.45,10.2,SPRC,Energy,1.4100000000000037
2020-01-07,49.31,24.45,73.76,24.86,12.45,SPRC,Energy,26.270000000000003
2020-01-08,26.03,18.04,44.07,8.0,13.38,SPRC,Energy,34.27
2020-01-09,12.14,31.69,43.82,-19.55,11.18,SPRC,Energy,14.720000000000002
2020-01-10,5.02,29.18,34.2,-24.16,17.62,SPRC,Energy,-9.439999999999998
2020-01-13,34.99,33.39,68.38,1.59,10.37,SPRC,Energy,-7.849999999999998
2020-01-14,46.74,34.77,81.51,11.96,9.77,SPRC,Energy,4.110000000000003
2020-01-15,22.56,33.03,55.6,-10.47,10.46,SPRC,Energy,-6.359999999999998
2020-01-16,69.37,20.99,90.36,48.38,14.18,SPRC,Energy,42.02
2020-01-17,37.78,48.43,86.21,-10.66,14.52,SPRC,Energy,31.360000000000003
2020-01-20,20.79,31.42,52.21,-10.63,14.52,SPRC,Energy,20.730000000000004
2020-01-21,30.18,16.62,46.8,13.56,16.04,SPRC,Energy,34.290000000000006
2020-01-22,104.53,21.25,125.78,83.28,13.54,SPRC,Energy,117.57000000000001
2020-01-23,65.34,24.59,89.93,40.75,20.92,SPRC,Energy,158.32
2020-01-24,15.74,22.16,37.9,-6.41,8.82,SPRC,Energy,151.91
2020-01-27,18.25,37.65,55.91,-19.4,11.95,SPRC,Energy,132.51
2020-01-28,51.72,64.11,115.83,-12.39,16.83,SPRC,Energy,120.11999999999999
2020-01-29,17.09,78.71,95.8,-61.63,15.5,SPRC,Energy,58.48999999999999
2020-01-30,14.59,50.42,65.01,-35.82,22.88,SPRC,Energy,22.669999999999987
2020-01-31,47.91,79.92,127.82,-32.01,22.25,SPRC,Energy,-9.34000000000001
2020-02-03,8.02,46.2,54.22,-38.18,16.23,SPRC,Energy,-47.52000000000001
2020-02-04,33.9,52.58,86.48,-18.67,22.97,SPRC,Energy,-66.19000000000001
2020-02-05,28.4,36.94,65.33,-8.54,13.7,SPRC,Energy,-74.73000000000002
2020-02-06,30.19,68.39,98.58,-38.2,15.73,SPRC,Energy,-112.93000000000002
2020-02-07,48.17,108.01,156.19,-59.84,15.93,SPRC,Energy,-172.77000000000004
2020-02-11,25.58,57.55,83.12,-31.97,17.61,SPRC,Energy,-204.74000000000004
2020-02-12,31.21,97.95,129.16,-66.74,21.11,SPRC,Energy,-271.48
2020-02-13,14.36,37.09,51.45,-22.74,27.31,SPRC,Energy,-294.22
2020-02-14,19.31,33.84,53.15,-14.53,19.24,SPRC,Energy,-308.75
2020-02-17,9.63,12.95,22.58,-3.32,9.03,SPRC,Energy,-312.07
2020-02-18,32.47,23.01,55.47,9.46,13.13,SPRC,Energy,-302.61
2020-02-19,22.46,4.93,27.39,17.54,15.96,SPRC,Energy,-285.07
2020-02-20,80.89,14.12,95.01,66.77,30.25,SPRC,Energy,-218.3
2020-02-21,12.72,26.71,39.43,-13.99,13.95,SPRC,Energy,-232.29000000000002
2020-02-24,39.98,48.67,88.65,-8.7,12.45,SPRC,Energy,-240.99
2020-02-25,31.5,24.87,56.37,6.63,16.99,SPRC,Energy,-234.36
2020-02-26,29.62,42.28,71.9,-12.65,25.25,SPRC,Energy,-247.01000000000002
2020-02-27,19.67,18.45,38.12,1.23,23.97,SPRC,Energy,-245.78000000000003
2020-02-28,33.53,24.42,57.95,9.11,28.46,SPRC,Energy,-236.67000000000002
2020-03-02,43.28,30.26,73.53,13.02,23.83,SPRC,Energy,-223.65
2020-03-03,76.18,36.04,112.22,40.14,19.74,SPRC,Energy,-183.51
2020-03-04,51.86,23.55,75.41,28.31,20.66,SPRC,Energy,-155.2
2020-03-05,57.98,24.75,82.73,33.23,18.23,SPRC,Energy,-121.97
2020-03-06,50.83,59.21,110.04,-8.38,19.01,SPRC,Energy,-130.35
2020-03-09,137.17,46.42,183.59,90.75,20.71,SPRC,Energy,-39.599999999999994
2020-03-10,25.79,78.11,103.9,-52.33,17.91,SPRC,Energy,-91.92999999999999
2020-03-11,17.52,27.08,44.59,-9.56,12.65,SPRC,Energy,-101.49
2020-03-12,31.46,33.43,64.89,-1.97,17.31,SPRC,Energy,-103.46
2020-03-13,18.93,20.34,39.27,-1.41,17.18,SPRC,Energy,-104.86999999999999
2020-03-16,39.73,32.83,72.55,6.9,23.26,SPRC,Energy,-97.96999999999998
2020-03-17,57.45,41.54,98.99,15.92,22.45,SPRC,Energy,-82.04999999999998
2020-03-18,41.16,29.72,70.88,11.44,19.33,SPRC,Energy,-70.60999999999999
2020-03-19,45.4,18.88,64.28,26.52,19.1,SPRC,Energy,-44.08999999999999
2020-03-20,28.44,22.94,51.38,5.5,9.37,SPRC,Energy,-38.58999999999999
2020-03-23,19.5,14.6,34.1,4.89,12.2,SPRC,Energy,-33.69999999999999
2020-03-24,43.84,44.54,88.37,-0.7,18.99,SPRC,Energy,-34.39999999999999
2020-03-25,44.67,14.83,59.5,29.83,21.94,SPRC,Energy,-4.569999999999993
2020-03-26,35.73,20.98,56.71,14.75,24.39,SPRC,Energy,10.180000000000007
2020-03-27,21.78,9.55,31.33,12.23,21.99,SPRC,Energy,22.410000000000007
2020-03-30,8.76,9.34,18.09,-0.58,35.56,SPRC,Energy,21.83000000000001
2020-03-31,37.2,7.64,44.83,29.56,20.93,SPRC,Energy,51.39000000000001
2020-04-01,50.53,19.67,70.2,30.87,19.22,SPRC,Energy,82.26
2020-04-02,99.52,76.04,175.56,23.48,17.42,SPRC,Energy,105.74000000000001
2020-04-03,42.97,63.34,106.31,-20.37,12.82,SPRC,Energy,85.37
2020-04-07,50.74,34.54,85.27,16.2,20.96,SPRC,Energy,101.57000000000001
2020-04-08,25.16,40.91,66.08,-15.75,20.89,SPRC,Energy,85.82000000000001
2020-04-09,26.79,17.52,44.31,9.27,16.92,SPRC,Energy,95.09
2020-04-10,49.19,73.07,122.27,-23.88,29.69,SPRC,Energy,71.21000000000001
2020-04-13,42.4,53.63,96.03,-11.23,26.89,SPRC,Energy,59.980000000000004
2020-04-14,153.36,58.49,211.85,94.86,18.37,SPRC,Energy,154.84
2020-04-15,68.27,85.1,153.37,-16.83,11.99,SPRC,Energy,138.01
2020-04-16,16.81,56.05,72.86,-39.23,14.31,SPRC,Energy,98.78
2020-04-17,28.82,40.67,69.48,-11.85,12.37,SPRC,Energy,86.93
2020-04-20,31.45,11.77,43.23,19.68,20.28,SPRC,Energy,106.61000000000001
2020-04-21,22.27,28.32,50.59,-6.05,19.6,SPRC,Energy,100.56000000000002
2020-04-22,33.1,45.64,78.74,-12.54,22.18,SPRC,Energy,88.02000000000001
2020-04-23,73.38,15.97,89.35,57.41,17.68,SPRC,Energy,145.43
2020-04-24,59.96,55.49,115.45,4.47,15.93,SPRC,Energy,149.9
2020-04-27,56.66,60.29,116.95,-3.63,30.68,SPRC,Energy,146.27
2020-04-28,115.85,56.89,172.74,58.96,28.54,SPRC,Energy,205.23000000000002
2020-04-29,2.84,33.93,36.77,-31.09,20.46,SPRC,Energy,174.14000000000001
