date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,3.13,3.54,6.67,-0.41,10.52,STA,Agri,-0.41
2020-01-03,6.74,1.96,8.7,4.77,9.58,STA,Agri,4.359999999999999
2020-01-06,2.23,6.18,8.41,-3.94,12.46,STA,Agri,0.4199999999999995
2020-01-07,1.82,2.05,3.86,-0.23,6.79,STA,Agri,0.18999999999999947
2020-01-08,2.76,22.07,24.82,-19.31,17.78,STA,Agri,-19.12
2020-01-09,6.91,6.32,13.22,0.59,13.69,STA,Agri,-18.53
2020-01-10,13.25,2.0,15.24,11.25,28.81,STA,Agri,-7.280000000000001
2020-01-13,15.55,3.55,19.09,12.0,26.25,STA,Agri,4.719999999999999
2020-01-14,5.71,5.0,10.71,0.7,19.16,STA,Agri,5.419999999999999
2020-01-15,1.9,2.47,4.37,-0.57,15.33,STA,Agri,4.849999999999999
2020-01-16,0.83,1.65,2.47,-0.82,8.21,STA,Agri,4.0299999999999985
2020-01-17,10.51,2.39,12.9,8.11,9.29,STA,Agri,12.139999999999997
2020-01-20,9.68,4.22,13.9,5.46,17.05,STA,Agri,17.599999999999998
2020-01-21,11.45,5.07,16.51,6.38,6.32,STA,Agri,23.979999999999997
2020-01-22,92.66,17.89,110.55,74.77,21.38,STA,Agri,98.75
2020-01-23,36.9,16.89,53.8,20.01,11.0,STA,Agri,118.76
2020-01-24,51.65,20.51,72.16,31.15,22.09,STA,Agri,149.91
2020-01-27,31.17,7.81,38.98,23.36,11.23,STA,Agri,173.26999999999998
2020-01-28,52.56,19.44,72.0,33.12,29.05,STA,Agri,206.39
2020-01-29,41.75,18.8,60.55,22.96,28.59,STA,Agri,229.35
2020-01-30,37.03,34.86,71.89,2.17,18.15,STA,Agri,231.51999999999998
2020-01-31,127.02,23.9,150.92,103.12,28.21,STA,Agri,334.64
2020-02-03,56.14,30.69,86.83,25.46,14.01,STA,Agri,360.09999999999997
2020-02-04,30.41,4.76,35.17,25.65,12.92,STA,Agri,385.74999999999994
2020-02-05,38.37,13.66,52.03,24.71,12.97,STA,Agri,410.4599999999999
2020-02-06,5.03,8.46,13.48,-3.43,14.23,STA,Agri,407.0299999999999
2020-02-07,14.91,5.34,20.24,9.57,15.0,STA,Agri,416.5999999999999
2020-02-11,10.63,5.63,16.27,5.0,12.94,STA,Agri,421.5999999999999
2020-02-12,16.21,13.48,29.69,2.73,23.17,STA,Agri,424.3299999999999
2020-02-13,13.14,6.34,19.48,6.8,16.26,STA,Agri,431.12999999999994
2020-02-14,40.34,37.46,77.79,2.88,12.51,STA,Agri,434.00999999999993
2020-02-17,9.36,17.37,26.73,-8.02,17.11,STA,Agri,425.98999999999995
2020-02-18,46.99,27.09,74.08,19.9,9.96,STA,Agri,445.88999999999993
2020-02-19,6.94,31.21,38.15,-24.27,9.44,STA,Agri,421.61999999999995
2020-02-20,11.54,21.68,33.22,-10.14,12.46,STA,Agri,411.47999999999996
2020-02-21,24.14,22.14,46.28,2.01,26.87,STA,Agri,413.48999999999995
2020-02-24,19.05,23.21,42.27,-4.16,10.83,STA,Agri,409.3299999999999
2020-02-25,19.89,20.34,40.23,-0.45,10.42,STA,Agri,408.87999999999994
2020-02-26,22.36,47.41,69.77,-25.06,23.19,STA,Agri,383.81999999999994
2020-02-27,60.36,39.98,100.34,20.38,23.64,STA,Agri,404.19999999999993
2020-02-28,11.51,18.11,29.62,-6.61,14.61,STA,Agri,397.5899999999999
2020-03-02,35.3,36.24,71.54,-0.94,19.38,STA,Agri,396.6499999999999
2020-03-03,20.11,11.02,31.13,9.08,13.76,STA,Agri,405.7299999999999
2020-03-04,106.76,28.43,135.18,78.33,20.47,STA,Agri,484.0599999999999
2020-03-05,98.46,51.54,150.0,46.92,9.93,STA,Agri,530.9799999999999
2020-03-06,77.19,65.56,142.75,11.64,11.91,STA,Agri,542.6199999999999
2020-03-09,36.82,52.99,89.81,-16.17,12.04,STA,Agri,526.4499999999999
2020-03-10,21.87,60.97,82.83,-39.1,15.43,STA,Agri,487.3499999999999
2020-03-11,39.06,60.71,99.77,-21.66,15.43,STA,Agri,465.6899999999999
2020-03-12,69.42,50.45,119.87,18.97,16.48,STA,Agri,484.65999999999985
2020-03-13,72.7,114.48,187.17,-41.78,24.77,STA,Agri,442.8799999999999
2020-03-16,26.65,46.17,72.82,-19.52,20.39,STA,Agri,423.3599999999999
2020-03-17,26.88,51.43,78.31,-24.56,20.2,STA,Agri,398.7999999999999
2020-03-18,15.26,15.45,30.71,-0.2,17.21,STA,Agri,398.5999999999999
2020-03-19,11.66,33.38,45.04,-21.72,22.6,STA,Agri,376.8799999999999
2020-03-20,33.82,63.43,97.25,-29.61,19.27,STA,Agri,347.26999999999987
2020-03-23,15.05,44.71,59.76,-29.66,23.78,STA,Agri,317.60999999999984
2020-03-24,17.56,38.45,56.01,-20.9,25.89,STA,Agri,296.70999999999987
2020-03-25,17.13,19.71,36.85,-2.58,20.49,STA,Agri,294.1299999999999
2020-03-26,9.76,10.1,19.86,-0.34,11.12,STA,Agri,293.7899999999999
2020-03-27,8.92,7.09,16.01,1.83,10.98,STA,Agri,295.6199999999999
2020-03-30,42.69,19.04,61.73,23.65,12.55,STA,Agri,319.26999999999987
2020-03-31,8.41,37.6,46.01,-29.19,13.21,STA,Agri,290.07999999999987
2020-04-01,7.67,14.81,22.49,-7.14,9.43,STA,Agri,282.9399999999999
2020-04-02,14.11,8.46,22.57,5.66,8.85,STA,Agri,288.5999999999999
2020-04-03,19.08,17.8,36.87,1.28,8.37,STA,Agri,289.8799999999999
2020-04-07,38.84,21.88,60.72,16.96,14.83,STA,Agri,306.83999999999986
2020-04-08,46.8,48.84,95.65,-2.04,10.31,STA,Agri,304.79999999999984
2020-04-09,21.15,22.92,44.08,-1.77,8.64,STA,Agri,303.02999999999986
2020-04-10,13.01,12.61,25.61,0.4,12.24,STA,Agri,303.42999999999984
2020-04-13,1.24,6.11,7.35,-4.87,4.29,STA,Agri,298.55999999999983
2020-04-14,43.02,45.91,88.92,-2.89,9.29,STA,Agri,295.66999999999985
2020-04-15,15.08,19.85,34.93,-4.77,5.88,STA,Agri,290.89999999999986
2020-04-16,19.35,16.09,35.43,3.26,20.71,STA,Agri,294.15999999999985
2020-04-17,4.86,9.05,13.91,-4.19,9.49,STA,Agri,289.96999999999986
2020-04-20,25.73,19.63,45.36,6.1,10.16,STA,Agri,296.0699999999999
2020-04-21,9.01,15.58,24.59,-6.57,5.25,STA,Agri,289.4999999999999
2020-04-22,30.04,5.49,35.53,24.55,14.21,STA,Agri,314.0499999999999
2020-04-23,8.52,1.82,10.34,6.7,4.74,STA,Agri,320.7499999999999
2020-04-24,16.22,8.26,24.48,7.96,8.0,STA,Agri,328.70999999999987
2020-04-27,16.47,6.2,22.67,10.27,6.53,STA,Agri,338.97999999999985
2020-04-28,9.71,6.01,15.72,3.69,5.54,STA,Agri,342.66999999999985
2020-04-29,8.04,1.46,9.5,6.58,7.35,STA,Agri,349.24999999999983
2020-04-30,21.82,8.99,30.81,12.84,14.42,STA,Agri,362.0899999999998
2020-05-05,80.89,50.27,131.15,30.62,22.92,STA,Agri,392.7099999999998
2020-05-07,11.66,13.2,24.86,-1.54,9.78,STA,Agri,391.1699999999998
2020-05-08,10.04,7.96,18.0,2.09,5.72,STA,Agri,393.25999999999976
2020-05-11,18.66,20.39,39.04,-1.73,10.58,STA,Agri,391.52999999999975
2020-05-12,76.25,14.62,90.87,61.63,22.49,STA,Agri,453.15999999999974
2020-05-13,324.12,97.89,422.01,226.22,21.98,STA,Agri,679.3799999999998
2020-05-14,33.78,42.01,75.79,-8.23,10.27,STA,Agri,671.1499999999997
2020-05-15,404.8,85.23,490.03,319.57,20.64,STA,Agri,990.7199999999998
2020-05-18,133.92,143.49,277.41,-9.57,16.36,STA,Agri,981.1499999999997
2020-05-19,112.52,53.22,165.74,59.3,12.33,STA,Agri,1040.4499999999998
2020-05-20,287.22,140.24,427.47,146.98,21.59,STA,Agri,1187.4299999999998
2020-05-21,574.45,426.58,1001.03,147.88,19.55,STA,Agri,1335.31
2020-05-22,728.72,637.0,1365.72,91.72,19.74,STA,Agri,1427.03
2020-05-25,224.26,371.86,596.12,-147.6,16.29,STA,Agri,1279.43
2020-05-26,322.36,336.35,658.71,-13.98,13.27,STA,Agri,1265.45
2020-05-27,417.29,423.71,841.01,-6.42,14.31,STA,Agri,1259.03
2020-05-28,495.12,596.6,1091.72,-101.48,21.03,STA,Agri,1157.55
2020-05-29,246.03,228.64,474.67,17.38,17.18,STA,Agri,1174.93
2020-06-01,292.71,157.24,449.95,135.47,12.56,STA,Agri,1310.4
2020-06-02,178.06,209.14,387.2,-31.07,17.39,STA,Agri,1279.3300000000002
2020-06-04,379.37,183.67,563.04,195.7,14.3,STA,Agri,1475.0300000000002
2020-06-05,262.98,155.73,418.71,107.25,17.82,STA,Agri,1582.2800000000002
2020-06-08,150.03,61.53,211.56,88.5,15.93,STA,Agri,1670.7800000000002
2020-06-09,186.24,92.22,278.46,94.03,20.78,STA,Agri,1764.8100000000002
2020-06-10,376.63,295.91,672.54,80.72,15.22,STA,Agri,1845.5300000000002
2020-06-11,546.65,789.85,1336.5,-243.2,17.86,STA,Agri,1602.3300000000002
2020-06-12,468.57,341.81,810.38,126.76,18.4,STA,Agri,1729.0900000000001
2020-06-15,253.11,191.89,445.0,61.22,15.79,STA,Agri,1790.3100000000002
2020-06-16,120.44,73.79,194.23,46.65,13.09,STA,Agri,1836.9600000000003
2020-06-17,693.0,492.96,1185.97,200.04,21.18,STA,Agri,2037.0000000000002
2020-06-18,169.48,229.4,398.88,-59.92,22.92,STA,Agri,1977.0800000000002
2020-06-19,114.25,182.7,296.95,-68.45,14.95,STA,Agri,1908.63
2020-06-22,255.84,204.84,460.69,51.0,13.94,STA,Agri,1959.63
2020-06-23,154.53,372.72,527.25,-218.2,16.79,STA,Agri,1741.43
2020-06-24,150.35,90.43,240.78,59.92,15.06,STA,Agri,1801.3500000000001
2020-06-25,159.09,130.53,289.61,28.56,16.54,STA,Agri,1829.91
2020-06-26,62.01,86.58,148.59,-24.58,15.62,STA,Agri,1805.3300000000002
2020-06-29,46.26,30.84,77.1,15.42,10.49,STA,Agri,1820.7500000000002
2020-06-30,156.27,75.96,232.23,80.31,17.3,STA,Agri,1901.0600000000002
2020-07-01,685.34,286.24,971.58,399.11,16.35,STA,Agri,2300.17
2020-07-02,507.8,993.76,1501.57,-485.96,16.68,STA,Agri,1814.21
2020-07-03,689.95,366.2,1056.15,323.76,10.61,STA,Agri,2137.9700000000003
2020-07-07,240.24,337.51,577.75,-97.27,8.66,STA,Agri,2040.7000000000003
2020-07-08,392.53,451.81,844.34,-59.28,19.61,STA,Agri,1981.4200000000003
2020-07-09,337.26,373.92,711.18,-36.65,23.03,STA,Agri,1944.7700000000002
2020-07-10,489.73,284.21,773.94,205.52,23.08,STA,Agri,2150.2900000000004
2020-07-13,247.32,237.38,484.7,9.94,12.9,STA,Agri,2160.2300000000005
2020-07-14,259.22,305.21,564.43,-45.99,8.43,STA,Agri,2114.2400000000007
2020-07-15,105.18,132.11,237.29,-26.92,9.48,STA,Agri,2087.3200000000006
2020-07-16,126.92,148.15,275.07,-21.23,13.27,STA,Agri,2066.0900000000006
2020-07-17,121.88,210.4,332.28,-88.52,11.42,STA,Agri,1977.5700000000006
2020-07-20,93.06,88.61,181.67,4.45,9.99,STA,Agri,1982.0200000000007
2020-07-21,76.92,222.83,299.74,-145.91,16.61,STA,Agri,1836.1100000000006
2020-07-22,375.31,540.99,916.3,-165.68,14.22,STA,Agri,1670.4300000000005
2020-07-23,458.67,305.99,764.66,152.68,12.7,STA,Agri,1823.1100000000006
2020-07-24,203.05,249.11,452.16,-46.07,17.31,STA,Agri,1777.0400000000006
2020-07-29,263.05,242.89,505.95,20.16,23.92,STA,Agri,1797.2000000000007
2020-07-30,120.03,189.13,309.16,-69.1,20.33,STA,Agri,1728.1000000000008
2020-07-31,189.05,91.19,280.24,97.86,30.14,STA,Agri,1825.9600000000007
2020-08-03,193.99,154.21,348.2,39.78,19.19,STA,Agri,1865.7400000000007
2020-08-04,210.19,143.9,354.09,66.28,20.75,STA,Agri,1932.0200000000007
2020-08-05,172.74,56.48,229.22,116.26,15.53,STA,Agri,2048.2800000000007
2020-08-06,109.83,102.15,211.98,7.68,15.41,STA,Agri,2055.9600000000005
2020-08-07,267.61,125.22,392.84,142.39,14.22,STA,Agri,2198.3500000000004
2020-08-10,81.41,130.17,211.58,-48.75,9.33,STA,Agri,2149.6000000000004
2020-08-11,227.96,159.06,387.02,68.9,14.73,STA,Agri,2218.5000000000005
2020-08-13,281.87,158.72,440.59,123.15,22.32,STA,Agri,2341.6500000000005
2020-08-14,169.56,133.78,303.34,35.79,21.85,STA,Agri,2377.4400000000005
2020-08-17,373.06,116.19,489.26,256.87,28.66,STA,Agri,2634.3100000000004
2020-08-18,141.32,67.42,208.73,73.9,14.68,STA,Agri,2708.2100000000005
2020-08-19,116.96,104.91,221.87,12.05,15.4,STA,Agri,2720.2600000000007
2020-08-20,152.96,92.46,245.42,60.5,27.46,STA,Agri,2780.7600000000007
