date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2024-10-29,0.04,0.0,0.04,0.04,0.02,STECON,Cons,0.04
2024-10-30,35.77,1.9,37.66,33.87,20.05,STECON,Cons,33.91
2024-10-31,6.24,0.79,7.04,5.45,22.61,STECON,Cons,39.36
2024-11-01,0.06,1.42,1.48,-1.37,3.28,STECON,Cons,37.99
2024-11-04,11.06,3.27,14.33,7.79,10.46,STECON,Cons,45.78
2024-11-05,2.54,1.25,3.79,1.29,14.07,STECON,Cons,47.07
2024-11-06,2.63,1.05,3.68,1.58,7.39,STECON,Cons,48.65
2024-11-07,0.05,0.98,1.03,-0.93,13.61,STECON,Cons,47.72
2024-11-08,0.52,0.7,1.21,-0.18,7.34,STECON,Cons,47.54
2024-11-11,0.37,2.0,2.37,-1.63,3.85,STECON,Cons,45.91
2024-11-12,1.36,0.42,1.78,0.95,10.07,STECON,Cons,46.86
2024-11-13,1.15,0.42,1.56,0.73,2.66,STECON,Cons,47.589999999999996
2024-11-14,2.95,0.73,3.68,2.22,9.0,STECON,Cons,49.809999999999995
2024-11-15,1.2,2.33,3.53,-1.14,6.73,STECON,Cons,48.669999999999995
2024-11-18,0.38,0.25,0.63,0.13,4.73,STECON,Cons,48.8
2024-11-19,1.9,0.43,2.33,1.47,5.54,STECON,Cons,50.269999999999996
2024-11-20,0.01,0.66,0.68,-0.65,9.29,STECON,Cons,49.62
2024-11-21,0.49,0.58,1.07,-0.09,2.23,STECON,Cons,49.529999999999994
2024-11-22,1.94,1.46,3.39,0.48,7.36,STECON,Cons,50.00999999999999
2024-11-25,2.05,1.29,3.33,0.76,4.24,STECON,Cons,50.76999999999999
2024-11-26,3.39,0.33,3.72,3.06,11.11,STECON,Cons,53.82999999999999
2024-11-27,0.06,1.55,1.61,-1.49,4.44,STECON,Cons,52.33999999999999
2024-11-28,0.23,1.14,1.38,-0.91,4.22,STECON,Cons,51.42999999999999
2024-11-29,4.87,1.14,6.0,3.73,15.71,STECON,Cons,55.15999999999999
2024-12-02,2.32,1.62,3.94,0.71,14.8,STECON,Cons,55.86999999999999
2024-12-03,11.43,2.22,13.65,9.21,14.24,STECON,Cons,65.07999999999998
2024-12-04,0.08,2.31,2.39,-2.23,11.74,STECON,Cons,62.84999999999999
2024-12-06,0.65,10.59,11.25,-9.94,14.48,STECON,Cons,52.90999999999999
2024-12-09,0.46,7.81,8.26,-7.35,9.14,STECON,Cons,45.55999999999999
2024-12-11,0.46,1.85,2.31,-1.39,8.75,STECON,Cons,44.16999999999999
2024-12-12,0.69,3.76,4.45,-3.07,12.29,STECON,Cons,41.09999999999999
2024-12-13,1.73,1.09,2.82,0.63,13.36,STECON,Cons,41.72999999999999
2024-12-16,0.51,0.15,0.66,0.36,9.16,STECON,Cons,42.08999999999999
2024-12-17,1.13,6.09,7.22,-4.97,12.47,STECON,Cons,37.11999999999999
2024-12-18,2.32,2.97,5.29,-0.65,5.3,STECON,Cons,36.46999999999999
2024-12-19,1.86,1.65,3.51,0.21,6.14,STECON,Cons,36.67999999999999
2024-12-20,1.54,4.46,6.0,-2.93,8.67,STECON,Cons,33.74999999999999
2024-12-23,3.3,0.63,3.93,2.67,11.39,STECON,Cons,36.419999999999995
2024-12-24,0.35,0.22,0.57,0.14,2.65,STECON,Cons,36.559999999999995
2024-12-25,0.8,0.53,1.32,0.27,4.76,STECON,Cons,36.83
2024-12-26,0.16,3.33,3.49,-3.17,6.88,STECON,Cons,33.66
2024-12-27,4.57,0.79,5.35,3.78,14.66,STECON,Cons,37.44
2024-12-30,1.29,0.89,2.18,0.39,7.77,STECON,Cons,37.83
2025-01-02,0.99,0.35,1.34,0.64,4.6,STECON,Cons,38.47
2025-01-03,0.01,1.38,1.39,-1.37,7.81,STECON,Cons,37.1
2025-01-06,0.33,2.64,2.98,-2.31,6.1,STECON,Cons,34.79
2025-01-07,0.78,0.38,1.16,0.4,7.64,STECON,Cons,35.19
2025-01-08,0.51,0.58,1.09,-0.07,13.3,STECON,Cons,35.12
