date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-07-02,885.35,205.47,1090.82,679.88,3.16,STGT,Person,679.88
2020-07-03,1220.76,1137.95,2358.7,82.81,9.71,STGT,Person,762.69
2020-07-07,878.6,489.46,1368.06,389.14,8.02,STGT,Person,1151.83
2020-07-08,350.24,375.59,725.83,-25.35,6.93,STGT,Person,1126.48
2020-07-09,519.34,355.22,874.57,164.12,7.36,STGT,Person,1290.6
2020-07-10,993.49,672.7,1666.19,320.78,9.46,STGT,Person,1611.3799999999999
2020-07-13,464.48,253.82,718.3,210.66,12.75,STGT,Person,1822.04
2020-07-14,433.79,418.82,852.61,14.98,7.48,STGT,Person,1837.02
2020-07-15,78.96,67.27,146.22,11.69,2.83,STGT,Person,1848.71
2020-07-16,36.32,49.72,86.04,-13.4,2.17,STGT,Person,1835.31
2020-07-17,237.23,75.71,312.94,161.51,7.53,STGT,Person,1996.82
2020-07-20,114.23,84.79,199.02,29.44,8.31,STGT,Person,2026.26
2020-07-21,61.71,43.21,104.92,18.5,4.36,STGT,Person,2044.76
2020-07-22,97.28,76.2,173.47,21.08,4.05,STGT,Person,2065.84
2020-07-23,124.9,27.72,152.63,97.18,9.39,STGT,Person,2163.02
2020-07-24,26.95,22.88,49.83,4.07,5.86,STGT,Person,2167.09
2020-07-29,292.04,70.86,362.9,221.19,12.43,STGT,Person,2388.28
2020-07-30,59.8,66.4,126.2,-6.6,10.35,STGT,Person,2381.6800000000003
2020-07-31,27.25,8.92,36.17,18.33,5.25,STGT,Person,2400.01
2020-08-03,113.49,80.06,193.55,33.43,6.74,STGT,Person,2433.44
2020-08-04,72.15,71.42,143.58,0.73,5.38,STGT,Person,2434.17
2020-08-05,41.6,20.64,62.25,20.96,6.36,STGT,Person,2455.13
2020-08-06,30.28,2.36,32.64,27.92,3.4,STGT,Person,2483.05
2020-08-07,151.4,68.29,219.69,83.12,7.75,STGT,Person,2566.17
2020-08-10,40.68,122.88,163.57,-82.2,10.79,STGT,Person,2483.9700000000003
2020-08-11,59.04,70.6,129.64,-11.56,4.16,STGT,Person,2472.4100000000003
