date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,14.94,27.4,42.34,-12.46,33.77,TASCO,Conmat,-12.46
2020-01-03,24.1,14.84,38.93,9.26,20.11,TASCO,Conmat,-3.200000000000001
2020-01-06,61.24,113.34,174.58,-52.1,28.91,TASCO,Conmat,-55.300000000000004
2020-01-07,65.71,12.59,78.3,53.12,14.46,TASCO,Conmat,-2.180000000000007
2020-01-08,77.9,20.92,98.82,56.97,19.59,TASCO,Conmat,54.78999999999999
2020-01-09,100.33,59.44,159.77,40.9,24.22,TASCO,Conmat,95.69
2020-01-10,10.24,40.96,51.2,-30.71,16.79,TASCO,Conmat,64.97999999999999
2020-01-13,27.63,37.1,64.73,-9.47,20.3,TASCO,Conmat,55.50999999999999
2020-01-14,20.85,41.61,62.46,-20.75,19.33,TASCO,Conmat,34.75999999999999
2020-01-15,14.71,37.98,52.69,-23.27,18.87,TASCO,Conmat,11.489999999999991
2020-01-16,35.62,34.25,69.87,1.36,26.64,TASCO,Conmat,12.84999999999999
2020-01-17,32.8,4.5,37.31,28.3,27.18,TASCO,Conmat,41.14999999999999
2020-01-20,24.58,13.41,37.99,11.16,15.06,TASCO,Conmat,52.30999999999999
2020-01-21,16.02,31.21,47.23,-15.2,17.0,TASCO,Conmat,37.109999999999985
2020-01-22,7.77,12.23,20.0,-4.46,13.79,TASCO,Conmat,32.649999999999984
2020-01-23,22.76,27.04,49.8,-4.28,45.69,TASCO,Conmat,28.369999999999983
2020-01-24,40.59,8.47,49.06,32.11,32.2,TASCO,Conmat,60.47999999999998
2020-01-27,22.75,16.19,38.94,6.57,19.37,TASCO,Conmat,67.04999999999998
2020-01-28,32.48,10.69,43.16,21.79,14.13,TASCO,Conmat,88.83999999999997
2020-01-29,22.88,12.52,35.39,10.36,26.81,TASCO,Conmat,99.19999999999997
2020-01-30,11.28,18.83,30.11,-7.56,16.63,TASCO,Conmat,91.63999999999997
2020-01-31,7.74,17.3,25.03,-9.56,24.86,TASCO,Conmat,82.07999999999997
2020-02-03,10.68,23.88,34.56,-13.2,24.81,TASCO,Conmat,68.87999999999997
2020-02-04,27.93,17.82,45.75,10.1,22.36,TASCO,Conmat,78.97999999999996
2020-02-05,7.82,17.24,25.05,-9.42,25.0,TASCO,Conmat,69.55999999999996
2020-02-06,39.03,17.25,56.28,21.78,22.74,TASCO,Conmat,91.33999999999996
2020-02-07,43.19,34.51,77.7,8.68,15.19,TASCO,Conmat,100.01999999999995
2020-02-11,97.87,91.7,189.58,6.17,31.19,TASCO,Conmat,106.18999999999996
2020-02-12,25.97,57.88,83.86,-31.91,24.34,TASCO,Conmat,74.27999999999996
2020-02-13,48.26,37.57,85.83,10.69,17.03,TASCO,Conmat,84.96999999999996
2020-02-14,21.31,29.33,50.65,-8.02,12.78,TASCO,Conmat,76.94999999999996
2020-02-17,179.73,57.06,236.79,122.68,16.5,TASCO,Conmat,199.62999999999997
2020-02-18,92.99,86.03,179.02,6.97,23.57,TASCO,Conmat,206.59999999999997
2020-02-19,101.32,60.52,161.84,40.8,9.33,TASCO,Conmat,247.39999999999998
2020-02-20,108.75,110.83,219.58,-2.07,20.04,TASCO,Conmat,245.32999999999998
2020-02-21,26.61,57.06,83.66,-30.45,15.77,TASCO,Conmat,214.88
2020-02-24,56.17,27.98,84.15,28.2,22.31,TASCO,Conmat,243.07999999999998
2020-02-25,62.17,51.43,113.6,10.73,22.45,TASCO,Conmat,253.80999999999997
2020-02-26,64.23,58.23,122.46,6.0,27.6,TASCO,Conmat,259.80999999999995
2020-02-27,43.65,37.76,81.4,5.89,19.67,TASCO,Conmat,265.69999999999993
2020-02-28,25.97,77.2,103.16,-51.23,22.96,TASCO,Conmat,214.46999999999994
2020-03-02,54.62,58.67,113.29,-4.05,26.74,TASCO,Conmat,210.41999999999993
2020-03-03,41.48,52.52,94.0,-11.04,23.52,TASCO,Conmat,199.37999999999994
2020-03-04,38.59,52.56,91.14,-13.97,23.33,TASCO,Conmat,185.40999999999994
2020-03-05,80.46,38.9,119.36,41.55,21.8,TASCO,Conmat,226.95999999999992
2020-03-06,66.88,44.6,111.49,22.28,30.21,TASCO,Conmat,249.23999999999992
2020-03-09,93.48,154.35,247.84,-60.87,14.98,TASCO,Conmat,188.36999999999992
2020-03-10,47.57,96.62,144.2,-49.05,16.57,TASCO,Conmat,139.31999999999994
2020-03-11,22.68,109.94,132.62,-87.26,26.3,TASCO,Conmat,52.05999999999993
2020-03-12,85.45,83.06,168.52,2.39,25.38,TASCO,Conmat,54.44999999999993
2020-03-13,76.0,69.12,145.12,6.89,24.68,TASCO,Conmat,61.33999999999993
2020-03-16,60.93,28.99,89.92,31.95,33.93,TASCO,Conmat,93.28999999999994
2020-03-17,33.48,41.07,74.55,-7.59,33.61,TASCO,Conmat,85.69999999999993
2020-03-18,87.71,64.8,152.5,22.91,43.27,TASCO,Conmat,108.60999999999993
2020-03-19,39.94,41.36,81.29,-1.42,22.85,TASCO,Conmat,107.18999999999993
2020-03-20,68.79,55.38,124.17,13.41,23.82,TASCO,Conmat,120.59999999999992
2020-03-23,64.62,37.35,101.98,27.27,33.04,TASCO,Conmat,147.86999999999992
2020-03-24,26.82,32.86,59.69,-6.04,28.07,TASCO,Conmat,141.82999999999993
2020-03-25,58.78,31.51,90.29,27.27,29.86,TASCO,Conmat,169.09999999999994
2020-03-26,27.41,28.98,56.39,-1.57,24.51,TASCO,Conmat,167.52999999999994
2020-03-27,27.05,21.3,48.35,5.75,20.09,TASCO,Conmat,173.27999999999994
2020-03-30,18.13,18.53,36.66,-0.4,28.42,TASCO,Conmat,172.87999999999994
2020-03-31,32.05,18.16,50.21,13.88,17.56,TASCO,Conmat,186.75999999999993
2020-04-01,28.99,51.93,80.92,-22.94,26.51,TASCO,Conmat,163.81999999999994
2020-04-02,20.37,10.57,30.94,9.8,24.42,TASCO,Conmat,173.61999999999995
2020-04-03,16.27,19.32,35.59,-3.05,26.27,TASCO,Conmat,170.56999999999994
2020-04-07,71.7,109.04,180.74,-37.35,27.08,TASCO,Conmat,133.21999999999994
2020-04-08,14.73,10.9,25.63,3.83,12.74,TASCO,Conmat,137.04999999999995
2020-04-09,27.67,46.24,73.91,-18.57,19.84,TASCO,Conmat,118.47999999999996
2020-04-10,32.33,19.95,52.28,12.38,16.96,TASCO,Conmat,130.85999999999996
2020-04-13,27.82,11.58,39.4,16.24,14.98,TASCO,Conmat,147.09999999999997
2020-04-14,29.01,25.88,54.9,3.13,11.64,TASCO,Conmat,150.22999999999996
2020-04-15,118.14,148.98,267.13,-30.84,21.2,TASCO,Conmat,119.38999999999996
2020-04-16,19.8,42.05,61.85,-22.24,16.63,TASCO,Conmat,97.14999999999996
2020-04-17,40.9,22.69,63.59,18.22,25.01,TASCO,Conmat,115.36999999999996
2020-04-20,32.9,25.17,58.06,7.73,26.74,TASCO,Conmat,123.09999999999997
2020-04-21,141.98,186.1,328.08,-44.11,24.02,TASCO,Conmat,78.98999999999997
2020-04-22,89.28,121.39,210.66,-32.11,16.47,TASCO,Conmat,46.87999999999997
2020-04-23,31.58,38.7,70.28,-7.12,13.18,TASCO,Conmat,39.75999999999997
2020-04-24,41.11,45.42,86.53,-4.31,17.02,TASCO,Conmat,35.44999999999997
2020-04-27,15.16,36.88,52.04,-21.72,15.21,TASCO,Conmat,13.729999999999968
2020-04-28,34.58,42.3,76.87,-7.72,16.66,TASCO,Conmat,6.009999999999969
2020-04-29,26.33,50.27,76.61,-23.94,19.71,TASCO,Conmat,-17.93000000000003
2020-04-30,26.81,24.7,51.51,2.11,15.11,TASCO,Conmat,-15.820000000000032
2020-05-05,7.13,23.34,30.47,-16.21,23.42,TASCO,Conmat,-32.03000000000003
2020-05-07,12.89,51.1,63.99,-38.21,20.07,TASCO,Conmat,-70.24000000000004
2020-05-08,23.73,31.49,55.22,-7.76,22.6,TASCO,Conmat,-78.00000000000004
2020-05-11,24.17,63.6,87.77,-39.43,18.49,TASCO,Conmat,-117.43000000000004
2020-05-12,88.82,114.27,203.09,-25.44,16.71,TASCO,Conmat,-142.87000000000003
2020-05-13,39.49,39.0,78.49,0.49,10.83,TASCO,Conmat,-142.38000000000002
2020-05-14,35.2,45.33,80.52,-10.13,19.76,TASCO,Conmat,-152.51000000000002
