date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,4.07,1.73,5.8,2.35,22.2,TFG,Food,2.35
2020-01-03,31.65,5.9,37.55,25.76,20.26,TFG,Food,28.110000000000003
2020-01-06,6.12,3.59,9.71,2.53,9.1,TFG,Food,30.640000000000004
2020-01-07,2.98,2.61,5.59,0.37,10.8,TFG,Food,31.010000000000005
2020-01-08,0.99,2.18,3.17,-1.18,10.16,TFG,Food,29.830000000000005
2020-01-09,25.9,8.18,34.08,17.72,16.71,TFG,Food,47.550000000000004
2020-01-10,5.51,4.0,9.5,1.51,15.65,TFG,Food,49.06
2020-01-13,2.43,3.65,6.08,-1.22,9.43,TFG,Food,47.84
2020-01-14,1.54,2.1,3.64,-0.56,9.22,TFG,Food,47.28
2020-01-15,4.57,10.96,15.53,-6.39,10.59,TFG,Food,40.89
2020-01-16,6.23,3.74,9.97,2.49,15.08,TFG,Food,43.38
2020-01-17,3.06,2.2,5.27,0.86,23.89,TFG,Food,44.24
2020-01-20,10.4,5.98,16.38,4.42,12.85,TFG,Food,48.660000000000004
2020-01-21,3.11,10.69,13.81,-7.58,12.73,TFG,Food,41.080000000000005
2020-01-22,2.91,1.2,4.11,1.72,8.44,TFG,Food,42.800000000000004
2020-01-23,6.25,2.34,8.6,3.91,10.2,TFG,Food,46.71000000000001
2020-01-24,8.47,0.67,9.14,7.81,15.39,TFG,Food,54.52000000000001
2020-01-27,5.14,5.48,10.63,-0.34,12.09,TFG,Food,54.18000000000001
2020-01-28,3.69,3.15,6.83,0.54,9.5,TFG,Food,54.720000000000006
2020-01-29,7.2,2.88,10.08,4.32,11.7,TFG,Food,59.040000000000006
2020-01-30,5.79,0.85,6.63,4.94,19.06,TFG,Food,63.980000000000004
2020-01-31,0.37,3.49,3.86,-3.12,19.17,TFG,Food,60.86000000000001
2020-02-03,3.42,5.84,9.26,-2.42,18.84,TFG,Food,58.440000000000005
2020-02-04,2.92,2.44,5.36,0.49,15.3,TFG,Food,58.93000000000001
2020-02-05,0.74,5.33,6.07,-4.59,10.62,TFG,Food,54.34
2020-02-06,1.44,5.11,6.54,-3.67,8.72,TFG,Food,50.67
2020-02-07,4.08,2.5,6.58,1.58,10.03,TFG,Food,52.25
2020-02-11,11.05,2.99,14.04,8.06,13.58,TFG,Food,60.31
2020-02-12,5.34,1.78,7.12,3.56,11.45,TFG,Food,63.870000000000005
2020-02-13,1.48,8.0,9.48,-6.52,8.03,TFG,Food,57.35000000000001
2020-02-14,5.28,10.44,15.72,-5.15,18.64,TFG,Food,52.20000000000001
2020-02-17,1.88,1.57,3.44,0.31,18.22,TFG,Food,52.51000000000001
2020-02-18,1.94,1.54,3.48,0.41,14.19,TFG,Food,52.92000000000001
2020-02-19,1.83,8.43,10.26,-6.6,17.31,TFG,Food,46.32000000000001
2020-02-20,3.74,1.57,5.3,2.17,8.08,TFG,Food,48.49000000000001
2020-02-21,3.2,4.13,7.33,-0.93,17.4,TFG,Food,47.56000000000001
2020-02-24,7.74,4.58,12.32,3.16,31.08,TFG,Food,50.72000000000001
2020-02-25,1.98,2.34,4.31,-0.36,11.3,TFG,Food,50.360000000000014
2020-02-26,3.01,6.46,9.47,-3.45,12.88,TFG,Food,46.91000000000001
2020-02-27,7.27,0.94,8.21,6.32,0.84,TFG,Food,53.23000000000001
2020-02-28,4.3,1.94,6.24,2.36,24.46,TFG,Food,55.59000000000001
2020-03-02,1.1,4.72,5.82,-3.63,21.43,TFG,Food,51.96000000000001
2020-03-03,2.09,16.53,18.63,-14.44,22.28,TFG,Food,37.52000000000001
2020-03-04,1.64,12.25,13.89,-10.6,24.79,TFG,Food,26.92000000000001
2020-03-05,9.98,7.19,17.16,2.79,18.79,TFG,Food,29.710000000000008
2020-03-06,1.58,0.23,1.81,1.35,9.3,TFG,Food,31.06000000000001
2020-03-09,2.11,4.63,6.74,-2.52,12.37,TFG,Food,28.54000000000001
2020-03-10,1.9,2.77,4.67,-0.88,10.68,TFG,Food,27.66000000000001
2020-03-11,2.54,0.64,3.18,1.91,15.34,TFG,Food,29.57000000000001
2020-03-12,1.04,4.54,5.58,-3.5,12.59,TFG,Food,26.07000000000001
2020-03-13,1.65,5.17,6.82,-3.52,17.28,TFG,Food,22.55000000000001
2020-03-16,1.34,4.99,6.33,-3.65,15.57,TFG,Food,18.900000000000013
2020-03-17,5.84,3.11,8.95,2.73,1.63,TFG,Food,21.630000000000013
2020-03-18,1.81,2.34,4.15,-0.52,14.99,TFG,Food,21.110000000000014
2020-03-19,0.27,2.25,2.52,-1.98,0.61,TFG,Food,19.130000000000013
2020-03-20,2.16,1.83,3.99,0.33,11.14,TFG,Food,19.46000000000001
2020-03-23,1.44,2.15,3.59,-0.71,19.78,TFG,Food,18.75000000000001
2020-03-24,1.28,3.52,4.81,-2.24,10.26,TFG,Food,16.510000000000012
