date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2025-05-15,0.06,0.08,0.14,-0.02,0.01,TIDLOR,Finance,-0.02
2025-05-16,18.11,0.01,18.11,18.1,5.46,TIDLOR,Finance,18.080000000000002
2025-05-19,38.75,44.57,83.32,-5.83,18.02,TIDLOR,Finance,12.250000000000002
2025-05-20,48.14,19.99,68.13,28.15,19.53,TIDLOR,Finance,40.4
2025-05-21,30.65,31.0,61.65,-0.36,11.72,TIDLOR,Finance,40.04
2025-05-22,37.95,16.0,53.95,21.94,17.24,TIDLOR,Finance,61.980000000000004
2025-05-23,42.77,14.42,57.19,28.36,12.44,TIDLOR,Finance,90.34
2025-05-26,76.35,23.87,100.22,52.48,17.73,TIDLOR,Finance,142.82
2025-05-27,32.7,23.63,56.33,9.07,15.79,TIDLOR,Finance,151.89
2025-05-28,27.41,21.89,49.29,5.52,15.44,TIDLOR,Finance,157.41
2025-05-29,29.7,45.67,75.38,-15.97,23.77,TIDLOR,Finance,141.44
2025-05-30,34.69,47.23,81.92,-12.55,14.58,TIDLOR,Finance,128.89
2025-06-04,49.85,34.59,84.44,15.26,15.63,TIDLOR,Finance,144.14999999999998
2025-06-05,17.82,12.09,29.91,5.73,9.76,TIDLOR,Finance,149.87999999999997
2025-06-06,6.03,28.33,34.36,-22.3,16.78,TIDLOR,Finance,127.57999999999997
2025-06-09,6.53,2.44,8.96,4.09,14.3,TIDLOR,Finance,131.66999999999996
2025-06-10,5.38,5.67,11.05,-0.29,16.02,TIDLOR,Finance,131.37999999999997
2025-06-11,27.69,15.32,43.01,12.37,11.37,TIDLOR,Finance,143.74999999999997
2025-06-12,6.2,14.47,20.67,-8.27,11.57,TIDLOR,Finance,135.47999999999996
2025-06-13,7.16,56.5,63.65,-49.34,26.14,TIDLOR,Finance,86.13999999999996
2025-06-16,33.13,74.82,107.95,-41.7,50.03,TIDLOR,Finance,44.439999999999955
2025-06-17,89.49,140.11,229.59,-50.62,38.41,TIDLOR,Finance,-6.180000000000042
2025-06-18,15.8,49.95,65.75,-34.15,37.06,TIDLOR,Finance,-40.33000000000004
2025-06-19,49.91,63.91,113.81,-14.0,20.9,TIDLOR,Finance,-54.33000000000004
2025-06-20,30.04,106.4,136.44,-76.36,38.46,TIDLOR,Finance,-130.69000000000005
2025-06-23,17.91,21.42,39.34,-3.51,40.7,TIDLOR,Finance,-134.20000000000005
2025-06-24,51.55,35.65,87.2,15.9,29.79,TIDLOR,Finance,-118.30000000000004
2025-06-25,32.7,23.71,56.41,9.0,23.6,TIDLOR,Finance,-109.30000000000004
2025-06-26,35.26,30.47,65.73,4.8,26.55,TIDLOR,Finance,-104.50000000000004
2025-06-27,18.05,25.3,43.35,-7.24,24.14,TIDLOR,Finance,-111.74000000000004
2025-06-30,25.37,179.52,204.89,-154.15,31.69,TIDLOR,Finance,-265.89000000000004
2025-07-01,17.21,15.22,32.43,1.99,21.56,TIDLOR,Finance,-263.90000000000003
2025-07-02,21.05,21.7,42.75,-0.65,20.0,TIDLOR,Finance,-264.55
2025-07-03,14.22,37.58,51.8,-23.36,17.97,TIDLOR,Finance,-287.91
2025-07-04,6.42,17.95,24.36,-11.53,14.16,TIDLOR,Finance,-299.44
2025-07-07,13.94,12.31,26.25,1.64,31.07,TIDLOR,Finance,-297.8
2025-07-08,11.65,6.2,17.85,5.45,16.68,TIDLOR,Finance,-292.35
2025-07-09,7.37,12.05,19.43,-4.68,22.61,TIDLOR,Finance,-297.03000000000003
2025-07-11,30.41,15.66,46.07,14.75,29.32,TIDLOR,Finance,-282.28000000000003
2025-07-14,19.18,12.13,31.3,7.05,18.39,TIDLOR,Finance,-275.23
2025-07-15,106.64,40.32,146.95,66.32,12.7,TIDLOR,Finance,-208.91000000000003
2025-07-16,33.71,37.56,71.27,-3.84,23.34,TIDLOR,Finance,-212.75000000000003
2025-07-17,51.94,54.79,106.73,-2.85,23.85,TIDLOR,Finance,-215.60000000000002
2025-07-18,64.91,56.52,121.44,8.39,30.49,TIDLOR,Finance,-207.21000000000004
2025-07-21,43.53,35.45,78.97,8.08,24.08,TIDLOR,Finance,-199.13000000000002
2025-07-22,91.35,63.55,154.9,27.8,29.14,TIDLOR,Finance,-171.33
2025-07-23,71.83,49.14,120.97,22.7,33.07,TIDLOR,Finance,-148.63000000000002
2025-07-24,32.54,16.36,48.9,16.19,22.41,TIDLOR,Finance,-132.44000000000003
2025-07-25,34.55,87.52,122.07,-52.98,15.04,TIDLOR,Finance,-185.42000000000002
2025-07-29,64.28,56.17,120.44,8.11,17.24,TIDLOR,Finance,-177.31
2025-07-30,179.71,88.41,268.12,91.31,17.51,TIDLOR,Finance,-86.0
2025-07-31,30.63,52.73,83.37,-22.1,18.29,TIDLOR,Finance,-108.1
2025-08-01,90.58,35.47,126.06,55.11,19.21,TIDLOR,Finance,-52.989999999999995
2025-08-04,29.16,39.98,69.14,-10.81,21.23,TIDLOR,Finance,-63.8
2025-08-05,56.53,42.08,98.61,14.45,17.59,TIDLOR,Finance,-49.349999999999994
2025-08-06,97.23,37.2,134.42,60.03,16.38,TIDLOR,Finance,10.680000000000007
2025-08-07,58.91,42.56,101.47,16.34,17.23,TIDLOR,Finance,27.020000000000007
2025-08-08,90.77,104.98,195.76,-14.21,19.22,TIDLOR,Finance,12.810000000000006
2025-08-13,256.99,139.99,396.98,117.01,2.1,TIDLOR,Finance,129.82000000000002
2025-08-14,130.13,103.85,233.98,26.27,19.89,TIDLOR,Finance,156.09000000000003
2025-08-15,107.55,65.44,172.99,42.1,21.49,TIDLOR,Finance,198.19000000000003
