date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,132.12,82.81,214.93,49.31,22.44,TISCO,Banking,49.31
2020-01-03,48.35,107.31,155.66,-58.96,28.57,TISCO,Banking,-9.649999999999999
2020-01-06,104.07,27.1,131.17,76.97,24.37,TISCO,Banking,67.32
2020-01-07,158.01,82.64,240.65,75.37,20.87,TISCO,Banking,142.69
2020-01-08,60.54,31.85,92.39,28.69,23.12,TISCO,Banking,171.38
2020-01-09,96.73,79.92,176.65,16.81,29.15,TISCO,Banking,188.19
2020-01-10,171.39,129.54,300.93,41.84,31.01,TISCO,Banking,230.03
2020-01-13,103.13,76.57,179.69,26.56,20.45,TISCO,Banking,256.59
2020-01-14,133.7,65.3,198.99,68.4,27.36,TISCO,Banking,324.99
2020-01-15,198.05,155.56,353.6,42.49,40.02,TISCO,Banking,367.48
2020-01-16,76.07,48.92,124.99,27.15,17.69,TISCO,Banking,394.63
2020-01-17,61.05,59.97,121.02,1.08,18.43,TISCO,Banking,395.71
2020-01-20,70.55,16.5,87.05,54.05,15.3,TISCO,Banking,449.76
2020-01-21,67.71,26.98,94.69,40.73,19.38,TISCO,Banking,490.49
2020-01-22,166.96,74.16,241.12,92.81,25.42,TISCO,Banking,583.3
2020-01-23,83.27,60.2,143.47,23.07,22.19,TISCO,Banking,606.37
2020-01-24,52.38,80.42,132.8,-28.04,31.41,TISCO,Banking,578.33
2020-01-27,91.59,95.01,186.6,-3.42,20.75,TISCO,Banking,574.9100000000001
2020-01-28,37.19,36.68,73.87,0.52,13.42,TISCO,Banking,575.4300000000001
2020-01-29,49.36,97.94,147.29,-48.58,21.36,TISCO,Banking,526.85
2020-01-30,29.68,70.01,99.7,-40.33,27.98,TISCO,Banking,486.52000000000004
2020-01-31,143.34,77.85,221.19,65.49,28.75,TISCO,Banking,552.01
2020-02-03,100.1,102.0,202.09,-1.9,20.38,TISCO,Banking,550.11
2020-02-04,99.23,133.28,232.51,-34.06,24.58,TISCO,Banking,516.05
2020-02-05,160.91,145.83,306.74,15.09,33.61,TISCO,Banking,531.14
2020-02-06,182.79,77.07,259.86,105.72,29.29,TISCO,Banking,636.86
2020-02-07,139.63,128.19,267.82,11.44,37.71,TISCO,Banking,648.3000000000001
2020-02-11,56.63,80.26,136.9,-23.63,29.68,TISCO,Banking,624.6700000000001
2020-02-12,124.31,64.89,189.2,59.42,34.16,TISCO,Banking,684.09
2020-02-13,74.14,53.33,127.47,20.81,30.33,TISCO,Banking,704.9
2020-02-14,64.82,90.86,155.68,-26.05,20.96,TISCO,Banking,678.85
2020-02-17,13.05,41.92,54.96,-28.87,17.97,TISCO,Banking,649.98
2020-02-18,46.47,42.85,89.33,3.62,19.24,TISCO,Banking,653.6
2020-02-19,103.58,59.8,163.38,43.79,30.32,TISCO,Banking,697.39
2020-02-20,71.17,55.4,126.57,15.77,26.84,TISCO,Banking,713.16
2020-02-21,24.56,69.77,94.33,-45.22,24.62,TISCO,Banking,667.9399999999999
2020-02-24,66.1,260.55,326.65,-194.44,31.09,TISCO,Banking,473.49999999999994
2020-02-25,64.31,109.69,173.99,-45.38,23.12,TISCO,Banking,428.11999999999995
2020-02-26,137.15,244.68,381.83,-107.52,23.87,TISCO,Banking,320.59999999999997
2020-02-27,129.25,227.67,356.92,-98.43,29.0,TISCO,Banking,222.16999999999996
2020-02-28,333.28,236.05,569.33,97.23,30.81,TISCO,Banking,319.4
2020-03-02,195.37,345.26,540.63,-149.89,45.76,TISCO,Banking,169.51
2020-03-03,128.2,120.35,248.55,7.85,25.31,TISCO,Banking,177.35999999999999
2020-03-04,69.26,57.84,127.1,11.42,22.13,TISCO,Banking,188.77999999999997
2020-03-05,87.85,82.04,169.89,5.8,30.5,TISCO,Banking,194.57999999999998
2020-03-06,77.44,81.38,158.82,-3.94,20.1,TISCO,Banking,190.64
2020-03-09,189.03,348.99,538.02,-159.96,27.97,TISCO,Banking,30.67999999999998
2020-03-10,127.87,178.28,306.14,-50.41,32.1,TISCO,Banking,-19.730000000000018
2020-03-11,224.54,265.81,490.35,-41.27,31.13,TISCO,Banking,-61.00000000000002
2020-03-12,377.53,195.53,573.06,182.0,31.66,TISCO,Banking,120.99999999999997
2020-03-13,394.42,419.22,813.64,-24.8,33.6,TISCO,Banking,96.19999999999997
2020-03-16,231.51,232.29,463.8,-0.77,35.3,TISCO,Banking,95.42999999999998
2020-03-17,309.85,332.47,642.32,-22.62,24.85,TISCO,Banking,72.80999999999997
2020-03-18,204.5,139.04,343.54,65.46,23.49,TISCO,Banking,138.26999999999998
2020-03-19,218.12,328.53,546.65,-110.41,29.85,TISCO,Banking,27.859999999999985
2020-03-20,238.17,353.97,592.14,-115.8,16.76,TISCO,Banking,-87.94000000000001
2020-03-23,163.09,170.44,333.52,-7.35,23.18,TISCO,Banking,-95.29
2020-03-24,114.53,123.95,238.48,-9.42,29.21,TISCO,Banking,-104.71000000000001
2020-03-25,179.84,158.42,338.26,21.41,16.86,TISCO,Banking,-83.30000000000001
2020-03-26,221.77,132.24,354.02,89.53,20.19,TISCO,Banking,6.22999999999999
2020-03-27,335.4,303.96,639.36,31.44,25.5,TISCO,Banking,37.66999999999999
2020-03-30,144.76,156.71,301.47,-11.95,33.17,TISCO,Banking,25.719999999999988
2020-03-31,313.95,322.32,636.27,-8.38,35.64,TISCO,Banking,17.33999999999999
2020-04-01,106.28,185.57,291.85,-79.3,27.63,TISCO,Banking,-61.96000000000001
2020-04-02,151.53,107.93,259.46,43.6,20.81,TISCO,Banking,-18.360000000000007
2020-04-03,93.21,183.39,276.6,-90.18,29.0,TISCO,Banking,-108.54000000000002
2020-04-07,325.71,365.57,691.28,-39.85,26.72,TISCO,Banking,-148.39000000000001
2020-04-08,208.43,161.71,370.14,46.71,20.17,TISCO,Banking,-101.68
2020-04-09,168.89,255.08,423.97,-86.2,14.41,TISCO,Banking,-187.88
2020-04-10,172.81,138.22,311.03,34.58,13.64,TISCO,Banking,-153.3
2020-04-13,332.55,253.88,586.43,78.67,30.75,TISCO,Banking,-74.63000000000001
2020-04-14,83.93,161.59,245.53,-77.66,15.08,TISCO,Banking,-152.29000000000002
2020-04-15,72.0,136.17,208.17,-64.17,12.68,TISCO,Banking,-216.46000000000004
2020-04-16,109.72,132.67,242.39,-22.96,15.19,TISCO,Banking,-239.42000000000004
2020-04-17,93.97,188.11,282.08,-94.14,18.03,TISCO,Banking,-333.56000000000006
2020-04-20,172.45,121.26,293.71,51.18,13.24,TISCO,Banking,-282.38000000000005
2020-04-21,107.43,171.18,278.6,-63.75,19.7,TISCO,Banking,-346.13000000000005
2020-04-22,146.14,188.39,334.53,-42.25,20.51,TISCO,Banking,-388.38000000000005
2020-04-23,314.71,344.39,659.1,-29.68,27.19,TISCO,Banking,-418.06000000000006
2020-04-24,141.57,234.52,376.09,-92.95,12.81,TISCO,Banking,-511.01000000000005
