date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2022-07-25,293.25,123.3,416.55,169.95,2.02,TLI,Insurance,169.95
2022-07-26,156.81,163.7,320.52,-6.89,3.79,TLI,Insurance,163.06
2022-07-27,73.44,40.44,113.88,32.99,2.96,TLI,Insurance,196.05
2022-08-01,100.44,44.12,144.57,56.32,7.67,TLI,Insurance,252.37
2022-08-02,62.88,37.34,100.21,25.54,2.7,TLI,Insurance,277.91
2022-08-03,88.87,4.51,93.38,84.37,12.31,TLI,Insurance,362.28000000000003
2022-08-04,25.68,35.23,60.91,-9.55,1.57,TLI,Insurance,352.73
2022-08-05,49.01,42.19,91.2,6.82,4.08,TLI,Insurance,359.55
2022-08-08,7.86,6.39,14.25,1.48,2.23,TLI,Insurance,361.03000000000003
2022-08-09,41.84,20.26,62.1,21.58,2.89,TLI,Insurance,382.61
2022-08-10,24.7,20.64,45.34,4.06,2.44,TLI,Insurance,386.67
2022-08-11,29.6,24.54,54.14,5.07,5.34,TLI,Insurance,391.74
2022-08-15,54.7,35.64,90.34,19.07,2.55,TLI,Insurance,410.81
2022-08-16,10.62,12.2,22.82,-1.58,0.9,TLI,Insurance,409.23
2022-08-17,9.53,23.8,33.33,-14.27,1.16,TLI,Insurance,394.96000000000004
2022-08-18,14.66,34.26,48.92,-19.61,3.14,TLI,Insurance,375.35
2022-08-19,74.63,30.74,105.37,43.89,2.87,TLI,Insurance,419.24
2022-08-22,17.35,19.02,36.37,-1.67,2.52,TLI,Insurance,417.57
2022-08-23,70.44,69.64,140.08,0.8,8.21,TLI,Insurance,418.37
2022-08-24,61.87,13.09,74.96,48.78,6.39,TLI,Insurance,467.15
2022-08-25,66.7,2.67,69.37,64.03,5.53,TLI,Insurance,531.18
2022-08-26,27.89,2.66,30.55,25.23,2.27,TLI,Insurance,556.41
2022-08-29,49.8,23.16,72.96,26.64,7.43,TLI,Insurance,583.05
