date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,9.82,8.86,18.68,0.96,13.68,TOA,Conmat,0.96
2020-01-03,28.27,33.9,62.17,-5.62,19.36,TOA,Conmat,-4.66
2020-01-06,29.41,10.59,40.0,18.82,25.74,TOA,Conmat,14.16
2020-01-07,40.25,10.85,51.1,29.41,25.52,TOA,Conmat,43.57
2020-01-08,21.39,22.23,43.62,-0.84,22.98,TOA,Conmat,42.73
2020-01-09,53.58,23.9,77.49,29.68,27.14,TOA,Conmat,72.41
2020-01-10,7.09,5.0,12.09,2.09,17.36,TOA,Conmat,74.5
2020-01-13,18.68,10.81,29.5,7.87,17.07,TOA,Conmat,82.37
2020-01-14,13.6,6.11,19.71,7.49,20.67,TOA,Conmat,89.86
2020-01-15,27.49,15.69,43.18,11.8,20.12,TOA,Conmat,101.66
2020-01-16,20.31,37.11,57.43,-16.8,25.89,TOA,Conmat,84.86
2020-01-17,9.15,51.23,60.38,-42.08,22.56,TOA,Conmat,42.78
2020-01-20,28.89,12.06,40.94,16.83,23.1,TOA,Conmat,59.61
2020-01-21,34.84,12.64,47.48,22.19,26.78,TOA,Conmat,81.8
2020-01-22,30.84,30.1,60.95,0.74,26.68,TOA,Conmat,82.53999999999999
2020-01-23,4.61,9.0,13.61,-4.39,21.89,TOA,Conmat,78.14999999999999
2020-01-24,12.35,10.87,23.22,1.48,18.3,TOA,Conmat,79.63
2020-01-27,14.95,37.21,52.16,-22.26,34.71,TOA,Conmat,57.36999999999999
2020-01-28,31.65,20.84,52.49,10.81,33.21,TOA,Conmat,68.17999999999999
2020-01-29,8.59,14.28,22.87,-5.7,25.75,TOA,Conmat,62.47999999999999
2020-01-30,4.14,10.02,14.15,-5.88,12.13,TOA,Conmat,56.59999999999999
2020-01-31,4.24,6.68,10.92,-2.44,11.53,TOA,Conmat,54.15999999999999
2020-02-03,10.11,14.03,24.14,-3.92,17.67,TOA,Conmat,50.23999999999999
2020-02-04,13.89,23.6,37.49,-9.71,25.42,TOA,Conmat,40.52999999999999
2020-02-05,8.79,6.51,15.3,2.28,15.24,TOA,Conmat,42.80999999999999
2020-02-06,15.02,14.91,29.93,0.1,9.88,TOA,Conmat,42.90999999999999
2020-02-07,7.69,5.61,13.3,2.09,19.73,TOA,Conmat,44.999999999999986
