date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2023-03-03,2179.74,888.76,3068.5,1290.98,23.08,TRUE,ICT,1290.98
2023-03-07,3043.88,3777.22,6821.11,-733.34,47.43,TRUE,ICT,557.64
2023-03-08,385.26,523.63,908.89,-138.36,34.38,TRUE,ICT,419.28
2023-03-09,274.96,181.79,456.75,93.17,26.23,TRUE,ICT,512.4499999999999
2023-03-10,133.12,192.31,325.43,-59.19,21.7,TRUE,ICT,453.25999999999993
2023-03-13,266.13,248.15,514.29,17.98,25.01,TRUE,ICT,471.23999999999995
2023-03-14,405.11,399.89,805.0,5.22,25.18,TRUE,ICT,476.46
2023-03-15,217.54,171.01,388.55,46.53,21.16,TRUE,ICT,522.99
2023-03-16,139.53,148.71,288.24,-9.18,16.95,TRUE,ICT,513.8100000000001
2023-03-17,466.59,268.56,735.15,198.03,39.74,TRUE,ICT,711.84
2023-03-20,184.32,168.09,352.4,16.23,23.81,TRUE,ICT,728.07
2023-03-21,300.51,109.84,410.35,190.67,25.01,TRUE,ICT,918.74
2023-03-22,107.67,102.8,210.46,4.87,10.47,TRUE,ICT,923.61
2023-03-23,170.79,99.58,270.36,71.21,17.22,TRUE,ICT,994.82
2023-03-24,132.29,134.86,267.15,-2.57,21.27,TRUE,ICT,992.25
2023-03-27,82.46,107.11,189.56,-24.65,25.29,TRUE,ICT,967.6
2023-03-28,136.19,160.14,296.32,-23.95,32.26,TRUE,ICT,943.65
2023-03-29,244.29,119.46,363.75,124.83,32.73,TRUE,ICT,1068.48
2023-03-30,227.72,195.51,423.23,32.21,29.8,TRUE,ICT,1100.69
2023-03-31,132.72,70.84,203.57,61.88,28.44,TRUE,ICT,1162.5700000000002
2023-04-03,29.33,36.31,65.64,-6.99,27.45,TRUE,ICT,1155.5800000000002
2023-04-04,105.76,62.4,168.16,43.37,20.62,TRUE,ICT,1198.95
2023-04-05,72.43,80.37,152.8,-7.94,24.88,TRUE,ICT,1191.01
2023-04-07,34.5,18.0,52.5,16.5,29.79,TRUE,ICT,1207.51
2023-04-10,80.5,132.52,213.02,-52.02,39.96,TRUE,ICT,1155.49
2023-04-11,52.34,41.84,94.18,10.49,44.98,TRUE,ICT,1165.98
2023-04-12,115.52,116.36,231.89,-0.84,40.0,TRUE,ICT,1165.14
2023-04-17,69.42,114.0,183.42,-44.58,36.49,TRUE,ICT,1120.5600000000002
2023-04-18,85.49,148.43,233.93,-62.94,28.22,TRUE,ICT,1057.6200000000001
2023-04-19,112.79,167.59,280.38,-54.79,23.28,TRUE,ICT,1002.8300000000002
2023-04-20,20.77,88.71,109.48,-67.94,23.24,TRUE,ICT,934.8900000000001
2023-04-21,10.5,101.57,112.07,-91.07,20.98,TRUE,ICT,843.8200000000002
2023-04-24,32.58,93.17,125.76,-60.59,35.3,TRUE,ICT,783.2300000000001
2023-04-25,108.88,155.15,264.03,-46.26,30.06,TRUE,ICT,736.9700000000001
2023-04-26,61.34,110.51,171.85,-49.16,34.17,TRUE,ICT,687.8100000000002
2023-04-27,78.57,225.0,303.56,-146.43,36.85,TRUE,ICT,541.3800000000001
2023-04-28,77.02,118.29,195.31,-41.27,31.06,TRUE,ICT,500.1100000000001
2023-05-02,135.67,59.74,195.41,75.93,39.51,TRUE,ICT,576.0400000000002
2023-05-03,47.12,170.6,217.72,-123.48,33.67,TRUE,ICT,452.5600000000002
2023-05-08,266.5,346.35,612.85,-79.84,41.7,TRUE,ICT,372.72000000000014
2023-05-09,112.21,135.71,247.92,-23.5,30.87,TRUE,ICT,349.22000000000014
