date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,149.27,267.54,416.81,-118.26,30.15,TTB,Banking,-118.26
2020-01-03,128.75,231.79,360.54,-103.05,29.06,TTB,Banking,-221.31
2020-01-06,177.31,92.94,270.25,84.37,21.1,TTB,Banking,-136.94
2020-01-07,156.12,172.48,328.6,-16.36,26.4,TTB,Banking,-153.3
2020-01-08,203.36,145.27,348.62,58.09,22.1,TTB,Banking,-95.21000000000001
2020-01-09,198.37,157.66,356.03,40.71,31.12,TTB,Banking,-54.50000000000001
2020-01-10,170.01,248.42,418.43,-78.41,40.84,TTB,Banking,-132.91
2020-01-13,88.59,82.04,170.63,6.55,42.43,TTB,Banking,-126.36
2020-01-14,64.01,82.64,146.65,-18.63,32.47,TTB,Banking,-144.99
2020-01-15,118.71,124.35,243.06,-5.64,38.31,TTB,Banking,-150.63
2020-01-16,41.06,114.8,155.86,-73.73,24.45,TTB,Banking,-224.36
2020-01-17,54.35,138.69,193.04,-84.33,18.02,TTB,Banking,-308.69
2020-01-20,108.49,67.03,175.52,41.46,23.8,TTB,Banking,-267.23
2020-01-21,143.0,121.14,264.15,21.86,33.52,TTB,Banking,-245.37
2020-01-22,94.35,113.16,207.52,-18.81,41.0,TTB,Banking,-264.18
2020-01-23,41.19,66.13,107.32,-24.94,35.68,TTB,Banking,-289.12
2020-01-24,61.23,63.53,124.76,-2.31,33.63,TTB,Banking,-291.43
2020-01-27,93.31,133.31,226.62,-40.0,19.08,TTB,Banking,-331.43
2020-01-28,55.05,72.78,127.83,-17.73,22.31,TTB,Banking,-349.16
2020-01-29,36.01,56.39,92.4,-20.38,28.33,TTB,Banking,-369.54
2020-01-30,30.42,66.19,96.61,-35.77,31.62,TTB,Banking,-405.31
2020-01-31,44.07,108.29,152.36,-64.23,29.37,TTB,Banking,-469.54
2020-02-03,22.36,63.0,85.36,-40.64,40.46,TTB,Banking,-510.18
2020-02-04,31.82,64.9,96.72,-33.08,26.1,TTB,Banking,-543.26
2020-02-05,55.13,71.75,126.89,-16.62,30.7,TTB,Banking,-559.88
2020-02-06,77.98,85.88,163.86,-7.91,28.58,TTB,Banking,-567.79
2020-02-07,208.02,106.05,314.07,101.97,37.44,TTB,Banking,-465.81999999999994
2020-02-11,125.21,97.4,222.61,27.8,31.53,TTB,Banking,-438.0199999999999
2020-02-12,85.24,47.53,132.77,37.71,33.68,TTB,Banking,-400.30999999999995
2020-02-13,47.17,72.0,119.16,-24.83,29.48,TTB,Banking,-425.13999999999993
2020-02-14,27.49,61.64,89.13,-34.15,31.22,TTB,Banking,-459.2899999999999
2020-02-17,51.81,38.81,90.62,13.0,32.18,TTB,Banking,-446.2899999999999
2020-02-18,40.61,40.51,81.12,0.1,26.73,TTB,Banking,-446.1899999999999
2020-02-19,81.07,80.67,161.74,0.4,20.95,TTB,Banking,-445.7899999999999
2020-02-20,129.07,75.49,204.56,53.59,17.67,TTB,Banking,-392.19999999999993
2020-02-21,86.73,40.05,126.78,46.68,27.6,TTB,Banking,-345.5199999999999
2020-02-24,145.79,83.15,228.94,62.64,24.27,TTB,Banking,-282.87999999999994
2020-02-25,135.87,98.93,234.8,36.93,29.29,TTB,Banking,-245.94999999999993
2020-02-26,249.67,77.25,326.91,172.42,22.37,TTB,Banking,-73.52999999999994
2020-02-27,167.72,90.57,258.28,77.15,31.0,TTB,Banking,3.6200000000000614
2020-02-28,154.43,207.11,361.54,-52.67,42.45,TTB,Banking,-49.04999999999994
2020-03-02,77.33,131.68,209.0,-54.35,30.95,TTB,Banking,-103.39999999999995
2020-03-03,68.36,234.58,302.94,-166.22,32.87,TTB,Banking,-269.61999999999995
2020-03-04,107.01,76.41,183.42,30.59,41.43,TTB,Banking,-239.02999999999994
2020-03-05,41.34,53.47,94.81,-12.13,20.74,TTB,Banking,-251.15999999999994
2020-03-06,77.15,73.65,150.8,3.49,16.85,TTB,Banking,-247.66999999999993
2020-03-09,97.46,115.78,213.24,-18.32,24.36,TTB,Banking,-265.98999999999995
2020-03-10,86.09,104.9,190.99,-18.81,29.13,TTB,Banking,-284.79999999999995
2020-03-11,63.34,78.17,141.51,-14.82,31.27,TTB,Banking,-299.61999999999995
2020-03-12,102.7,123.62,226.32,-20.92,23.12,TTB,Banking,-320.53999999999996
2020-03-13,103.59,126.27,229.86,-22.69,18.24,TTB,Banking,-343.22999999999996
2020-03-16,83.21,107.99,191.19,-24.78,28.13,TTB,Banking,-368.01
2020-03-17,52.43,37.9,90.34,14.53,20.39,TTB,Banking,-353.48
2020-03-18,42.33,58.08,100.41,-15.76,29.42,TTB,Banking,-369.24
2020-03-19,46.52,50.91,97.43,-4.39,23.59,TTB,Banking,-373.63
2020-03-20,126.4,173.97,300.37,-47.57,33.9,TTB,Banking,-421.2
2020-03-23,37.77,52.47,90.25,-14.7,16.63,TTB,Banking,-435.9
2020-03-24,50.11,26.84,76.95,23.27,15.14,TTB,Banking,-412.63
2020-03-25,79.43,34.92,114.36,44.51,22.9,TTB,Banking,-368.12
2020-03-26,74.96,55.57,130.53,19.38,19.63,TTB,Banking,-348.74
2020-03-27,72.51,49.73,122.24,22.78,15.86,TTB,Banking,-325.96000000000004
2020-03-30,28.9,18.36,47.26,10.54,24.57,TTB,Banking,-315.42
2020-03-31,58.9,102.27,161.17,-43.37,15.99,TTB,Banking,-358.79
2020-04-01,50.06,171.01,221.08,-120.95,23.12,TTB,Banking,-479.74
2020-04-02,37.37,85.4,122.77,-48.04,21.64,TTB,Banking,-527.78
2020-04-03,36.38,74.08,110.46,-37.7,22.71,TTB,Banking,-565.48
2020-04-07,76.96,25.91,102.87,51.04,16.76,TTB,Banking,-514.44
2020-04-08,62.16,65.34,127.5,-3.18,13.6,TTB,Banking,-517.62
2020-04-09,81.73,58.65,140.38,23.09,16.1,TTB,Banking,-494.53000000000003
2020-04-10,20.34,37.55,57.88,-17.21,14.31,TTB,Banking,-511.74
2020-04-13,28.73,34.98,63.71,-6.24,16.69,TTB,Banking,-517.98
2020-04-14,42.97,67.24,110.21,-24.26,19.32,TTB,Banking,-542.24
2020-04-15,25.31,62.01,87.33,-36.7,20.81,TTB,Banking,-578.94
2020-04-16,24.19,48.22,72.41,-24.02,16.18,TTB,Banking,-602.96
2020-04-17,23.47,28.36,51.83,-4.89,21.52,TTB,Banking,-607.85
2020-04-20,52.2,53.04,105.23,-0.84,16.32,TTB,Banking,-608.69
2020-04-21,44.79,79.22,124.01,-34.43,17.91,TTB,Banking,-643.12
2020-04-22,38.22,73.66,111.88,-35.44,17.59,TTB,Banking,-678.56
2020-04-23,7.8,13.86,21.66,-6.06,8.27,TTB,Banking,-684.6199999999999
2020-04-24,9.07,28.18,37.25,-19.11,15.56,TTB,Banking,-703.7299999999999
2020-04-27,12.24,11.44,23.68,0.8,13.9,TTB,Banking,-702.93
2020-04-28,63.63,66.52,130.15,-2.9,25.39,TTB,Banking,-705.8299999999999
2020-04-29,35.05,29.13,64.18,5.92,20.64,TTB,Banking,-699.91
2020-04-30,56.3,43.9,100.2,12.39,14.2,TTB,Banking,-687.52
2020-05-05,27.54,48.5,76.04,-20.97,12.43,TTB,Banking,-708.49
2020-05-07,67.75,52.74,120.48,15.01,18.58,TTB,Banking,-693.48
2020-05-08,31.98,31.29,63.28,0.69,17.31,TTB,Banking,-692.79
2020-05-11,65.14,7.49,72.63,57.66,15.16,TTB,Banking,-635.13
2020-05-12,28.89,26.14,55.03,2.76,22.6,TTB,Banking,-632.37
2020-05-13,54.52,49.22,103.74,5.3,19.26,TTB,Banking,-627.07
2020-05-14,30.98,18.92,49.9,12.05,24.92,TTB,Banking,-615.0200000000001
