date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,40.68,59.01,99.69,-18.34,19.17,VGI,Media,-18.34
2020-01-03,11.47,21.96,33.42,-10.49,15.46,VGI,Media,-28.83
2020-01-06,37.59,9.6,47.19,27.99,29.18,VGI,Media,-0.8399999999999999
2020-01-07,45.82,27.21,73.03,18.61,17.96,VGI,Media,17.77
2020-01-08,37.71,32.62,70.32,5.09,34.79,VGI,Media,22.86
2020-01-09,20.58,17.75,38.32,2.83,36.56,VGI,Media,25.689999999999998
2020-01-10,28.11,7.14,35.25,20.96,24.68,VGI,Media,46.65
2020-01-13,20.51,20.38,40.89,0.13,25.04,VGI,Media,46.78
2020-01-14,8.82,19.21,28.03,-10.39,16.45,VGI,Media,36.39
2020-01-15,72.83,32.39,105.22,40.44,28.06,VGI,Media,76.83
2020-01-16,12.56,21.09,33.65,-8.53,22.02,VGI,Media,68.3
2020-01-17,35.19,32.2,67.39,2.99,10.25,VGI,Media,71.28999999999999
2020-01-20,23.59,3.96,27.55,19.64,33.66,VGI,Media,90.92999999999999
2020-01-21,72.35,38.19,110.54,34.16,32.64,VGI,Media,125.08999999999999
2020-01-22,40.29,24.0,64.28,16.29,20.93,VGI,Media,141.38
2020-01-23,17.96,28.19,46.15,-10.23,27.52,VGI,Media,131.15
2020-01-24,6.9,16.98,23.87,-10.08,14.38,VGI,Media,121.07000000000001
2020-01-27,17.5,47.22,64.73,-29.72,25.29,VGI,Media,91.35000000000001
2020-01-28,76.77,68.39,145.16,8.38,17.22,VGI,Media,99.73
2020-01-29,188.53,115.15,303.68,73.38,21.66,VGI,Media,173.11
2020-01-30,83.75,42.4,126.15,41.34,11.93,VGI,Media,214.45000000000002
2020-01-31,35.76,66.23,101.99,-30.47,17.29,VGI,Media,183.98000000000002
2020-02-03,38.05,25.55,63.6,12.5,22.9,VGI,Media,196.48000000000002
2020-02-04,19.15,41.22,60.38,-22.07,24.86,VGI,Media,174.41000000000003
2020-02-05,12.87,37.76,50.63,-24.89,21.52,VGI,Media,149.52000000000004
