date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,30.6,57.67,88.28,-27.07,15.88,WHA,Property,-27.07
2020-01-03,47.13,40.82,87.94,6.31,14.96,WHA,Property,-20.76
2020-01-06,85.79,27.99,113.79,57.8,21.59,WHA,Property,37.03999999999999
2020-01-07,66.62,18.23,84.85,48.39,17.89,WHA,Property,85.42999999999999
2020-01-08,99.97,71.04,171.02,28.93,22.72,WHA,Property,114.35999999999999
2020-01-09,138.63,68.83,207.46,69.8,17.37,WHA,Property,184.15999999999997
2020-01-10,102.64,162.98,265.62,-60.34,26.66,WHA,Property,123.81999999999996
2020-01-13,59.12,51.79,110.91,7.33,21.02,WHA,Property,131.14999999999998
2020-01-14,73.37,81.74,155.11,-8.38,33.55,WHA,Property,122.76999999999998
2020-01-15,38.55,28.66,67.2,9.89,10.84,WHA,Property,132.65999999999997
2020-01-16,103.51,44.47,147.98,59.05,18.58,WHA,Property,191.70999999999998
2020-01-17,61.25,42.72,103.97,18.54,22.01,WHA,Property,210.24999999999997
2020-01-20,243.62,220.56,464.18,23.05,26.31,WHA,Property,233.29999999999998
2020-01-21,282.48,143.6,426.08,138.88,22.86,WHA,Property,372.17999999999995
2020-01-22,172.26,105.03,277.29,67.24,21.9,WHA,Property,439.41999999999996
2020-01-23,167.24,89.92,257.16,77.32,17.38,WHA,Property,516.74
2020-01-24,92.98,143.48,236.46,-50.5,14.72,WHA,Property,466.24
2020-01-27,43.49,152.27,195.76,-108.79,14.91,WHA,Property,357.45
2020-01-28,56.51,115.57,172.08,-59.05,19.56,WHA,Property,298.4
2020-01-29,69.11,139.72,208.83,-70.61,22.92,WHA,Property,227.78999999999996
2020-01-30,30.69,57.52,88.2,-26.83,18.87,WHA,Property,200.95999999999998
2020-01-31,31.96,100.48,132.44,-68.52,22.31,WHA,Property,132.44
2020-02-03,65.63,53.79,119.43,11.84,18.45,WHA,Property,144.28
2020-02-04,63.96,65.75,129.71,-1.79,23.2,WHA,Property,142.49
2020-02-05,209.82,165.84,375.66,43.98,27.09,WHA,Property,186.47
2020-02-06,161.68,171.22,332.9,-9.54,32.01,WHA,Property,176.93
2020-02-07,76.65,103.37,180.02,-26.72,24.88,WHA,Property,150.21
2020-02-11,89.81,53.73,143.54,36.07,26.29,WHA,Property,186.28
2020-02-12,66.14,99.23,165.37,-33.09,19.45,WHA,Property,153.19
2020-02-13,16.44,63.51,79.95,-47.06,19.16,WHA,Property,106.13
2020-02-14,97.62,140.22,237.84,-42.6,22.54,WHA,Property,63.529999999999994
2020-02-17,39.15,63.77,102.93,-24.62,19.42,WHA,Property,38.91
2020-02-18,18.2,19.83,38.03,-1.63,15.66,WHA,Property,37.279999999999994
2020-02-19,44.12,51.75,95.87,-7.64,18.6,WHA,Property,29.639999999999993
2020-02-20,77.37,57.61,134.98,19.76,28.01,WHA,Property,49.39999999999999
2020-02-21,43.25,52.94,96.19,-9.68,23.5,WHA,Property,39.71999999999999
2020-02-24,58.67,63.81,122.48,-5.14,18.98,WHA,Property,34.57999999999999
2020-02-25,72.31,76.98,149.29,-4.68,20.76,WHA,Property,29.89999999999999
2020-02-26,76.74,120.66,197.4,-43.92,28.78,WHA,Property,-14.02000000000001
2020-02-27,94.86,138.45,233.3,-43.59,33.63,WHA,Property,-57.610000000000014
2020-02-28,36.9,45.91,82.81,-9.01,22.57,WHA,Property,-66.62000000000002
2020-03-02,118.23,136.52,254.75,-18.28,30.44,WHA,Property,-84.90000000000002
2020-03-03,108.71,200.7,309.41,-91.99,30.42,WHA,Property,-176.89000000000001
2020-03-04,61.19,70.91,132.1,-9.71,25.59,WHA,Property,-186.60000000000002
2020-03-05,57.63,86.93,144.56,-29.29,22.36,WHA,Property,-215.89000000000001
2020-03-06,28.17,31.87,60.03,-3.7,20.17,WHA,Property,-219.59
2020-03-09,42.41,75.3,117.7,-32.89,24.98,WHA,Property,-252.48000000000002
2020-03-10,63.77,124.9,188.67,-61.12,30.27,WHA,Property,-313.6
2020-03-11,56.46,86.3,142.75,-29.84,30.54,WHA,Property,-343.44
2020-03-12,82.57,143.01,225.57,-60.44,25.6,WHA,Property,-403.88
2020-03-13,55.9,75.59,131.5,-19.69,19.91,WHA,Property,-423.57
2020-03-16,37.74,82.04,119.77,-44.3,29.88,WHA,Property,-467.87
2020-03-17,25.75,51.3,77.05,-25.55,22.73,WHA,Property,-493.42
2020-03-18,37.93,108.1,146.04,-70.17,36.03,WHA,Property,-563.59
2020-03-19,41.12,46.87,87.99,-5.74,25.92,WHA,Property,-569.33
2020-03-20,52.4,46.24,98.63,6.16,21.45,WHA,Property,-563.1700000000001
2020-03-23,20.79,31.25,52.03,-10.46,14.2,WHA,Property,-573.6300000000001
2020-03-24,51.12,86.84,137.95,-35.72,30.35,WHA,Property,-609.3500000000001
2020-03-25,33.44,89.57,123.01,-56.12,34.02,WHA,Property,-665.4700000000001
2020-03-26,48.41,87.12,135.53,-38.71,24.39,WHA,Property,-704.1800000000002
2020-03-27,93.29,60.68,153.97,32.6,23.05,WHA,Property,-671.5800000000002
2020-03-30,23.5,15.5,39.0,8.0,24.51,WHA,Property,-663.5800000000002
2020-03-31,42.48,29.72,72.19,12.76,23.6,WHA,Property,-650.8200000000002
2020-04-01,22.81,31.72,54.53,-8.9,20.68,WHA,Property,-659.7200000000001
2020-04-02,31.65,60.42,92.07,-28.78,1.33,WHA,Property,-688.5000000000001
2020-04-03,64.38,118.99,183.36,-54.61,2.39,WHA,Property,-743.1100000000001
2020-04-07,93.57,95.4,188.97,-1.83,19.7,WHA,Property,-744.9400000000002
2020-04-08,65.25,98.2,163.45,-32.95,23.34,WHA,Property,-777.8900000000002
2020-04-09,108.83,88.24,197.08,20.59,21.36,WHA,Property,-757.3000000000002
2020-04-10,60.09,66.67,126.76,-6.58,19.24,WHA,Property,-763.8800000000002
2020-04-13,98.72,66.46,165.18,32.25,17.04,WHA,Property,-731.6300000000002
2020-04-14,145.12,88.35,233.48,56.77,25.39,WHA,Property,-674.8600000000002
2020-04-15,134.36,79.0,213.35,55.36,23.27,WHA,Property,-619.5000000000002
2020-04-16,101.29,61.06,162.35,40.23,15.87,WHA,Property,-579.2700000000002
2020-04-17,78.16,24.19,102.36,53.97,19.37,WHA,Property,-525.3000000000002
2020-04-20,45.93,57.42,103.35,-11.49,19.51,WHA,Property,-536.7900000000002
2020-04-21,19.1,35.0,54.09,-15.9,15.51,WHA,Property,-552.6900000000002
2020-04-22,41.44,39.89,81.32,1.55,20.82,WHA,Property,-551.1400000000002
2020-04-23,52.09,57.93,110.01,-5.84,11.82,WHA,Property,-556.9800000000002
2020-04-24,55.18,72.33,127.51,-17.16,14.75,WHA,Property,-574.1400000000002
2020-04-27,14.36,30.78,45.14,-16.42,18.81,WHA,Property,-590.5600000000002
2020-04-28,44.27,64.41,108.68,-20.14,15.36,WHA,Property,-610.7000000000002
2020-04-29,16.5,15.26,31.77,1.24,10.43,WHA,Property,-609.4600000000002
2020-04-30,34.92,49.27,84.19,-14.35,14.29,WHA,Property,-623.8100000000002
2020-05-05,29.24,37.6,66.84,-8.35,18.21,WHA,Property,-632.1600000000002
2020-05-07,49.15,45.87,95.02,3.28,21.36,WHA,Property,-628.8800000000002
2020-05-08,33.87,30.86,64.73,3.0,18.89,WHA,Property,-625.8800000000002
2020-05-11,19.69,31.28,50.97,-11.59,12.45,WHA,Property,-637.4700000000003
2020-05-12,104.74,87.43,192.16,17.31,19.91,WHA,Property,-620.1600000000003
2020-05-13,27.31,61.08,88.39,-33.77,16.78,WHA,Property,-653.9300000000003
2020-05-14,21.92,36.69,58.61,-14.78,14.85,WHA,Property,-668.7100000000003
2020-05-15,21.95,35.96,57.92,-14.01,12.82,WHA,Property,-682.7200000000003
2020-05-18,28.51,27.85,56.36,0.66,15.71,WHA,Property,-682.0600000000003
2020-05-19,41.7,18.91,60.61,22.79,12.43,WHA,Property,-659.2700000000003
2020-05-20,172.71,139.68,312.39,33.03,10.14,WHA,Property,-626.2400000000004
2020-05-21,67.96,120.48,188.44,-52.53,12.73,WHA,Property,-678.7700000000003
2020-05-22,54.81,68.44,123.25,-13.63,8.98,WHA,Property,-692.4000000000003
2020-05-25,443.5,371.57,815.07,71.93,24.34,WHA,Property,-620.4700000000003
2020-05-26,73.35,132.46,205.81,-59.11,14.1,WHA,Property,-679.5800000000003
2020-05-27,115.8,98.43,214.24,17.37,14.99,WHA,Property,-662.2100000000003
2020-05-28,31.55,83.09,114.64,-51.54,12.3,WHA,Property,-713.7500000000002
2020-05-29,76.36,41.95,118.31,34.42,17.16,WHA,Property,-679.3300000000003
2020-06-01,78.28,58.61,136.89,19.67,18.36,WHA,Property,-659.6600000000003
2020-06-02,70.32,71.3,141.62,-0.98,11.54,WHA,Property,-660.6400000000003
2020-06-04,111.31,93.3,204.61,18.01,13.6,WHA,Property,-642.6300000000003
2020-06-05,150.91,188.04,338.95,-37.13,18.06,WHA,Property,-679.7600000000003
2020-06-08,61.55,75.78,137.33,-14.23,17.98,WHA,Property,-693.9900000000004
2020-06-09,58.51,50.41,108.92,8.1,15.01,WHA,Property,-685.8900000000003
2020-06-10,79.73,41.89,121.62,37.85,16.61,WHA,Property,-648.0400000000003
2020-06-11,72.59,102.5,175.09,-29.91,11.28,WHA,Property,-677.9500000000003
2020-06-12,62.41,248.41,310.82,-186.0,16.72,WHA,Property,-863.9500000000003
2020-06-15,59.14,75.28,134.42,-16.14,12.56,WHA,Property,-880.0900000000003
2020-06-16,127.58,49.81,177.39,77.78,15.49,WHA,Property,-802.3100000000003
2020-06-17,182.39,175.46,357.86,6.93,12.18,WHA,Property,-795.3800000000003
2020-06-18,37.11,99.33,136.44,-62.22,11.54,WHA,Property,-857.6000000000004
2020-06-19,19.87,82.73,102.59,-62.86,7.27,WHA,Property,-920.4600000000004
2020-06-22,30.68,45.14,75.82,-14.46,7.9,WHA,Property,-934.9200000000004
2020-06-23,41.2,29.09,70.28,12.11,15.14,WHA,Property,-922.8100000000004
2020-06-24,48.08,52.5,100.58,-4.42,16.56,WHA,Property,-927.2300000000004
2020-06-25,96.98,68.59,165.57,28.4,15.22,WHA,Property,-898.8300000000004
2020-06-26,29.56,39.74,69.3,-10.19,11.93,WHA,Property,-909.0200000000004
2020-06-29,68.22,34.91,103.12,33.31,20.79,WHA,Property,-875.7100000000005
2020-06-30,55.86,40.1,95.96,15.77,9.38,WHA,Property,-859.9400000000005
2020-07-01,28.67,67.86,96.53,-39.2,18.29,WHA,Property,-899.1400000000006
2020-07-02,65.3,22.36,87.66,42.95,13.16,WHA,Property,-856.1900000000005
2020-07-03,41.24,60.79,102.03,-19.55,15.14,WHA,Property,-875.7400000000005
2020-07-07,39.27,30.28,69.55,8.99,15.06,WHA,Property,-866.7500000000005
2020-07-08,35.7,46.08,81.77,-10.38,19.98,WHA,Property,-877.1300000000005
2020-07-09,68.82,52.47,121.29,16.35,39.61,WHA,Property,-860.7800000000004
2020-07-10,46.61,22.27,68.88,24.34,14.06,WHA,Property,-836.4400000000004
2020-07-13,101.37,68.9,170.27,32.48,34.11,WHA,Property,-803.9600000000004
2020-07-14,72.49,41.38,113.86,31.11,21.1,WHA,Property,-772.8500000000004
2020-07-15,84.73,43.43,128.15,41.3,26.15,WHA,Property,-731.5500000000004
2020-07-16,51.84,35.19,87.03,16.65,21.58,WHA,Property,-714.9000000000004
2020-07-17,59.91,32.23,92.13,27.68,19.94,WHA,Property,-687.2200000000005
2020-07-20,54.0,22.21,76.2,31.79,23.37,WHA,Property,-655.4300000000005
2020-07-21,183.31,92.78,276.09,90.53,18.66,WHA,Property,-564.9000000000005
2020-07-22,56.14,117.29,173.42,-61.15,21.38,WHA,Property,-626.0500000000005
2020-07-23,24.2,68.8,93.0,-44.6,20.3,WHA,Property,-670.6500000000005
2020-07-24,50.96,97.64,148.6,-46.69,22.86,WHA,Property,-717.3400000000006
2020-07-29,29.9,36.47,66.37,-6.57,17.13,WHA,Property,-723.9100000000007
2020-07-30,33.39,43.95,77.34,-10.57,17.41,WHA,Property,-734.4800000000007
2020-07-31,50.36,27.9,78.26,22.46,24.61,WHA,Property,-712.0200000000007
2020-08-03,70.36,68.53,138.89,1.83,20.27,WHA,Property,-710.1900000000006
2020-08-04,18.63,48.08,66.7,-29.45,19.69,WHA,Property,-739.6400000000007
2020-08-05,144.57,107.47,252.04,37.1,18.58,WHA,Property,-702.5400000000006
2020-08-06,44.49,96.32,140.81,-51.82,11.19,WHA,Property,-754.3600000000007
2020-08-07,54.56,54.61,109.17,-0.06,20.11,WHA,Property,-754.4200000000006
2020-08-10,21.75,26.72,48.47,-4.97,28.74,WHA,Property,-759.3900000000007
2020-08-11,36.44,35.99,72.43,0.45,17.58,WHA,Property,-758.9400000000006
2020-08-13,22.92,33.29,56.21,-10.38,12.14,WHA,Property,-769.3200000000006
2020-08-14,30.64,37.47,68.11,-6.83,19.48,WHA,Property,-776.1500000000007
2020-08-17,34.79,30.98,65.77,3.81,12.19,WHA,Property,-772.3400000000007
2020-08-18,53.13,41.41,94.55,11.72,19.91,WHA,Property,-760.6200000000007
2020-08-19,42.56,43.89,86.45,-1.33,18.6,WHA,Property,-761.9500000000007
2020-08-20,29.55,20.18,49.72,9.37,19.14,WHA,Property,-752.5800000000007
2020-08-21,8.99,22.09,31.08,-13.1,11.28,WHA,Property,-765.6800000000007
2020-08-24,30.33,25.61,55.95,4.72,14.3,WHA,Property,-760.9600000000007
2020-08-25,19.59,43.97,63.56,-24.38,17.93,WHA,Property,-785.3400000000007
2020-08-26,28.92,37.11,66.03,-8.19,20.34,WHA,Property,-793.5300000000008
2020-08-27,14.59,17.89,32.48,-3.3,16.1,WHA,Property,-796.8300000000007
2020-08-28,16.21,22.17,38.38,-5.96,23.52,WHA,Property,-802.7900000000008
2020-08-31,36.45,42.31,78.76,-5.86,27.32,WHA,Property,-808.6500000000008
2020-09-01,90.39,52.41,142.8,37.98,19.87,WHA,Property,-770.6700000000008
2020-09-02,56.75,32.79,89.54,23.96,18.98,WHA,Property,-746.7100000000007
2020-09-03,81.39,56.61,138.0,24.78,22.31,WHA,Property,-721.9300000000007
2020-09-08,29.49,17.39,46.87,12.1,18.35,WHA,Property,-709.8300000000007
2020-09-09,70.29,41.9,112.19,28.39,23.37,WHA,Property,-681.4400000000007
2020-09-10,27.6,44.79,72.39,-17.19,23.48,WHA,Property,-698.6300000000008
2020-09-11,40.27,46.43,86.7,-6.16,30.44,WHA,Property,-704.7900000000008
2020-09-14,51.24,23.06,74.3,28.17,24.54,WHA,Property,-676.6200000000008
2020-09-15,36.3,26.56,62.86,9.75,24.72,WHA,Property,-666.8700000000008
2020-09-16,11.86,22.13,33.99,-10.27,17.09,WHA,Property,-677.1400000000008
2020-09-17,23.58,17.33,40.91,6.25,20.01,WHA,Property,-670.8900000000008
2020-09-18,69.52,21.77,91.29,47.75,29.97,WHA,Property,-623.1400000000008
2020-09-21,31.91,30.65,62.56,1.25,29.61,WHA,Property,-621.8900000000008
2020-09-22,52.87,38.35,91.22,14.53,25.74,WHA,Property,-607.3600000000008
2020-09-23,40.43,23.78,64.21,16.65,14.84,WHA,Property,-590.7100000000008
2020-09-24,53.83,39.73,93.56,14.1,19.94,WHA,Property,-576.6100000000008
2020-09-25,30.6,30.26,60.86,0.34,18.45,WHA,Property,-576.2700000000008
2020-09-28,15.19,50.09,65.29,-34.9,18.71,WHA,Property,-611.1700000000008
2020-09-29,18.79,24.84,43.63,-6.05,26.96,WHA,Property,-617.2200000000007
2020-09-30,13.47,35.45,48.92,-21.99,14.82,WHA,Property,-639.2100000000007
2020-10-01,20.32,9.93,30.25,10.4,19.16,WHA,Property,-628.8100000000007
2020-10-02,14.43,23.86,38.29,-9.43,19.95,WHA,Property,-638.2400000000007
2020-10-05,13.65,23.82,37.47,-10.17,24.52,WHA,Property,-648.4100000000007
2020-10-06,56.46,96.89,153.35,-40.43,19.23,WHA,Property,-688.8400000000006
2020-10-07,45.84,86.0,131.84,-40.16,19.15,WHA,Property,-729.0000000000006
2020-10-08,44.35,81.92,126.26,-37.57,15.29,WHA,Property,-766.5700000000006
2020-10-09,33.2,35.46,68.66,-2.26,17.85,WHA,Property,-768.8300000000006
2020-10-12,30.6,43.23,73.83,-12.64,16.8,WHA,Property,-781.4700000000006
2020-10-14,43.91,43.99,87.89,-0.08,16.77,WHA,Property,-781.5500000000006
2020-10-15,28.48,37.28,65.76,-8.79,17.44,WHA,Property,-790.3400000000006
2020-10-16,64.73,45.35,110.08,19.38,15.08,WHA,Property,-770.9600000000006
2020-10-19,74.65,26.13,100.78,48.52,18.13,WHA,Property,-722.4400000000006
2020-10-20,58.47,18.16,76.63,40.3,20.87,WHA,Property,-682.1400000000007
2020-10-21,61.84,25.76,87.6,36.07,18.04,WHA,Property,-646.0700000000006
2020-10-22,159.55,106.38,265.93,53.17,38.8,WHA,Property,-592.9000000000007
2020-10-26,20.69,27.06,47.75,-6.36,18.15,WHA,Property,-599.2600000000007
2020-10-27,19.47,19.94,39.41,-0.47,16.74,WHA,Property,-599.7300000000007
2020-10-28,30.24,49.32,79.56,-19.09,11.86,WHA,Property,-618.8200000000007
2020-10-29,74.25,62.98,137.24,11.27,22.85,WHA,Property,-607.5500000000008
2020-10-30,47.68,25.17,72.84,22.51,26.35,WHA,Property,-585.0400000000008
2020-11-02,30.12,14.32,44.44,15.81,19.92,WHA,Property,-569.2300000000008
2020-11-03,37.71,17.16,54.87,20.54,18.96,WHA,Property,-548.6900000000009
2020-11-04,40.59,46.77,87.36,-6.18,12.08,WHA,Property,-554.8700000000008
2020-11-05,122.57,56.64,179.21,65.92,17.46,WHA,Property,-488.9500000000008
2020-11-06,81.44,65.42,146.86,16.01,18.01,WHA,Property,-472.9400000000008
2020-11-09,120.39,43.14,163.52,77.25,17.94,WHA,Property,-395.6900000000008
2020-11-10,231.54,133.23,364.77,98.31,20.33,WHA,Property,-297.3800000000008
2020-11-11,124.46,118.15,242.6,6.31,23.12,WHA,Property,-291.0700000000008
2020-11-12,50.76,30.51,81.27,20.26,15.77,WHA,Property,-270.8100000000008
2020-11-13,97.9,81.13,179.03,16.76,22.51,WHA,Property,-254.0500000000008
2020-11-16,185.34,150.98,336.32,34.36,9.61,WHA,Property,-219.6900000000008
2020-11-17,154.59,172.72,327.31,-18.13,13.83,WHA,Property,-237.8200000000008
2020-11-18,109.07,43.54,152.61,65.53,24.22,WHA,Property,-172.2900000000008
2020-11-19,56.98,113.16,170.14,-56.19,17.92,WHA,Property,-228.48000000000079
2020-11-20,99.47,110.47,209.94,-11.01,10.84,WHA,Property,-239.49000000000078
2020-11-23,109.44,99.97,209.41,9.47,10.99,WHA,Property,-230.02000000000078
2020-11-24,85.21,93.84,179.04,-8.63,9.92,WHA,Property,-238.65000000000077
2020-11-25,75.73,61.49,137.22,14.24,9.86,WHA,Property,-224.41000000000076
2020-11-26,33.23,26.94,60.17,6.29,16.19,WHA,Property,-218.12000000000077
2020-11-27,76.18,139.06,215.23,-62.88,11.43,WHA,Property,-281.0000000000008
2020-11-30,180.98,141.53,322.52,39.45,22.58,WHA,Property,-241.5500000000008
2020-12-01,44.4,114.54,158.93,-70.14,17.33,WHA,Property,-311.6900000000008
2020-12-02,68.32,77.19,145.51,-8.87,16.91,WHA,Property,-320.5600000000008
2020-12-03,115.3,113.25,228.55,2.05,18.33,WHA,Property,-318.5100000000008
2020-12-04,127.6,52.61,180.21,74.99,17.09,WHA,Property,-243.52000000000078
2020-12-08,116.07,68.57,184.64,47.5,25.14,WHA,Property,-196.02000000000078
2020-12-09,90.28,73.33,163.61,16.95,22.59,WHA,Property,-179.0700000000008
2020-12-14,170.93,147.78,318.71,23.15,19.38,WHA,Property,-155.92000000000078
2020-12-15,69.65,76.41,146.06,-6.77,21.04,WHA,Property,-162.6900000000008
2020-12-16,98.0,104.4,202.4,-6.41,10.21,WHA,Property,-169.1000000000008
2020-12-17,55.56,106.49,162.05,-50.94,15.58,WHA,Property,-220.0400000000008
2020-12-18,106.49,85.1,191.59,21.39,17.98,WHA,Property,-198.65000000000077
2020-12-21,141.46,137.59,279.04,3.87,14.61,WHA,Property,-194.78000000000077
2020-12-22,118.82,77.29,196.11,41.53,15.71,WHA,Property,-153.25000000000077
2020-12-23,65.55,96.7,162.25,-31.15,19.06,WHA,Property,-184.40000000000077
