symbol,sector,trading_days,total_buy_mb,total_sell_mb,total_turnover_mb,total_net_mb
KBANK,Banking,1601,1068548.86,1006547.8899999999,2075096.6800000002,62000.90999999998
PTTEP,Energy,1601,846717.3099999999,797706.16,1644423.79,49010.89
CPALL,Commerce,1601,822096.1799999999,782566.98,1604663.2600000002,39529.11
PTT,Energy,1601,1048674.15,1009298.9299999999,2057972.93,39374.990000000005
BDMS,Helth,1601,553891.9299999999,526818.47,1080710.19,27073.219999999994
ADVANC,ICT,1601,782692.94,756067.59,1538760.54,26625.499999999996
DELTA,Etron,1601,921547.4400000001,898192.74,1819740.1600000001,23354.96
TOP,Energy,1601,326930.04000000004,303906.12,630836.34,23024.11
KTB,Banking,1601,464950.66,442115.85000000003,907066.8499999999,22834.809999999998
SCB,Banking,1041,411997.76,391944.44000000006,803942.1799999999,20053.519999999997
AOT,Trans,1601,780751.37,763849.5900000001,1544600.96,16901.66
EA,Energy,1600,363106.76,346219.54,709326.1399999999,16887.24
TRUE,ICT,833,402673.57000000007,386898.22000000003,789571.8,15775.25
PTTGC,Petro,1601,401397.84,386600.36,787998.1,14797.409999999998
SCC,Conmat,1601,443697.72,429671.74,873369.4500000001,14025.949999999999
CPN,Property,1601,275683.69,263003.92,538687.87,12679.68
BH,Helth,1601,303586.4,290945.57,594531.81,12640.66
SCGP,Packaging,1404,183648.75,171122.18,354770.70999999996,12526.930000000002
TTB,Banking,1601,212243.41,200332.87,412576.05,11910.71
CRC,Commerce,1567,222021.0,210159.22999999998,432180.47,11861.83
BBL,Banking,1601,573932.1499999999,562788.6799999999,1136720.46,11143.579999999998
TISCO,Banking,1601,196466.39,185911.63,382378.13,10554.86
BCP,Energy,1601,103322.83,92920.81,196243.51,10402.029999999999
OR,Energy,1330,175135.72,164818.24,339954.03,10317.39
IVL,Petro,1601,328755.73,318731.0,647486.61,10025.240000000002
BANPU,Energy,1559,286509.49,276864.94,563374.8300000001,9644.3
KCE,Etron,1601,254816.83000000002,245601.59,500418.3400000001,9215.289999999999
OSP,Food,1601,146267.04,137685.49,283952.69,8581.63
STGT,Person,1477,91001.92,83401.51999999999,174403.55000000002,7600.2300000000005
AWC,Property,1601,115363.92,109841.91,225205.87,5521.990000000001
BGRIM,Energy,1601,174255.71,169252.35,343508.03,5003.37
CBG,Food,1601,205376.39,200461.46000000002,405837.89,4914.59
KKP,Banking,1601,121232.39,116489.87,237722.21999999997,4742.5
AMATA,Property,1601,74026.47,69391.67,143418.22,4634.74
CPF,Food,1601,334357.05000000005,329847.07999999996,664204.38,4509.9
SPRC,Energy,1601,85593.06,81328.10999999999,166921.01,4264.99
HANA,Etron,1601,211554.81,207489.79,419044.65,4065.2599999999998
WHA,Property,1601,127308.16,123258.59,250566.54,4049.460000000001
KTC,Finance,1601,227781.28,223874.9,451656.45,3906.6100000000006
