sector,total_net_mb,trading_days,total_buy_mb,total_sell_mb,total_turnover_mb,symbol_count
Energy,170747.27,1625,4451627.61,4280879.07,8732505.37,17
Banking,141917.98,1625,3224638.97,3082721.43,6307359.81,8
Commerce,56829.76,1625,1639150.26,1582320.86,3221471.6,9
Helth,43595.01,1625,1037545.28,993950.26,2031495.22,5
Etron,35706.590000000004,1625,1492037.32,1456331.45,2948368.8,4
ICT,35356.11,1625,1386251.65,1350895.32,2737146.32,5
Petro,30642.33,1625,752131.54,721489.65,1473620.96,2
Food,24098.31,1625,949802.98,925704.97,1875507.99,8
Property,22827.45,1625,928873.86,906046.28,1834920.81,9
Trans,21027.159999999996,1625,1263976.87,1242948.91,2506924.96,8
Conmat,16669.98,1625,521427.49,504757.75,1026185.1,3
Packaging,12861.91,1428,186079.4,173217.82,359296.99,1
Finance,9498.330000000002,1625,958620.18,949121.6,1907742.05,7
Person,7628.9,1501,91179.02,83549.96,174729.09,1
Media,4878.2300000000005,1625,96019.33,91140.95,187160.04,2
Insurance,4611.9,1625,80914.87,76303.13,157217.71,2
Agri,2820.2599999999998,1625,144190.71,141370.49,285560.97,2
Cons,1707.19,1625,53519.62,51812.01,105331.25,2
Tourism,1669.2499999999995,1625,380130.33,378460.6,758591.06,3
Professional,541.56,1598,14169.88,13628.79,27798.74,1
Fashion,128.18000000000004,922,4541.05,4412.82,8953.99,1
