symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
AAV,2026-01-05,20.22,12.63,32.86,7.59,19.43,7.59
AAV,2026-01-06,4.79,18.41,23.19,-13.62,27.50,-6.03
AAV,2026-01-07,40.36,10.21,50.56,30.15,20.70,24.12
AAV,2026-01-08,8.18,6.22,14.39,1.96,12.50,26.08
AAV,2026-01-09,17.26,6.34,23.59,10.92,20.46,37.00
AAV,2026-01-12,14.74,31.64,46.38,-16.90,27.46,20.10
AAV,2026-01-13,3.26,9.17,12.43,-5.91,16.95,14.19
AAV,2026-01-14,1.20,10.13,11.33,-8.93,21.64,5.26
AAV,2026-01-15,74.77,26.63,101.40,48.15,21.93,53.41
AAV,2026-01-16,21.75,23.38,45.14,-1.63,18.19,51.78
AAV,2026-01-19,45.65,95.06,140.71,-49.42,17.46,2.36
AAV,2026-01-20,15.00,28.32,43.32,-13.32,16.23,-10.96
AAV,2026-01-21,57.62,28.35,85.97,29.26,16.77,18.30
AAV,2026-01-22,15.24,68.56,83.80,-53.32,20.63,-35.02
AAV,2026-01-23,6.99,21.97,28.95,-14.98,21.09,-50.00
AAV,2026-01-26,44.43,51.34,95.77,-6.91,16.32,-56.91
AAV,2026-01-27,33.70,16.44,50.14,17.25,20.92,-39.66
AAV,2026-01-28,6.68,13.67,20.35,-6.98,14.64,-46.64
AAV,2026-01-29,6.66,8.03,14.69,-1.37,14.24,-48.01
AAV,2026-01-30,9.58,9.89,19.47,-0.30,23.22,-48.31
AAV,2026-02-02,18.21,19.45,37.65,-1.24,26.96,-49.55
AAV,2026-02-03,62.49,31.38,93.87,31.11,21.22,-18.44
AAV,2026-02-04,15.35,34.01,49.35,-18.66,13.17,-37.10
AAV,2026-02-05,144.27,40.48,184.75,103.79,24.51,66.69
AAV,2026-02-06,28.27,57.09,85.36,-28.82,31.91,37.87
AAV,2026-02-09,143.02,60.86,203.88,82.16,28.39,120.03
AAV,2026-02-10,109.11,47.87,156.97,61.24,26.63,181.27
AAV,2026-02-11,68.94,58.10,127.04,10.84,25.26,192.11
AAV,2026-02-12,36.97,28.79,65.76,8.18,24.79,200.29
AAV,2026-02-13,30.42,39.03,69.45,-8.61,27.13,191.68
AAV,2026-02-16,22.62,40.00,62.62,-17.38,23.98,174.30
AAV,2026-02-17,63.87,65.27,129.14,-1.40,21.87,172.90
AAV,2026-02-18,22.93,29.00,51.93,-6.08,11.96,166.82
AAV,2026-02-19,32.90,31.82,64.72,1.09,18.89,167.91
AAV,2026-02-20,29.26,40.84,70.10,-11.58,18.67,156.33
AAV,2026-02-23,109.07,80.92,189.98,28.15,15.75,184.48
AAV,2026-02-24,61.22,79.19,140.41,-17.97,25.95,166.51
AAV,2026-02-25,90.46,97.48,187.94,-7.03,25.06,159.48
AAV,2026-02-26,52.80,43.96,96.76,8.84,26.80,168.32
AAV,2026-02-27,18.39,44.67,63.06,-26.29,21.15,142.03
AAV,2026-03-02,56.21,90.45,146.66,-34.25,16.48,107.78
AAV,2026-03-04,63.21,82.58,145.79,-19.37,19.67,88.41
AAV,2026-03-05,55.12,79.64,134.75,-24.52,27.39,63.89
AAV,2026-03-06,29.96,22.90,52.86,7.06,21.42,70.95
AAV,2026-03-09,54.96,48.74,103.70,6.21,23.29,77.16
AAV,2026-03-10,18.19,45.34,63.54,-27.15,18.85,50.01
AAV,2026-03-11,16.15,31.32,47.47,-15.17,20.65,34.84
AAV,2026-03-12,28.24,16.80,45.04,11.44,15.20,46.28
AAV,2026-03-13,15.50,23.56,39.06,-8.05,13.77,38.23
AAV,2026-03-16,11.59,23.25,34.84,-11.66,17.02,26.57
AAV,2026-03-17,36.66,15.40,52.06,21.26,19.56,47.83
AAV,2026-03-18,11.51,20.04,31.55,-8.52,22.54,39.31
AAV,2026-03-19,3.57,14.58,18.15,-11.01,15.30,28.30
AAV,2026-03-20,25.46,5.92,31.38,19.53,19.15,47.83
AAV,2026-03-23,5.45,18.33,23.78,-12.88,17.88,34.95
AAV,2026-03-24,23.53,10.86,34.39,12.67,16.03,47.62
AAV,2026-03-25,42.76,6.06,48.83,36.70,22.96,84.32
AAV,2026-03-26,2.73,5.41,8.14,-2.68,8.44,81.64
AAV,2026-03-27,9.02,6.63,15.66,2.39,14.18,84.03
AAV,2026-03-30,7.09,2.80,9.88,4.29,11.96,88.32
AAV,2026-03-31,69.77,5.18,74.95,64.59,23.93,152.91
AAV,2026-04-01,48.16,47.04,95.20,1.12,16.91,154.03
AAV,2026-04-02,4.35,34.26,38.61,-29.90,19.70,124.13
AAV,2026-04-03,14.70,55.14,69.84,-40.43,32.55,83.70
AAV,2026-04-07,4.14,27.93,32.07,-23.79,14.96,59.91
AAV,2026-04-08,68.29,31.84,100.13,36.46,19.21,96.37
AAV,2026-04-09,10.62,24.16,34.78,-13.54,17.45,82.83
AAV,2026-04-10,32.32,12.01,44.33,20.31,29.34,103.14
AAV,2026-04-16,44.14,5.84,49.98,38.31,22.35,141.45
AAV,2026-04-17,10.92,14.48,25.40,-3.56,19.91,137.89
AAV,2026-04-20,7.32,7.68,15.01,-0.36,17.26,137.53
AAV,2026-04-21,7.15,6.21,13.36,0.94,11.64,138.47
