symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
ADVANC,2026-01-05,925.05,626.10,1551.15,298.96,29.40,298.96
ADVANC,2026-01-06,485.74,954.10,1439.84,-468.37,34.19,-169.41
ADVANC,2026-01-07,427.77,704.93,1132.70,-277.17,38.48,-446.58
ADVANC,2026-01-08,417.42,301.47,718.89,115.96,35.19,-330.62
ADVANC,2026-01-09,250.24,425.55,675.80,-175.31,39.35,-505.93
ADVANC,2026-01-12,700.25,555.50,1255.75,144.76,36.04,-361.17
ADVANC,2026-01-13,734.76,695.14,1429.90,39.62,39.02,-321.55
ADVANC,2026-01-14,968.66,1164.37,2133.03,-195.71,45.81,-517.26
ADVANC,2026-01-15,705.69,779.13,1484.82,-73.44,35.40,-590.70
ADVANC,2026-01-16,1127.89,1199.26,2327.15,-71.37,42.45,-662.07
ADVANC,2026-01-19,392.60,434.48,827.08,-41.88,37.71,-703.95
ADVANC,2026-01-20,876.23,728.72,1604.95,147.50,49.01,-556.45
ADVANC,2026-01-21,767.09,1032.12,1799.21,-265.02,46.24,-821.47
ADVANC,2026-01-22,1143.94,1283.56,2427.50,-139.62,46.74,-961.09
ADVANC,2026-01-23,1325.19,840.97,2166.16,484.22,36.22,-476.87
ADVANC,2026-01-26,586.67,529.87,1116.54,56.80,41.01,-420.07
ADVANC,2026-01-27,1445.02,965.35,2410.37,479.67,43.71,59.60
ADVANC,2026-01-28,554.13,464.82,1018.95,89.31,40.42,148.91
ADVANC,2026-01-29,998.23,808.12,1806.35,190.11,46.00,339.02
ADVANC,2026-01-30,1401.14,1223.05,2624.19,178.10,49.46,517.12
ADVANC,2026-02-02,937.47,995.89,1933.35,-58.42,35.96,458.70
ADVANC,2026-02-03,1775.70,1934.59,3710.29,-158.88,38.13,299.82
ADVANC,2026-02-04,2230.68,1010.72,3241.40,1219.96,31.66,1519.78
ADVANC,2026-02-05,2166.08,1999.54,4165.62,166.54,30.16,1686.32
ADVANC,2026-02-06,1345.66,1035.09,2380.75,310.57,29.98,1996.89
ADVANC,2026-02-09,1621.84,1030.94,2652.78,590.91,34.22,2587.80
ADVANC,2026-02-10,1316.99,1875.94,3192.93,-558.96,31.74,2028.84
ADVANC,2026-02-11,1122.41,1306.82,2429.23,-184.40,34.02,1844.44
ADVANC,2026-02-12,1671.02,1686.07,3357.09,-15.05,35.50,1829.39
ADVANC,2026-02-13,518.38,889.24,1407.62,-370.86,34.18,1458.53
ADVANC,2026-02-16,339.40,323.85,663.25,15.55,36.89,1474.08
ADVANC,2026-02-17,405.41,434.04,839.46,-28.63,29.24,1445.45
ADVANC,2026-02-18,435.19,714.78,1149.97,-279.60,31.26,1165.85
ADVANC,2026-02-19,686.82,904.74,1591.55,-217.92,24.71,947.93
ADVANC,2026-02-20,1116.93,1414.73,2531.66,-297.80,37.24,650.13
ADVANC,2026-02-23,904.50,852.22,1756.72,52.29,33.88,702.42
ADVANC,2026-02-24,1631.53,984.55,2616.08,646.98,40.42,1349.40
ADVANC,2026-02-25,1440.00,1251.20,2691.21,188.80,37.24,1538.20
ADVANC,2026-02-26,1537.43,1322.24,2859.67,215.19,32.44,1753.39
ADVANC,2026-02-27,2429.50,1874.16,4303.66,555.34,34.84,2308.73
ADVANC,2026-03-02,1838.86,1100.58,2939.44,738.28,31.23,3047.01
ADVANC,2026-03-04,3332.45,1832.48,5164.93,1499.97,40.91,4546.98
ADVANC,2026-03-05,1756.08,1655.43,3411.51,100.65,48.39,4647.63
ADVANC,2026-03-06,757.42,1214.59,1972.02,-457.17,41.69,4190.46
ADVANC,2026-03-09,2001.15,1867.27,3868.42,133.88,47.12,4324.34
ADVANC,2026-03-10,948.61,1439.15,2387.76,-490.54,48.44,3833.80
ADVANC,2026-03-11,847.39,1190.31,2037.70,-342.92,46.78,3490.88
ADVANC,2026-03-12,913.78,760.83,1674.61,152.95,47.37,3643.83
ADVANC,2026-03-13,861.31,1103.32,1964.63,-242.02,41.50,3401.81
ADVANC,2026-03-16,1159.02,1051.43,2210.45,107.58,40.58,3509.39
ADVANC,2026-03-17,1089.71,1276.71,2366.42,-186.99,35.67,3322.40
