symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
AEONTS,2026-01-05,10.77,15.68,26.45,-4.91,11.76,-4.91
AEONTS,2026-01-06,6.71,9.70,16.40,-2.99,16.80,-7.90
AEONTS,2026-01-07,3.75,8.70,12.45,-4.95,26.89,-12.85
AEONTS,2026-01-08,5.09,17.35,22.45,-12.26,11.05,-25.11
AEONTS,2026-01-09,2.87,18.61,21.48,-15.74,16.57,-40.85
AEONTS,2026-01-12,4.41,8.70,13.11,-4.29,15.27,-45.14
AEONTS,2026-01-13,2.71,7.48,10.19,-4.78,13.12,-49.92
AEONTS,2026-01-14,1.70,6.96,8.66,-5.25,10.37,-55.17
AEONTS,2026-01-15,3.86,7.04,10.90,-3.18,7.89,-58.35
AEONTS,2026-01-16,8.64,13.87,22.51,-5.24,17.94,-63.59
AEONTS,2026-01-19,11.73,18.02,29.75,-6.29,22.51,-69.88
AEONTS,2026-01-20,4.21,20.08,24.29,-15.86,15.32,-85.74
AEONTS,2026-01-21,21.69,19.27,40.97,2.42,20.96,-83.32
AEONTS,2026-01-22,9.90,29.44,39.34,-19.53,21.75,-102.85
AEONTS,2026-01-23,10.41,4.43,14.84,5.98,15.97,-96.87
AEONTS,2026-01-26,3.97,3.75,7.72,0.22,11.00,-96.65
AEONTS,2026-01-27,15.39,17.02,32.41,-1.63,21.29,-98.28
AEONTS,2026-01-28,1.46,22.12,23.58,-20.66,16.85,-118.94
AEONTS,2026-01-29,2.08,8.54,10.62,-6.46,7.85,-125.40
AEONTS,2026-01-30,2.12,11.07,13.19,-8.95,11.66,-134.35
AEONTS,2026-02-02,1.54,13.76,15.30,-12.21,12.43,-146.56
AEONTS,2026-02-03,6.49,19.15,25.64,-12.67,14.44,-159.23
AEONTS,2026-02-04,6.03,11.18,17.21,-5.15,14.39,-164.38
AEONTS,2026-02-05,24.45,16.24,40.69,8.22,21.16,-156.16
AEONTS,2026-02-06,3.24,38.64,41.87,-35.40,24.01,-191.56
AEONTS,2026-02-09,61.30,35.91,97.21,25.39,27.73,-166.17
AEONTS,2026-02-10,31.80,32.95,64.74,-1.15,32.89,-167.32
AEONTS,2026-02-11,29.80,40.58,70.38,-10.79,32.02,-178.11
AEONTS,2026-02-12,39.16,27.74,66.90,11.42,22.55,-166.69
AEONTS,2026-02-13,22.87,57.60,80.48,-34.73,26.97,-201.42
AEONTS,2026-02-16,14.73,23.47,38.20,-8.74,23.77,-210.16
AEONTS,2026-02-17,74.44,64.52,138.96,9.92,32.68,-200.24
AEONTS,2026-02-18,42.41,56.50,98.91,-14.10,17.89,-214.34
AEONTS,2026-02-19,73.47,123.18,196.65,-49.70,31.48,-264.04
AEONTS,2026-02-20,4.21,88.23,92.44,-84.02,20.09,-348.06
AEONTS,2026-02-23,12.16,60.81,72.97,-48.64,21.25,-396.70
AEONTS,2026-02-24,10.39,24.88,35.28,-14.49,12.58,-411.19
AEONTS,2026-02-25,38.76,27.91,66.67,10.84,18.16,-400.35
AEONTS,2026-02-26,41.77,28.55,70.31,13.22,15.61,-387.13
AEONTS,2026-02-27,13.23,35.55,48.78,-22.32,19.43,-409.45
AEONTS,2026-03-02,12.95,39.44,52.39,-26.49,13.72,-435.94
AEONTS,2026-03-04,56.79,39.58,96.37,17.21,21.53,-418.73
AEONTS,2026-03-05,18.55,17.11,35.66,1.44,19.79,-417.29
AEONTS,2026-03-06,1.36,5.53,6.89,-4.17,10.77,-421.46
AEONTS,2026-03-09,8.84,8.75,17.58,0.09,14.84,-421.37
AEONTS,2026-03-10,16.23,10.65,26.88,5.58,26.77,-415.79
AEONTS,2026-03-11,9.98,13.68,23.65,-3.70,25.55,-419.49
AEONTS,2026-03-12,8.41,3.67,12.08,4.73,15.99,-414.76
AEONTS,2026-03-13,8.53,9.57,18.10,-1.04,15.20,-415.80
AEONTS,2026-03-16,4.46,5.29,9.75,-0.84,27.19,-416.64
AEONTS,2026-03-17,6.63,7.22,13.85,-0.59,16.22,-417.23
AEONTS,2026-03-18,3.80,3.87,7.67,-0.08,17.48,-417.31
AEONTS,2026-03-19,1.81,0.99,2.80,0.82,3.83,-416.49
AEONTS,2026-03-20,4.47,1.19,5.66,3.28,23.64,-413.21
AEONTS,2026-03-23,25.13,6.80,31.93,18.34,27.50,-394.87
