symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
AMATA,2026-01-05,54.38,113.67,168.05,-59.29,19.00,-59.29
AMATA,2026-01-06,37.96,46.24,84.21,-8.28,21.19,-67.57
AMATA,2026-01-07,27.54,49.70,77.24,-22.16,19.00,-89.73
AMATA,2026-01-08,42.25,76.06,118.31,-33.80,18.39,-123.53
AMATA,2026-01-09,35.51,35.33,70.84,0.18,18.54,-123.35
AMATA,2026-01-12,11.32,59.85,71.17,-48.52,19.30,-171.87
AMATA,2026-01-13,20.67,30.61,51.29,-9.94,24.91,-181.81
AMATA,2026-01-14,17.82,54.60,72.42,-36.79,24.07,-218.60
AMATA,2026-01-15,37.99,44.36,82.35,-6.38,13.54,-224.98
AMATA,2026-01-16,39.82,40.65,80.47,-0.82,25.49,-225.80
AMATA,2026-01-19,18.29,23.96,42.26,-5.67,17.30,-231.47
AMATA,2026-01-20,67.70,52.39,120.08,15.31,28.58,-216.16
AMATA,2026-01-21,64.53,42.15,106.68,22.38,23.67,-193.78
AMATA,2026-01-22,35.54,49.19,84.73,-13.65,19.48,-207.43
AMATA,2026-01-23,3.69,26.30,30.00,-22.61,15.84,-230.04
AMATA,2026-01-26,46.83,36.78,83.61,10.05,17.02,-219.99
AMATA,2026-01-27,23.02,22.51,45.53,0.51,14.53,-219.48
AMATA,2026-01-28,31.15,34.62,65.76,-3.47,19.98,-222.95
AMATA,2026-01-29,11.00,23.79,34.78,-12.79,22.15,-235.74
AMATA,2026-01-30,24.18,27.40,51.57,-3.22,22.95,-238.96
AMATA,2026-02-02,17.63,44.74,62.38,-27.11,22.85,-266.07
AMATA,2026-02-03,24.19,45.54,69.74,-21.35,23.39,-287.42
AMATA,2026-02-04,31.30,31.20,62.50,0.09,24.75,-287.33
AMATA,2026-02-05,39.36,30.50,69.86,8.86,14.75,-278.47
AMATA,2026-02-06,7.59,39.18,46.77,-31.58,25.11,-310.05
AMATA,2026-02-09,321.36,86.20,407.57,235.16,24.52,-74.89
AMATA,2026-02-10,146.66,69.32,215.98,77.34,27.81,2.45
AMATA,2026-02-11,155.63,85.25,240.88,70.38,18.01,72.83
AMATA,2026-02-12,131.33,162.53,293.85,-31.20,20.72,41.63
AMATA,2026-02-13,99.00,125.87,224.88,-26.87,25.38,14.76
AMATA,2026-02-16,26.92,91.94,118.86,-65.01,18.10,-50.25
AMATA,2026-02-17,79.99,80.69,160.68,-0.70,21.95,-50.95
AMATA,2026-02-18,176.23,158.71,334.93,17.52,29.22,-33.43
AMATA,2026-02-19,184.47,163.03,347.50,21.44,30.94,-11.99
AMATA,2026-02-20,130.17,222.17,352.34,-92.01,26.81,-104.00
AMATA,2026-02-23,98.27,217.02,315.29,-118.75,22.58,-222.75
AMATA,2026-02-24,92.06,148.31,240.37,-56.25,28.97,-279.00
AMATA,2026-02-25,91.30,120.65,211.95,-29.35,24.93,-308.35
AMATA,2026-02-26,156.83,95.24,252.07,61.59,33.59,-246.76
AMATA,2026-02-27,113.38,46.60,159.98,66.78,33.54,-179.98
AMATA,2026-03-02,196.36,66.80,263.16,129.56,24.93,-50.42
AMATA,2026-03-04,265.69,219.66,485.35,46.03,28.40,-4.39
AMATA,2026-03-05,261.64,168.56,430.20,93.08,37.27,88.69
AMATA,2026-03-06,17.41,36.00,53.41,-18.60,18.81,70.09
AMATA,2026-03-09,116.13,110.54,226.67,5.59,23.56,75.68
AMATA,2026-03-10,119.86,129.39,249.26,-9.53,32.45,66.15
AMATA,2026-03-11,122.12,95.05,217.17,27.07,25.28,93.22
AMATA,2026-03-12,46.72,76.63,123.35,-29.91,24.62,63.31
AMATA,2026-03-13,20.70,56.05,76.75,-35.35,17.20,27.96
AMATA,2026-03-16,53.48,40.54,94.02,12.93,27.26,40.89
AMATA,2026-03-17,111.24,54.86,166.10,56.38,22.45,97.27
AMATA,2026-03-18,76.11,82.41,158.51,-6.30,22.42,90.97
AMATA,2026-03-19,25.64,85.00,110.64,-59.36,19.94,31.61
AMATA,2026-03-20,19.96,42.60,62.56,-22.64,24.17,8.97
AMATA,2026-03-23,26.35,59.05,85.40,-32.70,22.04,-23.73
AMATA,2026-03-24,21.82,43.75,65.57,-21.94,26.45,-45.67
AMATA,2026-03-25,54.28,62.90,117.17,-8.62,26.88,-54.29
AMATA,2026-03-26,59.62,45.79,105.41,13.83,25.59,-40.46
AMATA,2026-03-27,75.46,59.18,134.64,16.29,26.46,-24.17
AMATA,2026-03-30,18.21,30.25,48.45,-12.04,20.29,-36.21
AMATA,2026-03-31,52.71,49.70,102.42,3.01,24.87,-33.20
AMATA,2026-04-01,92.46,42.27,134.74,50.19,21.41,16.99
AMATA,2026-04-02,77.91,78.44,156.34,-0.53,29.04,16.46
AMATA,2026-04-03,70.25,65.12,135.37,5.12,20.30,21.58
AMATA,2026-04-07,72.65,30.17,102.82,42.47,30.75,64.05
AMATA,2026-04-08,155.92,37.69,193.61,118.23,23.52,182.28
AMATA,2026-04-09,84.38,121.71,206.09,-37.33,34.39,144.95
AMATA,2026-04-10,33.47,28.84,62.32,4.63,28.45,149.58
AMATA,2026-04-16,148.69,112.29,260.98,36.40,24.84,185.98
AMATA,2026-04-17,141.64,164.35,306.00,-22.71,37.77,163.27
AMATA,2026-04-20,35.44,27.04,62.48,8.40,22.07,171.67
AMATA,2026-04-21,124.20,77.87,202.07,46.32,24.03,217.99
