symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
AOT,2026-01-05,740.36,588.09,1328.45,152.27,38.05,152.27
AOT,2026-01-06,924.51,1498.71,2423.22,-574.19,38.54,-421.92
AOT,2026-01-07,605.26,457.55,1062.81,147.71,37.28,-274.21
AOT,2026-01-08,604.54,498.67,1103.21,105.87,42.88,-168.34
AOT,2026-01-09,426.38,362.37,788.76,64.01,39.58,-104.33
AOT,2026-01-12,184.05,278.99,463.04,-94.94,30.76,-199.27
AOT,2026-01-13,326.22,240.23,566.46,85.99,40.02,-113.28
AOT,2026-01-14,434.78,292.72,727.50,142.05,34.74,28.77
AOT,2026-01-15,332.25,447.84,780.09,-115.60,37.86,-86.83
AOT,2026-01-16,419.43,638.73,1058.16,-219.29,30.64,-306.12
AOT,2026-01-19,256.34,394.90,651.24,-138.56,34.58,-444.68
AOT,2026-01-20,532.16,448.43,980.59,83.74,34.50,-360.94
AOT,2026-01-21,339.17,542.32,881.50,-203.15,32.14,-564.09
AOT,2026-01-22,494.37,530.51,1024.89,-36.14,31.93,-600.23
AOT,2026-01-23,341.29,245.18,586.46,96.11,28.01,-504.12
AOT,2026-01-26,474.32,274.94,749.27,199.38,32.08,-304.74
AOT,2026-01-27,801.01,459.64,1260.66,341.37,38.99,36.63
AOT,2026-01-28,488.62,366.50,855.12,122.12,40.23,158.75
AOT,2026-01-29,318.18,353.06,671.24,-34.88,36.15,123.87
AOT,2026-01-30,362.90,617.56,980.46,-254.66,25.61,-130.79
AOT,2026-02-02,511.28,310.71,821.99,200.58,30.79,69.79
AOT,2026-02-03,883.05,656.06,1539.11,226.98,33.24,296.77
AOT,2026-02-04,233.39,257.13,490.52,-23.74,31.10,273.03
AOT,2026-02-05,352.15,538.01,890.16,-185.87,43.29,87.16
AOT,2026-02-06,790.48,345.25,1135.73,445.23,32.41,532.39
AOT,2026-02-09,2841.32,1719.27,4560.59,1122.04,27.27,1654.43
AOT,2026-02-10,1098.51,1178.74,2277.25,-80.23,31.76,1574.20
AOT,2026-02-11,395.77,332.74,728.50,63.03,28.53,1637.23
AOT,2026-02-12,655.38,701.54,1356.92,-46.16,31.51,1591.07
AOT,2026-02-13,691.63,730.74,1422.37,-39.10,23.52,1551.97
AOT,2026-02-16,601.02,645.92,1246.94,-44.90,20.75,1507.07
AOT,2026-02-17,527.77,636.34,1164.11,-108.57,25.74,1398.50
AOT,2026-02-18,440.81,349.01,789.82,91.80,29.19,1490.30
AOT,2026-02-19,486.85,731.45,1218.30,-244.61,27.74,1245.69
AOT,2026-02-20,241.84,303.62,545.45,-61.78,25.96,1183.91
AOT,2026-02-23,1259.49,1245.93,2505.42,13.56,25.32,1197.47
AOT,2026-02-24,1745.27,1233.44,2978.71,511.83,27.23,1709.30
AOT,2026-02-25,946.24,1033.58,1979.81,-87.34,28.42,1621.96
AOT,2026-02-26,729.81,734.02,1463.83,-4.21,31.29,1617.75
AOT,2026-02-27,1005.69,1239.18,2244.88,-233.49,36.06,1384.26
AOT,2026-03-02,784.68,844.52,1629.20,-59.84,28.32,1324.42
AOT,2026-03-04,2050.58,1943.98,3994.56,106.60,32.14,1431.02
AOT,2026-03-05,946.25,1708.07,2654.33,-761.82,34.67,669.20
AOT,2026-03-06,297.94,1110.50,1408.44,-812.56,35.86,-143.36
AOT,2026-03-09,1059.31,1059.87,2119.18,-0.56,46.78,-143.92
AOT,2026-03-10,265.11,741.34,1006.44,-476.23,38.09,-620.15
AOT,2026-03-11,855.32,1304.60,2159.92,-449.28,36.06,-1069.43
AOT,2026-03-12,429.23,836.36,1265.58,-407.13,32.48,-1476.56
AOT,2026-03-13,366.96,762.37,1129.33,-395.41,27.35,-1871.97
AOT,2026-03-16,676.18,631.82,1308.00,44.37,34.07,-1827.60
AOT,2026-03-17,476.71,599.44,1076.15,-122.72,29.26,-1950.32
AOT,2026-03-18,377.30,379.87,757.17,-2.58,33.76,-1952.90
AOT,2026-03-19,412.85,683.51,1096.36,-270.66,35.19,-2223.56
AOT,2026-03-20,649.91,664.11,1314.02,-14.20,50.87,-2237.76
AOT,2026-03-23,472.48,821.28,1293.76,-348.80,32.58,-2586.56
AOT,2026-03-24,735.68,631.92,1367.60,103.76,38.08,-2482.80
AOT,2026-03-25,821.06,585.03,1406.09,236.03,30.44,-2246.77
AOT,2026-03-26,389.77,582.32,972.10,-192.55,34.38,-2439.32
AOT,2026-03-27,852.18,836.86,1689.04,15.32,30.71,-2424.00
AOT,2026-03-30,535.82,715.73,1251.55,-179.91,44.03,-2603.91
AOT,2026-03-31,616.12,453.10,1069.22,163.02,29.68,-2440.89
AOT,2026-04-01,747.27,582.61,1329.88,164.66,30.81,-2276.23
AOT,2026-04-02,384.22,359.36,743.59,24.86,33.98,-2251.37
AOT,2026-04-03,421.38,483.35,904.73,-61.97,42.53,-2313.34
AOT,2026-04-07,496.15,428.88,925.03,67.27,33.28,-2246.07
AOT,2026-04-08,585.36,493.66,1079.02,91.70,27.31,-2154.37
AOT,2026-04-09,433.46,406.97,840.43,26.49,29.73,-2127.88
AOT,2026-04-10,152.57,203.82,356.39,-51.25,31.87,-2179.13
AOT,2026-04-16,930.60,588.05,1518.65,342.54,29.80,-1836.59
AOT,2026-04-17,354.25,289.15,643.40,65.09,27.89,-1771.50
AOT,2026-04-20,261.73,187.62,449.35,74.11,32.90,-1697.39
AOT,2026-04-21,157.85,211.03,368.88,-53.18,37.64,-1750.57
