symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
AP,2026-01-05,70.97,24.46,95.43,46.51,31.11,46.51
AP,2026-01-06,43.50,23.26,66.76,20.24,27.33,66.75
AP,2026-01-07,11.44,16.28,27.72,-4.84,34.13,61.91
AP,2026-01-08,26.31,17.47,43.78,8.85,21.05,70.76
AP,2026-01-09,15.11,37.10,52.21,-21.99,31.20,48.77
AP,2026-01-12,9.45,27.02,36.48,-17.57,24.48,31.20
AP,2026-01-13,19.60,30.07,49.67,-10.48,25.00,20.72
AP,2026-01-14,5.10,18.86,23.96,-13.76,21.54,6.96
AP,2026-01-15,19.69,16.61,36.30,3.09,19.11,10.05
AP,2026-01-16,16.19,17.44,33.63,-1.25,14.22,8.80
AP,2026-01-19,18.18,4.25,22.43,13.94,16.57,22.74
AP,2026-01-20,12.97,4.36,17.34,8.61,23.80,31.35
AP,2026-01-21,28.47,7.71,36.18,20.76,29.97,52.11
AP,2026-01-22,62.46,34.49,96.96,27.97,24.85,80.08
AP,2026-01-23,7.79,15.17,22.96,-7.39,24.67,72.69
AP,2026-01-26,12.85,13.99,26.84,-1.14,23.53,71.55
AP,2026-01-27,10.38,13.12,23.50,-2.74,13.08,68.81
AP,2026-01-28,48.36,30.67,79.03,17.69,19.56,86.50
AP,2026-01-29,12.52,9.90,22.41,2.62,23.88,89.12
AP,2026-01-30,8.96,10.62,19.59,-1.66,17.80,87.46
AP,2026-02-02,11.24,19.06,30.30,-7.82,17.59,79.64
AP,2026-02-03,12.45,17.24,29.69,-4.79,15.65,74.85
AP,2026-02-04,6.23,7.36,13.59,-1.12,15.41,73.73
AP,2026-02-05,29.16,13.92,43.09,15.24,39.22,88.97
AP,2026-02-06,6.08,3.17,9.25,2.92,28.86,91.89
AP,2026-02-09,114.82,33.03,147.85,81.80,27.69,173.69
AP,2026-02-10,16.43,15.21,31.64,1.22,26.52,174.91
AP,2026-02-11,21.76,10.93,32.70,10.83,32.32,185.74
AP,2026-02-12,17.39,18.08,35.47,-0.69,25.67,185.05
AP,2026-02-13,33.17,26.19,59.36,6.98,28.69,192.03
AP,2026-02-16,25.07,12.64,37.71,12.44,26.13,204.47
AP,2026-02-17,11.13,6.68,17.81,4.45,12.17,208.92
AP,2026-02-18,37.64,9.49,47.13,28.15,21.39,237.07
AP,2026-02-19,48.72,19.64,68.36,29.08,24.41,266.15
AP,2026-02-20,22.44,33.25,55.69,-10.81,30.74,255.34
AP,2026-02-23,32.42,14.04,46.46,18.39,28.13,273.73
AP,2026-02-24,17.30,9.64,26.94,7.66,35.73,281.39
AP,2026-02-25,65.78,14.49,80.27,51.29,23.02,332.68
AP,2026-02-26,43.94,38.54,82.48,5.40,25.33,338.08
AP,2026-02-27,84.49,98.32,182.81,-13.83,22.21,324.25
AP,2026-03-02,40.93,29.99,70.92,10.93,20.95,335.18
AP,2026-03-04,78.43,52.81,131.24,25.63,25.64,360.81
AP,2026-03-05,38.70,79.94,118.64,-41.25,28.04,319.56
AP,2026-03-06,17.60,31.49,49.09,-13.89,27.29,305.67
AP,2026-03-09,68.64,47.73,116.37,20.91,33.11,326.58
AP,2026-03-10,10.41,27.72,38.13,-17.31,26.63,309.27
AP,2026-03-11,13.86,42.06,55.92,-28.20,31.37,281.07
AP,2026-03-12,9.65,21.57,31.22,-11.92,31.62,269.15
AP,2026-03-13,7.39,17.85,25.24,-10.45,19.18,258.70
AP,2026-03-16,31.42,15.61,47.03,15.81,35.34,274.51
AP,2026-03-17,16.96,15.47,32.43,1.48,22.38,275.99
AP,2026-03-18,15.32,16.29,31.61,-0.97,33.16,275.02
AP,2026-03-19,7.00,14.18,21.18,-7.18,16.63,267.84
AP,2026-03-20,14.35,29.39,43.74,-15.04,25.37,252.80
AP,2026-03-23,1.87,17.32,19.19,-15.46,12.34,237.34
AP,2026-03-24,4.06,5.66,9.71,-1.60,15.28,235.74
AP,2026-03-25,13.11,12.66,25.77,0.45,27.78,236.19
AP,2026-03-26,12.73,13.50,26.23,-0.78,17.73,235.41
AP,2026-03-27,10.29,4.77,15.07,5.52,20.30,240.93
AP,2026-03-30,13.06,10.40,23.46,2.67,26.73,243.60
AP,2026-03-31,10.86,13.53,24.39,-2.67,19.81,240.93
AP,2026-04-01,10.53,21.05,31.58,-10.51,21.60,230.42
AP,2026-04-02,18.64,18.47,37.10,0.17,22.82,230.59
AP,2026-04-03,10.62,3.13,13.75,7.49,19.63,238.08
AP,2026-04-07,12.25,5.64,17.89,6.61,20.27,244.69
AP,2026-04-08,18.05,5.85,23.90,12.20,15.96,256.89
AP,2026-04-09,15.07,12.00,27.08,3.07,28.75,259.96
AP,2026-04-10,6.93,13.38,20.31,-6.44,15.62,253.52
AP,2026-04-16,14.39,14.96,29.35,-0.58,34.27,252.94
AP,2026-04-17,7.98,11.05,19.04,-3.07,34.61,249.87
AP,2026-04-20,7.73,7.24,14.97,0.50,22.39,250.37
AP,2026-04-21,10.83,13.90,24.73,-3.08,11.85,247.29
