symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
AURA,2026-01-05,0.38,0.59,0.97,-0.22,7.58,-0.22
AURA,2026-01-06,0.24,0.53,0.77,-0.28,12.22,-0.50
AURA,2026-01-07,0.92,0.47,1.39,0.45,9.50,-0.05
AURA,2026-01-08,0.63,0.20,0.83,0.42,7.57,0.37
AURA,2026-01-09,0.56,0.44,1.00,0.12,5.46,0.49
AURA,2026-01-12,0.17,0.90,1.07,-0.74,9.64,-0.25
AURA,2026-01-13,0.00,0.83,0.83,-0.83,10.29,-1.08
AURA,2026-01-14,0.08,0.49,0.57,-0.41,4.20,-1.49
AURA,2026-01-15,0.21,0.51,0.72,-0.30,4.61,-1.79
AURA,2026-01-16,1.22,0.39,1.61,0.84,3.72,-0.95
AURA,2026-01-19,2.28,0.37,2.65,1.90,11.81,0.95
AURA,2026-01-20,0.47,2.60,3.07,-2.14,10.77,-1.19
AURA,2026-01-21,1.01,0.70,1.71,0.31,11.93,-0.88
AURA,2026-01-22,0.46,2.44,2.90,-1.98,13.49,-2.86
AURA,2026-01-23,2.38,3.01,5.39,-0.63,5.44,-3.49
AURA,2026-01-26,0.90,1.27,2.17,-0.37,10.17,-3.86
AURA,2026-01-27,2.68,1.28,3.97,1.40,15.93,-2.46
AURA,2026-01-28,3.05,2.69,5.74,0.36,17.07,-2.10
AURA,2026-01-29,1.81,1.60,3.41,0.20,10.31,-1.90
AURA,2026-01-30,0.23,1.11,1.34,-0.87,19.66,-2.77
AURA,2026-02-02,1.76,3.65,5.41,-1.89,8.82,-4.66
AURA,2026-02-03,6.28,2.01,8.29,4.27,10.57,-0.39
AURA,2026-02-04,0.94,1.65,2.59,-0.71,10.69,-1.10
AURA,2026-02-05,3.61,2.73,6.34,0.87,9.87,-0.23
AURA,2026-02-06,1.70,2.87,4.57,-1.18,10.01,-1.41
AURA,2026-02-09,11.02,0.88,11.90,10.14,12.07,8.73
AURA,2026-02-10,14.91,0.72,15.64,14.19,12.57,22.92
AURA,2026-02-11,7.79,1.81,9.60,5.97,12.38,28.89
AURA,2026-02-12,4.45,10.78,15.23,-6.32,20.03,22.57
AURA,2026-02-13,0.83,1.97,2.80,-1.14,13.99,21.43
AURA,2026-02-16,4.47,1.44,5.92,3.03,12.75,24.46
AURA,2026-02-17,10.45,2.04,12.50,8.41,15.65,32.87
AURA,2026-02-18,13.92,4.04,17.96,9.88,21.87,42.75
AURA,2026-02-19,24.62,4.25,28.87,20.37,17.72,63.12
AURA,2026-02-20,6.61,20.59,27.20,-13.98,22.92,49.14
AURA,2026-02-23,10.02,3.54,13.56,6.49,14.09,55.63
AURA,2026-02-24,14.59,4.41,19.00,10.18,15.96,65.81
AURA,2026-02-25,28.65,6.87,35.52,21.78,19.90,87.59
AURA,2026-02-26,5.67,20.48,26.14,-14.81,18.01,72.78
AURA,2026-02-27,12.59,9.91,22.50,2.68,18.56,75.46
AURA,2026-03-02,8.49,14.77,23.26,-6.29,16.68,69.17
AURA,2026-03-04,2.83,12.41,15.24,-9.58,14.69,59.59
AURA,2026-03-05,5.13,4.00,9.13,1.13,9.86,60.72
AURA,2026-03-06,4.67,6.24,10.91,-1.58,11.08,59.14
AURA,2026-03-09,1.35,6.16,7.51,-4.81,14.59,54.33
AURA,2026-03-10,3.05,8.51,11.56,-5.46,12.83,48.87
AURA,2026-03-11,7.86,3.58,11.44,4.28,11.80,53.15
AURA,2026-03-12,1.70,2.97,4.67,-1.27,19.76,51.88
AURA,2026-03-13,12.68,7.45,20.14,5.23,24.35,57.11
AURA,2026-03-16,3.51,10.78,14.29,-7.27,20.18,49.84
AURA,2026-03-17,3.67,10.68,14.36,-7.01,11.52,42.83
AURA,2026-03-18,4.56,14.48,19.04,-9.93,18.13,32.90
AURA,2026-03-19,7.55,12.35,19.90,-4.79,19.83,28.11
AURA,2026-03-20,1.35,5.16,6.52,-3.81,23.34,24.30
AURA,2026-03-23,0.94,13.55,14.49,-12.61,22.29,11.69
AURA,2026-03-24,1.06,3.15,4.21,-2.09,11.88,9.60
AURA,2026-03-25,6.66,10.58,17.23,-3.92,20.17,5.68
AURA,2026-03-26,2.54,3.02,5.57,-0.48,11.93,5.20
AURA,2026-03-27,3.80,5.89,9.68,-2.09,12.62,3.11
AURA,2026-03-30,1.33,4.59,5.92,-3.27,11.46,-0.16
AURA,2026-03-31,4.11,7.94,12.05,-3.83,16.08,-3.99
AURA,2026-04-01,2.42,2.75,5.18,-0.33,6.34,-4.32
AURA,2026-04-02,5.76,3.81,9.58,1.95,10.35,-2.37
AURA,2026-04-03,1.24,2.39,3.63,-1.15,10.03,-3.52
AURA,2026-04-07,3.26,2.74,6.00,0.52,9.68,-3.00
AURA,2026-04-08,2.52,2.02,4.55,0.50,19.81,-2.50
AURA,2026-04-09,1.00,6.22,7.22,-5.22,15.31,-7.72
AURA,2026-04-10,5.43,2.94,8.37,2.49,21.04,-5.23
AURA,2026-04-16,6.92,3.74,10.66,3.18,16.70,-2.05
AURA,2026-04-17,8.12,4.27,12.39,3.86,13.04,1.81
AURA,2026-04-20,4.24,3.81,8.05,0.44,13.07,2.25
AURA,2026-04-21,2.88,1.23,4.11,1.66,5.24,3.91
