symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
AWC,2026-01-05,19.04,29.78,48.82,-10.74,20.57,-10.74
AWC,2026-01-06,10.07,19.22,29.28,-9.15,30.20,-19.89
AWC,2026-01-07,13.72,13.03,26.75,0.69,22.64,-19.20
AWC,2026-01-08,11.03,23.52,34.56,-12.49,20.98,-31.69
AWC,2026-01-09,9.14,16.49,25.63,-7.35,23.55,-39.04
AWC,2026-01-12,2.95,9.76,12.70,-6.81,12.94,-45.85
AWC,2026-01-13,23.49,26.76,50.25,-3.27,23.98,-49.12
AWC,2026-01-14,8.47,13.11,21.59,-4.64,11.09,-53.76
AWC,2026-01-15,32.83,21.57,54.40,11.26,28.06,-42.50
AWC,2026-01-16,31.39,22.52,53.91,8.87,27.48,-33.63
AWC,2026-01-19,20.62,13.04,33.66,7.57,31.41,-26.06
AWC,2026-01-20,72.06,44.36,116.42,27.70,29.93,1.64
AWC,2026-01-21,44.78,37.34,82.12,7.44,25.19,9.08
AWC,2026-01-22,41.13,32.86,73.99,8.27,24.30,17.35
AWC,2026-01-23,39.02,39.58,78.59,-0.56,14.87,16.79
AWC,2026-01-26,13.43,22.55,35.98,-9.12,16.62,7.67
AWC,2026-01-27,84.06,27.64,111.71,56.42,27.95,64.09
AWC,2026-01-28,26.81,25.37,52.18,1.43,25.27,65.52
AWC,2026-01-29,25.85,20.99,46.84,4.86,21.68,70.38
AWC,2026-01-30,29.76,19.47,49.23,10.28,28.84,80.66
AWC,2026-02-02,37.10,25.99,63.09,11.12,29.37,91.78
AWC,2026-02-03,49.65,32.13,81.77,17.52,19.57,109.30
AWC,2026-02-04,24.98,24.35,49.33,0.63,24.89,109.93
AWC,2026-02-05,49.26,32.30,81.56,16.95,17.17,126.88
AWC,2026-02-06,31.61,21.77,53.39,9.84,22.33,136.72
AWC,2026-02-09,99.35,47.34,146.69,52.01,23.27,188.73
AWC,2026-02-10,30.66,12.64,43.30,18.02,22.98,206.75
AWC,2026-02-11,15.83,21.55,37.38,-5.72,26.35,201.03
AWC,2026-02-12,97.19,39.85,137.04,57.35,25.35,258.38
AWC,2026-02-13,61.91,27.48,89.38,34.43,19.97,292.81
AWC,2026-02-16,11.47,50.69,62.15,-39.22,26.63,253.59
AWC,2026-02-17,26.90,34.25,61.15,-7.35,21.86,246.24
AWC,2026-02-18,49.42,48.91,98.33,0.50,20.12,246.74
AWC,2026-02-19,41.69,50.43,92.13,-8.74,18.22,238.00
AWC,2026-02-20,70.04,62.08,132.12,7.96,12.35,245.96
AWC,2026-02-23,91.76,52.42,144.17,39.34,24.27,285.30
AWC,2026-02-24,44.22,66.79,111.01,-22.57,30.91,262.73
AWC,2026-02-25,35.51,32.89,68.40,2.61,22.59,265.34
AWC,2026-02-26,11.42,16.19,27.61,-4.77,18.15,260.57
AWC,2026-02-27,27.96,23.38,51.34,4.58,26.09,265.15
AWC,2026-03-02,114.61,54.99,169.60,59.61,22.79,324.76
AWC,2026-03-04,97.82,108.17,205.99,-10.36,26.59,314.40
AWC,2026-03-05,63.70,100.22,163.92,-36.51,30.29,277.89
AWC,2026-03-06,43.28,54.48,97.76,-11.20,40.36,266.69
AWC,2026-03-09,95.15,78.34,173.50,16.81,35.37,283.50
AWC,2026-03-10,46.04,66.24,112.28,-20.21,35.13,263.29
AWC,2026-03-11,42.52,67.04,109.55,-24.52,33.27,238.77
AWC,2026-03-12,44.82,68.62,113.44,-23.80,31.71,214.97
AWC,2026-03-13,22.74,48.45,71.19,-25.71,31.74,189.26
AWC,2026-03-16,30.97,13.90,44.88,17.07,27.08,206.33
AWC,2026-03-17,34.07,41.61,75.67,-7.54,25.07,198.79
AWC,2026-03-18,14.64,35.64,50.28,-21.01,26.24,177.78
AWC,2026-03-19,8.25,58.08,66.32,-49.83,20.60,127.95
AWC,2026-03-20,19.38,21.92,41.30,-2.53,27.14,125.42
AWC,2026-03-23,23.82,64.19,88.01,-40.37,28.35,85.05
AWC,2026-03-24,26.22,27.49,53.71,-1.27,24.97,83.78
AWC,2026-03-25,39.71,31.01,70.73,8.70,22.48,92.48
AWC,2026-03-26,25.82,45.72,71.53,-19.90,36.66,72.58
AWC,2026-03-27,41.17,26.30,67.48,14.87,37.07,87.45
AWC,2026-03-30,39.98,39.29,79.27,0.68,42.99,88.13
AWC,2026-03-31,33.49,25.04,58.53,8.45,25.03,96.58
AWC,2026-04-01,40.76,49.51,90.27,-8.75,29.71,87.83
AWC,2026-04-02,39.57,25.88,65.46,13.69,21.18,101.52
AWC,2026-04-03,9.11,24.39,33.50,-15.28,28.50,86.24
AWC,2026-04-07,26.29,7.47,33.76,18.82,25.03,105.06
AWC,2026-04-08,46.90,38.48,85.38,8.42,21.82,113.48
AWC,2026-04-09,20.68,36.93,57.60,-16.25,28.25,97.23
AWC,2026-04-10,15.98,15.45,31.43,0.53,25.70,97.76
AWC,2026-04-16,28.22,25.01,53.23,3.21,24.88,100.97
AWC,2026-04-17,54.45,26.88,81.34,27.57,26.92,128.54
AWC,2026-04-20,14.08,20.93,35.01,-6.85,37.67,121.69
AWC,2026-04-21,13.09,21.33,34.41,-8.24,41.73,113.45
