symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
BAM,2026-01-05,6.83,17.94,24.78,-11.11,17.82,-11.11
BAM,2026-01-06,7.37,17.06,24.43,-9.70,22.17,-20.81
BAM,2026-01-07,24.28,17.83,42.11,6.45,27.65,-14.36
BAM,2026-01-08,7.55,8.26,15.82,-0.71,17.73,-15.07
BAM,2026-01-09,1.83,10.74,12.57,-8.91,20.57,-23.98
BAM,2026-01-12,3.82,30.87,34.68,-27.05,25.14,-51.03
BAM,2026-01-13,11.86,10.56,22.42,1.30,18.32,-49.73
BAM,2026-01-14,9.82,26.78,36.60,-16.97,17.92,-66.70
BAM,2026-01-15,13.22,25.77,38.99,-12.55,21.40,-79.25
BAM,2026-01-16,14.89,11.75,26.64,3.14,25.60,-76.11
BAM,2026-01-19,27.09,11.80,38.89,15.29,22.77,-60.82
BAM,2026-01-20,30.43,24.67,55.10,5.76,26.93,-55.06
BAM,2026-01-21,19.38,13.56,32.93,5.82,19.80,-49.24
BAM,2026-01-22,18.43,44.88,63.31,-26.44,19.08,-75.68
BAM,2026-01-23,10.62,20.66,31.28,-10.04,15.71,-85.72
BAM,2026-01-26,17.42,11.63,29.05,5.79,18.35,-79.93
BAM,2026-01-27,10.56,6.84,17.40,3.72,13.58,-76.21
BAM,2026-01-28,4.23,16.89,21.13,-12.66,12.74,-88.87
BAM,2026-01-29,3.11,5.13,8.24,-2.03,10.25,-90.90
BAM,2026-01-30,2.79,7.73,10.53,-4.94,17.74,-95.84
BAM,2026-02-02,1.29,15.15,16.44,-13.86,17.76,-109.70
BAM,2026-02-03,5.35,8.94,14.29,-3.59,15.91,-113.29
BAM,2026-02-04,3.57,16.45,20.01,-12.88,14.29,-126.17
BAM,2026-02-05,8.64,13.91,22.55,-5.28,14.64,-131.45
BAM,2026-02-06,2.13,3.86,5.99,-1.73,11.02,-133.18
BAM,2026-02-09,47.87,36.62,84.49,11.25,14.10,-121.93
BAM,2026-02-10,16.69,30.33,47.03,-13.64,15.02,-135.57
BAM,2026-02-11,26.96,12.60,39.56,14.37,10.87,-121.20
BAM,2026-02-12,33.52,32.24,65.76,1.28,8.65,-119.92
BAM,2026-02-13,20.60,35.26,55.87,-14.66,9.79,-134.58
BAM,2026-02-16,1.10,5.71,6.80,-4.61,3.71,-139.19
BAM,2026-02-17,54.77,9.71,64.49,45.06,10.71,-94.13
BAM,2026-02-18,120.79,38.42,159.21,82.38,21.53,-11.75
BAM,2026-02-19,122.25,64.27,186.52,57.98,16.56,46.23
BAM,2026-02-20,16.55,105.34,121.89,-88.79,18.64,-42.56
BAM,2026-02-23,24.99,104.63,129.62,-79.64,14.77,-122.20
BAM,2026-02-24,10.88,9.61,20.49,1.27,7.38,-120.93
BAM,2026-02-25,17.28,34.19,51.47,-16.91,10.64,-137.84
BAM,2026-02-26,6.34,5.97,12.31,0.37,7.01,-137.47
BAM,2026-02-27,49.10,35.35,84.45,13.75,13.02,-123.72
BAM,2026-03-02,9.87,20.83,30.69,-10.96,6.09,-134.68
BAM,2026-03-04,26.51,25.04,51.55,1.46,9.39,-133.22
BAM,2026-03-05,52.48,44.04,96.52,8.44,19.90,-124.78
BAM,2026-03-06,8.59,13.55,22.14,-4.96,19.09,-129.74
BAM,2026-03-09,31.10,23.49,54.59,7.61,19.38,-122.13
BAM,2026-03-10,25.70,22.30,48.00,3.41,15.71,-118.72
BAM,2026-03-11,39.63,41.87,81.50,-2.25,36.25,-120.97
BAM,2026-03-12,12.50,11.64,24.14,0.86,18.61,-120.11
BAM,2026-03-13,9.07,17.19,26.26,-8.12,20.27,-128.23
BAM,2026-03-16,17.07,12.87,29.94,4.19,20.37,-124.04
BAM,2026-03-17,35.39,13.81,49.20,21.58,18.11,-102.46
BAM,2026-03-18,17.13,21.99,39.12,-4.85,15.05,-107.31
BAM,2026-03-19,14.56,20.04,34.60,-5.48,11.18,-112.79
BAM,2026-03-20,5.67,25.06,30.73,-19.39,15.75,-132.18
BAM,2026-03-23,9.91,9.31,19.22,0.60,9.21,-131.58
BAM,2026-03-24,4.69,14.37,19.06,-9.68,12.47,-141.26
BAM,2026-03-25,23.21,14.84,38.05,8.37,17.52,-132.89
BAM,2026-03-26,1.78,6.35,8.13,-4.57,6.14,-137.46
BAM,2026-03-27,26.40,12.47,38.87,13.92,20.08,-123.54
BAM,2026-03-30,22.29,13.33,35.61,8.96,19.10,-114.58
BAM,2026-03-31,50.48,33.32,83.80,17.16,31.07,-97.42
BAM,2026-04-01,28.09,18.38,46.47,9.71,14.88,-87.71
BAM,2026-04-02,18.99,19.66,38.65,-0.67,24.85,-88.38
BAM,2026-04-03,37.47,19.32,56.79,18.15,33.48,-70.23
BAM,2026-04-07,21.65,10.65,32.30,11.00,12.37,-59.23
BAM,2026-04-08,22.16,9.36,31.52,12.79,14.17,-46.44
BAM,2026-04-09,4.72,13.04,17.76,-8.32,22.95,-54.76
BAM,2026-04-10,4.20,4.04,8.25,0.16,13.68,-54.60
BAM,2026-04-16,20.86,13.52,34.38,7.35,17.13,-47.25
BAM,2026-04-17,5.94,14.98,20.92,-9.04,17.55,-56.29
BAM,2026-04-20,7.33,15.41,22.73,-8.08,21.68,-64.37
BAM,2026-04-21,14.14,71.31,85.45,-57.17,22.13,-121.54
