symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
BANPU,2026-01-05,171.48,120.35,291.83,51.12,32.47,51.12
BANPU,2026-01-06,81.80,91.77,173.57,-9.97,42.48,41.15
BANPU,2026-01-07,215.56,59.53,275.08,156.03,28.21,197.18
BANPU,2026-01-08,137.66,170.54,308.20,-32.87,36.60,164.31
BANPU,2026-01-09,54.63,27.96,82.59,26.67,38.35,190.98
BANPU,2026-01-12,164.77,136.85,301.61,27.92,35.80,218.90
BANPU,2026-01-13,268.90,111.54,380.44,157.36,25.14,376.26
BANPU,2026-01-14,109.63,71.65,181.27,37.98,40.99,414.24
BANPU,2026-01-15,74.31,63.76,138.08,10.55,32.93,424.79
BANPU,2026-01-16,96.39,72.15,168.53,24.24,33.10,449.03
BANPU,2026-01-19,66.33,75.32,141.65,-8.99,34.47,440.04
BANPU,2026-01-20,136.11,85.33,221.44,50.77,20.57,490.81
BANPU,2026-01-21,274.66,187.48,462.14,87.18,28.66,577.99
BANPU,2026-01-22,190.37,89.75,280.11,100.62,28.15,678.61
BANPU,2026-01-23,121.50,75.38,196.89,46.12,30.15,724.73
BANPU,2026-01-26,143.78,136.15,279.93,7.62,27.86,732.35
BANPU,2026-01-27,79.37,79.87,159.24,-0.50,40.64,731.85
BANPU,2026-01-28,102.33,71.78,174.10,30.55,22.97,762.40
BANPU,2026-01-29,45.00,69.24,114.23,-24.24,23.32,738.16
BANPU,2026-01-30,124.67,176.71,301.38,-52.04,28.34,686.12
BANPU,2026-02-02,69.79,72.04,141.83,-2.24,33.14,683.88
BANPU,2026-02-03,31.57,69.35,100.92,-37.78,24.87,646.10
BANPU,2026-02-04,93.07,49.75,142.82,43.32,32.37,689.42
BANPU,2026-02-05,40.73,74.58,115.31,-33.85,26.05,655.57
BANPU,2026-02-06,32.93,45.74,78.67,-12.81,18.05,642.76
BANPU,2026-02-09,82.46,43.28,125.74,39.17,24.47,681.93
BANPU,2026-02-10,159.15,108.86,268.01,50.28,26.21,732.21
BANPU,2026-02-11,24.40,32.64,57.04,-8.24,19.78,723.97
BANPU,2026-02-12,121.35,138.12,259.47,-16.76,18.75,707.21
BANPU,2026-02-13,44.70,90.58,135.28,-45.88,20.47,661.33
BANPU,2026-02-16,27.85,80.37,108.22,-52.52,24.67,608.81
BANPU,2026-02-17,21.56,54.44,76.01,-32.88,16.61,575.93
BANPU,2026-02-18,32.45,50.08,82.53,-17.62,26.66,558.31
BANPU,2026-02-19,49.92,127.88,177.81,-77.96,14.02,480.35
BANPU,2026-02-20,70.47,126.25,196.72,-55.77,23.55,424.58
BANPU,2026-02-23,98.21,84.74,182.96,13.47,24.01,438.05
BANPU,2026-02-24,76.73,69.30,146.03,7.43,30.93,445.48
BANPU,2026-02-25,31.99,55.85,87.84,-23.85,22.43,421.63
BANPU,2026-02-26,47.70,94.87,142.56,-47.17,26.10,374.46
BANPU,2026-02-27,46.05,59.04,105.08,-12.99,21.82,361.47
BANPU,2026-03-02,80.25,132.84,213.09,-52.59,25.85,308.88
BANPU,2026-03-04,215.72,253.07,468.79,-37.35,22.74,271.53
BANPU,2026-03-05,744.45,474.59,1219.04,269.86,23.54,541.39
BANPU,2026-03-06,187.08,259.97,447.05,-72.89,28.96,468.50
BANPU,2026-03-09,223.33,363.13,586.47,-139.80,29.11,328.70
BANPU,2026-03-10,104.71,98.20,202.91,6.51,30.48,335.21
BANPU,2026-03-11,103.85,108.90,212.75,-5.05,26.37,330.16
BANPU,2026-03-12,175.09,172.93,348.02,2.16,27.04,332.32
BANPU,2026-03-13,291.94,146.83,438.77,145.10,23.37,477.42
BANPU,2026-03-16,60.75,203.58,264.33,-142.83,24.88,334.59
BANPU,2026-03-17,78.63,77.27,155.90,1.36,23.69,335.95
BANPU,2026-03-18,36.39,85.94,122.33,-49.55,17.75,286.40
BANPU,2026-03-19,222.99,172.19,395.18,50.80,23.07,337.20
BANPU,2026-03-20,586.04,633.32,1219.36,-47.28,40.53,289.92
BANPU,2026-03-23,528.60,306.39,834.98,222.21,22.00,512.13
BANPU,2026-03-24,146.83,275.10,421.93,-128.27,25.73,383.86
BANPU,2026-03-25,201.07,160.71,361.79,40.36,22.43,424.22
BANPU,2026-03-26,49.56,123.48,173.05,-73.92,22.86,350.30
BANPU,2026-03-27,219.16,97.90,317.06,121.25,28.39,471.55
BANPU,2026-03-30,194.83,81.76,276.59,113.07,22.94,584.62
BANPU,2026-03-31,78.06,118.37,196.43,-40.31,27.41,544.31
BANPU,2026-04-01,104.06,114.24,218.30,-10.19,22.19,534.12
BANPU,2026-04-02,94.53,106.14,200.67,-11.61,25.55,522.51
BANPU,2026-04-03,22.25,66.31,88.57,-44.06,23.94,478.45
BANPU,2026-04-07,60.20,55.06,115.26,5.14,25.23,483.59
BANPU,2026-04-08,152.02,161.79,313.81,-9.77,20.12,473.82
BANPU,2026-04-09,95.02,74.42,169.44,20.60,22.69,494.42
BANPU,2026-04-10,55.76,91.32,147.08,-35.56,35.72,458.86
BANPU,2026-04-16,240.24,101.56,341.80,138.69,40.61,597.55
BANPU,2026-04-17,48.55,205.67,254.22,-157.12,24.07,440.43
BANPU,2026-04-20,51.18,67.35,118.53,-16.16,26.12,424.27
BANPU,2026-04-21,63.53,80.12,143.64,-16.59,34.65,407.68
