symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
BA,2026-01-05,33.79,18.12,51.92,15.67,30.48,15.67
BA,2026-01-06,24.86,41.08,65.93,-16.22,34.15,-0.55
BA,2026-01-07,56.03,34.60,90.63,21.43,33.15,20.88
BA,2026-01-08,42.59,26.84,69.43,15.75,19.49,36.63
BA,2026-01-09,29.14,31.56,60.70,-2.42,27.41,34.21
BA,2026-01-12,27.44,48.86,76.30,-21.42,26.48,12.79
BA,2026-01-13,29.33,33.11,62.44,-3.78,32.15,9.01
BA,2026-01-14,20.88,54.04,74.92,-33.16,23.36,-24.15
BA,2026-01-15,30.94,10.60,41.54,20.34,22.76,-3.81
BA,2026-01-16,4.98,19.06,24.03,-14.08,19.54,-17.89
BA,2026-01-19,26.30,22.10,48.41,4.20,27.98,-13.69
BA,2026-01-20,23.87,19.51,43.39,4.36,29.67,-9.33
BA,2026-01-21,35.13,16.77,51.90,18.36,32.38,9.03
BA,2026-01-22,20.30,37.27,57.57,-16.97,29.20,-7.94
BA,2026-01-23,18.24,17.49,35.73,0.74,24.13,-7.20
BA,2026-01-26,25.48,26.23,51.71,-0.75,27.37,-7.95
BA,2026-01-27,13.43,19.55,32.98,-6.12,33.69,-14.07
BA,2026-01-28,21.44,32.64,54.08,-11.19,33.44,-25.26
BA,2026-01-29,10.93,15.65,26.58,-4.72,30.02,-29.98
BA,2026-01-30,26.88,29.76,56.64,-2.88,46.27,-32.86
BA,2026-02-02,18.54,22.75,41.29,-4.20,23.31,-37.06
BA,2026-02-03,71.60,27.10,98.70,44.49,29.05,7.43
BA,2026-02-04,12.59,34.82,47.41,-22.23,27.52,-14.80
BA,2026-02-05,30.11,18.09,48.20,12.01,19.49,-2.79
BA,2026-02-06,15.20,34.49,49.69,-19.29,27.49,-22.08
BA,2026-02-09,57.69,11.40,69.09,46.29,19.72,24.21
BA,2026-02-10,72.16,56.28,128.44,15.88,23.93,40.09
BA,2026-02-11,46.27,54.86,101.13,-8.59,19.69,31.50
BA,2026-02-12,40.30,42.09,82.39,-1.79,31.50,29.71
BA,2026-02-13,41.24,41.28,82.52,-0.04,29.00,29.67
BA,2026-02-16,16.29,31.79,48.09,-15.50,19.78,14.17
BA,2026-02-17,23.65,21.92,45.57,1.74,16.12,15.91
BA,2026-02-18,25.97,40.57,66.54,-14.60,26.98,1.31
BA,2026-02-19,30.09,52.55,82.65,-22.46,30.17,-21.15
BA,2026-02-20,45.09,25.67,70.75,19.42,20.54,-1.73
BA,2026-02-23,68.09,30.16,98.24,37.93,26.25,36.20
BA,2026-02-24,30.76,21.09,51.85,9.67,27.21,45.87
BA,2026-02-25,16.59,31.36,47.95,-14.77,21.54,31.10
BA,2026-02-26,28.95,24.02,52.97,4.93,32.17,36.03
BA,2026-02-27,48.54,41.95,90.49,6.59,19.77,42.62
BA,2026-03-02,85.84,59.84,145.68,26.01,15.20,68.63
BA,2026-03-04,139.08,118.67,257.75,20.41,27.17,89.04
BA,2026-03-05,59.41,79.65,139.06,-20.23,25.17,68.81
BA,2026-03-06,43.89,68.86,112.75,-24.96,20.88,43.85
BA,2026-03-09,76.47,65.74,142.21,10.73,24.08,54.58
BA,2026-03-10,24.54,86.10,110.64,-61.56,24.91,-6.98
BA,2026-03-11,9.00,80.03,89.03,-71.03,19.66,-78.01
BA,2026-03-12,11.99,59.77,71.76,-47.78,20.34,-125.79
BA,2026-03-13,15.01,28.90,43.91,-13.88,23.63,-139.67
BA,2026-03-16,15.78,22.22,38.01,-6.44,22.99,-146.11
BA,2026-03-17,24.75,15.16,39.91,9.59,25.90,-136.52
BA,2026-03-18,10.08,28.88,38.96,-18.81,27.42,-155.33
BA,2026-03-19,5.58,15.77,21.35,-10.19,11.43,-165.52
BA,2026-03-20,20.89,18.36,39.25,2.53,16.34,-162.99
BA,2026-03-23,11.11,24.97,36.09,-13.86,14.04,-176.85
BA,2026-03-24,14.85,13.22,28.06,1.63,13.06,-175.22
BA,2026-03-25,26.87,20.99,47.86,5.88,10.60,-169.34
BA,2026-03-26,7.79,11.49,19.28,-3.70,9.88,-173.04
BA,2026-03-27,9.62,11.14,20.76,-1.52,17.35,-174.56
BA,2026-03-30,13.71,5.91,19.62,7.80,12.54,-166.76
BA,2026-03-31,15.92,23.42,39.34,-7.50,18.61,-174.26
BA,2026-04-01,15.36,24.89,40.25,-9.53,8.85,-183.79
BA,2026-04-02,4.34,3.36,7.70,0.98,5.82,-182.81
BA,2026-04-03,8.07,10.71,18.78,-2.64,19.10,-185.45
BA,2026-04-07,8.67,30.03,38.70,-21.36,10.79,-206.81
BA,2026-04-08,40.41,18.16,58.57,22.25,12.14,-184.56
BA,2026-04-09,1.13,21.19,22.32,-20.05,12.12,-204.61
BA,2026-04-10,6.64,8.58,15.22,-1.94,21.19,-206.55
BA,2026-04-16,29.84,25.90,55.74,3.94,17.46,-202.61
BA,2026-04-17,8.08,14.13,22.21,-6.05,13.04,-208.66
BA,2026-04-20,20.23,22.04,42.27,-1.81,24.81,-210.47
BA,2026-04-21,29.63,23.82,53.45,5.81,20.79,-204.66
