symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
BBL,2026-01-05,473.75,484.76,958.50,-11.01,28.66,-11.01
BBL,2026-01-06,225.60,328.54,554.14,-102.93,31.49,-113.94
BBL,2026-01-07,201.91,423.84,625.75,-221.93,26.89,-335.87
BBL,2026-01-08,537.79,192.79,730.58,345.01,30.42,9.14
BBL,2026-01-09,312.15,310.72,622.86,1.43,28.40,10.57
BBL,2026-01-12,272.42,60.09,332.51,212.32,17.73,222.89
BBL,2026-01-13,290.09,288.34,578.43,1.74,37.07,224.63
BBL,2026-01-14,315.22,299.67,614.89,15.55,30.38,240.18
BBL,2026-01-15,459.49,284.97,744.47,174.52,36.21,414.70
BBL,2026-01-16,709.53,433.63,1143.16,275.89,31.94,690.59
BBL,2026-01-19,129.29,127.07,256.35,2.22,17.06,692.81
BBL,2026-01-20,387.92,129.71,517.63,258.21,25.10,951.02
BBL,2026-01-21,880.77,2028.22,2908.99,-1147.45,17.25,-196.43
BBL,2026-01-22,878.52,992.98,1871.49,-114.46,24.32,-310.89
BBL,2026-01-23,299.75,448.11,747.86,-148.36,11.28,-459.25
BBL,2026-01-26,391.98,464.77,856.75,-72.79,16.85,-532.04
BBL,2026-01-27,765.73,1052.81,1818.54,-287.09,31.00,-819.13
BBL,2026-01-28,179.60,656.43,836.03,-476.83,18.84,-1295.96
BBL,2026-01-29,548.23,629.14,1177.36,-80.91,16.10,-1376.87
BBL,2026-01-30,192.86,728.43,921.29,-535.56,18.97,-1912.43
BBL,2026-02-02,231.89,178.69,410.58,53.21,15.90,-1859.22
BBL,2026-02-03,260.41,289.11,549.52,-28.70,21.52,-1887.92
BBL,2026-02-04,279.57,313.90,593.47,-34.34,20.40,-1922.26
BBL,2026-02-05,204.39,256.27,460.66,-51.88,17.83,-1974.14
BBL,2026-02-06,137.57,297.39,434.97,-159.82,21.97,-2133.96
BBL,2026-02-09,1249.45,264.19,1513.65,985.26,25.47,-1148.70
BBL,2026-02-10,510.43,695.19,1205.62,-184.76,17.90,-1333.46
BBL,2026-02-11,292.57,298.31,590.87,-5.74,22.18,-1339.20
BBL,2026-02-12,835.49,256.29,1091.78,579.20,18.69,-760.00
BBL,2026-02-13,650.36,958.08,1608.44,-307.72,27.23,-1067.72
BBL,2026-02-16,677.77,463.45,1141.23,214.32,27.04,-853.40
BBL,2026-02-17,967.02,502.27,1469.29,464.75,27.25,-388.65
BBL,2026-02-18,179.51,340.99,520.50,-161.48,19.67,-550.13
BBL,2026-02-19,640.94,781.61,1422.55,-140.66,22.32,-690.79
BBL,2026-02-20,3361.60,1463.63,4825.24,1897.97,34.94,1207.18
BBL,2026-02-23,1491.57,882.86,2374.43,608.71,34.59,1815.89
BBL,2026-02-24,452.78,598.63,1051.41,-145.85,33.79,1670.04
BBL,2026-02-25,1602.57,1995.77,3598.34,-393.20,41.46,1276.84
BBL,2026-02-26,1108.80,929.42,2038.22,179.37,31.25,1456.21
BBL,2026-02-27,2359.55,1633.38,3992.93,726.17,33.27,2182.38
BBL,2026-03-02,1243.06,887.07,2130.13,355.99,34.47,2538.37
BBL,2026-03-04,2060.64,1783.81,3844.46,276.83,33.70,2815.20
BBL,2026-03-05,2383.32,1101.62,3484.94,1281.70,37.27,4096.90
BBL,2026-03-06,353.54,465.74,819.28,-112.20,27.22,3984.70
BBL,2026-03-09,1085.58,1121.32,2206.90,-35.74,35.15,3948.96
BBL,2026-03-10,489.26,582.48,1071.74,-93.22,29.90,3855.74
BBL,2026-03-11,507.23,271.64,778.87,235.60,32.61,4091.34
BBL,2026-03-12,205.52,343.23,548.75,-137.71,30.10,3953.63
BBL,2026-03-13,295.96,294.22,590.19,1.74,35.32,3955.37
BBL,2026-03-16,136.49,391.18,527.67,-254.69,24.64,3700.68
BBL,2026-03-17,458.35,281.96,740.31,176.38,29.89,3877.06
BBL,2026-03-18,372.54,224.65,597.19,147.88,30.16,4024.94
BBL,2026-03-19,704.39,417.77,1122.16,286.61,27.63,4311.55
BBL,2026-03-20,396.31,369.87,766.18,26.44,44.16,4337.99
BBL,2026-03-23,193.81,469.82,663.62,-276.01,34.68,4061.98
BBL,2026-03-24,951.25,408.25,1359.50,542.99,36.92,4604.97
BBL,2026-03-25,596.09,393.38,989.47,202.71,31.63,4807.68
BBL,2026-03-26,608.69,238.50,847.19,370.20,33.41,5177.88
BBL,2026-03-27,396.41,546.43,942.84,-150.02,36.70,5027.86
BBL,2026-03-30,300.74,349.38,650.12,-48.64,34.66,4979.22
BBL,2026-03-31,485.37,403.84,889.21,81.54,40.55,5060.76
BBL,2026-04-01,391.86,238.76,630.62,153.10,35.46,5213.86
BBL,2026-04-02,476.69,210.26,686.95,266.42,27.31,5480.28
BBL,2026-04-03,179.34,469.29,648.63,-289.95,30.22,5190.33
BBL,2026-04-07,176.34,236.94,413.27,-60.60,33.17,5129.73
BBL,2026-04-08,383.04,367.68,750.72,15.37,30.63,5145.10
BBL,2026-04-09,276.94,417.66,694.61,-140.72,42.69,5004.38
BBL,2026-04-10,367.81,332.04,699.85,35.76,30.52,5040.14
BBL,2026-04-16,689.86,840.47,1530.33,-150.60,26.33,4889.54
BBL,2026-04-17,156.08,423.19,579.27,-267.11,33.63,4622.43
BBL,2026-04-20,584.10,510.37,1094.47,73.72,38.48,4696.15
BBL,2026-04-21,799.89,804.74,1604.63,-4.85,28.63,4691.30
