symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
BCH,2026-01-05,32.98,37.31,70.29,-4.34,42.27,-4.34
BCH,2026-01-06,5.86,7.32,13.17,-1.46,14.77,-5.80
BCH,2026-01-07,69.52,61.12,130.64,8.40,21.88,2.60
BCH,2026-01-08,20.01,68.73,88.73,-48.72,15.48,-46.12
BCH,2026-01-09,13.53,39.81,53.33,-26.28,9.39,-72.40
BCH,2026-01-12,16.34,43.90,60.24,-27.56,15.11,-99.96
BCH,2026-01-13,15.49,23.31,38.79,-7.82,11.90,-107.78
BCH,2026-01-14,14.07,25.09,39.16,-11.01,22.05,-118.79
BCH,2026-01-15,20.98,13.37,34.36,7.61,22.97,-111.18
BCH,2026-01-16,11.20,16.43,27.63,-5.23,23.20,-116.41
BCH,2026-01-19,67.05,29.19,96.24,37.86,25.15,-78.55
BCH,2026-01-20,65.73,24.37,90.10,41.36,30.20,-37.19
BCH,2026-01-21,25.62,23.89,49.51,1.73,15.30,-35.46
BCH,2026-01-22,58.94,44.43,103.37,14.51,26.90,-20.95
BCH,2026-01-23,81.62,27.93,109.55,53.69,27.95,32.74
BCH,2026-01-26,32.67,13.89,46.56,18.78,27.16,51.52
BCH,2026-01-27,30.28,37.39,67.67,-7.11,25.48,44.41
BCH,2026-01-28,10.78,9.07,19.84,1.71,19.11,46.12
BCH,2026-01-29,6.66,8.64,15.30,-1.98,20.96,44.14
BCH,2026-01-30,17.91,29.03,46.94,-11.12,27.58,33.02
BCH,2026-02-02,7.76,30.67,38.44,-22.91,25.63,10.11
BCH,2026-02-03,15.24,16.80,32.05,-1.56,20.68,8.55
BCH,2026-02-04,18.37,43.33,61.69,-24.96,23.58,-16.41
BCH,2026-02-05,41.25,34.12,75.37,7.13,23.86,-9.28
BCH,2026-02-06,50.00,30.60,80.61,19.40,21.42,10.12
BCH,2026-02-09,79.41,54.60,134.02,24.81,20.94,34.93
BCH,2026-02-10,26.31,31.56,57.87,-5.24,19.89,29.69
BCH,2026-02-11,25.54,34.28,59.83,-8.74,25.24,20.95
BCH,2026-02-12,27.67,19.55,47.22,8.12,19.99,29.07
BCH,2026-02-13,100.07,77.86,177.94,22.21,27.62,51.28
BCH,2026-02-16,38.49,33.98,72.48,4.51,19.34,55.79
BCH,2026-02-17,58.28,31.97,90.24,26.31,22.77,82.10
BCH,2026-02-18,16.14,56.25,72.40,-40.11,21.86,41.99
BCH,2026-02-19,66.60,86.28,152.88,-19.68,17.81,22.31
BCH,2026-02-20,23.74,70.96,94.70,-47.22,21.00,-24.91
BCH,2026-02-23,62.89,39.79,102.68,23.10,21.32,-1.81
BCH,2026-02-24,41.80,56.51,98.32,-14.71,30.53,-16.52
BCH,2026-02-25,49.21,46.38,95.59,2.84,19.28,-13.68
BCH,2026-02-26,33.72,40.01,73.73,-6.28,17.51,-19.96
BCH,2026-02-27,21.40,51.56,72.96,-30.15,19.45,-50.11
BCH,2026-03-02,30.29,44.23,74.52,-13.94,11.98,-64.05
BCH,2026-03-04,68.40,83.52,151.92,-15.12,24.33,-79.17
BCH,2026-03-05,34.25,44.45,78.69,-10.20,25.31,-89.37
BCH,2026-03-06,22.31,20.93,43.24,1.38,19.65,-87.99
BCH,2026-03-09,52.90,33.55,86.45,19.35,36.68,-68.64
BCH,2026-03-10,41.82,42.11,83.93,-0.30,28.62,-68.94
BCH,2026-03-11,16.83,40.37,57.20,-23.54,25.64,-92.48
BCH,2026-03-12,28.40,12.56,40.96,15.84,22.11,-76.64
BCH,2026-03-13,24.49,23.45,47.93,1.04,18.35,-75.60
BCH,2026-03-16,26.76,25.10,51.85,1.66,25.11,-73.94
BCH,2026-03-17,2.77,6.80,9.56,-4.03,6.84,-77.97
BCH,2026-03-18,1.34,2.86,4.20,-1.53,4.77,-79.50
BCH,2026-03-19,10.88,9.88,20.75,1.00,8.60,-78.50
BCH,2026-03-20,26.05,22.62,48.67,3.43,13.05,-75.07
BCH,2026-03-23,9.37,26.49,35.86,-17.11,9.81,-92.18
BCH,2026-03-24,18.93,6.60,25.53,12.32,11.61,-79.86
BCH,2026-03-25,45.49,28.29,73.79,17.20,16.57,-62.66
BCH,2026-03-26,11.77,22.79,34.56,-11.01,13.42,-73.67
BCH,2026-03-27,40.93,15.55,56.48,25.38,23.94,-48.29
BCH,2026-03-30,47.27,12.93,60.20,34.34,27.95,-13.95
BCH,2026-03-31,55.10,26.24,81.34,28.86,22.96,14.91
BCH,2026-04-01,49.32,46.32,95.63,3.00,20.36,17.91
BCH,2026-04-02,80.35,11.46,91.81,68.89,30.89,86.80
BCH,2026-04-03,36.92,62.73,99.65,-25.81,35.04,60.99
BCH,2026-04-07,11.61,28.28,39.89,-16.67,26.27,44.32
BCH,2026-04-08,44.98,9.50,54.48,35.49,21.00,79.81
BCH,2026-04-09,21.84,46.68,68.52,-24.84,31.05,54.97
BCH,2026-04-10,8.52,16.10,24.62,-7.57,30.70,47.40
BCH,2026-04-16,24.65,28.03,52.68,-3.38,21.43,44.02
BCH,2026-04-17,10.91,30.09,41.00,-19.18,23.89,24.84
BCH,2026-04-20,0.68,18.55,19.22,-17.87,23.39,6.97
BCH,2026-04-21,11.88,23.98,35.86,-12.11,23.23,-5.14
