symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
BCPG,2026-01-05,5.18,4.36,9.54,0.83,26.73,0.83
BCPG,2026-01-06,3.07,8.89,11.96,-5.82,18.72,-4.99
BCPG,2026-01-07,9.65,7.49,17.14,2.16,22.61,-2.83
BCPG,2026-01-08,3.23,7.75,10.97,-4.52,21.07,-7.35
BCPG,2026-01-09,6.68,2.19,8.87,4.49,21.84,-2.86
BCPG,2026-01-12,0.72,2.68,3.39,-1.96,9.97,-4.82
BCPG,2026-01-13,1.80,3.85,5.65,-2.05,10.71,-6.87
BCPG,2026-01-14,4.57,2.93,7.50,1.64,20.43,-5.23
BCPG,2026-01-15,6.19,4.30,10.50,1.89,18.11,-3.34
BCPG,2026-01-16,8.70,8.54,17.24,0.16,15.29,-3.18
BCPG,2026-01-19,13.97,8.55,22.52,5.42,17.07,2.24
BCPG,2026-01-20,14.27,7.76,22.03,6.51,23.15,8.75
BCPG,2026-01-21,11.86,5.49,17.35,6.37,24.10,15.12
BCPG,2026-01-22,11.52,15.30,26.82,-3.78,37.25,11.34
BCPG,2026-01-23,7.63,9.32,16.95,-1.69,24.53,9.65
BCPG,2026-01-26,5.24,5.68,10.93,-0.44,21.61,9.21
BCPG,2026-01-27,3.45,7.98,11.43,-4.52,25.41,4.69
BCPG,2026-01-28,17.89,8.87,26.76,9.02,21.61,13.71
BCPG,2026-01-29,7.35,10.85,18.20,-3.49,20.33,10.22
BCPG,2026-01-30,5.75,10.62,16.36,-4.87,15.30,5.35
BCPG,2026-02-02,7.83,13.60,21.43,-5.77,15.22,-0.42
BCPG,2026-02-03,45.71,8.39,54.10,37.32,21.83,36.90
BCPG,2026-02-04,7.89,11.16,19.05,-3.28,17.23,33.62
BCPG,2026-02-05,4.36,22.35,26.71,-17.99,11.70,15.63
BCPG,2026-02-06,17.51,22.55,40.06,-5.04,36.87,10.59
BCPG,2026-02-09,39.52,50.70,90.22,-11.18,32.28,-0.59
BCPG,2026-02-10,30.36,17.77,48.13,12.59,20.04,12.00
BCPG,2026-02-11,34.82,11.38,46.21,23.44,23.16,35.44
BCPG,2026-02-12,46.19,22.17,68.36,24.02,25.09,59.46
BCPG,2026-02-13,79.84,55.42,135.26,24.42,19.63,83.88
BCPG,2026-02-16,38.72,25.15,63.88,13.57,23.81,97.45
BCPG,2026-02-17,31.13,31.57,62.70,-0.44,18.59,97.01
BCPG,2026-02-18,30.43,21.59,52.02,8.84,25.64,105.85
BCPG,2026-02-19,25.08,20.41,45.49,4.67,25.27,110.52
BCPG,2026-02-20,13.89,14.09,27.99,-0.20,21.32,110.32
BCPG,2026-02-23,30.93,18.57,49.50,12.37,28.97,122.69
BCPG,2026-02-24,35.62,14.61,50.23,21.01,27.14,143.70
BCPG,2026-02-25,16.96,37.25,54.21,-20.29,25.90,123.41
BCPG,2026-02-26,9.54,15.20,24.74,-5.65,25.90,117.76
BCPG,2026-02-27,67.29,61.59,128.88,5.70,23.30,123.46
BCPG,2026-03-02,77.69,34.24,111.93,43.45,27.32,166.91
BCPG,2026-03-04,75.50,62.03,137.53,13.47,36.76,180.38
BCPG,2026-03-05,15.72,32.54,48.26,-16.81,37.40,163.57
BCPG,2026-03-06,17.92,16.84,34.75,1.08,44.19,164.65
BCPG,2026-03-09,236.09,57.89,293.98,178.19,29.13,342.84
BCPG,2026-03-10,130.81,112.81,243.63,18.00,28.89,360.84
BCPG,2026-03-11,53.94,93.71,147.65,-39.78,24.42,321.06
BCPG,2026-03-12,50.46,83.74,134.20,-33.28,31.06,287.78
BCPG,2026-03-13,19.61,62.05,81.66,-42.44,32.32,245.34
BCPG,2026-03-16,18.62,39.22,57.84,-20.60,27.96,224.74
BCPG,2026-03-17,36.68,30.86,67.55,5.82,30.73,230.56
BCPG,2026-03-18,21.67,33.14,54.81,-11.48,30.36,219.08
BCPG,2026-03-19,13.94,54.57,68.51,-40.63,30.16,178.45
BCPG,2026-03-20,62.16,22.49,84.66,39.67,31.56,218.12
BCPG,2026-03-23,16.19,34.97,51.16,-18.78,31.23,199.34
BCPG,2026-03-24,13.98,30.80,44.78,-16.82,29.14,182.52
BCPG,2026-03-25,37.35,32.46,69.82,4.89,34.00,187.41
BCPG,2026-03-26,19.17,27.90,47.07,-8.72,27.14,178.69
BCPG,2026-03-27,28.15,15.13,43.28,13.02,26.99,191.71
BCPG,2026-03-30,39.95,46.48,86.43,-6.53,21.45,185.18
BCPG,2026-03-31,11.88,27.59,39.47,-15.71,24.70,169.47
BCPG,2026-04-01,35.48,25.18,60.66,10.30,31.62,179.77
BCPG,2026-04-02,9.65,16.55,26.19,-6.90,29.15,172.87
BCPG,2026-04-03,17.39,20.18,37.56,-2.79,26.69,170.08
BCPG,2026-04-07,11.27,12.70,23.96,-1.43,29.30,168.65
BCPG,2026-04-08,26.67,31.43,58.10,-4.77,24.40,163.88
BCPG,2026-04-09,6.22,13.33,19.55,-7.11,25.94,156.77
BCPG,2026-04-10,7.62,9.10,16.71,-1.48,21.77,155.29
BCPG,2026-04-16,18.24,13.84,32.09,4.40,22.25,159.69
BCPG,2026-04-17,12.16,7.33,19.49,4.83,23.92,164.52
BCPG,2026-04-20,11.06,10.34,21.40,0.71,24.42,165.23
BCPG,2026-04-21,6.68,12.24,18.91,-5.56,27.35,159.67
