symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
BCP,2026-01-05,81.63,54.42,136.06,27.21,41.32,27.21
BCP,2026-01-06,215.13,44.62,259.75,170.51,24.16,197.72
BCP,2026-01-07,59.04,36.42,95.45,22.62,37.42,220.34
BCP,2026-01-08,89.58,100.25,189.83,-10.67,36.40,209.67
BCP,2026-01-09,65.30,39.25,104.54,26.05,30.28,235.72
BCP,2026-01-12,66.61,36.36,102.96,30.25,33.25,265.97
BCP,2026-01-13,34.05,60.13,94.18,-26.08,41.07,239.89
BCP,2026-01-14,59.13,123.91,183.04,-64.77,40.79,175.12
BCP,2026-01-15,91.38,65.81,157.19,25.56,27.54,200.68
BCP,2026-01-16,59.61,108.66,168.27,-49.05,48.10,151.63
BCP,2026-01-19,44.78,33.29,78.07,11.49,28.73,163.12
BCP,2026-01-20,33.85,42.98,76.82,-9.13,20.73,153.99
BCP,2026-01-21,54.54,66.45,120.99,-11.91,33.41,142.08
BCP,2026-01-22,68.99,61.45,130.44,7.54,43.50,149.62
BCP,2026-01-23,20.06,12.63,32.69,7.43,27.88,157.05
BCP,2026-01-26,40.19,27.49,67.67,12.70,35.27,169.75
BCP,2026-01-27,44.48,77.53,122.02,-33.05,46.13,136.70
BCP,2026-01-28,113.81,39.91,153.72,73.89,25.25,210.59
BCP,2026-01-29,170.64,97.51,268.15,73.13,25.54,283.72
BCP,2026-01-30,75.53,108.81,184.34,-33.28,39.07,250.44
BCP,2026-02-02,132.98,61.86,194.84,71.12,41.82,321.56
BCP,2026-02-03,128.03,49.90,177.93,78.13,38.94,399.69
BCP,2026-02-04,190.64,54.79,245.43,135.85,29.94,535.54
BCP,2026-02-05,213.79,97.79,311.58,116.00,45.38,651.54
BCP,2026-02-06,250.79,63.31,314.10,187.48,31.20,839.02
BCP,2026-02-09,251.37,119.38,370.75,132.00,34.81,971.02
BCP,2026-02-10,317.78,123.11,440.89,194.66,48.32,1165.68
BCP,2026-02-11,275.12,70.18,345.31,204.94,40.98,1370.62
BCP,2026-02-12,513.02,142.04,655.06,370.98,41.27,1741.60
BCP,2026-02-13,445.69,168.05,613.73,277.64,46.04,2019.24
BCP,2026-02-16,405.85,144.06,549.91,261.79,46.88,2281.03
BCP,2026-02-17,356.11,154.73,510.84,201.38,44.93,2482.41
BCP,2026-02-18,237.21,146.63,383.83,90.58,50.12,2572.99
BCP,2026-02-19,159.84,68.41,228.25,91.44,26.13,2664.43
BCP,2026-02-20,111.44,88.75,200.19,22.69,32.66,2687.12
BCP,2026-02-23,59.71,73.02,132.74,-13.31,30.88,2673.81
BCP,2026-02-24,246.75,102.57,349.33,144.18,38.03,2817.99
BCP,2026-02-25,152.54,86.72,239.26,65.82,29.27,2883.81
BCP,2026-02-26,97.29,127.05,224.35,-29.76,33.03,2854.05
BCP,2026-02-27,212.02,86.53,298.56,125.49,38.51,2979.54
BCP,2026-03-02,108.21,171.96,280.16,-63.75,35.58,2915.79
BCP,2026-03-04,88.71,138.73,227.43,-50.02,27.67,2865.77
BCP,2026-03-05,91.07,121.35,212.42,-30.29,33.99,2835.48
BCP,2026-03-06,112.60,155.32,267.92,-42.72,36.44,2792.76
BCP,2026-03-09,146.26,222.00,368.26,-75.73,40.32,2717.03
BCP,2026-03-10,84.49,78.72,163.21,5.76,34.82,2722.79
BCP,2026-03-11,102.08,42.89,144.97,59.19,33.36,2781.98
BCP,2026-03-12,225.52,97.80,323.32,127.72,40.54,2909.70
BCP,2026-03-13,60.58,76.09,136.67,-15.51,38.68,2894.19
BCP,2026-03-16,89.43,80.44,169.87,8.98,48.11,2903.17
BCP,2026-03-17,138.39,45.27,183.66,93.12,39.18,2996.29
BCP,2026-03-18,144.96,83.96,228.92,60.99,26.41,3057.28
BCP,2026-03-19,158.57,86.55,245.12,72.03,30.96,3129.31
BCP,2026-03-20,151.16,96.41,247.57,54.75,38.51,3184.06
BCP,2026-03-23,70.47,51.36,121.83,19.11,29.28,3203.17
BCP,2026-03-24,136.00,105.75,241.75,30.25,41.51,3233.42
BCP,2026-03-25,88.08,71.17,159.25,16.92,29.47,3250.34
BCP,2026-03-26,158.12,123.24,281.36,34.88,42.31,3285.22
BCP,2026-03-27,123.65,125.40,249.04,-1.75,31.74,3283.47
BCP,2026-03-30,94.74,89.47,184.21,5.27,31.83,3288.74
BCP,2026-03-31,76.84,123.62,200.46,-46.78,41.68,3241.96
BCP,2026-04-01,133.61,76.26,209.87,57.35,39.88,3299.31
BCP,2026-04-02,210.95,114.98,325.93,95.98,43.34,3395.29
BCP,2026-04-03,43.03,49.92,92.95,-6.89,20.40,3388.40
BCP,2026-04-07,176.36,61.25,237.61,115.11,44.00,3503.51
BCP,2026-04-08,38.46,81.29,119.74,-42.83,36.91,3460.68
BCP,2026-04-09,129.65,149.10,278.74,-19.45,56.65,3441.23
BCP,2026-04-10,29.24,24.25,53.49,4.99,51.74,3446.22
BCP,2026-04-16,165.58,131.32,296.90,34.26,45.76,3480.48
BCP,2026-04-17,48.87,47.89,96.76,0.98,39.38,3481.46
BCP,2026-04-20,28.26,41.31,69.57,-13.05,45.09,3468.41
BCP,2026-04-21,28.57,20.73,49.30,7.84,29.47,3476.25
