symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
BDMS,2026-01-05,264.94,140.02,404.96,124.92,27.38,124.92
BDMS,2026-01-06,297.85,349.26,647.11,-51.42,38.34,73.50
BDMS,2026-01-07,351.61,353.76,705.37,-2.15,31.05,71.35
BDMS,2026-01-08,119.65,398.06,517.71,-278.40,31.66,-207.05
BDMS,2026-01-09,162.46,348.74,511.20,-186.28,22.33,-393.33
BDMS,2026-01-12,385.44,415.77,801.21,-30.33,16.55,-423.66
BDMS,2026-01-13,707.95,607.81,1315.76,100.14,21.13,-323.52
BDMS,2026-01-14,317.31,406.73,724.04,-89.43,21.96,-412.95
BDMS,2026-01-15,279.55,302.91,582.46,-23.36,26.84,-436.31
BDMS,2026-01-16,333.52,382.73,716.25,-49.22,34.85,-485.53
BDMS,2026-01-19,608.70,420.49,1029.19,188.21,29.41,-297.32
BDMS,2026-01-20,1367.95,741.52,2109.47,626.43,33.44,329.11
BDMS,2026-01-21,618.31,343.11,961.42,275.20,24.94,604.31
BDMS,2026-01-22,2536.83,662.02,3198.85,1874.81,39.24,2479.12
BDMS,2026-01-23,778.17,450.18,1228.34,327.99,45.91,2807.11
BDMS,2026-01-26,312.40,437.77,750.17,-125.37,25.21,2681.74
BDMS,2026-01-27,408.81,588.45,997.26,-179.64,35.33,2502.10
BDMS,2026-01-28,171.59,298.84,470.43,-127.25,29.69,2374.85
BDMS,2026-01-29,154.90,522.16,677.06,-367.26,25.42,2007.59
BDMS,2026-01-30,219.41,248.52,467.94,-29.11,34.88,1978.48
BDMS,2026-02-02,287.99,296.57,584.55,-8.58,38.03,1969.90
BDMS,2026-02-03,473.59,430.76,904.34,42.83,30.45,2012.73
BDMS,2026-02-04,315.13,227.26,542.38,87.87,30.72,2100.60
BDMS,2026-02-05,351.14,369.81,720.94,-18.67,18.91,2081.93
BDMS,2026-02-06,355.79,395.00,750.79,-39.21,21.68,2042.72
BDMS,2026-02-09,504.40,748.71,1253.11,-244.31,26.29,1798.41
BDMS,2026-02-10,252.47,256.90,509.37,-4.44,28.26,1793.97
BDMS,2026-02-11,337.04,360.79,697.83,-23.75,20.66,1770.22
BDMS,2026-02-12,347.53,374.18,721.70,-26.65,27.24,1743.57
BDMS,2026-02-13,459.15,816.53,1275.67,-357.38,23.11,1386.19
BDMS,2026-02-16,660.15,397.60,1057.75,262.55,35.64,1648.74
BDMS,2026-02-17,66.76,213.59,280.35,-146.83,17.10,1501.91
BDMS,2026-02-18,123.57,191.30,314.86,-67.73,28.32,1434.18
BDMS,2026-02-19,405.87,421.41,827.28,-15.55,19.83,1418.63
BDMS,2026-02-20,303.20,343.51,646.70,-40.31,20.16,1378.32
BDMS,2026-02-23,697.96,532.66,1230.62,165.30,28.82,1543.62
BDMS,2026-02-24,1032.90,630.27,1663.17,402.63,30.13,1946.25
BDMS,2026-02-25,282.61,438.51,721.12,-155.91,26.34,1790.34
BDMS,2026-02-26,749.48,411.31,1160.80,338.17,27.00,2128.51
BDMS,2026-02-27,796.01,542.28,1338.30,253.73,37.39,2382.24
BDMS,2026-03-02,645.70,553.72,1199.42,91.97,25.41,2474.21
BDMS,2026-03-04,1306.25,985.61,2291.86,320.64,24.75,2794.85
BDMS,2026-03-05,702.49,1003.01,1705.50,-300.52,28.18,2494.33
BDMS,2026-03-06,584.44,593.97,1178.41,-9.53,25.83,2484.80
BDMS,2026-03-09,786.30,833.92,1620.21,-47.62,35.51,2437.18
BDMS,2026-03-10,514.59,816.13,1330.72,-301.54,24.48,2135.64
BDMS,2026-03-11,243.04,481.47,724.50,-238.43,23.75,1897.21
BDMS,2026-03-12,642.65,1102.33,1744.98,-459.68,37.97,1437.53
BDMS,2026-03-13,223.58,519.53,743.11,-295.95,20.64,1141.58
BDMS,2026-03-16,209.68,191.28,400.96,18.40,27.30,1159.98
BDMS,2026-03-17,354.20,515.78,869.98,-161.59,30.26,998.39
BDMS,2026-03-18,327.11,349.30,676.40,-22.19,29.25,976.20
BDMS,2026-03-19,287.07,443.23,730.30,-156.16,21.50,820.04
BDMS,2026-03-20,792.47,683.11,1475.57,109.36,43.16,929.40
BDMS,2026-03-23,357.31,599.14,956.44,-241.83,25.88,687.57
BDMS,2026-03-24,209.27,322.20,531.47,-112.93,31.09,574.64
BDMS,2026-03-25,385.76,420.15,805.91,-34.40,28.91,540.24
BDMS,2026-03-26,98.30,336.36,434.66,-238.06,31.59,302.18
BDMS,2026-03-27,437.23,330.97,768.20,106.26,25.72,408.44
BDMS,2026-03-30,568.93,380.45,949.38,188.48,34.03,596.92
BDMS,2026-03-31,396.60,392.34,788.94,4.25,23.62,601.17
BDMS,2026-04-01,358.12,333.07,691.19,25.05,23.87,626.22
BDMS,2026-04-02,387.58,288.80,676.39,98.78,30.72,725.00
BDMS,2026-04-03,228.35,194.97,423.32,33.37,28.37,758.37
BDMS,2026-04-07,106.22,125.61,231.83,-19.38,20.41,738.99
BDMS,2026-04-08,422.04,227.87,649.91,194.18,30.47,933.17
BDMS,2026-04-09,156.20,486.77,642.97,-330.57,35.28,602.60
BDMS,2026-04-10,91.11,205.12,296.23,-114.01,16.28,488.59
BDMS,2026-04-16,624.63,511.47,1136.09,113.16,25.20,601.75
BDMS,2026-04-17,246.52,269.49,516.01,-22.98,32.52,578.77
BDMS,2026-04-20,183.05,197.19,380.24,-14.14,28.57,564.63
BDMS,2026-04-21,96.95,159.57,256.52,-62.62,30.04,502.01
