symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
BEM,2026-01-05,28.99,26.72,55.71,2.27,34.45,2.27
BEM,2026-01-06,7.79,7.40,15.19,0.39,23.87,2.66
BEM,2026-01-07,6.99,5.55,12.54,1.44,26.17,4.10
BEM,2026-01-08,9.24,13.75,22.98,-4.51,23.30,-0.41
BEM,2026-01-09,10.50,20.07,30.57,-9.57,35.15,-9.98
BEM,2026-01-12,7.03,8.26,15.29,-1.23,21.67,-11.21
BEM,2026-01-13,19.71,9.13,28.83,10.58,25.10,-0.63
BEM,2026-01-14,31.10,31.39,62.50,-0.29,22.61,-0.92
BEM,2026-01-15,26.99,13.74,40.73,13.25,20.13,12.33
BEM,2026-01-16,32.27,6.65,38.91,25.62,21.36,37.95
BEM,2026-01-19,34.51,20.78,55.30,13.73,17.03,51.68
BEM,2026-01-20,129.19,107.55,236.75,21.64,24.99,73.32
BEM,2026-01-21,28.33,15.53,43.85,12.80,20.32,86.12
BEM,2026-01-22,103.76,86.41,190.17,17.36,26.58,103.48
BEM,2026-01-23,22.72,24.22,46.94,-1.50,28.26,101.98
BEM,2026-01-26,30.57,26.33,56.89,4.24,34.32,106.22
BEM,2026-01-27,48.38,32.61,80.99,15.77,37.56,121.99
BEM,2026-01-28,11.35,16.85,28.20,-5.50,20.44,116.49
BEM,2026-01-29,22.21,14.53,36.74,7.67,29.44,124.16
BEM,2026-01-30,26.66,41.62,68.28,-14.97,18.66,109.19
BEM,2026-02-02,29.77,15.92,45.69,13.85,9.78,123.04
BEM,2026-02-03,35.21,16.35,51.56,18.85,16.46,141.89
BEM,2026-02-04,16.38,25.09,41.48,-8.71,23.73,133.18
BEM,2026-02-05,14.40,5.99,20.39,8.41,31.19,141.59
BEM,2026-02-06,51.76,45.66,97.42,6.10,29.60,147.69
BEM,2026-02-09,291.80,77.65,369.45,214.14,22.20,361.83
BEM,2026-02-10,66.04,59.89,125.93,6.15,19.68,367.98
BEM,2026-02-11,159.07,88.40,247.47,70.66,16.98,438.64
BEM,2026-02-12,97.22,67.08,164.30,30.14,24.09,468.78
BEM,2026-02-13,84.30,55.19,139.48,29.11,27.17,497.89
BEM,2026-02-16,79.83,47.48,127.31,32.35,25.74,530.24
BEM,2026-02-17,74.50,147.70,222.20,-73.20,16.70,457.04
BEM,2026-02-18,27.53,117.30,144.83,-89.76,24.06,367.28
BEM,2026-02-19,76.55,173.72,250.27,-97.18,14.14,270.10
BEM,2026-02-20,105.84,115.42,221.27,-9.58,24.06,260.52
BEM,2026-02-23,112.38,95.16,207.53,17.22,30.02,277.74
BEM,2026-02-24,106.40,57.29,163.70,49.11,26.90,326.85
BEM,2026-02-25,46.47,41.42,87.89,5.05,20.16,331.90
BEM,2026-02-26,137.25,66.64,203.89,70.62,19.95,402.52
BEM,2026-02-27,121.50,83.85,205.35,37.65,29.37,440.17
BEM,2026-03-02,157.68,210.02,367.70,-52.35,28.76,387.82
BEM,2026-03-04,185.06,193.54,378.60,-8.48,28.78,379.34
BEM,2026-03-05,109.46,164.72,274.18,-55.26,36.26,324.08
BEM,2026-03-06,43.97,78.78,122.75,-34.81,28.39,289.27
BEM,2026-03-09,60.03,80.66,140.69,-20.62,29.44,268.65
BEM,2026-03-10,70.14,118.28,188.41,-48.14,35.09,220.51
BEM,2026-03-11,46.76,77.87,124.63,-31.11,37.11,189.40
BEM,2026-03-12,74.15,97.21,171.36,-23.06,36.53,166.34
BEM,2026-03-13,18.18,59.58,77.75,-41.40,18.22,124.94
BEM,2026-03-16,33.06,50.29,83.35,-17.23,41.35,107.71
BEM,2026-03-17,80.35,53.34,133.69,27.02,27.41,134.73
BEM,2026-03-18,32.90,61.35,94.25,-28.44,24.26,106.29
BEM,2026-03-19,49.56,78.67,128.24,-29.11,35.69,77.18
BEM,2026-03-20,87.47,60.30,147.77,27.17,34.58,104.35
BEM,2026-03-23,17.84,72.75,90.58,-54.91,24.26,49.44
BEM,2026-03-24,28.62,21.13,49.75,7.49,30.16,56.93
BEM,2026-03-25,87.37,70.85,158.22,16.52,33.83,73.45
BEM,2026-03-26,19.63,28.18,47.82,-8.55,24.19,64.90
BEM,2026-03-27,39.48,29.64,69.12,9.84,26.89,74.74
BEM,2026-03-30,44.36,35.61,79.98,8.75,32.62,83.49
BEM,2026-03-31,56.35,40.83,97.18,15.51,27.69,99.00
BEM,2026-04-01,45.74,46.38,92.12,-0.64,28.24,98.36
BEM,2026-04-02,23.01,15.01,38.02,8.00,20.13,106.36
BEM,2026-04-03,17.56,31.74,49.29,-14.18,33.28,92.18
BEM,2026-04-07,16.13,8.71,24.84,7.43,16.87,99.61
BEM,2026-04-08,79.17,26.69,105.86,52.49,20.83,152.10
BEM,2026-04-09,23.77,41.62,65.39,-17.86,27.52,134.24
BEM,2026-04-10,32.89,40.96,73.84,-8.07,28.42,126.17
BEM,2026-04-16,16.25,21.99,38.24,-5.74,17.60,120.43
BEM,2026-04-17,12.75,31.71,44.46,-18.96,14.68,101.47
BEM,2026-04-20,16.25,25.81,42.06,-9.56,27.38,91.91
BEM,2026-04-21,15.04,8.75,23.80,6.29,11.85,98.20
