symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
BGRIM,2026-01-05,8.07,7.80,15.87,0.27,9.77,0.27
BGRIM,2026-01-06,61.87,30.29,92.16,31.58,27.41,31.85
BGRIM,2026-01-07,50.25,14.05,64.31,36.20,23.34,68.05
BGRIM,2026-01-08,4.11,16.50,20.61,-12.39,20.99,55.66
BGRIM,2026-01-09,8.72,22.76,31.48,-14.04,28.48,41.62
BGRIM,2026-01-12,3.79,24.31,28.10,-20.53,13.04,21.09
BGRIM,2026-01-13,8.18,28.47,36.66,-20.29,11.06,0.80
BGRIM,2026-01-14,12.05,11.71,23.75,0.34,12.72,1.14
BGRIM,2026-01-15,14.42,8.05,22.46,6.37,15.19,7.51
BGRIM,2026-01-16,23.79,58.28,82.07,-34.48,30.89,-26.97
BGRIM,2026-01-19,22.98,22.08,45.07,0.90,22.88,-26.07
BGRIM,2026-01-20,49.35,27.27,76.62,22.08,33.90,-3.99
BGRIM,2026-01-21,35.19,76.65,111.85,-41.46,25.69,-45.45
BGRIM,2026-01-22,27.09,53.91,81.00,-26.82,31.21,-72.27
BGRIM,2026-01-23,8.90,17.19,26.09,-8.29,21.42,-80.56
BGRIM,2026-01-26,15.98,15.42,31.40,0.56,6.89,-80.00
BGRIM,2026-01-27,45.15,50.93,96.08,-5.78,25.21,-85.78
BGRIM,2026-01-28,11.41,17.61,29.02,-6.20,9.75,-91.98
BGRIM,2026-01-29,30.57,51.74,82.31,-21.18,23.38,-113.16
BGRIM,2026-01-30,14.55,18.72,33.28,-4.17,18.98,-117.33
BGRIM,2026-02-02,4.50,8.16,12.66,-3.66,7.35,-120.99
BGRIM,2026-02-03,148.83,27.77,176.60,121.06,23.22,0.07
BGRIM,2026-02-04,32.31,53.57,85.88,-21.26,27.92,-21.19
BGRIM,2026-02-05,27.28,44.07,71.35,-16.78,23.88,-37.97
BGRIM,2026-02-06,19.03,36.19,55.22,-17.16,19.25,-55.13
BGRIM,2026-02-09,91.88,37.66,129.54,54.22,23.92,-0.91
BGRIM,2026-02-10,42.77,46.66,89.44,-3.89,17.45,-4.80
BGRIM,2026-02-11,76.51,50.04,126.55,26.47,24.45,21.67
BGRIM,2026-02-12,110.62,58.28,168.90,52.34,21.40,74.01
BGRIM,2026-02-13,231.64,121.63,353.27,110.01,25.56,184.02
BGRIM,2026-02-16,32.19,65.24,97.42,-33.05,27.58,150.97
BGRIM,2026-02-17,116.93,40.38,157.31,76.55,27.71,227.52
BGRIM,2026-02-18,87.08,38.59,125.67,48.49,23.76,276.01
BGRIM,2026-02-19,92.15,93.74,185.89,-1.60,23.08,274.41
BGRIM,2026-02-20,56.16,91.20,147.36,-35.04,25.53,239.37
BGRIM,2026-02-23,91.17,34.28,125.45,56.89,27.78,296.26
BGRIM,2026-02-24,158.48,58.60,217.08,99.88,26.84,396.14
BGRIM,2026-02-25,100.85,115.42,216.27,-14.57,22.59,381.57
BGRIM,2026-02-26,82.65,66.68,149.32,15.97,36.42,397.54
BGRIM,2026-02-27,103.92,70.84,174.76,33.08,34.08,430.62
BGRIM,2026-03-02,120.85,236.72,357.57,-115.86,23.19,314.76
BGRIM,2026-03-04,157.87,208.19,366.06,-50.32,25.15,264.44
BGRIM,2026-03-05,112.85,224.18,337.03,-111.32,27.47,153.12
BGRIM,2026-03-06,67.18,79.39,146.57,-12.21,23.28,140.91
BGRIM,2026-03-09,71.04,96.26,167.30,-25.22,30.08,115.69
BGRIM,2026-03-10,29.68,80.22,109.90,-50.54,23.87,65.15
BGRIM,2026-03-11,60.56,64.26,124.83,-3.70,22.46,61.45
BGRIM,2026-03-12,113.67,85.94,199.62,27.73,31.83,89.18
BGRIM,2026-03-13,25.43,74.72,100.15,-49.30,25.96,39.88
BGRIM,2026-03-16,21.47,26.63,48.10,-5.16,18.32,34.72
BGRIM,2026-03-17,93.61,48.78,142.39,44.83,28.14,79.55
BGRIM,2026-03-18,40.95,72.18,113.13,-31.23,29.97,48.32
BGRIM,2026-03-19,26.85,80.44,107.29,-53.58,13.05,-5.26
BGRIM,2026-03-20,58.64,33.61,92.24,25.03,20.94,19.77
BGRIM,2026-03-23,58.35,23.48,81.83,34.87,18.48,54.64
BGRIM,2026-03-24,71.78,50.65,122.43,21.13,25.62,75.77
BGRIM,2026-03-25,77.09,91.58,168.67,-14.49,21.21,61.28
BGRIM,2026-03-26,43.86,35.07,78.93,8.79,27.79,70.07
BGRIM,2026-03-27,38.52,42.19,80.70,-3.67,24.31,66.40
BGRIM,2026-03-30,53.98,31.07,85.05,22.91,29.99,89.31
BGRIM,2026-03-31,86.09,71.89,157.98,14.20,21.56,103.51
BGRIM,2026-04-01,68.33,119.54,187.87,-51.20,20.67,52.31
BGRIM,2026-04-02,31.68,40.16,71.84,-8.47,15.11,43.84
BGRIM,2026-04-03,25.24,28.59,53.83,-3.35,16.78,40.49
BGRIM,2026-04-07,30.97,14.83,45.80,16.14,17.03,56.63
BGRIM,2026-04-08,124.94,29.37,154.31,95.57,22.45,152.20
BGRIM,2026-04-09,13.25,92.48,105.73,-79.22,24.03,72.98
BGRIM,2026-04-10,3.58,23.77,27.35,-20.19,18.55,52.79
BGRIM,2026-04-16,69.82,43.49,113.31,26.33,18.05,79.12
BGRIM,2026-04-17,34.22,16.44,50.66,17.79,16.98,96.91
BGRIM,2026-04-20,106.95,54.81,161.76,52.14,23.05,149.05
BGRIM,2026-04-21,13.23,31.56,44.78,-18.33,18.67,130.72
