symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
BH,2026-01-05,181.66,113.65,295.31,68.02,33.96,68.02
BH,2026-01-06,243.60,227.32,470.92,16.28,20.55,84.30
BH,2026-01-07,347.33,165.75,513.09,181.58,22.97,265.88
BH,2026-01-08,284.03,220.16,504.19,63.87,29.73,329.75
BH,2026-01-09,504.22,450.94,955.16,53.28,27.07,383.03
BH,2026-01-12,605.13,593.02,1198.15,12.12,25.55,395.15
BH,2026-01-13,260.05,291.31,551.36,-31.27,28.98,363.88
BH,2026-01-14,229.18,272.87,502.05,-43.69,30.78,320.19
BH,2026-01-15,237.19,338.36,575.55,-101.18,30.26,219.01
BH,2026-01-16,288.11,314.78,602.89,-26.67,33.68,192.34
BH,2026-01-19,422.71,335.80,758.51,86.92,32.12,279.26
BH,2026-01-20,546.73,549.90,1096.63,-3.17,31.56,276.09
BH,2026-01-21,703.00,499.79,1202.79,203.22,30.92,479.31
BH,2026-01-22,504.34,275.79,780.13,228.56,33.85,707.87
BH,2026-01-23,396.95,319.43,716.38,77.51,25.47,785.38
BH,2026-01-26,266.67,289.01,555.68,-22.34,34.74,763.04
BH,2026-01-27,259.55,260.04,519.58,-0.49,25.71,762.55
BH,2026-01-28,218.83,174.14,392.97,44.69,38.22,807.24
BH,2026-01-29,177.26,104.95,282.21,72.31,43.54,879.55
BH,2026-01-30,284.03,102.03,386.07,182.00,34.26,1061.55
BH,2026-02-02,253.44,129.55,383.00,123.89,36.74,1185.44
BH,2026-02-03,154.58,156.73,311.31,-2.15,41.08,1183.29
BH,2026-02-04,116.29,80.74,197.04,35.55,28.29,1218.84
BH,2026-02-05,230.04,139.87,369.91,90.17,34.98,1309.01
BH,2026-02-06,371.65,268.61,640.26,103.05,33.55,1412.06
BH,2026-02-09,487.97,628.59,1116.56,-140.62,25.64,1271.44
BH,2026-02-10,590.49,474.13,1064.62,116.37,29.46,1387.81
BH,2026-02-11,430.34,441.79,872.13,-11.45,24.57,1376.36
BH,2026-02-12,293.76,319.33,613.09,-25.57,39.90,1350.79
BH,2026-02-13,234.53,167.03,401.56,67.50,37.09,1418.29
BH,2026-02-16,200.02,136.77,336.79,63.25,37.12,1481.54
BH,2026-02-17,126.37,130.59,256.96,-4.22,33.01,1477.32
BH,2026-02-18,289.19,217.39,506.57,71.80,38.90,1549.12
BH,2026-02-19,631.97,352.06,984.03,279.91,30.20,1829.03
BH,2026-02-20,361.55,247.45,609.00,114.10,33.39,1943.13
BH,2026-02-23,222.62,201.45,424.08,21.17,37.29,1964.30
BH,2026-02-24,384.82,196.36,581.17,188.46,45.02,2152.76
BH,2026-02-25,483.50,269.76,753.26,213.75,33.87,2366.51
BH,2026-02-26,838.41,401.03,1239.44,437.37,30.57,2803.88
BH,2026-02-27,914.60,838.42,1753.02,76.18,39.14,2880.06
BH,2026-03-02,666.26,947.02,1613.28,-280.76,23.84,2599.30
BH,2026-03-04,898.05,676.90,1574.95,221.14,29.89,2820.44
BH,2026-03-05,450.72,829.10,1279.82,-378.38,34.39,2442.06
BH,2026-03-06,327.67,355.04,682.71,-27.37,32.63,2414.69
BH,2026-03-09,563.68,447.07,1010.75,116.62,37.05,2531.31
BH,2026-03-10,241.65,555.93,797.58,-314.29,27.53,2217.02
BH,2026-03-11,264.58,475.30,739.88,-210.72,34.17,2006.30
BH,2026-03-12,298.34,403.95,702.29,-105.61,28.51,1900.69
BH,2026-03-13,209.25,447.58,656.83,-238.33,34.07,1662.36
BH,2026-03-16,225.71,350.49,576.19,-124.78,26.58,1537.58
BH,2026-03-17,153.04,477.05,630.09,-324.02,32.07,1213.56
BH,2026-03-18,98.01,275.56,373.57,-177.56,21.59,1036.00
BH,2026-03-19,130.27,330.17,460.45,-199.90,23.68,836.10
BH,2026-03-20,314.82,547.50,862.32,-232.68,39.29,603.42
BH,2026-03-23,251.20,342.05,593.25,-90.86,30.32,512.56
BH,2026-03-24,174.28,220.61,394.88,-46.33,33.45,466.23
BH,2026-03-25,365.38,480.72,846.10,-115.34,24.56,350.89
BH,2026-03-26,239.52,368.05,607.58,-128.53,33.15,222.36
BH,2026-03-27,339.38,223.87,563.25,115.52,33.35,337.88
BH,2026-03-30,376.83,209.17,586.00,167.66,41.71,505.54
BH,2026-03-31,163.86,399.05,562.91,-235.19,23.16,270.35
BH,2026-04-01,496.63,303.07,799.71,193.56,27.40,463.91
BH,2026-04-02,376.29,331.30,707.59,44.99,27.70,508.90
BH,2026-04-03,110.47,293.10,403.58,-182.63,29.46,326.27
BH,2026-04-07,168.76,170.05,338.81,-1.28,25.30,324.99
BH,2026-04-08,543.95,352.09,896.05,191.86,23.53,516.85
BH,2026-04-09,299.82,490.06,789.89,-190.24,31.25,326.61
BH,2026-04-10,266.61,258.39,525.00,8.23,30.22,334.84
BH,2026-04-16,342.61,328.16,670.77,14.45,24.30,349.29
BH,2026-04-17,289.43,224.49,513.92,64.94,31.95,414.23
BH,2026-04-20,172.81,225.94,398.76,-53.13,33.87,361.10
BH,2026-04-21,178.34,219.44,397.79,-41.10,29.01,320.00
