symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
BJC,2026-01-05,21.85,43.50,65.35,-21.64,25.69,-21.64
BJC,2026-01-06,14.98,23.47,38.45,-8.48,31.37,-30.12
BJC,2026-01-07,38.25,10.39,48.63,27.86,24.59,-2.26
BJC,2026-01-08,4.34,31.91,36.24,-27.57,20.08,-29.83
BJC,2026-01-09,2.30,5.39,7.68,-3.09,14.91,-32.92
BJC,2026-01-12,9.85,21.79,31.64,-11.94,22.57,-44.86
BJC,2026-01-13,14.04,15.22,29.25,-1.18,30.31,-46.04
BJC,2026-01-14,22.36,19.55,41.90,2.81,33.46,-43.23
BJC,2026-01-15,71.28,21.77,93.06,49.51,39.77,6.28
BJC,2026-01-16,20.94,22.55,43.49,-1.62,26.15,4.66
BJC,2026-01-19,43.40,26.44,69.83,16.96,37.20,21.62
BJC,2026-01-20,32.70,38.25,70.95,-5.54,24.57,16.08
BJC,2026-01-21,34.23,31.14,65.38,3.09,29.16,19.17
BJC,2026-01-22,27.20,18.57,45.77,8.62,32.24,27.79
BJC,2026-01-23,17.56,14.51,32.07,3.05,24.90,30.84
BJC,2026-01-26,39.34,19.51,58.86,19.83,34.41,50.67
BJC,2026-01-27,82.19,29.25,111.44,52.93,40.54,103.60
BJC,2026-01-28,13.32,37.52,50.84,-24.20,27.38,79.40
BJC,2026-01-29,18.29,20.60,38.89,-2.31,14.72,77.09
BJC,2026-01-30,30.27,32.05,62.32,-1.79,17.33,75.30
BJC,2026-02-02,17.91,17.21,35.12,0.70,25.29,76.00
BJC,2026-02-03,93.55,57.86,151.41,35.68,28.27,111.68
BJC,2026-02-04,37.08,42.79,79.87,-5.71,29.82,105.97
BJC,2026-02-05,115.56,53.35,168.91,62.21,26.56,168.18
BJC,2026-02-06,58.27,92.06,150.33,-33.79,26.63,134.39
BJC,2026-02-09,145.81,74.51,220.32,71.31,23.00,205.70
BJC,2026-02-10,91.10,51.85,142.95,39.25,30.75,244.95
BJC,2026-02-11,82.57,103.56,186.14,-20.99,26.49,223.96
BJC,2026-02-12,48.87,52.15,101.02,-3.28,21.55,220.68
BJC,2026-02-13,50.70,50.12,100.82,0.59,27.93,221.27
BJC,2026-02-16,73.23,37.73,110.96,35.50,25.14,256.77
BJC,2026-02-17,102.05,73.92,175.97,28.12,28.35,284.89
BJC,2026-02-18,56.77,79.56,136.34,-22.79,23.60,262.10
BJC,2026-02-19,67.02,70.84,137.85,-3.82,24.85,258.28
BJC,2026-02-20,45.49,67.35,112.84,-21.86,24.40,236.42
BJC,2026-02-23,96.55,72.10,168.65,24.44,28.61,260.86
BJC,2026-02-24,64.44,55.31,119.75,9.13,39.10,269.99
BJC,2026-02-25,46.45,55.02,101.48,-8.57,27.18,261.42
BJC,2026-02-26,74.05,68.63,142.68,5.42,34.26,266.84
BJC,2026-02-27,33.84,57.26,91.10,-23.42,31.62,243.42
BJC,2026-03-02,33.96,44.62,78.58,-10.66,18.44,232.76
BJC,2026-03-04,83.04,128.58,211.62,-45.53,31.16,187.23
BJC,2026-03-05,79.91,110.97,190.88,-31.06,37.37,156.17
BJC,2026-03-06,37.43,49.95,87.38,-12.52,46.95,143.65
BJC,2026-03-09,42.94,56.27,99.21,-13.34,41.62,130.31
BJC,2026-03-10,27.57,57.32,84.89,-29.75,43.50,100.56
BJC,2026-03-11,30.71,49.55,80.26,-18.84,33.45,81.72
BJC,2026-03-12,82.10,53.89,135.99,28.21,40.13,109.93
BJC,2026-03-13,46.66,57.45,104.11,-10.79,35.67,99.14
BJC,2026-03-16,41.31,39.24,80.54,2.07,33.03,101.21
BJC,2026-03-17,37.41,32.05,69.46,5.36,29.98,106.57
BJC,2026-03-18,17.59,42.16,59.75,-24.57,35.26,82.00
BJC,2026-03-19,16.51,51.99,68.49,-35.48,20.31,46.52
BJC,2026-03-20,39.77,42.18,81.95,-2.40,24.70,44.12
BJC,2026-03-23,21.18,39.33,60.51,-18.15,26.24,25.97
BJC,2026-03-24,27.28,33.06,60.34,-5.78,33.93,20.19
BJC,2026-03-25,40.09,32.53,72.62,7.56,31.00,27.75
BJC,2026-03-26,15.25,25.08,40.33,-9.83,27.50,17.92
BJC,2026-03-27,49.64,21.96,71.61,27.68,38.25,45.60
BJC,2026-03-30,77.12,44.49,121.61,32.64,39.58,78.24
BJC,2026-03-31,43.99,72.25,116.24,-28.26,26.07,49.98
BJC,2026-04-01,44.33,41.09,85.42,3.24,29.67,53.22
BJC,2026-04-02,21.43,20.90,42.34,0.53,31.15,53.75
BJC,2026-04-03,21.75,23.46,45.21,-1.71,35.04,52.04
BJC,2026-04-07,21.32,15.29,36.61,6.03,35.79,58.07
BJC,2026-04-08,26.47,9.23,35.69,17.24,20.22,75.31
BJC,2026-04-09,25.52,22.97,48.49,2.55,33.18,77.86
BJC,2026-04-10,9.78,12.24,22.02,-2.46,25.32,75.40
BJC,2026-04-16,23.07,16.96,40.03,6.11,27.32,81.51
BJC,2026-04-17,12.85,24.97,37.82,-12.12,31.47,69.39
BJC,2026-04-20,18.38,21.98,40.36,-3.59,28.32,65.80
BJC,2026-04-21,7.92,9.42,17.34,-1.50,27.66,64.30
