symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
BLA,2026-01-05,25.51,9.76,35.27,15.75,24.52,15.75
BLA,2026-01-06,14.13,14.04,28.16,0.09,28.69,15.84
BLA,2026-01-07,16.30,8.69,24.99,7.60,23.16,23.44
BLA,2026-01-08,16.18,5.48,21.66,10.69,36.60,34.13
BLA,2026-01-09,7.58,6.32,13.91,1.26,27.55,35.39
BLA,2026-01-12,3.08,13.15,16.23,-10.08,21.31,25.31
BLA,2026-01-13,16.42,15.35,31.77,1.06,24.45,26.37
BLA,2026-01-14,15.88,5.61,21.49,10.27,23.35,36.64
BLA,2026-01-15,20.86,7.85,28.71,13.00,38.61,49.64
BLA,2026-01-16,10.72,7.28,18.00,3.44,30.73,53.08
BLA,2026-01-19,7.30,4.10,11.41,3.20,30.52,56.28
BLA,2026-01-20,11.77,11.14,22.92,0.63,24.76,56.91
BLA,2026-01-21,15.41,7.41,22.81,8.00,36.72,64.91
BLA,2026-01-22,11.58,16.73,28.31,-5.15,28.58,59.76
BLA,2026-01-23,8.43,6.56,14.99,1.87,33.73,61.63
BLA,2026-01-26,6.92,11.61,18.53,-4.69,37.75,56.94
BLA,2026-01-27,8.82,12.65,21.48,-3.83,36.39,53.11
BLA,2026-01-28,8.74,14.12,22.87,-5.38,24.50,47.73
BLA,2026-01-29,3.78,16.27,20.05,-12.50,29.88,35.23
BLA,2026-01-30,35.24,20.46,55.70,14.78,30.73,50.01
BLA,2026-02-02,6.96,27.40,34.36,-20.43,24.79,29.58
BLA,2026-02-03,18.81,10.50,29.31,8.30,27.53,37.88
BLA,2026-02-04,6.75,12.26,19.01,-5.51,34.76,32.37
BLA,2026-02-05,5.50,9.52,15.02,-4.01,29.94,28.36
BLA,2026-02-06,6.48,13.61,20.09,-7.13,32.88,21.23
BLA,2026-02-09,17.62,5.53,23.15,12.09,34.21,33.32
BLA,2026-02-10,11.92,8.91,20.82,3.01,30.97,36.33
BLA,2026-02-11,4.75,10.16,14.91,-5.40,22.64,30.93
BLA,2026-02-12,11.17,11.17,22.34,-0.01,27.67,30.92
BLA,2026-02-13,8.29,7.00,15.29,1.29,21.46,32.21
BLA,2026-02-16,4.20,12.27,16.47,-8.06,29.44,24.15
BLA,2026-02-17,12.73,16.30,29.03,-3.58,29.15,20.57
BLA,2026-02-18,8.27,13.54,21.81,-5.27,25.46,15.30
BLA,2026-02-19,4.68,13.70,18.37,-9.02,20.45,6.28
BLA,2026-02-20,13.69,14.39,28.08,-0.70,23.75,5.58
BLA,2026-02-23,53.60,48.56,102.15,5.04,21.37,10.62
BLA,2026-02-24,17.15,22.33,39.48,-5.18,20.89,5.44
BLA,2026-02-25,23.95,18.84,42.79,5.12,31.36,10.56
BLA,2026-02-26,31.65,20.32,51.98,11.33,33.08,21.89
BLA,2026-02-27,17.34,28.44,45.78,-11.10,43.33,10.79
BLA,2026-03-02,27.42,13.71,41.13,13.72,31.21,24.51
BLA,2026-03-04,19.71,13.38,33.09,6.33,25.89,30.84
BLA,2026-03-05,5.48,10.40,15.88,-4.92,24.77,25.92
BLA,2026-03-06,1.52,3.93,5.45,-2.41,12.60,23.51
BLA,2026-03-09,11.93,7.52,19.45,4.41,29.42,27.92
BLA,2026-03-10,6.01,8.41,14.42,-2.40,30.78,25.52
BLA,2026-03-11,6.09,5.35,11.45,0.74,25.69,26.26
BLA,2026-03-12,2.30,4.30,6.60,-2.00,22.12,24.26
BLA,2026-03-13,1.25,6.68,7.92,-5.43,26.96,18.83
BLA,2026-03-16,8.69,11.67,20.36,-2.98,35.25,15.85
BLA,2026-03-17,8.64,9.45,18.09,-0.81,39.45,15.04
BLA,2026-03-18,1.42,8.58,10.00,-7.17,30.29,7.87
BLA,2026-03-19,7.21,15.83,23.04,-8.63,29.43,-0.76
BLA,2026-03-20,15.24,9.73,24.97,5.51,48.04,4.75
BLA,2026-03-23,7.68,6.20,13.88,1.48,38.60,6.23
BLA,2026-03-24,5.34,4.52,9.86,0.82,51.03,7.05
BLA,2026-03-25,9.87,5.44,15.30,4.43,31.84,11.48
BLA,2026-03-26,3.14,2.28,5.41,0.86,35.62,12.34
BLA,2026-03-27,17.12,6.06,23.18,11.07,28.37,23.41
BLA,2026-03-30,7.77,8.27,16.04,-0.51,16.12,22.90
BLA,2026-03-31,41.08,10.72,51.80,30.36,26.26,53.26
BLA,2026-04-01,21.12,8.91,30.03,12.20,29.74,65.46
BLA,2026-04-02,9.59,8.14,17.73,1.45,17.42,66.91
BLA,2026-04-03,9.65,3.81,13.46,5.85,30.04,72.76
BLA,2026-04-07,9.10,9.45,18.55,-0.35,25.89,72.41
BLA,2026-04-08,12.20,4.04,16.24,8.16,20.50,80.57
BLA,2026-04-09,6.96,16.02,22.98,-9.07,39.28,71.50
BLA,2026-04-10,2.85,6.24,9.09,-3.39,18.56,68.11
BLA,2026-04-16,3.84,9.93,13.77,-6.09,39.00,62.02
BLA,2026-04-17,0.96,4.28,5.25,-3.32,29.45,58.70
BLA,2026-04-20,5.70,7.28,12.98,-1.57,15.95,57.13
BLA,2026-04-21,9.80,3.12,12.92,6.67,30.43,63.80
