symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
BTS,2026-01-05,12.59,12.27,24.86,0.32,22.57,0.32
BTS,2026-01-06,10.60,13.37,23.97,-2.77,29.10,-2.45
BTS,2026-01-07,19.57,16.96,36.53,2.61,35.59,0.16
BTS,2026-01-08,4.95,8.38,13.34,-3.43,18.75,-3.27
BTS,2026-01-09,15.29,49.22,64.51,-33.94,26.73,-37.21
BTS,2026-01-12,37.46,41.23,78.69,-3.76,24.64,-40.97
BTS,2026-01-13,41.26,41.88,83.14,-0.62,39.91,-41.59
BTS,2026-01-14,19.73,12.46,32.19,7.28,30.74,-34.31
BTS,2026-01-15,52.12,37.80,89.92,14.31,40.54,-20.00
BTS,2026-01-16,18.37,11.68,30.05,6.69,30.02,-13.31
BTS,2026-01-19,46.91,29.53,76.44,17.39,34.81,4.08
BTS,2026-01-20,55.19,43.85,99.03,11.34,26.49,15.42
BTS,2026-01-21,58.27,34.36,92.63,23.91,31.85,39.33
BTS,2026-01-22,46.05,34.21,80.27,11.84,37.56,51.17
BTS,2026-01-23,37.82,31.38,69.20,6.44,34.09,57.61
BTS,2026-01-26,30.64,45.68,76.32,-15.05,45.30,42.56
BTS,2026-01-27,34.69,30.60,65.29,4.08,37.72,46.64
BTS,2026-01-28,10.79,23.30,34.09,-12.52,41.99,34.12
BTS,2026-01-29,14.41,21.41,35.83,-7.00,37.37,27.12
BTS,2026-01-30,13.61,37.09,50.70,-23.48,45.01,3.64
BTS,2026-02-02,24.03,27.90,51.93,-3.87,41.19,-0.23
BTS,2026-02-03,32.49,33.46,65.95,-0.98,42.42,-1.21
BTS,2026-02-04,24.65,39.15,63.81,-14.50,40.32,-15.71
BTS,2026-02-05,43.10,28.82,71.92,14.27,47.89,-1.44
BTS,2026-02-06,18.57,33.67,52.24,-15.10,36.41,-16.54
BTS,2026-02-09,123.94,58.70,182.64,65.24,37.44,48.70
BTS,2026-02-10,75.87,53.96,129.84,21.91,26.43,70.61
BTS,2026-02-11,38.18,65.60,103.77,-27.42,29.32,43.19
BTS,2026-02-12,74.53,54.02,128.55,20.51,26.89,63.70
BTS,2026-02-13,131.44,212.18,343.61,-80.74,18.91,-17.04
BTS,2026-02-16,82.81,170.38,253.18,-87.57,23.82,-104.61
BTS,2026-02-17,83.79,88.61,172.39,-4.82,23.11,-109.43
BTS,2026-02-18,70.57,39.75,110.32,30.82,19.44,-78.61
BTS,2026-02-19,139.25,132.41,271.65,6.84,28.95,-71.77
BTS,2026-02-20,83.57,146.03,229.59,-62.46,25.31,-134.23
BTS,2026-02-23,98.12,112.37,210.48,-14.25,31.36,-148.48
BTS,2026-02-24,54.24,61.95,116.19,-7.71,36.93,-156.19
BTS,2026-02-25,48.23,51.40,99.63,-3.17,29.35,-159.36
BTS,2026-02-26,14.64,30.55,45.19,-15.91,22.96,-175.27
BTS,2026-02-27,49.55,58.77,108.31,-9.22,31.52,-184.49
BTS,2026-03-02,61.59,94.09,155.68,-32.50,30.94,-216.99
BTS,2026-03-04,83.66,122.70,206.36,-39.04,31.88,-256.03
BTS,2026-03-05,81.45,114.62,196.07,-33.17,43.73,-289.20
BTS,2026-03-06,19.74,45.63,65.36,-25.89,37.70,-315.09
BTS,2026-03-09,64.10,77.31,141.41,-13.22,44.12,-328.31
BTS,2026-03-10,31.82,37.99,69.81,-6.17,41.75,-334.48
BTS,2026-03-11,33.27,54.60,87.87,-21.33,44.80,-355.81
BTS,2026-03-12,38.73,45.32,84.05,-6.59,41.65,-362.40
BTS,2026-03-13,8.65,22.89,31.53,-14.24,39.21,-376.64
BTS,2026-03-16,18.14,42.62,60.76,-24.49,31.64,-401.13
BTS,2026-03-17,52.51,24.87,77.38,27.64,32.58,-373.49
BTS,2026-03-18,3.38,23.91,27.29,-20.53,24.38,-394.02
BTS,2026-03-19,5.51,27.88,33.39,-22.38,23.43,-416.40
BTS,2026-03-20,33.88,11.80,45.68,22.08,26.63,-394.32
BTS,2026-03-23,10.12,30.47,40.59,-20.36,22.18,-414.68
BTS,2026-03-24,32.95,22.38,55.32,10.57,41.28,-404.11
BTS,2026-03-25,6.75,15.14,21.88,-8.39,21.90,-412.50
BTS,2026-03-26,12.07,23.34,35.42,-11.27,29.31,-423.77
BTS,2026-03-27,64.31,43.93,108.25,20.38,39.57,-403.39
BTS,2026-03-30,34.04,41.98,76.02,-7.95,41.97,-411.34
BTS,2026-03-31,51.45,31.67,83.12,19.78,21.42,-391.56
BTS,2026-04-01,51.69,45.78,97.47,5.91,33.50,-385.65
BTS,2026-04-02,64.26,23.29,87.55,40.96,36.45,-344.69
BTS,2026-04-03,17.46,33.16,50.62,-15.70,32.61,-360.39
BTS,2026-04-07,19.31,14.57,33.88,4.74,35.21,-355.65
BTS,2026-04-08,48.52,20.27,68.78,28.25,34.34,-327.40
BTS,2026-04-09,10.03,21.03,31.06,-11.00,29.43,-338.40
BTS,2026-04-10,11.65,2.09,13.74,9.56,23.10,-328.84
BTS,2026-04-16,23.26,18.19,41.44,5.07,39.84,-323.77
BTS,2026-04-17,6.82,23.34,30.17,-16.52,22.84,-340.29
BTS,2026-04-20,11.85,20.61,32.46,-8.76,36.94,-349.05
BTS,2026-04-21,2.10,5.76,7.86,-3.66,22.38,-352.71
