symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
CBG,2026-01-05,20.09,19.79,39.88,0.30,28.19,0.30
CBG,2026-01-06,14.44,20.36,34.81,-5.92,27.96,-5.62
CBG,2026-01-07,84.86,30.67,115.53,54.19,32.49,48.57
CBG,2026-01-08,10.63,54.33,64.96,-43.71,24.22,4.86
CBG,2026-01-09,57.36,42.64,100.00,14.72,33.05,19.58
CBG,2026-01-12,20.13,41.36,61.49,-21.24,28.23,-1.66
CBG,2026-01-13,72.18,58.20,130.38,13.97,26.44,12.31
CBG,2026-01-14,48.38,25.82,74.20,22.56,31.40,34.87
CBG,2026-01-15,32.43,18.59,51.01,13.84,32.85,48.71
CBG,2026-01-16,116.45,41.12,157.57,75.33,33.87,124.04
CBG,2026-01-19,62.72,38.57,101.29,24.15,33.10,148.19
CBG,2026-01-20,129.74,66.03,195.77,63.70,38.84,211.89
CBG,2026-01-21,36.54,30.67,67.21,5.88,33.16,217.77
CBG,2026-01-22,60.19,66.36,126.55,-6.17,40.73,211.60
CBG,2026-01-23,24.11,38.27,62.39,-14.16,36.66,197.44
CBG,2026-01-26,26.64,26.40,53.04,0.24,42.95,197.68
CBG,2026-01-27,33.33,33.29,66.62,0.04,40.84,197.72
CBG,2026-01-28,22.79,31.92,54.72,-9.13,26.34,188.59
CBG,2026-01-29,24.66,21.60,46.26,3.06,27.44,191.65
CBG,2026-01-30,15.02,15.79,30.81,-0.77,37.21,190.88
CBG,2026-02-02,14.55,33.30,47.85,-18.75,36.02,172.13
CBG,2026-02-03,55.76,32.22,87.97,23.54,32.40,195.67
CBG,2026-02-04,25.76,77.15,102.91,-51.39,24.55,144.28
CBG,2026-02-05,46.64,26.17,72.81,20.47,21.09,164.75
CBG,2026-02-06,29.85,50.79,80.63,-20.94,36.89,143.81
CBG,2026-02-09,263.04,77.94,340.98,185.10,34.15,328.91
CBG,2026-02-10,122.40,155.98,278.39,-33.58,21.00,295.33
CBG,2026-02-11,31.65,89.58,121.22,-57.93,25.40,237.40
CBG,2026-02-12,73.42,45.63,119.05,27.80,25.56,265.20
CBG,2026-02-13,36.23,93.29,129.52,-57.06,24.12,208.14
CBG,2026-02-16,35.42,41.68,77.11,-6.26,24.74,201.88
CBG,2026-02-17,45.91,54.14,100.04,-8.23,21.70,193.65
CBG,2026-02-18,64.34,54.95,119.30,9.39,26.33,203.04
CBG,2026-02-19,70.33,92.81,163.14,-22.48,19.04,180.56
CBG,2026-02-20,29.60,54.65,84.25,-25.05,23.46,155.51
CBG,2026-02-23,76.45,113.63,190.09,-37.18,28.95,118.33
CBG,2026-02-24,53.59,40.09,93.68,13.50,24.03,131.83
CBG,2026-02-25,55.99,54.35,110.34,1.64,25.93,133.47
CBG,2026-02-26,68.65,44.85,113.50,23.80,30.82,157.27
CBG,2026-02-27,29.32,43.98,73.31,-14.66,26.41,142.61
CBG,2026-03-02,58.40,76.96,135.36,-18.56,16.14,124.05
CBG,2026-03-04,79.16,129.37,208.53,-50.21,26.73,73.84
CBG,2026-03-05,63.90,112.19,176.08,-48.29,27.03,25.55
CBG,2026-03-06,43.84,53.51,97.35,-9.67,32.27,15.88
CBG,2026-03-09,70.11,64.78,134.90,5.33,34.08,21.21
CBG,2026-03-10,46.36,88.16,134.52,-41.79,37.76,-20.58
CBG,2026-03-11,32.43,48.32,80.74,-15.89,39.29,-36.47
CBG,2026-03-12,59.20,75.97,135.18,-16.77,39.33,-53.24
CBG,2026-03-13,25.87,73.71,99.58,-47.84,30.07,-101.08
CBG,2026-03-16,29.77,38.74,68.51,-8.96,43.73,-110.04
CBG,2026-03-17,35.70,35.02,70.72,0.68,31.74,-109.36
CBG,2026-03-18,63.34,66.24,129.58,-2.90,31.97,-112.26
CBG,2026-03-19,42.31,70.86,113.17,-28.55,29.68,-140.81
CBG,2026-03-20,52.80,38.42,91.22,14.38,32.08,-126.43
CBG,2026-03-23,20.42,38.03,58.45,-17.61,26.52,-144.04
CBG,2026-03-24,49.61,39.48,89.10,10.13,36.23,-133.91
CBG,2026-03-25,55.00,32.01,87.01,22.99,35.62,-110.92
CBG,2026-03-26,26.49,31.39,57.88,-4.89,31.15,-115.81
CBG,2026-03-27,40.90,43.04,83.94,-2.14,33.82,-117.95
CBG,2026-03-30,71.08,35.41,106.50,35.67,34.28,-82.28
CBG,2026-03-31,79.12,60.14,139.26,18.98,30.04,-63.30
CBG,2026-04-01,48.75,55.26,104.01,-6.52,28.20,-69.82
CBG,2026-04-02,40.12,38.69,78.81,1.43,36.87,-68.39
CBG,2026-04-03,45.54,24.74,70.28,20.79,29.92,-47.60
CBG,2026-04-07,25.83,18.00,43.82,7.83,35.16,-39.77
CBG,2026-04-08,44.55,26.52,71.08,18.03,33.52,-21.74
CBG,2026-04-09,14.26,34.35,48.61,-20.09,31.83,-41.83
CBG,2026-04-10,14.40,13.00,27.41,1.40,24.01,-40.43
CBG,2026-04-16,66.96,43.47,110.43,23.49,36.21,-16.94
CBG,2026-04-17,11.93,30.68,42.61,-18.75,29.81,-35.69
CBG,2026-04-20,13.13,15.17,28.29,-2.04,24.44,-37.73
CBG,2026-04-21,20.86,22.75,43.61,-1.89,36.95,-39.62
