symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
CCET,2026-01-05,37.37,27.62,64.99,9.75,28.57,9.75
CCET,2026-01-06,7.42,21.23,28.66,-13.81,19.76,-4.06
CCET,2026-01-07,20.47,14.36,34.83,6.11,27.07,2.05
CCET,2026-01-08,5.89,15.42,21.31,-9.53,16.53,-7.48
CCET,2026-01-09,4.69,10.02,14.71,-5.33,20.97,-12.81
CCET,2026-01-12,11.25,10.52,21.78,0.73,12.55,-12.08
CCET,2026-01-13,22.03,12.23,34.26,9.80,19.17,-2.28
CCET,2026-01-14,57.27,26.75,84.02,30.52,21.20,28.24
CCET,2026-01-15,90.30,66.24,156.54,24.06,26.64,52.30
CCET,2026-01-16,38.25,50.04,88.28,-11.79,22.58,40.51
CCET,2026-01-19,71.65,38.88,110.53,32.77,25.48,73.28
CCET,2026-01-20,31.65,29.83,61.48,1.82,20.93,75.10
CCET,2026-01-21,67.30,32.73,100.03,34.57,22.81,109.67
CCET,2026-01-22,50.58,43.79,94.37,6.79,28.17,116.46
CCET,2026-01-23,78.61,40.17,118.78,38.44,25.80,154.90
CCET,2026-01-26,68.78,76.80,145.58,-8.02,29.41,146.88
CCET,2026-01-27,72.52,70.07,142.60,2.45,26.49,149.33
CCET,2026-01-28,35.17,70.97,106.14,-35.80,26.27,113.53
CCET,2026-01-29,35.98,44.08,80.06,-8.10,29.72,105.43
CCET,2026-01-30,18.36,53.40,71.77,-35.04,20.50,70.39
CCET,2026-02-02,36.44,37.43,73.88,-0.99,25.79,69.40
CCET,2026-02-03,48.30,50.91,99.21,-2.61,24.86,66.79
CCET,2026-02-04,31.41,27.61,59.02,3.80,31.45,70.59
CCET,2026-02-05,41.96,23.72,65.68,18.23,22.53,88.82
CCET,2026-02-06,21.20,29.94,51.13,-8.74,32.59,80.08
CCET,2026-02-09,104.54,48.46,153.00,56.08,32.09,136.16
CCET,2026-02-10,34.84,37.40,72.24,-2.57,22.52,133.59
CCET,2026-02-11,20.90,18.07,38.96,2.83,24.47,136.42
CCET,2026-02-12,37.17,8.68,45.85,28.49,21.31,164.91
CCET,2026-02-13,20.62,21.02,41.64,-0.40,22.50,164.51
CCET,2026-02-16,11.58,17.06,28.64,-5.48,16.06,159.03
CCET,2026-02-17,23.84,23.67,47.51,0.17,21.71,159.20
CCET,2026-02-18,37.18,16.91,54.09,20.27,17.43,179.47
CCET,2026-02-19,109.39,89.22,198.61,20.16,25.70,199.63
CCET,2026-02-20,28.11,71.43,99.55,-43.32,28.83,156.31
CCET,2026-02-23,51.40,51.88,103.28,-0.48,17.28,155.83
CCET,2026-02-24,18.59,18.87,37.46,-0.28,32.83,155.55
CCET,2026-02-25,221.31,88.69,310.00,132.61,22.36,288.16
CCET,2026-02-26,77.42,145.18,222.60,-67.76,24.12,220.40
CCET,2026-02-27,50.33,96.24,146.57,-45.91,19.10,174.49
CCET,2026-03-02,53.65,65.41,119.06,-11.76,22.59,162.73
CCET,2026-03-04,82.01,134.08,216.09,-52.07,24.32,110.66
CCET,2026-03-05,85.50,105.59,191.09,-20.10,34.02,90.56
CCET,2026-03-06,71.61,67.94,139.55,3.67,30.42,94.23
CCET,2026-03-09,59.41,96.68,156.09,-37.28,29.04,56.95
CCET,2026-03-10,142.68,101.89,244.57,40.80,28.32,97.75
CCET,2026-03-11,51.81,100.29,152.11,-48.48,24.42,49.27
CCET,2026-03-12,68.77,80.38,149.15,-11.61,32.66,37.66
CCET,2026-03-13,24.28,70.72,95.00,-46.44,23.41,-8.78
CCET,2026-03-16,28.95,35.28,64.23,-6.33,26.61,-15.11
CCET,2026-03-17,110.29,91.69,201.98,18.59,19.50,3.48
CCET,2026-03-18,71.77,76.55,148.32,-4.78,21.12,-1.30
CCET,2026-03-19,26.25,60.11,86.36,-33.86,25.84,-35.16
CCET,2026-03-20,28.64,43.22,71.86,-14.59,35.80,-49.75
CCET,2026-03-23,12.96,27.23,40.19,-14.26,25.46,-64.01
CCET,2026-03-24,17.38,24.07,41.44,-6.69,21.58,-70.70
CCET,2026-03-25,103.63,54.36,157.99,49.28,21.13,-21.42
CCET,2026-03-26,45.13,59.28,104.41,-14.15,28.03,-35.57
CCET,2026-03-27,19.64,27.94,47.58,-8.29,26.36,-43.86
CCET,2026-03-30,54.85,51.44,106.30,3.41,29.48,-40.45
CCET,2026-03-31,27.39,28.11,55.50,-0.72,23.98,-41.17
CCET,2026-04-01,103.34,73.60,176.94,29.74,17.21,-11.43
CCET,2026-04-02,34.06,53.50,87.56,-19.44,21.77,-30.87
CCET,2026-04-03,12.65,27.77,40.42,-15.13,24.49,-46.00
CCET,2026-04-07,21.41,24.29,45.70,-2.89,27.81,-48.89
CCET,2026-04-08,36.69,15.55,52.24,21.14,20.94,-27.75
CCET,2026-04-09,19.32,23.33,42.65,-4.01,17.56,-31.76
CCET,2026-04-10,59.38,51.67,111.06,7.71,21.73,-24.05
CCET,2026-04-16,52.58,47.87,100.45,4.71,19.63,-19.34
CCET,2026-04-17,35.60,30.48,66.08,5.12,19.27,-14.22
CCET,2026-04-20,22.57,25.27,47.84,-2.70,26.20,-16.92
CCET,2026-04-21,88.66,58.38,147.04,30.28,26.04,13.36
