symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
CENTEL,2026-01-05,19.52,33.63,53.15,-14.10,24.04,-14.10
CENTEL,2026-01-06,11.26,13.60,24.86,-2.34,12.28,-16.44
CENTEL,2026-01-07,17.89,33.89,51.79,-16.00,21.28,-32.44
CENTEL,2026-01-08,9.64,16.67,26.31,-7.03,15.50,-39.47
CENTEL,2026-01-09,9.71,6.89,16.60,2.81,24.86,-36.66
CENTEL,2026-01-12,31.70,22.81,54.51,8.89,21.81,-27.77
CENTEL,2026-01-13,51.09,36.31,87.41,14.78,21.04,-12.99
CENTEL,2026-01-14,28.55,26.47,55.01,2.08,14.30,-10.91
CENTEL,2026-01-15,33.88,21.63,55.52,12.25,27.60,1.34
CENTEL,2026-01-16,15.48,22.60,38.08,-7.12,15.51,-5.78
CENTEL,2026-01-19,30.03,20.27,50.31,9.76,26.85,3.98
CENTEL,2026-01-20,121.20,35.93,157.13,85.28,28.90,89.26
CENTEL,2026-01-21,56.43,54.84,111.28,1.59,33.76,90.85
CENTEL,2026-01-22,70.21,72.42,142.62,-2.21,35.03,88.64
CENTEL,2026-01-23,18.03,25.81,43.84,-7.78,35.44,80.86
CENTEL,2026-01-26,38.44,24.64,63.08,13.80,37.78,94.66
CENTEL,2026-01-27,86.93,59.19,146.12,27.73,28.99,122.39
CENTEL,2026-01-28,37.99,33.66,71.65,4.33,39.59,126.72
CENTEL,2026-01-29,8.83,18.87,27.70,-10.04,28.36,116.68
CENTEL,2026-01-30,19.48,22.54,42.02,-3.05,24.24,113.63
CENTEL,2026-02-02,27.65,26.78,54.43,0.87,28.65,114.50
CENTEL,2026-02-03,48.59,42.20,90.79,6.39,27.04,120.89
CENTEL,2026-02-04,51.84,26.40,78.24,25.44,38.26,146.33
CENTEL,2026-02-05,92.44,56.10,148.54,36.34,28.51,182.67
CENTEL,2026-02-06,49.03,49.62,98.65,-0.59,32.09,182.08
CENTEL,2026-02-09,103.76,58.58,162.33,45.18,36.30,227.26
CENTEL,2026-02-10,43.12,38.78,81.89,4.34,23.36,231.60
CENTEL,2026-02-11,24.18,28.73,52.92,-4.55,29.98,227.05
CENTEL,2026-02-12,106.82,89.98,196.79,16.84,26.44,243.89
CENTEL,2026-02-13,25.53,26.37,51.91,-0.84,27.08,243.05
CENTEL,2026-02-16,26.18,28.02,54.20,-1.85,24.03,241.20
CENTEL,2026-02-17,13.62,30.47,44.09,-16.85,19.45,224.35
CENTEL,2026-02-18,23.97,19.41,43.38,4.57,26.74,228.92
CENTEL,2026-02-19,32.12,41.67,73.79,-9.55,27.92,219.37
CENTEL,2026-02-20,37.70,48.51,86.21,-10.81,16.58,208.56
CENTEL,2026-02-23,62.48,68.04,130.52,-5.56,25.30,203.00
CENTEL,2026-02-24,55.41,66.40,121.81,-10.99,37.64,192.01
CENTEL,2026-02-25,259.23,85.44,344.68,173.79,32.78,365.80
CENTEL,2026-02-26,83.78,72.44,156.22,11.34,40.22,377.14
CENTEL,2026-02-27,54.15,51.68,105.83,2.47,27.68,379.61
CENTEL,2026-03-02,114.69,121.96,236.65,-7.28,28.89,372.33
CENTEL,2026-03-04,186.86,180.39,367.26,6.47,27.46,378.80
CENTEL,2026-03-05,62.39,109.77,172.17,-47.38,30.61,331.42
CENTEL,2026-03-06,99.06,56.35,155.41,42.71,27.36,374.13
CENTEL,2026-03-09,151.83,97.72,249.54,54.11,29.46,428.24
CENTEL,2026-03-10,96.06,129.73,225.79,-33.66,30.06,394.58
CENTEL,2026-03-11,61.87,57.75,119.62,4.13,33.25,398.71
CENTEL,2026-03-12,44.51,41.91,86.42,2.60,40.47,401.31
CENTEL,2026-03-13,91.45,102.55,194.00,-11.10,36.46,390.21
CENTEL,2026-03-16,53.87,30.10,83.97,23.78,28.02,413.99
CENTEL,2026-03-17,48.30,97.57,145.87,-49.27,26.86,364.72
CENTEL,2026-03-18,42.19,53.35,95.53,-11.16,27.43,353.56
CENTEL,2026-03-19,43.09,77.44,120.53,-34.35,34.31,319.21
CENTEL,2026-03-20,37.31,45.39,82.70,-8.08,34.50,311.13
CENTEL,2026-03-23,98.90,48.05,146.95,50.84,28.41,361.97
CENTEL,2026-03-24,45.33,33.01,78.34,12.32,35.49,374.29
CENTEL,2026-03-25,85.72,98.58,184.30,-12.86,23.95,361.43
CENTEL,2026-03-26,21.08,58.81,79.90,-37.73,24.94,323.70
CENTEL,2026-03-27,65.21,72.49,137.70,-7.28,25.09,316.42
CENTEL,2026-03-30,50.43,34.57,85.00,15.86,31.87,332.28
CENTEL,2026-03-31,52.17,45.40,97.57,6.77,32.74,339.05
CENTEL,2026-04-01,67.17,58.72,125.89,8.45,23.85,347.50
CENTEL,2026-04-02,61.76,55.34,117.11,6.42,28.32,353.92
CENTEL,2026-04-03,26.19,39.64,65.83,-13.46,35.73,340.46
CENTEL,2026-04-07,45.82,35.79,81.61,10.03,27.07,350.49
CENTEL,2026-04-08,100.65,85.59,186.24,15.07,20.14,365.56
CENTEL,2026-04-09,25.95,62.89,88.83,-36.94,21.90,328.62
CENTEL,2026-04-10,21.21,16.47,37.69,4.74,29.80,333.36
CENTEL,2026-04-16,96.86,56.78,153.64,40.09,28.08,373.45
CENTEL,2026-04-17,50.01,39.73,89.74,10.28,26.23,383.73
CENTEL,2026-04-20,98.73,35.90,134.63,62.83,21.48,446.56
CENTEL,2026-04-21,73.69,64.57,138.26,9.12,26.60,455.68
