symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
CHG,2026-01-05,3.38,1.76,5.14,1.62,28.55,1.62
CHG,2026-01-06,1.51,3.20,4.71,-1.69,8.64,-0.07
CHG,2026-01-07,28.33,4.73,33.05,23.60,26.85,23.53
CHG,2026-01-08,1.39,5.60,7.00,-4.21,25.97,19.32
CHG,2026-01-09,1.34,7.25,8.59,-5.90,24.48,13.42
CHG,2026-01-12,2.33,17.11,19.44,-14.79,28.18,-1.37
CHG,2026-01-13,2.85,3.16,6.01,-0.31,13.08,-1.68
CHG,2026-01-14,2.92,4.63,7.55,-1.71,20.30,-3.39
CHG,2026-01-15,16.98,2.14,19.11,14.84,30.05,11.45
CHG,2026-01-16,3.98,3.11,7.09,0.86,27.67,12.31
CHG,2026-01-19,4.14,1.56,5.70,2.58,25.23,14.89
CHG,2026-01-20,18.19,2.41,20.60,15.78,29.04,30.67
CHG,2026-01-21,14.83,1.79,16.62,13.04,28.48,43.71
CHG,2026-01-22,7.21,3.22,10.43,4.00,31.03,47.71
CHG,2026-01-23,3.35,1.66,5.01,1.69,29.35,49.40
CHG,2026-01-26,4.39,0.62,5.01,3.77,28.16,53.17
CHG,2026-01-27,4.10,3.50,7.60,0.61,24.16,53.78
CHG,2026-01-28,2.62,3.76,6.38,-1.15,23.21,52.63
CHG,2026-01-29,12.32,1.41,13.73,10.90,25.28,63.53
CHG,2026-01-30,2.09,2.38,4.47,-0.29,28.73,63.24
CHG,2026-02-02,0.64,3.62,4.26,-2.98,23.17,60.26
CHG,2026-02-03,10.55,2.47,13.02,8.08,23.06,68.34
CHG,2026-02-04,3.05,1.84,4.88,1.21,25.87,69.55
CHG,2026-02-05,10.02,2.76,12.78,7.25,18.47,76.80
CHG,2026-02-06,19.58,9.17,28.75,10.41,16.64,87.21
CHG,2026-02-09,3.74,10.16,13.90,-6.42,14.94,80.79
CHG,2026-02-10,2.23,5.23,7.45,-3.00,12.46,77.79
CHG,2026-02-11,6.63,16.56,23.19,-9.92,23.64,67.87
CHG,2026-02-12,3.89,3.95,7.84,-0.07,11.26,67.80
CHG,2026-02-13,9.14,9.58,18.72,-0.44,19.28,67.36
CHG,2026-02-16,5.01,5.10,10.11,-0.10,10.52,67.26
CHG,2026-02-17,10.08,11.48,21.56,-1.40,13.81,65.86
CHG,2026-02-18,4.42,6.28,10.71,-1.86,12.50,64.00
CHG,2026-02-19,15.64,10.91,26.55,4.73,20.77,68.73
CHG,2026-02-20,16.74,15.72,32.47,1.02,19.99,69.75
CHG,2026-02-23,14.27,15.61,29.88,-1.34,22.32,68.41
CHG,2026-02-24,8.28,9.63,17.91,-1.35,17.96,67.06
CHG,2026-02-25,7.31,4.26,11.57,3.05,23.05,70.11
CHG,2026-02-26,5.35,3.98,9.33,1.37,13.65,71.48
CHG,2026-02-27,7.08,15.62,22.70,-8.54,10.71,62.94
CHG,2026-03-02,4.27,7.00,11.27,-2.72,11.62,60.22
CHG,2026-03-04,6.16,5.38,11.54,0.77,12.80,60.99
CHG,2026-03-05,2.22,4.12,6.34,-1.90,8.88,59.09
CHG,2026-03-06,2.21,2.02,4.24,0.19,13.75,59.28
CHG,2026-03-09,3.68,10.97,14.65,-7.29,22.14,51.99
CHG,2026-03-10,4.56,7.26,11.82,-2.69,18.50,49.30
CHG,2026-03-11,1.78,3.21,4.98,-1.43,15.65,47.87
CHG,2026-03-12,1.71,1.93,3.64,-0.23,7.85,47.64
CHG,2026-03-13,2.03,1.04,3.07,0.98,7.91,48.62
CHG,2026-03-16,1.02,0.95,1.97,0.06,8.57,48.68
CHG,2026-03-17,1.10,0.91,2.01,0.19,7.12,48.87
CHG,2026-03-18,1.66,1.48,3.14,0.18,6.98,49.05
CHG,2026-03-19,0.55,1.25,1.79,-0.70,4.38,48.35
CHG,2026-03-20,2.53,2.88,5.40,-0.35,14.04,48.00
CHG,2026-03-23,2.71,9.42,12.13,-6.71,8.43,41.29
CHG,2026-03-24,1.08,5.60,6.69,-4.52,16.98,36.77
CHG,2026-03-25,5.27,13.67,18.94,-8.40,19.65,28.37
CHG,2026-03-26,2.59,0.87,3.45,1.72,12.17,30.09
CHG,2026-03-27,2.62,4.05,6.67,-1.43,21.28,28.66
CHG,2026-03-30,2.31,2.30,4.61,0.01,30.98,28.67
CHG,2026-03-31,5.62,6.51,12.13,-0.89,18.58,27.78
CHG,2026-04-01,10.09,0.75,10.84,9.34,11.21,37.12
CHG,2026-04-02,0.54,0.53,1.07,0.01,4.83,37.13
CHG,2026-04-03,0.98,1.35,2.33,-0.37,7.65,36.76
CHG,2026-04-07,2.74,3.70,6.44,-0.96,14.20,35.80
CHG,2026-04-08,8.07,4.78,12.86,3.29,12.98,39.09
CHG,2026-04-09,0.38,2.76,3.13,-2.38,13.39,36.71
CHG,2026-04-10,1.11,5.12,6.24,-4.01,11.22,32.70
CHG,2026-04-16,6.64,0.97,7.61,5.66,25.12,38.36
CHG,2026-04-17,2.98,5.60,8.58,-2.63,17.88,35.73
CHG,2026-04-20,0.51,3.95,4.45,-3.44,24.48,32.29
CHG,2026-04-21,1.24,1.47,2.70,-0.23,6.27,32.06
