symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
CK,2026-01-05,18.41,5.77,24.18,12.65,25.84,12.65
CK,2026-01-06,20.20,4.89,25.09,15.31,18.50,27.96
CK,2026-01-07,27.25,4.95,32.20,22.30,23.08,50.26
CK,2026-01-08,6.43,16.43,22.86,-10.00,24.10,40.26
CK,2026-01-09,19.43,9.62,29.05,9.82,24.68,50.08
CK,2026-01-12,9.94,15.14,25.08,-5.20,27.51,44.88
CK,2026-01-13,12.70,9.57,22.26,3.13,22.69,48.01
CK,2026-01-14,22.05,11.94,33.99,10.12,38.48,58.13
CK,2026-01-15,23.24,7.33,30.57,15.90,30.84,74.03
CK,2026-01-16,113.29,32.00,145.29,81.29,19.87,155.32
CK,2026-01-19,21.41,35.54,56.96,-14.13,20.98,141.19
CK,2026-01-20,53.10,22.21,75.32,30.89,20.32,172.08
CK,2026-01-21,50.54,31.51,82.05,19.03,20.30,191.11
CK,2026-01-22,16.98,36.63,53.60,-19.65,21.59,171.46
CK,2026-01-23,16.84,11.95,28.79,4.89,27.80,176.35
CK,2026-01-26,27.55,16.69,44.24,10.86,26.97,187.21
CK,2026-01-27,18.71,19.58,38.30,-0.87,21.40,186.34
CK,2026-01-28,24.51,30.70,55.22,-6.19,21.10,180.15
CK,2026-01-29,12.46,23.03,35.49,-10.58,24.52,169.57
CK,2026-01-30,16.52,12.87,29.40,3.65,23.91,173.22
CK,2026-02-02,16.31,15.49,31.80,0.81,24.38,174.03
CK,2026-02-03,13.36,10.05,23.41,3.32,20.39,177.35
CK,2026-02-04,55.51,17.06,72.57,38.44,34.34,215.79
CK,2026-02-05,12.40,21.51,33.91,-9.11,23.79,206.68
CK,2026-02-06,15.19,16.86,32.06,-1.67,26.51,205.01
CK,2026-02-09,86.58,40.85,127.43,45.74,19.95,250.75
CK,2026-02-10,36.47,44.52,80.99,-8.05,23.94,242.70
CK,2026-02-11,21.32,24.83,46.15,-3.51,20.91,239.19
CK,2026-02-12,18.68,46.03,64.71,-27.36,26.58,211.83
CK,2026-02-13,28.28,49.47,77.75,-21.19,24.05,190.64
CK,2026-02-16,14.37,25.22,39.58,-10.85,18.66,179.79
CK,2026-02-17,30.49,29.53,60.02,0.96,20.14,180.75
CK,2026-02-18,36.51,56.06,92.57,-19.55,27.91,161.20
CK,2026-02-19,59.35,32.22,91.57,27.14,27.75,188.34
CK,2026-02-20,88.20,58.09,146.30,30.11,26.04,218.45
CK,2026-02-23,38.63,42.23,80.86,-3.60,33.94,214.85
CK,2026-02-24,94.45,54.97,149.42,39.48,20.70,254.33
CK,2026-02-25,82.91,77.18,160.09,5.73,24.08,260.06
CK,2026-02-26,42.11,42.19,84.31,-0.08,21.23,259.98
CK,2026-02-27,67.71,53.93,121.64,13.78,25.16,273.76
CK,2026-03-02,92.73,32.38,125.11,60.35,21.25,334.11
CK,2026-03-04,92.53,88.59,181.12,3.94,33.59,338.05
CK,2026-03-05,82.12,86.26,168.38,-4.14,36.68,333.91
CK,2026-03-06,50.35,55.85,106.20,-5.50,31.66,328.41
CK,2026-03-09,77.45,55.42,132.87,22.02,36.42,350.43
CK,2026-03-10,34.35,51.00,85.35,-16.65,31.03,333.78
CK,2026-03-11,21.55,38.18,59.73,-16.63,34.53,317.15
CK,2026-03-12,36.56,28.61,65.17,7.95,47.59,325.10
CK,2026-03-13,33.50,59.13,92.63,-25.62,40.41,299.48
CK,2026-03-16,15.76,26.52,42.28,-10.76,31.12,288.72
CK,2026-03-17,20.85,41.30,62.15,-20.45,21.59,268.27
CK,2026-03-18,24.05,45.37,69.42,-21.32,25.90,246.95
CK,2026-03-19,14.52,44.29,58.81,-29.77,30.87,217.18
CK,2026-03-20,17.22,27.81,45.03,-10.59,39.26,206.59
CK,2026-03-23,7.77,26.33,34.10,-18.56,23.80,188.03
CK,2026-03-24,5.35,14.05,19.40,-8.70,23.82,179.33
CK,2026-03-25,37.30,50.76,88.05,-13.46,36.63,165.87
CK,2026-03-26,23.37,37.57,60.93,-14.20,27.08,151.67
CK,2026-03-27,23.64,9.90,33.54,13.74,39.83,165.41
CK,2026-03-30,21.63,27.05,48.68,-5.42,34.73,159.99
CK,2026-03-31,46.46,46.89,93.35,-0.43,25.06,159.56
CK,2026-04-01,89.33,61.51,150.84,27.82,27.25,187.38
CK,2026-04-02,44.04,68.10,112.14,-24.06,28.34,163.32
CK,2026-04-03,46.52,58.47,104.99,-11.95,30.84,151.37
CK,2026-04-07,22.17,66.15,88.32,-43.98,20.11,107.39
CK,2026-04-08,7.92,28.04,35.96,-20.12,20.68,87.27
CK,2026-04-09,14.83,29.75,44.58,-14.92,15.18,72.35
CK,2026-04-10,28.82,54.10,82.92,-25.28,24.58,47.07
CK,2026-04-16,54.60,63.34,117.94,-8.75,24.84,38.32
CK,2026-04-17,21.52,50.34,71.86,-28.82,20.96,9.50
CK,2026-04-20,31.45,36.23,67.68,-4.78,26.58,4.72
CK,2026-04-21,51.26,105.56,156.82,-54.30,27.51,-49.58
