symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
COM7,2026-01-05,155.20,66.68,221.89,88.52,30.29,88.52
COM7,2026-01-06,63.91,89.62,153.53,-25.71,28.58,62.81
COM7,2026-01-07,65.27,77.24,142.51,-11.97,33.24,50.84
COM7,2026-01-08,35.60,118.16,153.76,-82.56,38.47,-31.72
COM7,2026-01-09,48.16,80.89,129.06,-32.73,31.91,-64.45
COM7,2026-01-12,100.88,56.89,157.77,43.99,25.75,-20.46
COM7,2026-01-13,59.53,76.81,136.34,-17.29,36.10,-37.75
COM7,2026-01-14,101.39,77.02,178.41,24.38,39.65,-13.37
COM7,2026-01-15,48.48,52.69,101.17,-4.21,27.23,-17.58
COM7,2026-01-16,31.05,103.71,134.77,-72.66,29.55,-90.24
COM7,2026-01-19,23.16,37.94,61.10,-14.78,24.13,-105.02
COM7,2026-01-20,106.10,89.16,195.27,16.94,31.63,-88.08
COM7,2026-01-21,71.01,75.47,146.47,-4.46,23.25,-92.54
COM7,2026-01-22,79.83,94.26,174.09,-14.43,33.48,-106.97
COM7,2026-01-23,62.94,36.27,99.21,26.67,26.77,-80.30
COM7,2026-01-26,55.36,50.95,106.32,4.41,43.95,-75.89
COM7,2026-01-27,84.95,90.41,175.35,-5.46,31.80,-81.35
COM7,2026-01-28,47.53,79.17,126.70,-31.65,19.88,-113.00
COM7,2026-01-29,107.14,68.09,175.22,39.05,31.02,-73.95
COM7,2026-01-30,124.22,132.96,257.19,-8.74,25.68,-82.69
COM7,2026-02-02,216.06,131.07,347.14,84.99,29.19,2.30
COM7,2026-02-03,344.12,218.53,562.65,125.59,30.98,127.89
COM7,2026-02-04,139.11,169.75,308.86,-30.63,30.35,97.26
COM7,2026-02-05,296.35,191.88,488.23,104.47,37.59,201.73
COM7,2026-02-06,119.66,111.65,231.32,8.01,34.27,209.74
COM7,2026-02-09,150.76,209.61,360.37,-58.86,32.71,150.88
COM7,2026-02-10,82.37,118.86,201.23,-36.49,27.71,114.39
COM7,2026-02-11,207.58,158.08,365.66,49.50,26.43,163.89
COM7,2026-02-12,127.09,119.62,246.71,7.48,27.20,171.37
COM7,2026-02-13,104.79,81.38,186.16,23.41,35.27,194.78
COM7,2026-02-16,72.10,35.36,107.46,36.73,26.10,231.51
COM7,2026-02-17,121.26,63.67,184.92,57.59,28.34,289.10
COM7,2026-02-18,60.07,50.59,110.66,9.48,20.08,298.58
COM7,2026-02-19,65.49,94.57,160.06,-29.08,22.04,269.50
COM7,2026-02-20,89.14,64.52,153.66,24.61,27.78,294.11
COM7,2026-02-23,80.39,90.59,170.98,-10.19,28.77,283.92
COM7,2026-02-24,78.98,67.71,146.69,11.27,28.62,295.19
COM7,2026-02-25,292.54,301.53,594.07,-8.99,29.10,286.20
COM7,2026-02-26,214.88,133.42,348.30,81.46,33.43,367.66
COM7,2026-02-27,174.42,204.41,378.83,-29.98,51.14,337.68
COM7,2026-03-02,143.19,128.21,271.40,14.98,35.03,352.66
COM7,2026-03-04,247.25,216.89,464.15,30.36,32.67,383.02
COM7,2026-03-05,153.05,254.01,407.06,-100.96,39.15,282.06
COM7,2026-03-06,122.21,152.38,274.58,-30.17,36.99,251.89
COM7,2026-03-09,162.36,160.28,322.64,2.08,46.76,253.97
COM7,2026-03-10,80.24,133.29,213.53,-53.05,37.47,200.92
COM7,2026-03-11,144.25,206.56,350.81,-62.30,27.33,138.62
COM7,2026-03-12,103.87,144.70,248.57,-40.82,29.59,97.80
COM7,2026-03-13,59.52,105.48,165.00,-45.96,36.74,51.84
COM7,2026-03-16,70.85,102.01,172.86,-31.16,26.54,20.68
COM7,2026-03-17,64.83,178.56,243.39,-113.73,30.24,-93.05
COM7,2026-03-18,65.17,114.54,179.71,-49.37,33.18,-142.42
COM7,2026-03-19,149.87,215.96,365.83,-66.10,39.80,-208.52
COM7,2026-03-20,182.64,318.31,500.95,-135.67,52.89,-344.19
COM7,2026-03-23,106.36,134.91,241.27,-28.56,39.83,-372.75
COM7,2026-03-24,178.67,184.48,363.15,-5.81,39.69,-378.56
COM7,2026-03-25,60.78,107.27,168.05,-46.49,33.44,-425.05
COM7,2026-03-26,88.53,172.31,260.84,-83.79,37.03,-508.84
COM7,2026-03-27,122.05,93.93,215.97,28.12,41.01,-480.72
COM7,2026-03-30,98.08,94.79,192.87,3.30,39.83,-477.42
COM7,2026-03-31,96.99,98.77,195.76,-1.78,33.32,-479.20
COM7,2026-04-01,87.19,70.85,158.04,16.35,23.55,-462.85
COM7,2026-04-02,37.90,94.37,132.28,-56.47,26.89,-519.32
COM7,2026-04-03,32.75,45.81,78.56,-13.06,25.86,-532.38
COM7,2026-04-07,61.85,59.75,121.60,2.09,21.80,-530.29
COM7,2026-04-08,107.30,89.81,197.12,17.49,24.18,-512.80
COM7,2026-04-09,43.99,99.11,143.10,-55.12,25.08,-567.92
COM7,2026-04-10,96.96,80.58,177.54,16.37,21.60,-551.55
COM7,2026-04-16,187.64,232.12,419.76,-44.48,46.75,-596.03
COM7,2026-04-17,76.25,229.35,305.60,-153.09,30.23,-749.12
COM7,2026-04-20,83.91,171.97,255.88,-88.06,35.85,-837.18
COM7,2026-04-21,107.40,167.20,274.60,-59.81,35.48,-896.99
