symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
CPALL,2026-01-05,342.18,220.72,562.90,121.46,23.72,121.46
CPALL,2026-01-06,594.88,441.95,1036.83,152.93,38.90,274.39
CPALL,2026-01-07,183.77,138.55,322.32,45.22,26.31,319.61
CPALL,2026-01-08,175.65,218.62,394.27,-42.98,20.49,276.63
CPALL,2026-01-09,203.42,103.68,307.10,99.75,21.56,376.38
CPALL,2026-01-12,241.47,244.60,486.07,-3.13,14.98,373.25
CPALL,2026-01-13,463.21,229.08,692.30,234.13,22.20,607.38
CPALL,2026-01-14,271.48,220.70,492.18,50.78,32.23,658.16
CPALL,2026-01-15,364.35,282.80,647.15,81.56,24.35,739.72
CPALL,2026-01-16,388.41,281.02,669.43,107.39,22.02,847.11
CPALL,2026-01-19,955.31,286.84,1242.16,668.47,23.98,1515.58
CPALL,2026-01-20,580.23,291.83,872.06,288.40,22.14,1803.98
CPALL,2026-01-21,235.74,163.91,399.65,71.82,21.06,1875.80
CPALL,2026-01-22,670.39,420.32,1090.72,250.07,27.89,2125.87
CPALL,2026-01-23,501.49,322.03,823.52,179.45,25.83,2305.32
CPALL,2026-01-26,318.37,152.92,471.30,165.45,26.10,2470.77
CPALL,2026-01-27,468.85,221.31,690.16,247.54,22.18,2718.31
CPALL,2026-01-28,313.23,184.25,497.48,128.99,19.56,2847.30
CPALL,2026-01-29,419.85,158.78,578.63,261.07,28.12,3108.37
CPALL,2026-01-30,557.88,220.91,778.79,336.98,21.14,3445.35
CPALL,2026-02-02,369.59,156.29,525.88,213.31,23.54,3658.66
CPALL,2026-02-03,841.43,216.86,1058.28,624.57,25.45,4283.23
CPALL,2026-02-04,282.52,212.14,494.66,70.38,27.64,4353.61
CPALL,2026-02-05,615.29,259.61,874.90,355.68,24.81,4709.29
CPALL,2026-02-06,648.78,366.16,1014.94,282.62,27.64,4991.91
CPALL,2026-02-09,1188.18,1152.21,2340.38,35.97,24.96,5027.88
CPALL,2026-02-10,1010.88,630.79,1641.67,380.09,22.83,5407.97
CPALL,2026-02-11,567.78,536.72,1104.50,31.05,30.90,5439.02
CPALL,2026-02-12,361.97,474.07,836.03,-112.10,26.12,5326.92
CPALL,2026-02-13,381.40,525.31,906.71,-143.91,30.20,5183.01
CPALL,2026-02-16,310.14,275.21,585.35,34.93,31.30,5217.94
CPALL,2026-02-17,399.96,290.96,690.92,108.99,18.25,5326.93
CPALL,2026-02-18,870.38,681.13,1551.51,189.25,27.02,5516.18
CPALL,2026-02-19,1594.76,2154.17,3748.93,-559.41,28.43,4956.77
CPALL,2026-02-20,832.05,1030.89,1862.94,-198.85,25.46,4757.92
CPALL,2026-02-23,851.66,1132.15,1983.81,-280.50,29.84,4477.42
CPALL,2026-02-24,2137.48,1058.92,3196.39,1078.56,30.94,5555.98
CPALL,2026-02-25,1067.17,959.12,2026.29,108.05,31.35,5664.03
CPALL,2026-02-26,1347.29,653.56,2000.84,693.73,29.79,6357.76
CPALL,2026-02-27,1339.09,1159.39,2498.48,179.70,28.99,6537.46
CPALL,2026-03-02,837.19,675.62,1512.81,161.57,28.31,6699.03
CPALL,2026-03-04,1304.37,1436.25,2740.62,-131.89,26.36,6567.14
CPALL,2026-03-05,434.21,1083.71,1517.92,-649.50,28.99,5917.64
CPALL,2026-03-06,319.89,620.09,939.97,-300.20,31.48,5617.44
CPALL,2026-03-09,823.82,955.88,1779.70,-132.06,37.03,5485.38
CPALL,2026-03-10,490.38,725.33,1215.71,-234.95,31.00,5250.43
CPALL,2026-03-11,697.50,1003.35,1700.85,-305.85,33.84,4944.58
CPALL,2026-03-12,406.05,492.19,898.24,-86.14,30.20,4858.44
CPALL,2026-03-13,558.51,677.19,1235.70,-118.68,32.90,4739.76
CPALL,2026-03-16,524.34,744.01,1268.35,-219.67,41.12,4520.09
CPALL,2026-03-17,481.32,404.35,885.68,76.97,23.59,4597.06
CPALL,2026-03-18,509.32,453.53,962.85,55.78,34.72,4652.84
CPALL,2026-03-19,264.56,619.60,884.16,-355.05,22.89,4297.79
CPALL,2026-03-20,670.46,645.88,1316.33,24.58,35.41,4322.37
CPALL,2026-03-23,317.30,749.39,1066.70,-432.09,29.99,3890.28
CPALL,2026-03-24,372.38,248.89,621.27,123.48,26.75,4013.76
CPALL,2026-03-25,342.01,475.40,817.41,-133.39,29.29,3880.37
CPALL,2026-03-26,1006.09,849.02,1855.11,157.07,28.21,4037.44
CPALL,2026-03-27,1042.68,413.67,1456.36,629.01,33.57,4666.45
CPALL,2026-03-30,661.58,505.72,1167.30,155.87,45.34,4822.32
CPALL,2026-03-31,412.11,468.68,880.80,-56.57,25.01,4765.75
CPALL,2026-04-01,593.51,743.01,1336.53,-149.50,30.11,4616.25
CPALL,2026-04-02,294.14,379.01,673.16,-84.87,24.54,4531.38
CPALL,2026-04-03,480.16,407.63,887.79,72.53,28.82,4603.91
CPALL,2026-04-07,306.18,211.79,517.97,94.38,27.89,4698.29
CPALL,2026-04-08,720.47,637.74,1358.21,82.72,28.91,4781.01
CPALL,2026-04-09,458.44,383.89,842.33,74.55,28.16,4855.56
CPALL,2026-04-10,107.49,302.75,410.24,-195.26,23.73,4660.30
CPALL,2026-04-16,330.39,659.51,989.89,-329.12,27.65,4331.18
CPALL,2026-04-17,254.44,311.05,565.49,-56.60,33.59,4274.58
CPALL,2026-04-20,710.98,573.13,1284.11,137.84,25.64,4412.42
CPALL,2026-04-21,226.43,405.30,631.74,-178.87,25.82,4233.55
