symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
CPF,2026-01-05,97.16,122.12,219.27,-24.96,43.91,-24.96
CPF,2026-01-06,108.35,112.22,220.56,-3.87,35.87,-28.83
CPF,2026-01-07,120.93,147.32,268.25,-26.38,37.33,-55.21
CPF,2026-01-08,150.20,98.38,248.58,51.83,34.53,-3.38
CPF,2026-01-09,94.93,105.24,200.17,-10.31,46.41,-13.69
CPF,2026-01-12,20.58,53.98,74.55,-33.40,36.59,-47.09
CPF,2026-01-13,122.08,109.66,231.74,12.41,50.94,-34.68
CPF,2026-01-14,56.63,65.60,122.23,-8.96,50.95,-43.64
CPF,2026-01-15,261.98,193.90,455.87,68.08,50.92,24.44
CPF,2026-01-16,66.54,89.17,155.72,-22.63,32.16,1.81
CPF,2026-01-19,223.95,104.14,328.09,119.81,40.41,121.62
CPF,2026-01-20,246.23,287.91,534.14,-41.68,34.32,79.94
CPF,2026-01-21,156.33,157.80,314.13,-1.47,43.88,78.47
CPF,2026-01-22,244.18,346.20,590.37,-102.02,46.27,-23.55
CPF,2026-01-23,168.48,264.34,432.82,-95.86,46.98,-119.41
CPF,2026-01-26,128.93,168.28,297.21,-39.35,44.19,-158.76
CPF,2026-01-27,186.15,166.68,352.83,19.47,45.85,-139.29
CPF,2026-01-28,73.42,113.46,186.88,-40.04,36.03,-179.33
CPF,2026-01-29,93.03,143.39,236.41,-50.36,44.63,-229.69
CPF,2026-01-30,124.91,196.24,321.15,-71.32,37.00,-301.01
CPF,2026-02-02,66.79,126.52,193.30,-59.73,26.53,-360.74
CPF,2026-02-03,206.00,198.92,404.92,7.07,42.64,-353.67
CPF,2026-02-04,94.96,71.88,166.84,23.08,29.10,-330.59
CPF,2026-02-05,169.13,102.09,271.23,67.04,36.04,-263.55
CPF,2026-02-06,274.05,123.60,397.65,150.45,44.25,-113.10
CPF,2026-02-09,207.60,175.46,383.06,32.13,33.99,-80.97
CPF,2026-02-10,193.47,192.85,386.33,0.62,38.21,-80.35
CPF,2026-02-11,287.61,137.93,425.54,149.68,35.94,69.33
CPF,2026-02-12,258.62,190.41,449.03,68.21,39.01,137.54
CPF,2026-02-13,351.16,241.71,592.88,109.45,36.29,246.99
CPF,2026-02-16,75.96,96.55,172.51,-20.59,24.44,226.40
CPF,2026-02-17,185.25,75.94,261.19,109.32,31.55,335.72
CPF,2026-02-18,185.27,162.95,348.21,22.32,36.43,358.04
CPF,2026-02-19,249.81,219.46,469.27,30.35,29.05,388.39
CPF,2026-02-20,177.94,217.43,395.37,-39.49,32.57,348.90
CPF,2026-02-23,171.99,140.26,312.25,31.73,27.70,380.63
CPF,2026-02-24,177.93,193.36,371.29,-15.43,24.91,365.20
CPF,2026-02-25,243.01,147.30,390.30,95.71,31.03,460.91
CPF,2026-02-26,341.70,222.86,564.57,118.84,35.31,579.75
CPF,2026-02-27,260.76,390.14,650.90,-129.37,30.14,450.38
CPF,2026-03-02,172.95,302.77,475.72,-129.82,29.69,320.56
CPF,2026-03-04,408.74,615.40,1024.15,-206.66,28.63,113.90
CPF,2026-03-05,311.78,659.55,971.34,-347.77,44.30,-233.87
CPF,2026-03-06,156.08,213.67,369.75,-57.59,37.46,-291.46
CPF,2026-03-09,468.46,490.77,959.23,-22.31,45.05,-313.77
CPF,2026-03-10,189.77,208.35,398.13,-18.58,43.08,-332.35
CPF,2026-03-11,252.73,385.83,638.56,-133.10,42.31,-465.45
CPF,2026-03-12,210.28,153.22,363.50,57.05,40.62,-408.40
CPF,2026-03-13,234.67,210.24,444.90,24.43,42.17,-383.97
CPF,2026-03-16,267.43,201.82,469.25,65.61,40.41,-318.36
CPF,2026-03-17,382.74,277.88,660.61,104.86,40.29,-213.50
CPF,2026-03-18,278.10,205.61,483.71,72.49,37.38,-141.01
CPF,2026-03-19,320.11,449.62,769.72,-129.51,49.97,-270.52
CPF,2026-03-20,637.32,442.29,1079.61,195.03,58.98,-75.49
CPF,2026-03-23,205.61,521.60,727.22,-315.99,45.59,-391.48
CPF,2026-03-24,218.64,427.68,646.33,-209.04,46.95,-600.52
CPF,2026-03-25,292.12,356.30,648.42,-64.18,44.08,-664.70
CPF,2026-03-26,419.87,284.68,704.55,135.18,46.94,-529.52
CPF,2026-03-27,585.51,409.34,994.85,176.18,37.52,-353.34
CPF,2026-03-30,235.85,249.21,485.06,-13.36,40.18,-366.70
CPF,2026-03-31,229.18,206.06,435.24,23.12,38.22,-343.58
CPF,2026-04-01,164.64,131.63,296.28,33.01,37.96,-310.57
CPF,2026-04-02,404.28,306.85,711.13,97.42,40.73,-213.15
CPF,2026-04-03,88.24,95.62,183.85,-7.38,27.99,-220.53
CPF,2026-04-07,247.34,150.46,397.80,96.88,40.98,-123.65
CPF,2026-04-08,249.65,228.39,478.04,21.26,39.04,-102.39
CPF,2026-04-09,267.28,250.67,517.95,16.61,53.36,-85.78
CPF,2026-04-10,178.76,127.66,306.42,51.10,38.72,-34.68
CPF,2026-04-16,520.67,780.80,1301.47,-260.13,57.02,-294.81
CPF,2026-04-17,231.12,286.70,517.83,-55.58,51.73,-350.39
CPF,2026-04-20,400.37,321.57,721.94,78.80,50.92,-271.59
CPF,2026-04-21,261.41,284.90,546.31,-23.49,47.97,-295.08
