symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
CPN,2026-01-05,112.38,88.09,200.47,24.28,31.16,24.28
CPN,2026-01-06,68.19,64.81,133.01,3.38,31.73,27.66
CPN,2026-01-07,60.98,46.22,107.21,14.76,28.97,42.42
CPN,2026-01-08,122.78,83.26,206.04,39.53,28.15,81.95
CPN,2026-01-09,144.23,55.33,199.57,88.90,24.92,170.85
CPN,2026-01-12,83.55,59.04,142.59,24.50,35.64,195.35
CPN,2026-01-13,198.05,206.39,404.44,-8.34,37.41,187.01
CPN,2026-01-14,73.97,88.02,162.00,-14.05,41.43,172.96
CPN,2026-01-15,248.08,244.66,492.75,3.42,33.80,176.38
CPN,2026-01-16,235.26,215.05,450.31,20.21,37.44,196.59
CPN,2026-01-19,148.46,132.20,280.66,16.26,34.78,212.85
CPN,2026-01-20,249.57,132.60,382.17,116.97,38.09,329.82
CPN,2026-01-21,294.72,144.18,438.91,150.54,36.17,480.36
CPN,2026-01-22,311.20,178.49,489.69,132.70,40.65,613.06
CPN,2026-01-23,169.70,120.29,289.99,49.41,29.73,662.47
CPN,2026-01-26,169.98,115.40,285.38,54.58,40.29,717.05
CPN,2026-01-27,275.54,163.79,439.33,111.75,44.38,828.80
CPN,2026-01-28,104.50,70.78,175.28,33.72,42.11,862.52
CPN,2026-01-29,112.08,69.62,181.70,42.45,39.51,904.97
CPN,2026-01-30,130.14,99.71,229.85,30.43,45.30,935.40
CPN,2026-02-02,130.40,108.78,239.18,21.62,28.62,957.02
CPN,2026-02-03,307.68,259.23,566.91,48.45,38.07,1005.47
CPN,2026-02-04,113.94,105.88,219.82,8.06,32.65,1013.53
CPN,2026-02-05,218.41,139.57,357.98,78.84,34.98,1092.37
CPN,2026-02-06,224.39,155.79,380.18,68.60,38.14,1160.97
CPN,2026-02-09,321.71,267.23,588.94,54.48,36.03,1215.45
CPN,2026-02-10,187.92,128.04,315.96,59.88,34.07,1275.33
CPN,2026-02-11,227.06,201.64,428.70,25.42,30.99,1300.75
CPN,2026-02-12,252.26,173.78,426.04,78.48,37.89,1379.23
CPN,2026-02-13,285.86,169.59,455.45,116.26,45.97,1495.49
CPN,2026-02-16,187.96,116.20,304.16,71.77,41.52,1567.26
CPN,2026-02-17,162.38,108.36,270.75,54.02,36.61,1621.28
CPN,2026-02-18,259.26,120.93,380.19,138.33,43.25,1759.61
CPN,2026-02-19,123.75,151.53,275.29,-27.78,27.41,1731.83
CPN,2026-02-20,229.81,123.08,352.89,106.73,38.51,1838.56
CPN,2026-02-23,210.87,143.54,354.41,67.33,31.96,1905.89
CPN,2026-02-24,380.01,280.54,660.56,99.47,33.60,2005.36
CPN,2026-02-25,229.74,228.80,458.53,0.94,38.95,2006.30
CPN,2026-02-26,263.53,202.43,465.96,61.11,38.09,2067.41
CPN,2026-02-27,506.83,320.23,827.06,186.60,45.71,2254.01
CPN,2026-03-02,343.43,204.18,547.61,139.25,33.90,2393.26
CPN,2026-03-04,657.46,458.46,1115.93,199.00,34.89,2592.26
CPN,2026-03-05,558.05,535.88,1093.94,22.17,38.00,2614.43
CPN,2026-03-06,241.45,374.07,615.52,-132.63,43.96,2481.80
CPN,2026-03-09,363.79,377.74,741.53,-13.95,47.31,2467.85
CPN,2026-03-10,178.15,371.07,549.23,-192.92,43.78,2274.93
CPN,2026-03-11,187.11,341.26,528.37,-154.15,49.78,2120.78
CPN,2026-03-12,333.75,468.12,801.87,-134.37,38.61,1986.41
CPN,2026-03-13,282.06,389.67,671.74,-107.61,46.05,1878.80
CPN,2026-03-16,175.35,140.88,316.23,34.47,45.80,1913.27
CPN,2026-03-17,142.60,207.71,350.31,-65.10,30.58,1848.17
CPN,2026-03-18,162.15,94.67,256.82,67.48,35.85,1915.65
CPN,2026-03-19,247.33,213.46,460.79,33.88,47.06,1949.53
CPN,2026-03-20,469.80,357.26,827.06,112.54,54.64,2062.07
CPN,2026-03-23,367.77,260.15,627.91,107.62,45.17,2169.69
CPN,2026-03-24,145.46,182.47,327.92,-37.01,45.36,2132.68
CPN,2026-03-25,275.29,299.12,574.41,-23.84,44.04,2108.84
CPN,2026-03-26,168.82,233.50,402.32,-64.68,53.33,2044.16
CPN,2026-03-27,434.09,366.03,800.12,68.07,40.31,2112.23
CPN,2026-03-30,219.48,199.77,419.25,19.71,42.22,2131.94
CPN,2026-03-31,266.34,271.73,538.07,-5.39,49.92,2126.55
CPN,2026-04-01,387.59,373.85,761.45,13.74,48.13,2140.29
CPN,2026-04-02,256.86,280.49,537.36,-23.63,48.82,2116.66
CPN,2026-04-03,110.60,111.83,222.43,-1.22,39.68,2115.44
CPN,2026-04-07,207.99,222.04,430.03,-14.05,47.03,2101.39
CPN,2026-04-08,271.45,229.55,501.00,41.90,43.80,2143.29
CPN,2026-04-09,203.13,365.08,568.21,-161.94,52.94,1981.35
CPN,2026-04-10,166.52,172.37,338.89,-5.85,44.35,1975.50
CPN,2026-04-16,333.41,256.83,590.24,76.58,45.75,2052.08
CPN,2026-04-17,85.98,117.53,203.51,-31.55,39.34,2020.53
CPN,2026-04-20,122.96,65.16,188.11,57.80,35.44,2078.33
CPN,2026-04-21,103.41,110.94,214.35,-7.53,47.79,2070.80
