symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
CRC,2026-01-05,72.40,74.70,147.10,-2.30,32.69,-2.30
CRC,2026-01-06,39.44,39.48,78.92,-0.04,31.43,-2.34
CRC,2026-01-07,96.71,43.29,140.00,53.41,33.47,51.07
CRC,2026-01-08,48.16,99.62,147.79,-51.46,23.80,-0.39
CRC,2026-01-09,18.26,30.27,48.53,-12.01,24.62,-12.40
CRC,2026-01-12,39.71,35.75,75.46,3.96,19.47,-8.44
CRC,2026-01-13,57.86,51.48,109.34,6.37,34.67,-2.07
CRC,2026-01-14,56.57,27.65,84.22,28.93,27.98,26.86
CRC,2026-01-15,182.13,71.57,253.70,110.56,27.03,137.42
CRC,2026-01-16,83.71,82.44,166.14,1.27,33.00,138.69
CRC,2026-01-19,106.10,59.00,165.10,47.10,37.74,185.79
CRC,2026-01-20,334.38,135.05,469.43,199.33,37.52,385.12
CRC,2026-01-21,123.88,81.89,205.77,41.99,36.24,427.11
CRC,2026-01-22,122.60,79.23,201.83,43.37,44.71,470.48
CRC,2026-01-23,122.74,69.62,192.36,53.11,32.63,523.59
CRC,2026-01-26,83.20,42.93,126.13,40.27,35.78,563.86
CRC,2026-01-27,123.67,84.89,208.55,38.78,31.27,602.64
CRC,2026-01-28,43.45,73.29,116.74,-29.85,42.64,572.79
CRC,2026-01-29,71.78,62.74,134.52,9.04,30.39,581.83
CRC,2026-01-30,51.65,56.65,108.31,-5.00,37.40,576.83
CRC,2026-02-02,122.53,70.31,192.83,52.22,36.76,629.05
CRC,2026-02-03,124.47,119.16,243.64,5.31,37.37,634.36
CRC,2026-02-04,58.23,95.37,153.61,-37.14,37.35,597.22
CRC,2026-02-05,118.69,84.02,202.70,34.67,41.49,631.89
CRC,2026-02-06,151.10,132.78,283.87,18.32,38.37,650.21
CRC,2026-02-09,298.80,153.83,452.63,144.97,27.53,795.18
CRC,2026-02-10,100.04,150.75,250.78,-50.71,37.53,744.47
CRC,2026-02-11,120.95,153.57,274.52,-32.62,25.24,711.85
CRC,2026-02-12,261.37,130.34,391.71,131.02,32.87,842.87
CRC,2026-02-13,78.65,100.53,179.17,-21.88,28.61,820.99
CRC,2026-02-16,79.69,109.19,188.88,-29.49,22.81,791.50
CRC,2026-02-17,95.79,90.81,186.59,4.98,28.24,796.48
CRC,2026-02-18,179.62,136.67,316.29,42.95,28.32,839.43
CRC,2026-02-19,89.06,130.19,219.26,-41.13,25.35,798.30
CRC,2026-02-20,77.60,176.95,254.55,-99.35,33.62,698.95
CRC,2026-02-23,68.39,93.80,162.19,-25.42,23.47,673.53
CRC,2026-02-24,141.43,80.93,222.36,60.51,30.15,734.04
CRC,2026-02-25,131.27,103.41,234.69,27.86,28.82,761.90
CRC,2026-02-26,155.91,116.37,272.29,39.54,33.18,801.44
CRC,2026-02-27,694.80,663.72,1358.52,31.08,58.12,832.52
CRC,2026-03-02,94.39,145.67,240.05,-51.28,21.47,781.24
CRC,2026-03-04,201.78,298.09,499.88,-96.31,27.20,684.93
CRC,2026-03-05,149.23,208.12,357.35,-58.90,37.41,626.03
CRC,2026-03-06,116.16,139.81,255.98,-23.65,36.96,602.38
CRC,2026-03-09,161.61,132.65,294.25,28.96,34.80,631.34
CRC,2026-03-10,64.40,158.36,222.77,-93.96,34.61,537.38
CRC,2026-03-11,103.61,121.51,225.12,-17.90,31.90,519.48
CRC,2026-03-12,133.40,113.25,246.66,20.15,25.87,539.63
CRC,2026-03-13,202.13,179.94,382.07,22.18,34.88,561.81
CRC,2026-03-16,79.89,95.96,175.85,-16.06,35.08,545.75
CRC,2026-03-17,92.16,112.91,205.06,-20.75,27.05,525.00
CRC,2026-03-18,56.32,116.23,172.55,-59.91,26.87,465.09
CRC,2026-03-19,41.38,137.99,179.37,-96.61,16.74,368.48
CRC,2026-03-20,106.26,121.70,227.96,-15.45,26.55,353.03
CRC,2026-03-23,131.14,106.31,237.45,24.83,24.31,377.86
CRC,2026-03-24,89.78,80.59,170.37,9.19,20.71,387.05
CRC,2026-03-25,76.15,108.70,184.86,-32.55,21.20,354.50
CRC,2026-03-26,85.18,72.88,158.07,12.30,19.76,366.80
CRC,2026-03-27,141.46,79.17,220.62,62.29,34.01,429.09
CRC,2026-03-30,187.15,81.89,269.04,105.25,35.79,534.34
CRC,2026-03-31,135.51,72.47,207.98,63.04,31.72,597.38
CRC,2026-04-01,137.05,202.82,339.87,-65.77,25.42,531.61
CRC,2026-04-02,90.59,82.36,172.95,8.23,28.72,539.84
CRC,2026-04-03,62.37,57.43,119.80,4.95,24.46,544.79
CRC,2026-04-07,94.33,51.21,145.54,43.12,33.85,587.91
CRC,2026-04-08,82.48,46.12,128.60,36.36,26.01,624.27
CRC,2026-04-09,43.31,68.57,111.88,-25.26,37.39,599.01
CRC,2026-04-10,38.08,31.60,69.69,6.48,27.37,605.49
CRC,2026-04-16,100.72,84.91,185.63,15.82,27.19,621.31
CRC,2026-04-17,30.85,58.08,88.93,-27.23,21.22,594.08
CRC,2026-04-20,90.97,107.21,198.18,-16.24,28.03,577.84
CRC,2026-04-21,98.91,52.39,151.30,46.52,28.18,624.36
