symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
DELTA,2026-01-05,2350.70,2644.76,4995.46,-294.06,42.17,-294.06
DELTA,2026-01-06,500.62,2012.66,2513.28,-1512.04,36.66,-1806.10
DELTA,2026-01-07,497.46,1234.98,1732.44,-737.52,33.90,-2543.62
DELTA,2026-01-08,1487.72,3764.02,5251.74,-2276.30,15.71,-4819.92
DELTA,2026-01-09,1394.11,1420.39,2814.49,-26.28,34.78,-4846.20
DELTA,2026-01-12,600.53,569.64,1170.17,30.90,31.33,-4815.30
DELTA,2026-01-13,797.59,727.11,1524.70,70.47,32.98,-4744.83
DELTA,2026-01-14,904.44,928.79,1833.23,-24.35,39.06,-4769.18
DELTA,2026-01-15,1265.52,1044.04,2309.56,221.47,33.18,-4547.71
DELTA,2026-01-16,1210.85,1074.98,2285.82,135.87,31.83,-4411.84
DELTA,2026-01-19,643.96,621.49,1265.45,22.47,35.74,-4389.37
DELTA,2026-01-20,1231.67,1357.16,2588.83,-125.49,32.73,-4514.86
DELTA,2026-01-21,2823.69,1698.17,4521.86,1125.52,37.29,-3389.34
DELTA,2026-01-22,2111.57,2348.84,4460.41,-237.27,36.31,-3626.61
DELTA,2026-01-23,2066.82,1864.65,3931.47,202.16,40.31,-3424.45
DELTA,2026-01-26,735.94,947.90,1683.85,-211.96,33.10,-3636.41
DELTA,2026-01-27,2610.17,1223.46,3833.64,1386.71,36.13,-2249.70
DELTA,2026-01-28,913.40,1224.01,2137.42,-310.61,33.58,-2560.31
DELTA,2026-01-29,920.76,658.84,1579.60,261.93,35.35,-2298.38
DELTA,2026-01-30,1118.83,679.08,1797.91,439.76,37.97,-1858.62
DELTA,2026-02-02,1236.61,861.67,2098.28,374.94,31.47,-1483.68
DELTA,2026-02-03,947.67,1022.86,1970.53,-75.19,29.89,-1558.87
DELTA,2026-02-04,770.86,743.91,1514.77,26.96,38.03,-1531.91
DELTA,2026-02-05,642.57,975.20,1617.77,-332.63,28.06,-1864.54
DELTA,2026-02-06,972.64,525.56,1498.20,447.08,32.51,-1417.46
DELTA,2026-02-09,2325.67,975.20,3300.88,1350.47,33.47,-66.99
DELTA,2026-02-10,1176.42,1761.87,2938.28,-585.45,33.46,-652.44
DELTA,2026-02-11,978.33,652.45,1630.78,325.88,35.01,-326.56
DELTA,2026-02-12,1207.89,967.55,2175.43,240.34,38.28,-86.22
DELTA,2026-02-13,482.34,930.49,1412.83,-448.15,31.15,-534.37
DELTA,2026-02-16,712.14,411.50,1123.64,300.64,26.78,-233.73
DELTA,2026-02-17,543.44,552.55,1095.99,-9.10,28.39,-242.83
DELTA,2026-02-18,862.26,777.21,1639.47,85.05,29.16,-157.78
DELTA,2026-02-19,2168.49,1391.76,3560.25,776.73,31.06,618.95
DELTA,2026-02-20,1002.61,1024.64,2027.24,-22.03,39.24,596.92
DELTA,2026-02-23,2827.67,2000.14,4827.80,827.53,35.51,1424.45
DELTA,2026-02-24,1275.61,1582.05,2857.65,-306.44,39.50,1118.01
DELTA,2026-02-25,2895.21,1902.01,4797.22,993.21,38.29,2111.22
