symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
DOHOME,2026-01-05,6.20,7.52,13.72,-1.32,10.46,-1.32
DOHOME,2026-01-06,13.93,10.75,24.68,3.19,18.83,1.87
DOHOME,2026-01-07,42.11,6.44,48.55,35.67,21.39,37.54
DOHOME,2026-01-08,7.23,19.57,26.79,-12.34,20.91,25.20
DOHOME,2026-01-09,4.44,8.52,12.96,-4.08,16.36,21.12
DOHOME,2026-01-12,5.31,13.42,18.74,-8.11,18.66,13.01
DOHOME,2026-01-13,6.44,10.64,17.08,-4.20,13.18,8.81
DOHOME,2026-01-14,4.44,8.87,13.32,-4.43,20.13,4.38
DOHOME,2026-01-15,8.77,8.76,17.53,0.01,14.27,4.39
DOHOME,2026-01-16,1.94,6.38,8.33,-4.44,8.19,-0.05
DOHOME,2026-01-19,14.74,4.11,18.85,10.62,27.78,10.57
DOHOME,2026-01-20,39.11,3.54,42.65,35.58,20.86,46.15
DOHOME,2026-01-21,21.72,6.12,27.84,15.60,17.92,61.75
DOHOME,2026-01-22,9.63,26.11,35.73,-16.48,22.01,45.27
DOHOME,2026-01-23,1.88,17.94,19.82,-16.06,18.95,29.21
DOHOME,2026-01-26,6.26,9.83,16.09,-3.56,18.32,25.65
DOHOME,2026-01-27,26.88,4.33,31.21,22.55,21.68,48.20
DOHOME,2026-01-28,6.83,11.04,17.87,-4.21,22.26,43.99
DOHOME,2026-01-29,6.29,11.20,17.49,-4.90,24.20,39.09
DOHOME,2026-01-30,1.24,8.69,9.93,-7.45,22.21,31.64
DOHOME,2026-02-02,3.05,14.61,17.67,-11.56,24.26,20.08
DOHOME,2026-02-03,55.04,7.58,62.62,47.45,24.22,67.53
DOHOME,2026-02-04,6.87,8.70,15.57,-1.83,24.96,65.70
DOHOME,2026-02-05,15.76,11.27,27.03,4.49,28.90,70.19
DOHOME,2026-02-06,17.33,26.97,44.30,-9.63,29.33,60.56
DOHOME,2026-02-09,44.36,14.07,58.43,30.29,21.67,90.85
DOHOME,2026-02-10,20.14,22.78,42.92,-2.63,21.54,88.22
DOHOME,2026-02-11,15.95,18.49,34.44,-2.53,17.89,85.69
DOHOME,2026-02-12,23.17,13.33,36.51,9.84,23.88,95.53
DOHOME,2026-02-13,16.69,20.29,36.98,-3.60,23.69,91.93
DOHOME,2026-02-16,7.03,18.20,25.23,-11.17,23.27,80.76
DOHOME,2026-02-17,35.05,12.88,47.92,22.17,21.48,102.93
DOHOME,2026-02-18,39.09,21.55,60.64,17.54,19.61,120.47
DOHOME,2026-02-19,51.60,34.26,85.86,17.34,14.75,137.81
DOHOME,2026-02-20,17.19,34.36,51.55,-17.18,16.33,120.63
DOHOME,2026-02-23,18.16,63.00,81.16,-44.84,16.61,75.79
DOHOME,2026-02-24,17.33,28.33,45.66,-11.00,15.07,64.79
DOHOME,2026-02-25,19.31,21.64,40.94,-2.33,16.29,62.46
DOHOME,2026-02-26,18.95,22.63,41.57,-3.68,19.60,58.78
DOHOME,2026-02-27,5.28,17.67,22.96,-12.39,12.87,46.39
DOHOME,2026-03-02,10.78,26.91,37.69,-16.13,18.17,30.26
DOHOME,2026-03-04,25.05,28.31,53.36,-3.26,20.89,27.00
DOHOME,2026-03-05,14.76,32.59,47.35,-17.84,24.16,9.16
DOHOME,2026-03-06,5.26,12.54,17.80,-7.27,14.12,1.89
DOHOME,2026-03-09,13.23,12.96,26.19,0.27,28.86,2.16
DOHOME,2026-03-10,4.81,13.37,18.18,-8.56,26.71,-6.40
DOHOME,2026-03-11,4.14,8.08,12.22,-3.95,20.49,-10.35
DOHOME,2026-03-12,10.50,9.80,20.30,0.70,25.41,-9.65
DOHOME,2026-03-13,5.21,11.94,17.16,-6.73,26.23,-16.38
DOHOME,2026-03-16,9.00,6.82,15.82,2.18,21.25,-14.20
DOHOME,2026-03-17,4.48,4.43,8.91,0.05,18.88,-14.15
DOHOME,2026-03-18,0.74,4.26,5.00,-3.53,18.69,-17.68
DOHOME,2026-03-19,1.19,3.29,4.49,-2.10,4.98,-19.78
DOHOME,2026-03-20,3.68,5.05,8.73,-1.37,21.56,-21.15
DOHOME,2026-03-23,3.64,3.57,7.21,0.07,14.03,-21.08
DOHOME,2026-03-24,2.86,3.28,6.14,-0.41,18.71,-21.49
DOHOME,2026-03-25,4.98,3.95,8.93,1.03,13.96,-20.46
DOHOME,2026-03-26,1.73,3.21,4.94,-1.49,8.06,-21.95
DOHOME,2026-03-27,11.16,5.87,17.03,5.29,19.44,-16.66
DOHOME,2026-03-30,5.98,2.58,8.56,3.40,18.93,-13.26
DOHOME,2026-03-31,6.63,7.37,14.00,-0.75,15.20,-14.01
DOHOME,2026-04-01,7.87,4.05,11.92,3.82,10.04,-10.19
DOHOME,2026-04-02,3.89,6.93,10.82,-3.04,13.16,-13.23
DOHOME,2026-04-03,10.33,10.44,20.77,-0.11,12.98,-13.34
DOHOME,2026-04-07,10.29,2.54,12.83,7.75,14.64,-5.59
DOHOME,2026-04-08,10.46,6.89,17.35,3.57,15.41,-2.02
DOHOME,2026-04-09,4.97,8.20,13.17,-3.23,15.05,-5.25
DOHOME,2026-04-10,3.49,4.85,8.33,-1.36,19.56,-6.61
DOHOME,2026-04-16,9.05,7.57,16.62,1.48,20.86,-5.13
DOHOME,2026-04-17,5.86,2.97,8.83,2.88,18.21,-2.25
DOHOME,2026-04-20,5.25,7.19,12.44,-1.93,13.57,-4.18
DOHOME,2026-04-21,6.74,6.61,13.35,0.13,14.26,-4.05
