symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
EA,2026-01-05,9.12,3.82,12.93,5.30,11.47,5.30
EA,2026-01-06,2.40,4.45,6.85,-2.05,11.62,3.25
EA,2026-01-07,23.46,6.18,29.64,17.28,16.77,20.53
EA,2026-01-08,5.14,15.71,20.85,-10.57,14.13,9.96
EA,2026-01-09,1.88,2.13,4.00,-0.25,6.95,9.71
EA,2026-01-12,9.33,3.76,13.09,5.56,17.05,15.27
EA,2026-01-13,14.35,1.29,15.65,13.06,21.79,28.33
EA,2026-01-14,16.52,2.52,19.04,13.99,28.32,42.32
EA,2026-01-15,14.53,7.34,21.86,7.19,19.06,49.51
EA,2026-01-16,157.93,96.37,254.30,61.57,38.53,111.08
EA,2026-01-19,26.62,12.20,38.83,14.42,17.94,125.50
EA,2026-01-20,29.20,17.92,47.12,11.28,11.79,136.78
EA,2026-01-21,57.73,13.34,71.07,44.40,20.82,181.18
EA,2026-01-22,36.99,28.02,65.01,8.97,21.98,190.15
EA,2026-01-23,23.91,30.97,54.88,-7.06,20.23,183.09
EA,2026-01-26,11.87,20.04,31.91,-8.17,30.84,174.92
EA,2026-01-27,6.16,11.49,17.65,-5.32,16.04,169.60
EA,2026-01-28,8.62,12.60,21.22,-3.98,28.95,165.62
EA,2026-01-29,3.79,4.40,8.18,-0.61,15.96,165.01
EA,2026-01-30,7.46,6.05,13.52,1.41,16.16,166.42
EA,2026-02-02,2.13,2.61,4.74,-0.48,9.96,165.94
EA,2026-02-03,10.80,4.23,15.03,6.57,12.70,172.51
EA,2026-02-04,11.79,7.04,18.84,4.75,13.26,177.26
EA,2026-02-05,8.83,8.35,17.18,0.49,15.80,177.75
EA,2026-02-06,15.70,8.70,24.41,7.00,16.45,184.75
EA,2026-02-09,60.95,18.16,79.10,42.79,21.29,227.54
EA,2026-02-10,131.99,48.05,180.04,83.94,16.59,311.48
EA,2026-02-11,140.47,91.48,231.95,48.98,17.15,360.46
EA,2026-02-12,146.01,53.63,199.63,92.38,16.78,452.84
EA,2026-02-13,70.34,52.80,123.14,17.55,21.33,470.39
EA,2026-02-16,78.01,78.22,156.23,-0.21,26.41,470.18
EA,2026-02-17,89.81,30.02,119.82,59.79,18.47,529.97
EA,2026-02-18,89.54,33.51,123.05,56.02,18.09,585.99
EA,2026-02-19,135.41,85.26,220.67,50.16,21.64,636.15
EA,2026-02-20,25.65,119.38,145.03,-93.72,18.93,542.43
EA,2026-02-23,58.56,55.20,113.77,3.36,23.90,545.79
EA,2026-02-24,24.00,47.80,71.80,-23.80,28.91,521.99
EA,2026-02-25,10.46,42.59,53.05,-32.13,17.85,489.86
EA,2026-02-26,14.80,40.22,55.01,-25.42,15.51,464.44
EA,2026-02-27,61.89,63.73,125.62,-1.85,21.14,462.59
EA,2026-03-02,23.34,127.26,150.59,-103.92,21.83,358.67
EA,2026-03-04,27.19,47.54,74.72,-20.35,18.12,338.32
EA,2026-03-05,46.65,58.92,105.57,-12.26,25.61,326.06
EA,2026-03-06,7.24,8.58,15.82,-1.34,13.44,324.72
EA,2026-03-09,37.93,23.78,61.70,14.15,24.06,338.87
EA,2026-03-10,18.47,39.57,58.03,-21.10,20.52,317.77
EA,2026-03-11,12.42,23.62,36.04,-11.20,19.36,306.57
EA,2026-03-12,8.12,13.39,21.51,-5.27,18.88,301.30
EA,2026-03-13,3.51,13.91,17.42,-10.40,18.67,290.90
EA,2026-03-16,7.19,13.81,21.00,-6.61,17.15,284.29
EA,2026-03-17,14.70,12.36,27.05,2.34,29.64,286.63
EA,2026-03-18,8.65,34.14,42.79,-25.49,21.36,261.14
EA,2026-03-19,16.06,23.10,39.16,-7.04,20.81,254.10
EA,2026-03-20,14.83,11.22,26.05,3.60,22.02,257.70
EA,2026-03-23,4.17,10.10,14.27,-5.93,15.31,251.77
EA,2026-03-24,4.59,7.14,11.73,-2.55,15.02,249.22
EA,2026-03-25,25.19,19.09,44.28,6.10,20.66,255.32
EA,2026-03-26,30.22,33.30,63.52,-3.08,25.78,252.24
EA,2026-03-27,16.92,17.55,34.47,-0.64,18.47,251.60
EA,2026-03-30,34.00,15.49,49.49,18.51,16.09,270.11
EA,2026-03-31,39.34,24.57,63.91,14.77,18.33,284.88
EA,2026-04-01,38.31,35.16,73.47,3.14,11.22,288.02
EA,2026-04-02,12.90,20.43,33.32,-7.53,10.80,280.49
EA,2026-04-03,14.14,15.98,30.12,-1.84,14.74,278.65
EA,2026-04-07,8.23,13.92,22.15,-5.69,13.98,272.96
EA,2026-04-08,18.52,14.40,32.91,4.12,11.54,277.08
EA,2026-04-09,4.20,10.14,14.35,-5.94,11.34,271.14
EA,2026-04-10,5.12,8.86,13.98,-3.74,13.79,267.40
EA,2026-04-16,26.98,18.37,45.35,8.61,34.83,276.01
EA,2026-04-17,23.00,23.45,46.46,-0.45,44.38,275.56
EA,2026-04-20,6.54,5.43,11.97,1.11,18.57,276.67
EA,2026-04-21,1.99,7.75,9.73,-5.76,12.72,270.91
